WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,RelativeHumidity,Date,Time,StationPressure,VaporPressure,Rainfall24Hr,DewPoint,Rainfall,MeanSeaLevelPressure,WindSpeed,LandVisibility,AirTemperature,MaximumTemperature,WindDirection
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,68,07-11-2019,19:00:00,980.22,27.59,0.00,22.7,0.00,1007.49,0.0,10.00,29.3,36.2,000
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,62,07-11-2019,19:00:00,973.58,25.57,0.00,21.5,0.00,1006.76,13.0,10.00,29.5,37.0,240
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,86,07-11-2019,19:00:00,988.72,32.12,2.40,25.2,2.40,1007.14,0.0,7.00,27.8,35.5,000
48331,NAN,น่าน,น่าน,18.77972,100.77778,58,07-11-2019,19:00:00,983.61,28.53,0.00,23.3,0.00,1005.95,0.0,10.00,32.5,35.4,000
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,63,07-11-2019,19:00:00,976.83,28.68,0.00,23.3,0.00,1006.20,0.0,12.00,31.3,33.7,000
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,62,07-11-2019,19:00:00,971.67,27.14,2.40,22.4,0.00,1006.67,0.0,7.00,30.5,35.0,000
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,63,07-11-2019,19:00:00,976.86,29.07,0.00,23.6,0.00,1006.05,0.0,15.00,31.5,37.9,000
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,63,07-11-2019,19:00:00,999.80,30.48,0.00,24.4,0.00,1006.98,0.0,10.00,32.2,36.7,000
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,67,07-11-2019,19:00:00,986.68,32.23,0.00,25.3,0.00,1006.21,7.4,12.00,32.2,35.7,290
48353,LOEI,เลย,เลย,17.45000,101.73333,47,07-11-2019,19:00:00,978.18,24.51,0.00,20.8,0.00,1006.16,5.6,15.00,33.7,38.0,300
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,92,07-11-2019,19:00:00,986.84,32.77,10.40,25.6,10.40,1007.00,7.4,12.00,27.0,37.3,150
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,91,07-11-2019,19:00:00,985.90,34.73,3.20,26.6,0.01,1007.55,0.0,10.00,28.1,34.2,000
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,83,07-11-2019,19:00:00,987.76,33.33,4.80,25.9,0.00,1007.10,0.0,12.00,29.1,33.5,000
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,80,07-11-2019,19:00:00,991.53,30.98,2.80,24.6,0.00,1008.21,0.0,10.00,28.5,32.8,000
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,82,07-11-2019,19:00:00,990.79,30.84,0.50,24.6,0.00,1008.15,0.0,12.00,28.0,33.0,000
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,74,07-11-2019,19:00:00,981.25,28.78,0.00,23.4,0.00,1006.88,3.7,11.00,28.5,31.3,200
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,62,07-11-2019,19:00:00,1001.53,29.91,0.00,24.0,0.00,1007.22,7.4,10.00,32.2,35.0,270
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,63,07-11-2019,19:00:00,1001.55,30.08,0.00,24.1,0.00,1007.65,11.1,12.00,32.0,35.5,270
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,63,07-11-2019,19:00:00,991.57,29.07,0.00,23.6,0.00,1007.77,0.0,10.00,31.5,36.6,000
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,73,07-11-2019,19:00:00,985.79,26.95,2.50,22.3,0.00,1008.10,9.3,10.00,27.5,32.5,230
48376,TAK,ตาก,ตาก,16.87833,99.14333,63,07-11-2019,19:00:00,994.46,27.30,0.00,22.5,0.00,1008.71,5.6,7.00,30.3,34.8,300
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,74,07-11-2019,19:00:00,992.15,29.74,0.00,23.9,0.00,1008.45,11.1,7.00,29.0,33.5,210
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,67,07-11-2019,19:00:00,1002.35,32.58,0.00,25.5,0.00,1007.48,5.6,10.00,32.5,35.3,160
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,60,07-11-2019,19:00:00,993.01,28.66,0.00,23.3,0.00,1005.98,0.0,10.00,32.0,36.0,000
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,67,07-11-2019,19:00:00,998.62,30.25,0.00,24.2,0.00,1007.82,1.9,12.00,31.1,35.0,250
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,83,07-11-2019,19:00:00,985.44,30.42,1.80,24.3,1.80,1007.09,3.7,9.00,27.5,36.4,100
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,66,07-11-2019,19:00:00,990.23,29.48,0.01,23.8,0.00,1007.51,13.0,10.00,31.0,36.5,210
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,62,07-11-2019,19:00:00,990.99,27.14,0.00,22.4,0.00,1006.63,3.7,10.00,30.5,33.5,190
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,71,07-11-2019,19:00:00,987.40,30.42,0.01,24.3,0.00,1006.07,0.0,8.00,30.2,35.7,000
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,72,07-11-2019,19:00:00,959.15,25.46,1.10,21.4,0.00,1010.35,0.0,8.00,26.8,30.8,000
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,68,07-11-2019,19:00:00,1003.29,33.96,0.00,26.2,0.00,1007.17,0.0,10.00,33.0,34.5,000
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,88,07-11-2019,19:00:00,914.71,24.01,1.30,20.4,0.00,1009.72,13.0,7.00,22.6,26.5,220
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,65,07-11-2019,19:00:00,990.69,30.32,0.00,24.3,0.00,1006.42,0.0,8.00,31.7,35.6,000
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,57,07-11-2019,19:00:00,1003.46,29.09,0.00,23.6,0.00,1007.42,5.6,12.00,33.2,36.5,180
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,66,07-11-2019,19:00:00,998.02,29.48,0.00,23.8,0.00,1008.57,0.0,9.00,31.0,35.1,000
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,72,07-11-2019,19:00:00,1006.36,32.34,0.00,25.4,0.00,1008.27,0.0,12.00,31.0,35.7,000
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,53,07-11-2019,19:00:00,987.10,25.55,0.00,21.4,0.00,1007.63,5.6,12.00,32.1,36.0,250
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,67,07-11-2019,19:00:00,988.90,30.65,0.00,24.5,0.00,1006.31,0.0,10.00,31.3,34.5,000
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,60,07-11-2019,19:00:00,990.26,29.50,0.00,23.8,0.00,1006.11,0.0,10.00,32.7,35.2,000
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,66,07-11-2019,19:00:00,993.80,28.39,0.00,23.2,0.00,1007.69,9.3,10.00,30.3,35.4,200
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,71,07-11-2019,19:00:00,994.17,29.33,0.00,23.7,0.00,1008.90,0.0,8.00,29.5,35.5,000
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,67,07-11-2019,19:00:00,993.56,30.77,0.00,24.5,0.00,1008.03,11.1,8.00,31.5,35.4,220
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,62,07-11-2019,19:00:00,1004.49,29.83,0.00,24.0,0.00,1007.46,0.0,10.00,32.3,36.5,"{'0': '   ', '@attributes': {'Unit': 'degree'}}"
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,65,07-11-2019,19:00:00,999.83,30.12,0.60,24.2,0.00,1007.66,0.0,10.00,31.6,35.2,000
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,61,07-11-2019,19:00:00,1008.82,28.94,0.00,23.5,0.00,1009.91,11.1,8.00,32.0,34.6,180
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,74,07-11-2019,19:00:00,992.77,34.73,0.00,26.6,0.00,1007.24,0.0,8.00,31.7,32.3,000
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,97,07-11-2019,19:00:00,874.90,23.70,0.50,20.2,0.00,1009.75,0.0,7.00,20.7,25.0,000
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,61,07-11-2019,19:00:00,1002.24,29.66,0.00,23.9,0.00,1008.02,3.7,10.00,32.5,37.0,350
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,66,07-11-2019,19:00:00,1008.20,31.52,0.00,24.9,0.00,1008.99,3.7,8.00,32.0,36.6,180
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,67,07-11-2019,19:00:00,1008.05,28.37,0.00,23.2,0.00,1008.49,7.4,10.00,30.0,32.6,210
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,64,07-11-2019,19:00:00,998.41,27.47,0.00,22.6,0.00,1009.62,0.0,10.00,30.1,34.8,000
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,58,07-11-2019,19:00:00,1007.05,28.25,0.00,23.1,0.00,1008.05,5.6,12.00,32.5,36.8,210
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,63,07-11-2019,19:00:00,1006.38,29.99,0.00,24.1,0.00,1008.17,0.0,9.00,32.1,35.1,000
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,52,07-11-2019,19:00:00,1007.42,25.49,0.00,21.4,0.00,1008.18,3.7,9.00,32.5,36.0,220
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,68,07-11-2019,19:00:00,1008.23,27.96,0.00,22.9,0.00,1008.93,9.3,10.00,29.5,34.0,210
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,69,07-11-2019,19:00:00,1007.88,33.34,0.00,25.9,0.00,1008.57,3.7,7.00,32.3,35.4,240
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,55,07-11-2019,19:00:00,987.01,26.67,0.00,22.1,0.00,1007.81,9.3,10.00,32.4,36.2,230
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,65,07-11-2019,19:00:00,990.90,30.12,0.00,24.2,0.00,1007.37,0.0,9.00,31.6,35.9,000
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,63,07-11-2019,19:00:00,991.91,29.99,0.00,24.1,0.00,1008.08,3.7,8.00,32.1,36.6,180
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,61,07-11-2019,19:00:00,986.37,29.66,0.00,23.9,0.00,1007.86,0.0,10.00,32.5,35.5,000
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,68,07-11-2019,19:00:00,965.63,27.11,0.00,22.4,0.00,1008.67,0.0,12.00,28.9,31.6,000
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,59,07-11-2019,19:00:00,987.51,28.10,0.00,23.0,0.00,1007.75,5.6,12.00,32.0,36.2,120
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,78,07-11-2019,19:00:00,987.79,31.41,0.00,24.9,0.00,1008.50,3.7,9.00,29.0,35.7,170
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,69,07-11-2019,19:00:00,1008.88,30.18,0.00,24.2,0.00,1009.31,13.0,11.00,30.5,33.0,200
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,69,07-11-2019,19:00:00,1006.35,30.90,0.00,24.6,0.00,1007.75,0.0,10.00,31.0,34.4,000
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,75,07-11-2019,19:00:00,1003.94,34.68,0.00,26.5,0.00,1008.81,0.0,10.00,31.4,34.5,000
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,50,07-11-2019,19:00:00,1005.21,25.08,0.00,21.1,0.00,1008.44,0.0,12.00,33.0,35.6,000
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,66,07-11-2019,19:00:00,1007.57,31.52,0.00,24.9,0.00,1008.66,0.0,10.00,32.0,36.5,000
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,65,07-11-2019,19:00:00,1008.81,28.50,0.00,23.2,0.00,1009.10,3.7,10.00,30.5,34.6,160
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,68,07-11-2019,19:00:00,1007.94,29.89,0.00,24.0,0.00,1008.62,7.4,10.00,30.5,35.8,220
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,65,07-11-2019,19:00:00,1008.25,28.50,0.00,23.2,0.00,1008.74,1.9,10.00,30.5,35.6,120
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,60,07-11-2019,19:00:00,1007.47,27.11,0.00,22.4,0.00,1008.86,13.0,10.00,31.2,34.8,180
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,66,07-11-2019,19:00:00,1007.36,28.59,0.00,23.3,0.00,1009.03,25.9,10.00,30.4,31.9,190
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,58,07-11-2019,19:00:00,1002.79,25.55,0.00,21.4,0.00,1010.73,0.0,10.00,30.8,34.7,000
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,57,07-11-2019,19:00:00,1008.57,26.69,0.00,22.2,0.00,1008.85,0.0,10.00,31.7,34.3,000
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,71,07-11-2019,19:00:00,1006.05,30.31,0.00,24.3,0.00,1009.16,0.0,10.00,30.0,32.5,000
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,54,07-11-2019,19:00:00,1002.58,25.91,0.00,21.7,0.00,1009.42,0.0,12.00,32.0,32.0,000
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,69,07-11-2019,19:00:00,1003.29,32.99,0.00,25.7,0.00,1008.80,0.0,7.00,32.0,35.5,000
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,70,07-11-2019,19:00:00,1000.10,29.75,0.00,24.0,0.00,1009.34,16.7,10.00,30.0,32.6,210
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,68,07-11-2019,19:00:00,1008.55,28.91,0.00,23.5,0.00,1009.80,14.8,10.00,30.0,35.7,180
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,72,07-11-2019,19:00:00,1008.89,32.68,0.00,25.5,0.00,1009.31,16.7,11.00,31.3,35.9,170
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,75,07-11-2019,19:00:00,997.76,31.72,0.00,25.0,0.00,1009.93,0.0,8.00,30.0,35.4,000
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,76,07-11-2019,19:00:00,1008.79,32.09,0.00,25.2,0.00,1009.50,0.0,10.00,29.9,32.0,000
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,67,07-11-2019,19:00:00,1007.88,28.26,0.00,23.1,0.00,1010.30,11.1,10.00,29.8,35.0,170
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,73,07-11-2019,19:00:00,1009.21,30.27,0.00,24.2,0.00,1009.72,7.4,12.00,29.7,31.8,240
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,66,07-11-2019,19:00:00,1004.56,27.15,0.00,22.4,0.00,1009.68,3.7,11.00,29.5,34.5,190
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,67,07-11-2019,19:00:00,1009.67,28.17,0.00,23.1,0.00,1010.08,3.7,9.00,29.9,33.4,200
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,78,07-11-2019,19:00:00,1007.40,32.13,0.00,25.2,0.00,1010.16,0.0,8.00,29.5,33.0,000
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,76,07-11-2019,19:00:00,1009.16,32.84,0.00,25.6,0.00,1009.94,0.0,10.00,30.4,35.2,000
48501,TRAD,ตราด,ตราด,11.76667,102.88333,83,07-11-2019,19:00:00,1010.06,32.10,0.00,25.2,0.00,1010.52,3.7,7.00,28.5,32.1,090
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,72,07-11-2019,19:00:00,1009.30,31.11,0.00,24.7,0.00,1009.97,0.0,8.00,30.4,32.9,000
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,72,07-11-2019,19:00:00,1007.83,32.34,0.00,25.4,0.00,1009.34,0.0,9.00,31.0,35.2,000
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,72,07-11-2019,19:00:00,1009.63,31.51,0.00,24.9,0.00,1010.53,3.7,10.00,30.6,33.2,340
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,79,07-11-2019,19:00:00,1009.44,33.46,0.00,25.9,0.00,1010.12,0.0,10.00,30.0,32.0,000
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,80,07-11-2019,19:00:00,1008.80,33.96,0.00,26.2,0.00,1009.59,3.7,10.00,30.1,35.7,010
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,92,07-11-2019,19:00:00,1009.41,29.08,1.20,23.6,0.40,1010.05,0.0,10.00,24.9,35.3,000
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,93,07-11-2019,19:00:00,1010.07,27.42,4.70,22.6,2.10,1010.48,0.0,10.00,23.8,36.7,000
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,83,07-11-2019,19:00:00,1007.00,33.83,1.20,26.1,0.00,1011.19,0.0,6.00,29.2,34.0,000
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,88,07-11-2019,19:00:00,1007.14,29.50,0.00,23.8,0.00,1008.76,0.0,10.00,26.0,35.0,000
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,88,07-11-2019,19:00:00,1006.55,30.43,0.00,24.3,0.00,1010.04,0.0,8.00,26.5,35.8,000
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,80,07-11-2019,19:00:00,1009.05,30.78,0.01,24.5,0.00,1010.40,0.0,9.00,28.4,35.3,000
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,75,07-11-2019,19:00:00,1008.51,31.72,0.00,25.0,0.00,1009.39,0.0,10.00,30.0,32.5,000
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,78,07-11-2019,19:00:00,1006.50,30.23,0.00,24.2,0.00,1010.05,0.0,10.00,28.4,34.4,000
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,74,07-11-2019,19:00:00,1009.05,32.17,0.00,25.3,0.00,1009.48,0.0,10.00,30.5,35.0,000
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,88,07-11-2019,19:00:00,1008.41,34.61,8.30,26.5,0.00,1009.40,0.0,10.00,28.6,33.0,000
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,83,07-11-2019,19:00:00,1008.61,29.29,0.00,23.7,0.00,1009.43,0.0,10.00,26.9,34.0,000
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,89,07-11-2019,19:00:00,1008.25,33.66,1.40,26.0,0.00,1010.06,0.0,10.00,28.0,32.9,000
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,76,07-11-2019,19:00:00,1010.08,30.88,37.00,24.6,0.00,1010.83,1.9,11.00,29.3,33.0,060
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,74,07-11-2019,19:00:00,1006.88,30.83,1.00,24.6,0.00,1010.86,11.1,10.00,29.7,34.9,070
48570,SATUN,สตูล,สตูล,6.65000,100.08333,72,07-11-2019,19:00:00,1009.59,31.31,0.50,24.8,0.00,1010.27,0.0,10.00,30.5,32.6,000
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,73,07-11-2019,19:00:00,1009.41,30.87,1.00,24.6,0.00,1010.52,0.0,10.00,30.0,34.3,000
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,84,07-11-2019,19:00:00,1007.71,34.88,0.00,26.6,0.00,1010.61,0.0,10.00,29.7,33.1,000
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,78,07-11-2019,19:00:00,1010.52,25.95,0.00,21.7,0.00,1011.21,9.3,6.00,25.9,33.7,190
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,96,07-11-2019,19:00:00,1009.76,26.58,48.70,22.1,46.50,1013.97,0.0,5.00,22.7,33.8,000
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,86,07-11-2019,19:00:00,1012.67,26.34,24.10,21.9,0.90,1013.27,0.0,7.00,24.5,33.1,000
