WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindSpeed,Date,Time,WindDirection,StationPressure,Rainfall,RelativeHumidity,Rainfall24Hr,DewPoint,MeanSeaLevelPressure,AirTemperature,VaporPressure,LandVisibility
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,3.7,07-30-2019,01:00:00,220,993.58,5.10,94,47.80,22.7,1007.77,23.7,27.50,10.00
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,0.0,07-30-2019,01:00:00,000,993.62,1.20,95,15.60,22.7,1008.64,23.6,27.58,8.00
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,5.6,07-30-2019,01:00:00,190,993.84,8.00,98,74.70,23.7,1008.68,24.0,29.30,1.50
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,0.0,07-30-2019,01:00:00,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",1003.81,0.10,61,0.10,20.8,1006.80,29.1,24.60,10.00
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,0.0,07-30-2019,01:00:00,000,998.96,0.00,86,1.60,24.4,1006.91,27.0,30.56,7.00
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,3.7,07-30-2019,01:00:00,130,1007.00,0.00,83,0.00,23.9,1008.11,27.1,29.66,6.00
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,3.7,07-30-2019,01:00:00,120,991.31,0.00,92,24.80,25.6,1005.98,27.0,32.77,8.00
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,5.6,07-30-2019,01:00:00,270,874.10,0.00,97,18.60,18.9,1009.45,19.4,21.84,1.50
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,3.7,07-30-2019,01:00:00,210,1001.46,0.00,70,0.00,22.0,1007.32,27.9,26.36,10.00
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,9.3,07-30-2019,01:00:00,240,1008.02,0.00,64,0.00,21.6,1008.81,29.0,25.71,8.00
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,25.9,07-30-2019,01:00:00,230,1007.29,0.00,68,0.00,21.9,1007.73,28.4,26.21,10.00
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,0.0,07-30-2019,01:00:00,000,998.80,0.00,90,4.00,23.2,1010.22,25.0,28.48,4.00
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,7.4,07-30-2019,01:00:00,210,1006.19,0.00,77,0.00,22.4,1007.20,26.8,27.00,10.00
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,3.7,07-30-2019,01:00:00,140,1005.64,0.00,73,0.00,21.9,1007.46,27.1,26.24,7.00
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,0.0,07-30-2019,01:00:00,000,1007.03,0.00,75,0.00,21.2,1007.80,26.0,25.11,8.00
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,9.3,07-30-2019,01:00:00,240,1007.26,0.00,73,5.80,21.0,1007.96,26.3,24.87,10.00
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,0.0,07-30-2019,01:00:00,000,1007.00,0.00,76,1.80,23.3,1007.71,28.0,28.65,7.00
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,0.0,07-30-2019,01:00:00,000,986.12,0.00,69,0.10,22.4,1007.17,28.6,27.09,10.00
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,0.0,07-30-2019,01:00:00,000,991.07,6.00,97,44.90,24.4,1007.91,25.0,30.58,6.00
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,11.1,07-30-2019,01:00:00,180,992.01,5.20,95,43.10,24.3,1008.56,25.2,30.42,5.00
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,0.0,07-30-2019,01:00:00,000,985.02,0.00,74,0.00,21.7,1006.90,26.6,25.88,10.00
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,0.0,07-30-2019,01:00:00,000,964.27,0.00,72,0.00,20.5,1007.71,25.8,24.04,12.00
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,5.6,07-30-2019,01:00:00,230,986.58,0.80,83,0.80,23.0,1007.20,26.1,28.10,8.00
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,13.0,07-30-2019,01:00:00,170,988.05,7.60,100,25.60,24.3,1009.09,24.3,30.36,7.00
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,3.7,07-30-2019,01:00:00,310,1008.16,0.00,65,0.00,20.9,1008.59,28.0,24.73,10.00
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,0.0,07-30-2019,01:00:00,000,1006.33,0.00,96,10.60,25.1,1007.75,25.8,31.82,6.00
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,0.0,07-30-2019,01:00:00,000,1003.11,0.00,90,0.00,24.7,1008.05,26.6,31.16,7.00
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,3.7,07-30-2019,01:00:00,250,1005.05,0.00,71,0.00,21.6,1008.34,27.4,25.74,10.00
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,1.9,07-30-2019,01:00:00,240,1007.02,0.00,80,0.00,22.3,1008.13,26.0,26.88,10.00
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,7.4,07-30-2019,01:00:00,320,1007.48,0.00,67,0.00,21.4,1007.78,28.0,25.50,10.00
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,0.0,07-30-2019,01:00:00,000,1009.87,0.00,65,0.00,21.7,1010.36,28.8,25.88,10.00
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,11.1,07-30-2019,01:00:00,170,1006.85,0.00,69,0.01,21.5,1008.25,27.6,25.57,10.00
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,0.0,07-30-2019,01:00:00,000,1001.77,0.00,80,0.00,22.8,1009.81,26.5,27.77,10.00
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,7.4,07-30-2019,01:00:00,270,1007.50,0.00,72,0.00,23.8,1007.79,29.3,29.49,10.00
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,0.0,07-30-2019,01:00:00,000,1005.16,0.00,72,0.00,23.8,1008.27,29.3,29.49,10.00
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,5.6,07-30-2019,01:00:00,180,1001.37,0.00,63,0.00,21.4,1008.27,29.2,25.55,10.00
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,0.0,07-30-2019,01:00:00,000,1001.64,0.01,84,0.01,24.6,1007.23,27.5,30.97,7.00
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,3.7,07-30-2019,01:00:00,260,1008.17,0.00,84,0.00,22.4,1009.44,25.2,27.03,10.00
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,3.7,07-30-2019,01:00:00,310,1008.04,0.00,69,0.00,21.2,1008.47,27.5,25.14,11.00
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,0.0,07-30-2019,01:00:00,000,996.92,0.00,83,0.00,22.0,1009.28,25.1,26.35,10.00
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,5.6,07-30-2019,01:00:00,260,1008.37,0.00,76,0.00,22.8,1009.09,27.5,27.73,10.00
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,5.6,07-30-2019,01:00:00,240,1006.31,0.00,68,0.00,22.4,1008.74,29.0,27.03,10.00
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,14.8,07-30-2019,01:00:00,240,1008.08,0.00,72,7.20,24.0,1008.60,29.5,29.88,10.00
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,1.9,07-30-2019,01:00:00,240,1003.35,0.00,75,0.00,22.6,1008.50,27.5,27.47,10.00
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,0.0,07-30-2019,01:00:00,000,1007.79,0.00,83,9.90,25.1,1008.20,28.2,31.79,7.00
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,0.0,07-30-2019,01:00:00,000,1005.56,0.00,93,11.60,25.4,1008.34,26.7,32.46,8.00
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,0.0,07-30-2019,01:00:00,000,1008.93,0.00,76,0.00,21.8,1009.72,26.3,26.13,10.00
48501,TRAD,ตราด,ตราด,11.76667,102.88333,3.7,07-30-2019,01:00:00,090,1008.42,0.00,93,4.60,25.4,1008.88,26.7,32.46,6.00
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,0.0,07-30-2019,01:00:00,000,1009.91,0.00,87,0.20,22.6,1010.60,24.8,27.36,8.00
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,0.0,07-30-2019,01:00:00,000,1009.02,0.00,93,0.60,23.8,1010.56,25.0,29.52,7.00
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,0.0,07-30-2019,01:00:00,000,1010.27,0.00,92,15.80,23.5,1011.20,25.0,29.00,10.00
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,7.4,07-30-2019,01:00:00,260,1010.15,0.00,80,0.00,24.5,1010.83,28.4,30.78,10.00
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,0.0,07-30-2019,01:00:00,000,1009.28,0.00,90,0.00,23.9,1010.08,25.7,29.74,8.00
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,0.0,07-30-2019,01:00:00,000,1009.61,0.00,84,0.00,24.1,1010.24,27.0,30.02,10.00
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,7.4,07-30-2019,01:00:00,210,1010.78,0.00,89,0.00,24.2,1011.19,26.2,30.13,10.00
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,0.0,07-30-2019,01:00:00,000,1008.60,0.00,98,0.00,25.7,1012.85,26.1,32.95,5.00
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,0.0,07-30-2019,01:00:00,000,1007.35,0.00,96,0.00,24.3,1008.97,25.0,30.32,8.00
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,0.0,07-30-2019,01:00:00,000,1007.72,0.00,93,0.00,24.4,1011.22,25.7,30.54,7.00
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,0.0,07-30-2019,01:00:00,000,1009.80,0.00,89,0.00,23.4,1011.16,25.3,28.75,8.00
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,0.0,07-30-2019,01:00:00,000,1009.80,0.00,93,1.20,24.6,1010.70,25.8,31.00,10.00
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,0.0,07-30-2019,01:00:00,000,1006.97,0.00,89,0.00,23.6,1010.55,25.5,29.11,10.00
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,0.0,07-30-2019,01:00:00,000,1010.42,0.80,92,3.20,25.6,1010.85,27.0,32.77,10.00
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,7.4,07-30-2019,01:00:00,250,1009.42,0.10,77,1.60,24.7,1010.40,29.1,31.05,10.00
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,11.1,07-30-2019,01:00:00,280,1010.19,0.00,84,0.00,25.4,1011.00,28.4,32.47,10.00
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,0.0,07-30-2019,01:00:00,000,1009.45,0.00,90,0.00,24.5,1011.27,26.2,30.67,10.00
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,7.4,07-30-2019,01:00:00,230,1010.59,0.00,81,0.00,23.7,1011.34,27.2,29.31,11.00
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,11.1,07-30-2019,01:00:00,270,1007.43,0.00,81,0.00,23.7,1011.44,27.2,29.31,10.00
48570,SATUN,สตูล,สตูล,6.65000,100.08333,0.0,07-30-2019,01:00:00,000,1010.44,0.00,90,0.00,23.2,1011.13,25.0,28.48,10.00
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,0.0,07-30-2019,01:00:00,000,1009.81,0.00,80,0.00,23.8,1010.93,27.6,29.52,10.00
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,0.0,07-30-2019,01:00:00,000,1008.25,0.00,83,0.00,24.2,1011.18,27.4,30.23,10.00
