WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,RelativeHumidity,Date,Time,AirTemperature,DewPoint,MeanSeaLevelPressure,LandVisibility,WindSpeed,VaporPressure,StationPressure,WindDirection,Rainfall24Hr,Rainfall
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,64,07-14-2019,01:00:00,29.0,21.6,1006.68,10.00,0.0,25.71,979.40,000,0.00,0.00
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,72,07-14-2019,01:00:00,28.2,22.8,1006.60,10.00,0.0,27.69,973.28,000,0.00,0.00
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,80,07-14-2019,01:00:00,27.6,23.8,1006.15,15.00,3.7,29.52,987.72,230,0.00,0.00
48331,NAN,น่าน,น่าน,18.77972,100.77778,68,07-14-2019,01:00:00,29.5,22.9,1005.17,10.00,0.0,27.96,982.62,000,0.00,0.00
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,87,07-14-2019,01:00:00,26.8,24.5,1005.54,8.00,0.0,30.72,975.75,000,0.00,0.00
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,71,07-14-2019,01:00:00,27.6,21.9,1006.61,6.00,0.0,26.34,971.29,000,0.00,0.00
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,77,07-14-2019,01:00:00,27.2,22.8,1003.37,12.00,7.4,27.72,973.85,160,0.00,0.00
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,90,07-14-2019,01:00:00,27.0,25.3,1006.19,9.00,0.0,32.21,998.89,000,4.40,0.00
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,78,07-14-2019,01:00:00,29.2,24.9,1004.34,10.00,0.0,31.53,984.66,000,1.50,0.00
48353,LOEI,เลย,เลย,17.45000,101.73333,73,07-14-2019,01:00:00,28.4,23.1,1004.82,12.00,0.0,28.33,976.40,000,0.00,0.00
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,71,07-14-2019,01:00:00,29.0,23.2,1004.92,12.00,3.7,28.37,984.94,210,0.00,0.00
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,84,07-14-2019,01:00:00,27.2,24.2,1005.47,10.00,0.0,30.12,983.81,000,0.00,0.00
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,83,07-14-2019,01:00:00,28.0,24.8,1004.78,10.00,0.0,31.39,985.41,000,0.00,0.00
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,85,07-14-2019,01:00:00,28.3,25.6,1005.70,12.00,0.0,32.84,989.06,000,0.00,0.00
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,92,07-14-2019,01:00:00,27.5,26.1,1005.79,10.00,0.0,33.78,988.44,000,0.00,0.00
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,77,07-14-2019,01:00:00,28.6,24.1,1004.37,10.00,0.0,30.07,978.82,000,0.00,0.00
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,69,07-14-2019,01:00:00,28.8,22.5,1007.22,10.00,5.6,27.20,1001.46,260,0.00,0.00
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,71,07-14-2019,01:00:00,29.0,23.2,1006.78,10.00,11.1,28.37,1000.63,220,0.00,0.00
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,72,07-14-2019,01:00:00,29.0,23.5,1007.13,8.00,0.0,28.91,990.80,000,0.00,0.00
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,96,07-14-2019,01:00:00,24.0,23.3,1008.12,8.00,5.6,28.53,985.56,180,35.30,2.00
48376,TAK,ตาก,ตาก,16.87833,99.14333,72,07-14-2019,01:00:00,27.9,22.3,1008.31,8.00,14.8,26.88,993.95,260,0.00,0.00
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,70,07-14-2019,01:00:00,28.6,22.6,1006.81,8.00,7.4,27.36,990.52,260,0.00,0.00
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,71,07-14-2019,01:00:00,28.9,23.2,1007.21,10.00,0.0,28.45,1002.01,000,0.00,0.00
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,74,07-14-2019,01:00:00,29.0,23.9,1005.57,10.00,0.0,29.74,992.48,000,0.00,0.00
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,62,07-14-2019,01:00:00,29.2,21.1,1007.45,10.00,11.1,25.03,998.19,270,0.00,0.00
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,72,07-14-2019,01:00:00,29.0,23.5,1005.70,10.00,3.7,28.91,984.19,270,0.70,0.00
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,70,07-14-2019,01:00:00,30.0,24.0,1005.76,10.00,5.6,29.75,988.45,230,0.00,0.00
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,81,07-14-2019,01:00:00,29.0,25.5,1005.11,10.00,0.0,32.55,989.41,000,0.00,0.00
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,78,07-14-2019,01:00:00,28.9,24.8,1004.72,10.00,0.0,31.21,986.00,000,0.00,0.00
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,91,07-14-2019,01:00:00,23.2,21.7,1009.44,6.00,0.0,25.92,957.68,000,9.90,3.60
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,85,07-14-2019,01:00:00,28.0,25.1,1006.88,6.00,0.0,31.95,1002.94,000,0.00,0.00
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,98,07-14-2019,01:00:00,20.5,20.2,1009.12,.10,14.8,23.64,913.53,230,3.60,0.20
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,86,07-14-2019,01:00:00,27.8,25.2,1005.50,6.00,0.0,32.12,989.59,000,0.00,0.00
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,70,07-14-2019,01:00:00,29.4,23.3,1007.36,10.00,3.7,28.59,1003.36,260,0.00,0.00
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,66,07-14-2019,01:00:00,28.5,21.5,1008.56,7.00,0.0,25.61,997.92,000,0.00,0.00
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,70,07-14-2019,01:00:00,28.0,22.1,1008.29,9.00,7.4,26.54,1006.36,220,0.00,0.00
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,77,07-14-2019,01:00:00,28.2,23.7,1006.44,10.00,3.7,29.30,985.68,240,0.00,0.00
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,89,07-14-2019,01:00:00,27.5,25.5,1005.59,10.00,0.0,32.64,987.98,000,7.50,0.00
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,89,07-14-2019,01:00:00,28.0,26.0,1005.26,10.00,5.6,33.66,989.18,200,7.50,0.00
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,71,07-14-2019,01:00:00,29.1,23.3,1006.48,10.00,7.4,28.56,992.55,220,0.01,0.00
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,81,07-14-2019,01:00:00,28.5,24.9,1007.11,10.00,0.0,31.54,992.35,000,0.00,0.00
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,84,07-14-2019,01:00:00,27.5,24.6,1007.28,7.00,0.0,30.97,992.63,000,1.60,1.60
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,60,07-14-2019,01:00:00,29.7,21.0,1007.36,10.00,0.0,24.88,1004.37,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",0.00,0.00
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,85,07-14-2019,01:00:00,28.4,25.6,1007.30,7.00,0.0,32.75,999.38,000,50.50,0.00
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,85,07-14-2019,01:00:00,28.5,25.7,1008.60,6.00,5.6,32.96,1007.50,220,2.90,0.00
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,80,07-14-2019,01:00:00,26.5,22.8,1006.71,8.00,0.0,27.77,992.01,000,0.00,0.00
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,99,07-14-2019,01:00:00,18.9,18.7,1009.66,.05,9.3,21.60,874.07,270,6.60,0.80
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,77,07-14-2019,01:00:00,28.1,23.7,1007.78,10.00,0.0,29.38,1001.92,000,52.60,0.00
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,79,07-14-2019,01:00:00,29.0,25.0,1008.64,8.00,9.3,31.69,1007.84,240,0.00,0.00
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,70,07-14-2019,01:00:00,29.2,23.1,1008.55,10.00,11.1,28.21,1008.11,230,9.30,0.00
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,96,07-14-2019,01:00:00,24.0,23.3,1011.29,3.00,0.0,28.53,999.83,000,7.60,3.70
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,57,07-14-2019,01:00:00,30.5,21.1,1008.78,10.00,0.0,25.01,1007.78,000,0.00,0.00
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,70,07-14-2019,01:00:00,29.1,23.0,1008.26,8.00,3.7,28.02,1006.44,170,0.00,0.00
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,65,07-14-2019,01:00:00,28.2,21.0,1008.64,8.00,0.0,24.82,1007.88,000,0.00,0.00
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,66,07-14-2019,01:00:00,28.2,21.1,1008.80,10.00,14.8,25.08,1008.09,280,15.80,0.40
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,77,07-14-2019,01:00:00,29.4,24.8,1008.75,7.00,3.7,31.36,1008.05,270,0.10,0.10
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,72,07-14-2019,01:00:00,29.2,23.7,1007.37,10.00,3.7,29.30,986.36,260,0.00,0.00
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,94,07-14-2019,01:00:00,26.3,25.3,1006.84,7.00,0.0,32.23,990.09,000,15.50,12.20
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,91,07-14-2019,01:00:00,26.5,24.9,1007.36,5.00,1.9,31.52,990.90,180,7.30,5.20
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,74,07-14-2019,01:00:00,28.4,23.3,1007.59,10.00,0.0,28.59,985.83,000,1.10,0.00
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,68,07-14-2019,01:00:00,27.8,21.4,1008.12,10.00,18.5,25.41,964.95,230,0.00,0.00
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,67,07-14-2019,01:00:00,29.1,22.3,1007.04,10.00,13.0,26.95,986.63,210,1.20,0.00
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,85,07-14-2019,01:00:00,27.7,25.0,1008.08,8.00,11.1,31.64,987.30,220,0.00,0.00
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,74,07-14-2019,01:00:00,27.8,22.8,1008.63,10.00,3.7,27.75,1008.20,340,0.00,0.00
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,94,07-14-2019,01:00:00,25.2,24.2,1008.52,6.00,0.0,30.15,1007.09,000,6.60,6.60
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,89,07-14-2019,01:00:00,26.5,24.6,1007.70,7.00,0.0,30.97,1002.76,000,0.00,0.00
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,63,07-14-2019,01:00:00,29.0,21.2,1008.89,10.00,5.6,25.19,1005.62,220,0.00,0.00
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,70,07-14-2019,01:00:00,28.0,21.9,1008.80,10.00,7.4,26.28,1007.69,290,0.00,0.00
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,70,07-14-2019,01:00:00,28.5,22.5,1008.97,10.00,3.7,27.18,1008.67,290,27.50,0.00
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,78,07-14-2019,01:00:00,29.0,24.7,1008.90,10.00,0.0,31.13,1008.41,000,0.00,0.00
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,69,07-14-2019,01:00:00,28.9,22.7,1008.94,10.00,16.7,27.65,1007.54,260,0.00,0.00
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,81,07-14-2019,01:00:00,26.4,22.9,1010.51,10.00,0.0,27.85,1002.47,000,0.50,0.00
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,85,07-14-2019,01:00:00,28.0,25.1,1009.03,10.00,7.4,31.95,1008.75,290,14.10,1.30
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,64,07-14-2019,01:00:00,29.0,21.6,1008.57,10.00,9.3,25.71,1005.46,300,0.00,0.00
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,65,07-14-2019,01:00:00,29.5,22.1,1008.93,10.00,13.0,26.62,1002.04,240,0.00,0.00
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,77,07-14-2019,01:00:00,27.7,23.3,1008.10,8.00,5.6,28.63,1002.51,300,0.00,0.00
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,80,07-14-2019,01:00:00,26.5,22.8,1009.82,10.00,7.4,27.77,1008.55,270,2.10,0.00
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,62,07-14-2019,01:00:00,28.8,20.8,1008.93,11.00,3.7,24.59,1008.50,250,0.00,0.00
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,84,07-14-2019,01:00:00,23.9,21.0,1009.30,10.00,0.0,24.86,996.89,000,0.00,0.00
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,71,07-14-2019,01:00:00,27.1,21.4,1009.24,10.00,0.0,25.47,1008.52,000,0.00,0.00
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,58,07-14-2019,01:00:00,29.5,20.4,1009.01,10.00,18.5,24.01,1006.59,330,0.00,0.00
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,66,07-14-2019,01:00:00,30.2,23.1,1008.62,10.00,11.1,28.20,1008.11,340,0.00,0.00
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,74,07-14-2019,01:00:00,28.5,23.4,1008.66,8.00,0.0,28.78,1003.53,000,0.00,0.00
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,83,07-14-2019,01:00:00,27.6,24.4,1009.16,7.00,0.0,30.61,1008.75,000,67.90,0.00
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,90,07-14-2019,01:00:00,26.2,24.5,1009.04,8.00,7.4,30.67,1006.26,040,78.50,0.00
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,70,07-14-2019,01:00:00,27.2,21.2,1009.52,10.00,7.4,25.13,1008.73,360,0.00,0.00
48501,TRAD,ตราด,ตราด,11.76667,102.88333,95,07-14-2019,01:00:00,25.1,24.2,1009.50,6.00,7.4,30.23,1009.04,070,10.90,0.00
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,87,07-14-2019,01:00:00,26.2,23.9,1010.35,8.00,0.0,29.60,1009.67,000,0.00,0.00
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,86,07-14-2019,01:00:00,26.2,23.7,1010.21,6.00,0.0,29.33,1008.68,000,0.00,0.00
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,92,07-14-2019,01:00:00,26.0,24.6,1010.95,10.00,0.0,30.84,1010.03,000,0.20,0.00
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,85,07-14-2019,01:00:00,28.0,25.1,1010.66,10.00,0.0,31.95,1009.98,000,0.00,0.00
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,96,07-14-2019,01:00:00,24.5,23.8,1011.09,6.00,0.0,29.41,1010.28,000,0.70,0.00
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,95,07-14-2019,01:00:00,25.1,24.2,1010.46,10.00,0.0,30.23,1009.82,000,8.60,0.00
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,95,07-14-2019,01:00:00,24.6,23.7,1009.97,10.00,0.0,29.33,1009.56,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",0.01,0.00
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,98,07-14-2019,01:00:00,24.2,23.9,1012.62,5.00,0.0,29.66,1008.35,000,15.90,0.00
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,98,07-14-2019,01:00:00,24.1,23.8,1011.04,6.00,0.0,29.48,1009.41,000,14.60,0.00
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,95,07-14-2019,01:00:00,24.0,23.1,1011.10,10.00,0.0,28.27,1007.57,000,0.00,0.00
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,99,07-14-2019,01:00:00,23.7,23.5,1010.45,7.00,0.0,29.03,1009.07,000,2.90,0.00
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,92,07-14-2019,01:00:00,26.0,24.6,1011.02,10.00,0.0,30.84,1010.13,000,0.00,0.00
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,96,07-14-2019,01:00:00,25.0,24.3,1011.04,10.00,0.0,30.32,1007.45,000,4.80,0.00
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,84,07-14-2019,01:00:00,27.5,24.6,1010.64,10.00,0.0,30.97,1010.20,000,15.00,0.00
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,62,07-14-2019,01:00:00,27.9,20.0,1008.73,9.00,3.7,23.30,1007.74,290,15.60,0.00
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,96,07-14-2019,01:00:00,25.2,24.5,1011.01,10.00,0.0,30.69,1010.19,000,4.00,0.00
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,95,07-14-2019,01:00:00,24.0,23.1,1011.01,9.00,0.0,28.27,1009.17,000,0.40,0.00
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,88,07-14-2019,01:00:00,25.2,23.0,1010.84,10.00,5.6,28.06,1010.08,250,7.60,0.00
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,89,07-14-2019,01:00:00,24.0,22.0,1010.93,10.00,0.0,26.50,1006.88,000,1.60,0.00
48570,SATUN,สตูล,สตูล,6.65000,100.08333,93,07-14-2019,01:00:00,24.2,23.0,1011.37,10.00,0.0,28.10,1010.68,000,1.50,0.00
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,90,07-14-2019,01:00:00,26.5,24.8,1010.78,10.00,0.0,31.24,1009.66,000,0.00,0.00
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,91,07-14-2019,01:00:00,25.3,23.7,1011.11,10.00,0.0,29.28,1008.16,000,0.00,0.00
