WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,MeanSeaLevelPressure,LandVisibility,DewPoint,RelativeHumidity,StationPressure,WindSpeed,AirTemperature,WindDirection,VaporPressure,Rainfall24Hr
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,0.00,09-17-2019,01:00:00,1007.12,11.00,23.0,82,987.60,0.0,26.2,000,28.01,0.00
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,0.00,09-17-2019,01:00:00,1007.03,10.00,24.8,87,990.31,0.0,27.2,000,31.22,0.01
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,0.00,09-17-2019,01:00:00,1007.83,10.00,24.0,92,990.33,0.0,25.5,000,29.91,0.00
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,0.00,09-17-2019,01:00:00,1005.61,10.00,24.1,84,979.89,0.0,27.0,000,30.02,0.00
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,1.70,09-17-2019,01:00:00,1007.07,10.00,27.2,95,1001.30,0.0,28.0,000,35.99,1.70
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,0.00,09-17-2019,01:00:00,1006.53,10.00,26.4,94,1000.36,0.0,27.5,000,34.36,0.00
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,0.00,09-17-2019,01:00:00,1008.69,10.00,22.7,86,992.14,0.0,25.2,000,27.54,0.00
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,0.00,09-17-2019,01:00:00,1006.57,10.00,23.1,89,984.11,0.0,25.0,000,28.22,0.00
48376,TAK,ตาก,ตาก,16.87833,99.14333,0.00,09-17-2019,01:00:00,1008.01,7.00,23.9,89,993.55,0.0,25.8,000,29.66,0.00
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,0.00,09-17-2019,01:00:00,1007.59,.00,22.0,83,991.09,0.0,25.0,000,26.43,0.00
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,0.00,09-17-2019,01:00:00,1006.61,10.00,24.8,89,1001.38,0.0,26.8,000,31.27,0.00
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,0.00,09-17-2019,01:00:00,1006.09,10.00,23.9,89,992.86,0.0,25.8,000,29.66,0.00
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,0.00,09-17-2019,01:00:00,1006.74,10.00,24.5,79,997.46,0.0,28.5,000,30.70,0.00
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,0.00,09-17-2019,01:00:00,1007.12,8.00,25.1,88,985.45,3.7,27.2,240,31.77,0.00
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,0.00,09-17-2019,01:00:00,1005.83,10.00,24.1,84,988.35,0.0,27.0,000,30.02,0.00
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,0.00,09-17-2019,01:00:00,1006.68,10.00,23.8,80,990.89,0.0,27.6,000,29.52,0.00
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,0.00,09-17-2019,01:00:00,1006.13,7.00,24.6,92,987.21,0.0,26.0,000,30.84,0.00
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,0.00,09-17-2019,01:00:00,1009.62,6.00,21.4,95,957.68,0.0,22.2,000,25.53,0.00
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,0.00,09-17-2019,01:00:00,1006.70,7.00,26.3,88,1002.76,9.3,28.4,140,34.19,0.00
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,0.00,09-17-2019,01:00:00,1009.39,4.00,18.3,95,913.34,0.0,19.1,000,21.00,0.00
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,0.00,09-17-2019,01:00:00,1006.88,8.00,26.0,94,990.90,0.0,27.0,000,33.62,0.00
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,0.00,09-17-2019,01:00:00,1007.65,10.00,24.8,84,1003.62,0.0,27.8,000,31.28,0.00
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,0.00,09-17-2019,01:00:00,1008.51,7.00,23.8,88,997.78,0.0,26.0,000,29.50,0.00
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,0.00,09-17-2019,01:00:00,1007.93,6.00,24.3,88,1006.00,0.0,26.5,000,30.43,0.00
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,0.00,09-17-2019,01:00:00,1007.11,10.00,24.1,88,986.20,0.0,26.3,000,30.05,0.00
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,0.00,09-17-2019,01:00:00,1006.33,10.00,25.6,90,988.70,0.0,27.3,000,32.81,0.00
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,0.00,09-17-2019,01:00:00,1006.10,10.00,25.4,86,990.01,0.0,28.0,000,32.52,0.00
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,0.00,09-17-2019,01:00:00,1006.79,10.00,25.1,83,992.82,0.0,28.2,000,31.79,0.00
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,0.00,09-17-2019,01:00:00,1007.12,8.00,25.7,94,992.28,0.0,26.7,000,33.02,0.00
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,0.00,09-17-2019,01:00:00,1006.88,10.00,26.7,94,992.25,5.6,27.8,240,34.98,0.00
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,0.00,09-17-2019,01:00:00,1007.11,10.00,24.8,87,1004.09,0.0,27.2,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",31.22,0.60
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,0.00,09-17-2019,01:00:00,1007.19,7.00,24.6,89,999.22,0.0,26.6,000,30.89,0.00
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,2.10,09-17-2019,01:00:00,1007.72,7.00,24.9,93,1006.61,0.0,26.2,000,31.49,16.80
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,0.00,09-17-2019,01:00:00,1006.98,8.00,25.6,92,992.30,0.0,27.0,000,32.77,16.00
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,0.00,09-17-2019,01:00:00,1008.78,8.00,19.3,96,873.73,3.7,19.9,160,22.32,3.60
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,0.00,09-17-2019,01:00:00,1007.42,10.00,24.3,90,1001.52,0.0,26.0,000,30.30,0.00
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,0.00,09-17-2019,01:00:00,1007.45,8.00,25.4,93,1006.65,3.7,26.5,060,32.35,14.60
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,0.00,09-17-2019,01:00:00,1006.99,10.00,24.0,78,1006.54,0.0,28.2,000,29.85,0.20
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,0.00,09-17-2019,01:00:00,1008.42,4.00,24.0,92,997.05,0.0,25.5,000,29.91,1.20
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,0.00,09-17-2019,01:00:00,1007.86,10.00,24.8,87,1006.84,0.0,27.1,000,31.30,0.10
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,2.70,09-17-2019,01:00:00,1007.24,7.00,24.4,96,1005.41,0.0,25.1,000,30.50,44.60
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,0.00,09-17-2019,01:00:00,1007.62,4.00,24.9,87,1006.86,0.0,27.2,000,31.49,0.00
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,0.00,09-17-2019,01:00:00,1007.28,10.00,25.4,89,1006.57,5.6,27.4,100,32.45,24.00
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,0.00,09-17-2019,01:00:00,1006.93,7.00,25.9,92,1006.23,0.0,27.3,000,33.38,0.00
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,0.00,09-17-2019,01:00:00,1007.18,10.00,23.7,85,985.99,3.7,26.5,270,29.35,0.00
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,0.00,09-17-2019,01:00:00,1006.78,7.00,24.9,88,990.08,0.0,27.1,000,31.58,0.00
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,0.00,09-17-2019,01:00:00,1007.29,7.00,25.1,92,990.83,0.0,26.5,000,31.79,0.00
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,0.00,09-17-2019,01:00:00,1009.02,10.00,23.9,89,987.04,0.0,25.9,000,29.58,0.00
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,0.00,09-17-2019,01:00:00,1007.81,10.00,23.4,97,964.09,0.0,23.8,000,28.69,21.50
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,0.00,09-17-2019,01:00:00,1006.85,10.00,23.5,88,986.20,0.0,25.6,000,29.03,0.00
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,0.00,09-17-2019,01:00:00,1008.22,8.00,25.8,100,987.30,5.6,25.8,230,33.20,0.20
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,0.00,09-17-2019,01:00:00,1007.07,10.00,24.8,85,1006.64,11.1,27.5,360,31.25,0.00
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,1.50,09-17-2019,01:00:00,1007.09,6.00,25.1,96,1005.67,0.0,25.8,000,31.82,2.40
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,0.00,09-17-2019,01:00:00,1007.68,12.00,24.3,88,1004.38,0.0,26.5,000,30.43,0.00
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,0.00,09-17-2019,01:00:00,1007.60,10.00,25.7,93,1006.49,3.7,27.0,120,33.06,0.00
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,0.00,09-17-2019,01:00:00,1007.13,10.00,26.0,91,1006.83,0.0,27.6,000,33.70,18.00
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,0.00,09-17-2019,01:00:00,1006.49,10.00,26.5,98,1006.00,1.9,26.8,150,34.64,87.70
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,0.00,09-17-2019,01:00:00,1007.45,10.00,26.6,95,1006.04,7.4,27.4,050,34.73,0.01
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,0.00,09-17-2019,01:00:00,1008.89,10.00,24.8,96,1000.83,0.0,25.5,000,31.25,0.00
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,0.00,09-17-2019,01:00:00,1007.02,10.00,25.9,94,1006.74,0.0,27.0,000,33.34,0.20
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,0.00,09-17-2019,01:00:00,1007.11,10.00,25.4,88,1003.98,0.0,27.5,000,32.36,0.00
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,0.00,09-17-2019,01:00:00,1007.46,10.00,24.6,84,1000.53,9.3,27.5,240,30.97,0.00
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,0.00,09-17-2019,01:00:00,1007.36,7.00,25.7,94,1001.75,0.0,26.8,000,32.94,0.20
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,0.00,09-17-2019,01:00:00,1008.42,10.00,23.5,83,1007.16,7.4,26.6,320,29.00,0.00
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,0.00,09-17-2019,01:00:00,1007.25,11.00,24.0,83,1006.82,5.6,27.0,320,29.75,0.00
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,0.00,09-17-2019,01:00:00,1007.57,10.00,22.6,88,995.21,0.0,24.7,000,27.44,0.00
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,0.00,09-17-2019,01:00:00,1007.15,10.00,22.9,80,1006.44,0.0,26.7,000,27.86,0.00
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,0.00,09-17-2019,01:00:00,1007.12,10.00,23.5,79,1004.69,11.1,27.4,220,28.88,0.01
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,0.00,09-17-2019,01:00:00,1007.42,10.00,24.6,82,1006.90,5.6,28.0,250,30.84,0.30
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,0.00,09-17-2019,01:00:00,1007.27,10.00,25.4,88,1002.13,0.0,27.5,000,32.36,16.90
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,0.00,09-17-2019,01:00:00,1007.41,7.00,25.3,96,1007.00,0.0,26.0,000,32.20,1.00
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,0.20,09-17-2019,01:00:00,1007.60,8.00,25.4,97,1004.82,0.0,25.8,000,32.37,13.10
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,0.00,09-17-2019,01:00:00,1005.78,10.00,22.1,77,1005.00,0.0,26.4,000,26.56,22.80
48501,TRAD,ตราด,ตราด,11.76667,102.88333,1.80,09-17-2019,01:00:00,1007.29,6.00,24.7,97,1006.83,1.9,25.1,090,31.04,66.50
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,0.30,09-17-2019,01:00:00,1008.59,7.00,24.3,96,1007.90,0.0,25.0,000,30.32,2.10
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,0.00,09-17-2019,01:00:00,1008.17,7.00,23.4,90,1006.64,0.0,25.2,000,28.83,2.60
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,0.00,09-17-2019,01:00:00,1009.20,10.00,23.3,92,1008.27,0.0,24.8,000,28.64,74.90
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,0.00,09-17-2019,01:00:00,1008.67,10.00,24.0,92,1007.98,0.0,25.5,000,29.91,1.50
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,0.00,09-17-2019,01:00:00,1008.92,7.00,23.8,96,1008.12,0.0,24.5,000,29.41,2.90
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,0.00,09-17-2019,01:00:00,1007.82,10.00,23.8,96,1007.18,0.0,24.5,000,29.41,1.70
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,0.00,09-17-2019,01:00:00,1009.43,10.00,23.5,95,1009.03,0.0,24.4,000,28.97,4.00
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,0.00,09-17-2019,01:00:00,1010.73,5.00,23.7,95,1006.47,0.0,24.6,000,29.33,1.50
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,0.00,09-17-2019,01:00:00,1009.11,10.00,23.6,98,1007.48,0.0,23.9,000,29.12,9.50
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,0.00,09-17-2019,01:00:00,1009.33,10.00,23.8,96,1005.82,0.0,24.5,000,29.41,17.90
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,0.00,09-17-2019,01:00:00,1008.68,6.00,23.7,87,1007.32,9.3,26.0,300,29.23,0.00
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,0.00,09-17-2019,01:00:00,1009.17,10.00,24.4,98,1008.28,0.0,24.7,000,30.56,34.20
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,0.00,09-17-2019,01:00:00,1008.76,10.00,23.7,97,1005.16,0.0,24.3,000,29.31,15.80
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,0.00,09-17-2019,01:00:00,1008.02,10.00,24.6,89,1007.58,0.0,26.6,000,30.89,1.80
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,0.00,09-17-2019,01:00:00,1008.59,9.00,24.3,80,1007.60,13.0,28.2,260,30.40,15.80
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,0.00,09-17-2019,01:00:00,1008.26,10.00,24.4,80,1007.45,18.5,28.1,290,30.48,2.00
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,0.00,09-17-2019,01:00:00,1008.83,10.00,23.7,90,1007.00,0.0,25.5,000,29.38,0.90
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,0.00,09-17-2019,01:00:00,1008.70,10.00,23.2,85,1007.94,7.4,25.8,240,28.34,0.00
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,0.20,09-17-2019,01:00:00,1009.26,10.00,22.8,93,1005.22,0.0,24.0,000,27.76,0.20
48570,SATUN,สตูล,สตูล,6.65000,100.08333,1.80,09-17-2019,01:00:00,1009.25,10.00,23.8,95,1008.56,0.0,24.7,000,29.51,31.90
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,0.00,09-17-2019,01:00:00,1009.43,10.00,23.8,90,1008.30,0.0,25.6,000,29.56,0.00
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,1.80,09-17-2019,01:00:00,1009.53,10.00,24.4,95,1006.59,0.0,25.3,000,30.60,5.50
