WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,DewPoint,Date,Time,WindSpeed,WindDirection,AirTemperature,VaporPressure,StationPressure,Rainfall24Hr,MeanSeaLevelPressure,LandVisibility,Rainfall,RelativeHumidity
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,23.9,10-13-2019,01:00:00,0.0,000,25.2,29.62,991.97,0.00,1009.79,10.00,0.00,92
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,25.3,10-13-2019,01:00:00,7.4,010,27.2,32.33,996.13,0.00,1010.19,10.00,0.00,90
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,24.7,10-13-2019,01:00:00,0.0,000,25.9,31.19,995.36,0.00,1010.29,7.00,0.00,93
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,25.6,10-13-2019,01:00:00,3.7,240,26.2,32.87,995.57,0.20,1010.33,6.00,0.00,97
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,25.4,10-13-2019,01:00:00,0.0,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",27.1,32.41,1006.77,0.00,1009.79,7.00,0.00,90
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,23.5,10-13-2019,01:00:00,0.0,000,24.5,28.89,1001.81,4.60,1009.85,8.00,0.00,94
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,24.4,10-13-2019,01:00:00,3.7,100,25.9,30.65,1009.12,0.00,1010.23,8.00,0.00,92
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,24.1,10-13-2019,01:00:00,3.7,090,26.9,30.10,995.19,0.00,1009.92,8.00,0.00,85
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,17.7,10-13-2019,01:00:00,0.0,000,17.7,20.23,876.53,26.60,1013.09,9.00,0.00,100
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,23.5,10-13-2019,01:00:00,0.0,000,24.2,28.88,1004.37,15.00,1010.33,10.00,0.00,96
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,25.0,10-13-2019,01:00:00,0.0,000,26.7,31.63,1008.48,0.00,1009.29,7.00,0.00,90
