WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindDirection,Date,Time,WindSpeed,MinimumTemperature,Rainfall,LandVisibility,StationPressure,DewPoint,MeanSeaLevelPressure,Rainfall24Hr,RelativeHumidity,AirTemperature,VaporPressure
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,000,08-06-2019,07:00:00,0.0,26.5,0.00,10.00,1006.77,24.8,1007.18,0.00,88,27.0,31.38
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,000,08-06-2019,07:00:00,0.0,25.2,0.00,6.00,1005.36,23.2,1009.57,2.50,77,27.6,28.45
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,000,08-06-2019,07:00:00,0.0,24.0,0.00,4.00,1006.26,24.7,1007.88,0.00,98,25.0,31.12
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,000,08-06-2019,07:00:00,0.0,24.7,0.00,8.00,1004.99,24.3,1008.49,0.00,96,25.0,30.32
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,000,08-06-2019,07:00:00,0.0,25.9,0.00,9.00,1006.32,24.7,1007.68,0.00,93,25.9,31.19
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,240,08-06-2019,07:00:00,14.8,28.5,0.00,10.00,1007.39,23.7,1008.27,2.70,74,28.8,29.35
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,270,08-06-2019,07:00:00,7.4,23.8,0.00,10.00,1004.43,22.6,1008.00,0.00,77,27.0,27.36
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,270,08-06-2019,07:00:00,7.4,29.0,0.00,10.00,1007.13,23.2,1007.56,0.00,70,29.3,28.40
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,270,08-06-2019,07:00:00,9.3,27.5,0.00,10.00,1006.52,22.7,1007.50,0.00,65,30.0,27.55
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,270,08-06-2019,07:00:00,14.8,29.0,0.00,10.00,1007.32,25.4,1008.13,6.20,80,29.2,32.38
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,000,08-06-2019,07:00:00,0.0,25.8,0.00,7.00,1006.32,25.2,1008.14,6.10,95,26.1,32.12
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,300,08-06-2019,07:00:00,1.9,26.9,0.00,7.00,1007.03,24.6,1007.78,0.00,84,27.6,30.89
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,000,08-06-2019,07:00:00,0.0,24.1,0.00,4.00,1003.69,24.7,1007.71,0.00,97,25.3,31.14
48570,SATUN,สตูล,สตูล,6.65000,100.08333,000,08-06-2019,07:00:00,0.0,25.7,0.00,8.00,1007.19,25.1,1007.88,0.00,94,26.1,31.85
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,000,08-06-2019,07:00:00,0.0,23.5,0.00,10.00,1006.51,25.5,1007.63,0.00,94,26.5,32.63
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,000,08-06-2019,07:00:00,0.0,22.9,0.00,8.00,1004.79,24.2,1007.74,0.00,97,24.8,30.22
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,000,08-06-2019,07:00:00,0.0,25.0,0.00,7.00,1006.75,24.7,1007.45,0.00,95,25.6,31.17
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,240,08-06-2019,07:00:00,11.1,24.2,0.00,5.00,1003.82,23.0,1007.98,0.00,91,24.5,28.11
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,240,08-06-2019,07:00:00,7.4,.0,0.00,9.00,1006.82,22.0,1007.41,0.00,83,25.0,26.43
