WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MeanSeaLevelPressure,Date,Time,WindDirection,DewPoint,RelativeHumidity,Rainfall24Hr,WindSpeed,AirTemperature,Rainfall,MinimumTemperature,LandVisibility,StationPressure,VaporPressure
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,1008.12,07-29-2019,07:00:00,000,23.2,94,1.20,0.0,24.2,0.00,24.0,7.00,972.35,28.36
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,1006.24,07-29-2019,07:00:00,000,24.0,88,0.00,0.0,26.2,0.00,25.0,12.00,976.54,29.86
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,1007.36,07-29-2019,07:00:00,000,24.3,88,0.01,0.0,26.5,0.00,26.3,8.00,1000.04,30.43
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,1005.70,07-29-2019,07:00:00,340,25.9,85,0.00,3.7,28.6,0.00,28.4,12.00,985.95,33.45
48353,LOEI,เลย,เลย,17.45000,101.73333,1006.55,07-29-2019,07:00:00,000,23.3,88,1.70,0.0,25.5,0.00,25.3,10.00,977.81,28.59
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,1006.26,07-29-2019,07:00:00,000,23.9,82,0.00,0.0,27.2,0.00,25.7,12.00,986.13,29.58
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,1006.50,07-29-2019,07:00:00,210,23.0,80,0.40,7.4,26.8,0.00,26.5,10.00,984.79,28.04
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,1006.28,07-29-2019,07:00:00,230,23.9,81,0.00,3.7,27.5,0.00,26.6,12.00,986.85,29.60
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,1007.57,07-29-2019,07:00:00,000,24.1,84,0.00,0.0,27.0,0.00,26.9,10.00,990.83,30.02
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,1007.85,07-29-2019,07:00:00,140,25.1,92,0.00,5.6,26.5,0.00,25.3,10.00,990.41,31.79
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,1005.45,07-29-2019,07:00:00,000,24.3,88,0.60,0.0,26.5,0.00,25.5,11.00,979.69,30.43
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,1006.04,07-29-2019,07:00:00,270,24.0,87,0.00,5.6,26.3,0.00,23.6,10.00,1000.24,29.78
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,1007.53,07-29-2019,07:00:00,000,23.5,91,0.00,0.0,25.1,0.00,25.0,12.00,1001.30,28.92
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,1008.17,07-29-2019,07:00:00,000,24.5,90,0.00,0.0,26.2,0.00,24.6,1.00,991.67,30.67
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,1008.16,07-29-2019,07:00:00,210,22.8,93,0.30,3.7,24.0,0.00,23.2,10.00,985.59,27.76
48376,TAK,ตาก,ตาก,16.87833,99.14333,1008.34,07-29-2019,07:00:00,260,20.7,66,1.00,16.7,27.7,0.00,27.1,10.00,993.97,24.47
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,1007.35,07-29-2019,07:00:00,120,21.8,67,0.00,11.1,28.5,0.00,27.5,7.00,991.05,26.13
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,1007.66,07-29-2019,07:00:00,000,24.5,91,0.00,0.0,26.1,0.00,25.1,10.00,1002.42,30.76
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,1006.44,07-29-2019,07:00:00,000,24.2,95,0.00,0.0,25.1,0.00,24.5,10.00,993.17,30.23
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,1007.48,07-29-2019,07:00:00,000,23.1,84,0.00,0.0,26.0,0.00,25.0,12.00,998.12,28.18
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,1006.92,07-29-2019,07:00:00,210,24.0,81,0.00,3.7,27.6,0.00,26.5,8.00,985.28,29.79
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,1007.32,07-29-2019,07:00:00,180,24.6,89,1.50,5.6,26.5,0.00,25.0,10.00,989.79,30.97
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,1006.22,07-29-2019,07:00:00,180,23.7,86,0.40,3.7,26.3,0.00,26.0,10.00,990.36,29.25
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,1005.72,07-29-2019,07:00:00,200,24.8,80,0.00,9.3,28.5,0.00,27.4,10.00,986.96,31.26
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,1009.87,07-29-2019,07:00:00,000,21.4,93,0.00,0.0,22.6,0.00,21.8,7.00,957.99,25.44
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,1007.36,07-29-2019,07:00:00,000,25.6,90,0.00,0.0,27.3,0.00,25.5,8.00,1003.40,32.81
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,1009.26,07-29-2019,07:00:00,250,19.9,97,0.00,14.8,20.4,0.00,19.7,3.00,913.62,23.26
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,1007.32,07-29-2019,07:00:00,000,24.6,93,0.00,0.0,25.9,0.00,25.4,8.00,991.28,30.92
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,1007.63,07-29-2019,07:00:00,000,25.9,98,1.70,0.0,26.2,0.00,25.4,10.00,1003.58,33.43
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,1009.17,07-29-2019,07:00:00,000,24.6,92,0.00,0.0,26.0,0.00,25.3,9.00,998.43,30.84
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,1008.51,07-29-2019,07:00:00,000,24.7,92,0.20,0.0,26.1,0.00,25.2,12.00,1006.57,31.03
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,1007.68,07-29-2019,07:00:00,000,22.9,75,0.00,0.0,27.7,0.00,26.0,12.00,986.86,27.83
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,1007.50,07-29-2019,07:00:00,200,23.7,90,0.00,14.8,25.5,0.00,24.6,10.00,989.74,29.38
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,1006.92,07-29-2019,07:00:00,200,23.7,89,0.00,9.3,25.7,0.00,25.5,10.00,990.69,29.21
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,1008.47,07-29-2019,07:00:00,160,22.3,87,1.20,3.7,24.7,0.00,24.2,10.00,994.31,26.93
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,1009.47,07-29-2019,07:00:00,000,22.8,91,1.60,0.0,24.4,0.00,23.5,8.00,994.48,27.69
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,1008.43,07-29-2019,07:00:00,000,22.9,88,0.00,0.0,25.1,0.00,24.5,8.00,993.65,27.88
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,1007.49,07-29-2019,07:00:00,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",25.4,93,8.90,0.0,26.7,0.00,25.9,10.00,1004.47,32.46
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,1008.81,07-29-2019,07:00:00,310,23.6,85,0.01,5.6,26.2,0.01,25.8,10.00,1000.82,29.07
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,1008.54,07-29-2019,07:00:00,220,23.4,81,0.00,7.4,26.9,0.00,25.6,8.00,1007.43,28.76
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,1005.12,07-29-2019,07:00:00,000,24.6,92,0.00,0.0,26.0,0.00,24.4,9.00,990.42,30.84
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,1008.96,07-29-2019,07:00:00,190,18.8,98,34.00,5.6,19.1,0.40,18.4,.05,873.54,21.65
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,1008.52,07-29-2019,07:00:00,200,23.6,79,0.00,3.7,27.5,0.00,26.5,10.00,1002.64,29.06
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,1009.20,07-29-2019,07:00:00,240,22.1,70,0.00,7.4,28.0,0.00,26.5,9.00,1008.40,26.54
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,1008.45,07-29-2019,07:00:00,230,24.0,76,0.00,3.7,28.8,0.00,28.6,10.00,1008.01,29.90
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,1009.75,07-29-2019,07:00:00,000,23.6,92,0.20,0.0,24.9,0.00,24.6,8.00,998.34,29.08
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,1008.70,07-29-2019,07:00:00,000,23.0,79,0.00,0.0,27.0,0.00,26.2,10.00,1007.69,28.14
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,1008.55,07-29-2019,07:00:00,000,23.4,83,0.01,0.0,26.6,0.00,26.0,9.00,1006.72,28.74
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,1008.54,07-29-2019,07:00:00,000,23.2,80,0.00,0.0,26.9,0.00,26.0,7.00,1007.77,28.49
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,1009.20,07-29-2019,07:00:00,260,22.1,71,0.00,11.1,27.7,0.00,26.7,10.00,1008.50,26.52
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,1008.95,07-29-2019,07:00:00,000,25.4,93,17.30,0.0,26.5,0.00,25.3,7.00,1008.25,32.35
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,1008.23,07-29-2019,07:00:00,250,23.7,77,0.00,3.7,28.2,0.00,26.8,10.00,987.13,29.30
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,1008.37,07-29-2019,07:00:00,180,23.7,95,11.40,5.6,24.6,0.00,23.0,7.00,991.50,29.33
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,1008.77,07-29-2019,07:00:00,230,23.5,92,23.30,11.1,24.8,0.00,23.5,10.00,992.19,28.90
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,1008.12,07-29-2019,07:00:00,000,23.3,80,0.00,0.0,27.0,0.00,26.6,10.00,986.24,28.67
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,1009.14,07-29-2019,07:00:00,190,21.5,77,0.00,18.5,25.9,0.00,24.7,15.00,965.66,25.70
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,1008.24,07-29-2019,07:00:00,000,23.6,82,0.01,0.0,27.0,0.00,26.0,10.00,987.66,29.21
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,1009.44,07-29-2019,07:00:00,200,24.6,98,23.20,18.5,24.9,0.00,24.0,6.00,988.43,30.93
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,1008.34,07-29-2019,07:00:00,000,23.6,77,0.01,0.0,28.0,0.00,26.7,10.00,1007.91,29.19
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,1008.69,07-29-2019,07:00:00,000,24.4,97,13.70,0.0,25.0,10.00,24.5,8.00,1007.26,30.58
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,1009.15,07-29-2019,07:00:00,000,24.5,91,0.10,0.0,26.1,0.00,25.5,7.00,1004.19,30.76
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,1008.95,07-29-2019,07:00:00,250,22.4,73,0.00,3.7,27.7,0.00,26.2,12.00,1005.66,27.04
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,1008.96,07-29-2019,07:00:00,000,23.4,85,0.00,0.0,26.0,0.00,24.0,10.00,1007.85,28.70
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,1008.86,07-29-2019,07:00:00,000,23.0,76,0.00,0.0,27.7,0.00,27.5,10.00,1008.56,28.10
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,1008.83,07-29-2019,07:00:00,000,23.1,76,0.00,0.0,27.8,0.00,27.3,10.00,1008.15,28.28
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,1009.54,07-29-2019,07:00:00,000,23.6,79,0.00,0.0,27.5,0.00,27.5,10.00,1009.05,29.06
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,1009.00,07-29-2019,07:00:00,260,22.4,71,0.00,16.7,28.2,0.00,27.9,10.00,1007.59,27.16
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,1008.76,07-29-2019,07:00:00,240,24.6,76,0.01,11.1,29.3,0.00,29.1,10.00,1007.10,30.88
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,1010.75,07-29-2019,07:00:00,000,24.6,92,0.00,0.0,26.0,0.00,26.0,10.00,1002.69,30.84
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,1008.79,07-29-2019,07:00:00,000,24.6,76,0.00,0.0,29.3,0.00,28.4,10.00,1008.50,30.88
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,1008.58,07-29-2019,07:00:00,260,23.7,71,0.00,7.4,29.5,0.00,28.5,12.00,1005.47,29.33
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,1008.98,07-29-2019,07:00:00,000,23.2,71,0.00,0.0,29.0,0.00,28.5,10.00,1002.07,28.37
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,1009.10,07-29-2019,07:00:00,000,23.6,84,0.00,0.0,26.5,0.00,26.0,7.00,1003.48,29.08
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,1009.83,07-29-2019,07:00:00,290,28.2,100,0.00,18.5,28.2,0.00,28.2,12.00,1000.53,38.23
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,1009.25,07-29-2019,07:00:00,000,24.1,88,1.90,0.0,26.3,0.00,25.1,12.00,1007.98,30.05
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,1009.01,07-29-2019,07:00:00,260,22.1,71,0.00,14.8,27.9,0.00,26.9,11.00,1008.58,26.62
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,1009.72,07-29-2019,07:00:00,000,21.9,80,0.00,0.0,25.6,0.00,24.4,8.00,997.38,26.19
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,1009.14,07-29-2019,07:00:00,240,23.7,77,0.00,7.4,28.1,0.00,27.0,10.00,1008.42,29.38
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,1009.41,07-29-2019,07:00:00,240,22.9,68,0.00,3.7,29.5,0.00,28.2,10.00,1006.99,27.96
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,1009.00,07-29-2019,07:00:00,260,24.6,82,7.50,13.0,28.0,0.40,25.6,10.00,1008.48,30.84
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,1009.11,07-29-2019,07:00:00,000,23.3,76,0.00,0.0,28.0,0.00,27.7,11.00,1003.96,28.65
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,1009.64,07-29-2019,07:00:00,000,23.9,95,10.10,0.0,24.8,5.10,24.1,6.00,1009.22,29.69
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,1009.62,07-29-2019,07:00:00,000,24.1,97,10.70,0.0,24.5,9.20,24.0,8.00,1006.82,29.93
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,1010.43,07-29-2019,07:00:00,270,22.6,74,0.00,7.4,27.8,0.00,27.2,10.00,1009.65,27.49
48501,TRAD,ตราด,ตราด,11.76667,102.88333,1009.86,07-29-2019,07:00:00,300,23.0,91,35.30,1.9,24.5,0.20,23.4,7.00,1009.40,28.11
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,1010.49,07-29-2019,07:00:00,000,23.8,88,0.01,0.0,26.0,0.00,25.0,8.00,1009.80,29.50
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,1009.98,07-29-2019,07:00:00,000,23.8,96,0.60,0.0,24.5,0.00,24.5,7.00,1008.44,29.41
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,1011.05,07-29-2019,07:00:00,000,23.6,93,44.60,0.0,24.8,13.70,24.6,7.00,1010.12,29.16
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,1010.02,07-29-2019,07:00:00,000,23.8,80,1.20,0.0,27.6,0.00,24.8,10.00,1009.33,29.52
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,1010.97,07-29-2019,07:00:00,000,23.9,97,0.10,0.0,24.5,0.00,24.2,8.00,1010.16,29.67
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,1009.63,07-29-2019,07:00:00,350,24.1,92,0.00,5.6,25.4,0.00,24.7,10.00,1008.99,29.99
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,1010.32,07-29-2019,07:00:00,000,24.4,94,0.00,0.0,25.4,0.00,24.6,10.00,1009.91,30.52
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,1012.32,07-29-2019,07:00:00,000,23.7,95,0.00,0.0,24.6,0.00,24.4,6.00,1008.05,29.33
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,1009.03,07-29-2019,07:00:00,000,23.3,96,4.20,0.0,24.0,0.00,22.8,6.00,1007.40,28.53
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,1010.86,07-29-2019,07:00:00,000,23.8,96,12.00,0.0,24.5,0.00,24.3,8.00,1007.34,29.41
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,1010.25,07-29-2019,07:00:00,000,23.6,99,0.00,0.0,23.8,0.00,23.8,8.00,1008.88,29.20
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,1010.11,07-29-2019,07:00:00,000,24.3,93,1.60,0.0,25.6,0.00,25.2,10.00,1009.21,30.36
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,1011.08,07-29-2019,07:00:00,000,23.9,97,7.10,0.0,24.5,0.00,23.5,10.00,1007.48,29.67
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,1010.42,07-29-2019,07:00:00,000,24.0,88,0.00,0.0,26.2,0.00,25.8,10.00,1009.98,29.86
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,1010.11,07-29-2019,07:00:00,300,23.2,72,0.01,11.1,28.7,0.00,23.6,10.00,1009.12,28.35
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,1010.74,07-29-2019,07:00:00,260,23.4,73,0.00,18.5,28.8,0.00,25.0,10.00,1009.93,28.81
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,1010.92,07-29-2019,07:00:00,000,23.9,96,0.00,0.0,24.6,0.00,24.3,10.00,1009.09,29.59
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,1010.57,07-29-2019,07:00:00,000,22.8,82,0.00,0.0,26.2,0.00,25.3,10.00,1009.81,27.75
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,1010.63,07-29-2019,07:00:00,210,23.4,93,0.00,3.7,24.6,0.00,22.3,10.00,1006.59,28.81
48570,SATUN,สตูล,สตูล,6.65000,100.08333,1011.32,07-29-2019,07:00:00,000,23.1,92,0.00,0.0,24.4,0.00,23.5,10.00,1010.63,28.20
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,1010.36,07-29-2019,07:00:00,000,23.7,94,0.00,0.0,24.7,0.00,23.8,10.00,1009.24,29.25
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,1010.82,07-29-2019,07:00:00,000,23.3,98,0.00,0.0,23.6,0.00,22.1,10.00,1007.85,28.60
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,1010.12,07-29-2019,07:00:00,000,23.7,94,0.00,0.0,24.7,0.00,24.0,10.00,1009.42,29.25
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,1010.94,07-29-2019,07:00:00,250,22.7,91,0.00,7.4,24.2,0.00,23.4,8.00,1006.77,27.60
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,1010.06,07-29-2019,07:00:00,240,23.2,90,0.00,7.4,25.0,0.00,.0,9.00,1009.47,28.48
