WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindDirection,Date,Time,MeanSeaLevelPressure,WindSpeed,AirTemperature,Rainfall24Hr,DewPoint,VaporPressure,Rainfall,StationPressure,RelativeHumidity,LandVisibility
48331,NAN,น่าน,น่าน,18.77972,100.77778,000,10-04-2019,13:00:00,1007.64,0.0,33.7,0.00,23.8,29.54,0.00,985.34,56,10.00
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,000,10-04-2019,13:00:00,1007.77,0.0,32.9,0.00,24.2,30.20,0.00,978.50,60,12.00
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,000,10-04-2019,13:00:00,1007.96,0.0,32.6,0.00,24.0,29.87,0.00,973.16,61,8.00
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,120,10-04-2019,13:00:00,1008.13,13.0,30.8,0.00,23.9,29.65,0.00,978.82,67,8.00
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,000,10-04-2019,13:00:00,1008.05,0.0,34.5,0.00,24.6,30.93,0.00,1000.92,57,8.00
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,350,10-04-2019,13:00:00,1010.16,9.3,27.6,0.00,23.1,28.18,0.00,990.25,76,5.00
48353,LOEI,เลย,เลย,17.45000,101.73333,080,10-04-2019,13:00:00,1008.21,11.1,30.6,0.00,23.0,28.15,0.00,979.89,64,8.00
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,110,10-04-2019,13:00:00,1011.11,5.6,26.5,0.20,20.9,24.70,0.20,990.84,71,8.00
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,080,10-04-2019,13:00:00,1009.81,5.6,30.0,0.00,23.5,28.91,0.00,988.26,68,8.00
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,030,10-04-2019,13:00:00,1009.22,11.1,31.0,0.00,23.3,28.65,0.00,989.96,64,12.00
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,090,10-04-2019,13:00:00,1009.60,7.4,31.0,0.01,20.8,24.60,0.00,993.04,55,12.00
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,120,10-04-2019,13:00:00,1009.79,3.7,32.9,0.50,23.6,29.05,0.10,992.68,58,12.00
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,330,10-04-2019,13:00:00,1008.30,11.1,24.0,6.20,22.5,27.25,6.20,982.25,91,10.00
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,240,10-04-2019,13:00:00,1008.99,3.7,33.3,0.00,26.2,34.02,0.00,1003.31,67,8.00
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,240,10-04-2019,13:00:00,1008.31,11.1,34.0,0.00,24.8,31.34,0.00,1002.26,59,8.00
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,000,10-04-2019,13:00:00,1008.76,0.0,33.8,0.00,23.5,28.88,0.00,992.66,55,9.00
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,270,10-04-2019,13:00:00,1008.60,5.6,32.1,0.00,23.4,28.86,0.00,986.62,60,10.00
48376,TAK,ตาก,ตาก,16.87833,99.14333,110,10-04-2019,13:00:00,1008.84,3.7,34.0,0.00,24.0,29.87,0.00,994.76,56,7.00
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,120,10-04-2019,13:00:00,1008.20,9.3,34.5,0.00,23.0,28.02,0.00,992.20,51,10.00
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,230,10-04-2019,13:00:00,1008.33,13.0,33.0,0.00,25.3,32.16,0.00,1003.20,64,8.00
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,000,10-04-2019,13:00:00,1006.74,0.0,35.0,0.00,24.1,29.92,0.00,993.89,53,10.00
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,000,10-04-2019,13:00:00,1008.33,0.0,33.0,0.00,24.3,30.40,0.00,999.17,60,10.00
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,180,10-04-2019,13:00:00,1007.96,3.7,34.7,0.00,22.4,27.06,0.00,986.80,49,7.00
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,040,10-04-2019,13:00:00,1008.78,11.1,33.0,0.00,23.7,29.25,0.00,991.59,58,12.00
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,200,10-04-2019,13:00:00,1008.68,3.7,32.5,0.00,23.1,28.25,0.00,993.10,58,12.00
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,170,10-04-2019,13:00:00,1007.61,1.9,33.1,0.00,25.2,32.08,0.00,989.10,63,7.00
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,000,10-04-2019,13:00:00,1007.59,0.0,31.4,0.00,22.0,26.40,0.00,957.27,57,11.00
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,190,10-04-2019,13:00:00,1008.16,5.6,33.0,0.00,24.0,29.83,0.00,1004.27,59,3.00
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,250,10-04-2019,13:00:00,1008.35,7.4,27.5,4.20,21.2,25.14,0.00,914.92,69,7.00
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,210,10-04-2019,13:00:00,1009.09,14.8,29.0,0.01,24.1,30.01,0.01,993.18,75,8.00
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,070,10-04-2019,13:00:00,1008.96,3.7,33.7,5.90,25.6,32.78,0.00,1005.01,63,9.00
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,000,10-04-2019,13:00:00,1009.41,0.0,33.5,0.00,23.8,29.41,0.00,998.93,57,9.00
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,210,10-04-2019,13:00:00,1009.47,3.7,35.0,0.00,24.4,30.52,0.00,1007.59,54,10.00
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,220,10-04-2019,13:00:00,1007.98,7.4,35.0,0.00,23.6,29.05,0.00,987.64,52,7.00
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,210,10-04-2019,13:00:00,1009.37,7.4,27.3,0.00,23.4,28.69,0.00,991.68,79,10.00
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,180,10-04-2019,13:00:00,1009.23,11.1,30.3,0.00,24.4,30.62,0.00,993.21,71,10.00
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,130,10-04-2019,13:00:00,1008.94,9.3,32.4,0.50,22.5,27.22,0.00,995.13,56,10.00
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,000,10-04-2019,13:00:00,1009.60,0.0,32.5,0.00,23.9,29.66,0.00,995.00,61,12.00
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,000,10-04-2019,13:00:00,1008.96,0.0,32.0,19.10,25.7,32.99,0.00,994.50,69,10.00
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",10-04-2019,13:00:00,1009.12,0.0,33.9,0.00,24.9,31.42,0.00,1006.17,59,10.00
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,150,10-04-2019,13:00:00,1008.38,3.7,34.7,0.00,25.6,32.87,0.00,1000.62,59,10.00
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,200,10-04-2019,13:00:00,1008.94,5.6,34.0,0.00,25.6,32.84,0.00,1007.85,62,9.00
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,000,10-04-2019,13:00:00,1009.49,0.0,30.8,0.00,25.7,33.09,0.00,994.95,75,8.00
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,130,10-04-2019,13:00:00,1011.66,1.9,19.0,48.80,18.8,21.73,40.00,875.84,99,2.00
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,000,10-04-2019,13:00:00,1008.39,0.0,34.5,26.60,24.6,30.93,0.00,1002.65,57,8.00
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,330,10-04-2019,13:00:00,1008.93,5.6,34.0,8.60,25.6,32.84,0.00,1008.15,62,8.00
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,210,10-04-2019,13:00:00,1009.32,13.0,32.2,3.40,26.2,34.02,0.00,1008.88,71,10.00
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,000,10-04-2019,13:00:00,1009.12,0.0,34.6,0.00,23.1,28.22,0.00,998.07,51,10.00
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,180,10-04-2019,13:00:00,1008.98,3.7,34.2,0.00,22.3,26.85,0.00,1007.99,50,10.00
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,200,10-04-2019,13:00:00,1009.01,3.7,34.0,0.00,25.6,32.84,0.00,1007.23,62,7.00
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,000,10-04-2019,13:00:00,1008.50,0.0,34.4,0.00,24.5,30.71,0.00,1007.75,56,12.00
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,200,10-04-2019,13:00:00,1009.08,18.5,33.3,0.00,23.4,28.72,0.00,1008.39,56,9.00
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,200,10-04-2019,13:00:00,1009.17,3.7,35.1,0.00,24.8,31.33,0.00,1008.49,55,8.00
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,270,10-04-2019,13:00:00,1008.58,9.3,34.0,0.40,24.0,29.87,0.00,987.87,56,8.00
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,120,10-04-2019,13:00:00,1009.50,5.6,30.4,1.10,24.9,31.39,0.01,992.93,72,10.00
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,180,10-04-2019,13:00:00,1010.02,9.3,32.2,27.10,24.0,29.91,0.00,993.82,62,10.00
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,150,10-04-2019,13:00:00,1008.85,7.4,32.6,0.00,24.2,30.16,0.00,987.36,61,6.00
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,260,10-04-2019,13:00:00,1008.87,11.1,29.3,0.30,21.4,25.47,0.01,965.88,63,8.00
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,040,10-04-2019,13:00:00,1008.86,5.6,31.5,0.60,24.4,30.49,0.40,988.56,66,10.00
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,170,10-04-2019,13:00:00,1011.14,9.3,32.2,0.00,26.1,33.72,0.00,990.59,70,7.00
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",10-04-2019,13:00:00,1009.07,0.0,31.0,0.00,26.0,33.52,0.00,1008.64,75,10.00
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,000,10-04-2019,13:00:00,1009.07,0.0,33.4,8.20,24.8,31.24,0.00,1007.68,61,10.00
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,000,10-04-2019,13:00:00,1009.78,0.0,26.5,18.00,25.1,31.79,16.90,1004.82,92,8.00
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,180,10-04-2019,13:00:00,1008.74,9.3,34.4,1.80,21.6,25.85,0.00,1005.52,48,12.00
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,230,10-04-2019,13:00:00,1009.09,3.7,34.3,0.00,24.7,31.09,0.00,1008.00,57,10.00
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,290,10-04-2019,13:00:00,1009.47,9.3,27.0,2.70,24.3,30.29,2.70,1009.17,85,8.00
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,020,10-04-2019,13:00:00,1012.62,3.7,29.5,10.20,26.4,34.46,10.20,1011.94,84,10.00
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,240,10-04-2019,13:00:00,1009.14,7.4,26.2,14.00,24.5,30.67,14.00,1008.65,90,10.00
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,210,10-04-2019,13:00:00,1010.13,18.5,25.4,15.80,23.9,29.72,15.80,1008.71,92,3.00
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,210,10-04-2019,13:00:00,1009.66,11.1,30.4,0.00,27.4,36.41,0.00,1007.99,84,5.00
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,230,10-04-2019,13:00:00,1011.00,3.7,31.8,36.10,25.8,33.15,0.00,1003.09,71,10.00
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,080,10-04-2019,13:00:00,1009.55,5.6,26.0,14.20,24.6,30.84,14.20,1009.26,92,2.00
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,000,10-04-2019,13:00:00,1009.02,0.0,30.0,0.00,26.1,33.75,0.00,1005.91,80,10.00
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,210,10-04-2019,13:00:00,1009.45,5.6,30.5,0.00,24.8,31.31,0.00,1002.57,72,10.00
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,030,10-04-2019,13:00:00,1009.83,11.1,31.8,1.10,25.3,32.27,0.00,1004.31,69,8.00
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,210,10-04-2019,13:00:00,1009.66,9.3,32.3,0.01,25.6,32.74,0.00,1000.48,68,8.00
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,210,10-04-2019,13:00:00,1009.84,7.4,33.9,0.00,25.6,32.92,0.00,1008.60,62,14.00
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,150,10-04-2019,13:00:00,1009.18,9.3,33.8,0.00,27.2,36.08,0.00,1008.75,69,11.00
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,130,10-04-2019,13:00:00,1009.33,11.1,31.8,0.70,25.0,31.68,0.00,997.24,67,8.00
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,110,10-04-2019,13:00:00,1009.40,5.6,31.3,0.00,25.5,32.68,0.00,1008.69,72,10.00
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,170,10-04-2019,13:00:00,1009.60,7.4,30.5,0.00,24.7,31.03,0.00,1007.19,71,8.00
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,200,10-04-2019,13:00:00,1009.76,9.3,31.8,0.00,25.3,32.27,0.00,1009.24,69,9.00
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,170,10-04-2019,13:00:00,1009.32,1.9,30.2,2.30,24.2,30.14,0.30,1004.21,70,11.00
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,200,10-04-2019,13:00:00,1009.22,9.3,33.0,0.00,25.3,32.16,0.00,1008.81,64,8.00
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,000,10-04-2019,13:00:00,1009.53,0.0,30.5,0.00,25.1,31.88,0.00,1006.79,73,8.00
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,000,10-04-2019,13:00:00,1009.31,0.0,33.4,0.00,25.4,32.43,0.00,1008.54,63,10.00
48501,TRAD,ตราด,ตราด,11.76667,102.88333,220,10-04-2019,13:00:00,1009.55,9.3,33.0,0.00,24.8,31.28,0.00,1009.10,62,8.00
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,000,10-04-2019,13:00:00,1009.42,0.0,32.2,0.00,25.6,32.82,0.00,1008.75,68,8.00
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,070,10-04-2019,13:00:00,1009.72,7.4,33.6,2.40,23.2,28.47,0.00,1008.22,55,10.00
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,270,10-04-2019,13:00:00,1010.07,9.3,33.2,0.00,23.3,28.52,0.00,1009.17,56,10.00
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,000,10-04-2019,13:00:00,1010.40,0.0,29.9,0.00,24.6,30.95,0.00,1009.72,73,10.00
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,000,10-04-2019,13:00:00,1009.92,0.0,32.7,0.00,23.5,28.93,0.00,1009.14,58,10.00
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,100,10-04-2019,13:00:00,1009.13,11.1,33.4,0.00,23.0,28.07,0.00,1008.51,55,10.00
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,000,10-04-2019,13:00:00,1009.39,0.0,33.7,62.20,25.0,31.59,0.00,1009.00,60,15.00
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,000,10-04-2019,13:00:00,1011.83,0.0,31.5,63.10,24.7,31.06,0.00,1007.67,67,7.00
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,000,10-04-2019,13:00:00,1009.75,0.0,32.1,18.20,21.8,26.09,0.00,1008.16,55,10.00
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,000,10-04-2019,13:00:00,1010.37,0.0,32.5,2.00,24.9,31.40,0.00,1006.95,64,12.00
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,000,10-04-2019,13:00:00,1009.41,0.0,32.8,0.00,23.4,28.85,0.00,1008.08,58,10.00
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,270,10-04-2019,13:00:00,1010.19,11.1,30.5,22.00,25.6,32.75,0.00,1009.32,75,10.00
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,190,10-04-2019,13:00:00,1009.98,7.4,31.7,0.00,22.8,27.79,0.00,1006.47,59,10.00
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,260,10-04-2019,13:00:00,1009.78,9.3,30.5,0.30,24.8,31.31,0.10,1009.35,72,10.00
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,300,10-04-2019,13:00:00,1010.52,5.6,30.3,1.10,23.5,28.94,1.00,1009.54,67,10.00
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,160,10-04-2019,13:00:00,1010.18,11.1,32.0,3.80,27.3,36.32,0.00,1009.38,76,10.00
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,000,10-04-2019,13:00:00,1009.35,0.0,33.0,35.30,24.3,30.40,0.00,1007.57,60,10.00
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,040,10-04-2019,13:00:00,1009.27,13.0,31.5,0.01,25.1,31.93,0.00,1008.53,69,12.00
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,220,10-04-2019,13:00:00,1009.63,9.3,32.8,13.80,22.6,27.44,0.00,1005.71,55,10.00
48570,SATUN,สตูล,สตูล,6.65000,100.08333,230,10-04-2019,13:00:00,1009.78,7.4,31.8,1.90,23.4,28.82,0.00,1009.11,61,10.00
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,080,10-04-2019,13:00:00,1009.08,7.4,32.8,0.00,24.1,29.99,0.00,1007.98,60,10.00
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,210,10-04-2019,13:00:00,1009.38,7.4,33.0,6.60,24.8,31.28,0.00,1006.51,62,12.00
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,240,10-04-2019,13:00:00,1009.03,5.6,33.2,1.90,24.1,29.95,0.00,1008.35,59,11.00
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,000,10-04-2019,13:00:00,1009.16,0.0,33.1,111.00,23.6,29.17,0.00,1005.11,58,8.00
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,030,10-04-2019,13:00:00,1009.40,9.3,31.2,0.00,22.9,27.93,0.00,1008.82,61,12.00
