WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,RelativeHumidity,Date,Time,WindDirection,AirTemperature,DewPoint,StationPressure,MeanSeaLevelPressure,VaporPressure,MinimumTemperature,WindSpeed,LandVisibility,Rainfall,Rainfall24Hr
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,97,08-20-2019,07:00:00,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",25.8,25.4,1002.77,1005.80,32.37,24.9,0.0,10.00,0.00,39.50
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,94,08-20-2019,07:00:00,000,24.6,23.6,998.47,1006.48,29.07,24.0,0.0,8.00,0.00,6.30
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,90,08-20-2019,07:00:00,150,26.2,24.5,1005.64,1006.75,30.67,24.4,5.6,8.00,0.00,0.50
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,88,08-20-2019,07:00:00,000,26.0,23.8,992.17,1006.90,29.50,25.1,0.0,8.00,0.00,0.00
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,99,08-20-2019,07:00:00,280,19.4,19.2,873.30,1008.53,22.28,18.3,7.4,.10,0.00,16.80
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,96,08-20-2019,07:00:00,000,24.5,23.8,1000.77,1006.70,29.41,23.3,0.0,5.00,0.20,16.50
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,84,08-20-2019,07:00:00,230,27.5,24.6,1006.34,1007.14,30.97,26.7,7.4,8.00,0.00,0.60
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,92,08-20-2019,07:00:00,210,27.5,26.1,1006.66,1007.10,33.78,27.2,14.8,10.00,0.00,19.50
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,97,08-20-2019,07:00:00,000,24.8,24.4,996.57,1007.97,30.48,24.6,0.0,3.00,0.50,4.50
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,84,08-20-2019,07:00:00,000,27.0,24.1,1006.13,1007.14,30.02,26.2,0.0,10.00,0.00,0.00
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,94,08-20-2019,07:00:00,000,25.9,24.9,1005.06,1006.89,31.46,25.2,0.0,8.00,0.00,11.40
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,95,08-20-2019,07:00:00,000,25.5,24.6,1006.25,1007.02,30.98,24.8,0.0,6.00,0.00,0.00
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,88,08-20-2019,07:00:00,230,27.5,25.4,1006.71,1007.41,32.36,26.3,3.7,10.00,0.00,2.20
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,91,08-20-2019,07:00:00,000,27.0,25.4,1006.31,1007.02,32.49,26.2,0.0,7.00,0.00,0.01
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,96,08-20-2019,07:00:00,000,25.1,24.4,985.46,1006.74,30.50,24.5,0.0,10.00,0.00,0.00
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,88,08-20-2019,07:00:00,000,25.5,23.3,989.84,1006.63,28.59,24.3,0.0,6.00,0.00,0.20
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,88,08-20-2019,07:00:00,230,25.2,23.1,990.33,1006.85,28.31,24.0,3.7,5.00,0.00,0.00
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,90,08-20-2019,07:00:00,000,25.7,23.9,984.57,1006.51,29.74,24.4,0.0,10.00,0.00,0.80
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,81,08-20-2019,07:00:00,230,25.4,21.8,963.53,1006.99,26.11,22.8,11.1,10.00,0.00,14.80
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,90,08-20-2019,07:00:00,000,25.0,23.2,985.78,1006.46,28.48,24.7,0.0,10.00,0.00,0.00
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,93,08-20-2019,07:00:00,240,25.1,23.9,986.77,1007.73,29.70,24.5,9.3,9.00,0.00,0.00
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,77,08-20-2019,07:00:00,000,28.3,24.0,1006.66,1007.10,29.76,27.5,0.0,10.00,0.00,0.00
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,96,08-20-2019,07:00:00,000,25.7,25.0,1005.40,1006.83,31.63,25.5,0.0,8.00,0.00,0.60
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,97,08-20-2019,07:00:00,000,25.7,25.3,1001.86,1006.81,32.18,25.3,0.0,7.00,0.00,0.00
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,85,08-20-2019,07:00:00,000,26.5,23.7,1003.38,1006.68,29.35,24.3,0.0,12.00,0.00,0.40
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,93,08-20-2019,07:00:00,000,25.9,24.6,1006.14,1007.25,30.92,25.3,0.0,10.00,0.00,0.00
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,81,08-20-2019,07:00:00,000,28.5,24.9,1006.99,1007.29,31.54,28.0,0.0,10.00,0.00,0.01
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,76,08-20-2019,07:00:00,000,29.3,24.7,1006.14,1006.82,31.16,28.7,0.0,10.00,0.00,0.00
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,87,08-20-2019,07:00:00,000,27.4,25.1,1006.92,1007.41,31.89,27.3,0.0,10.00,0.00,0.00
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,80,08-20-2019,07:00:00,260,28.2,24.3,1006.21,1007.62,30.40,27.0,11.1,10.00,0.00,4.60
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,81,08-20-2019,07:00:00,240,29.3,25.8,1005.69,1007.36,33.16,29.0,5.6,10.00,0.00,0.00
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,93,08-20-2019,07:00:00,000,26.0,24.8,1000.75,1008.79,31.38,25.7,0.0,10.00,0.00,0.20
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,87,08-20-2019,07:00:00,000,28.2,25.8,1007.37,1007.65,33.20,25.5,0.0,10.00,0.00,9.30
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,80,08-20-2019,07:00:00,000,28.7,24.8,1004.00,1007.11,31.38,28.0,0.0,10.00,0.00,0.00
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,82,08-20-2019,07:00:00,000,28.4,25.0,1000.36,1007.27,31.62,27.2,0.0,10.00,0.00,1.50
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,92,08-20-2019,07:00:00,000,26.0,24.6,1002.28,1007.90,30.84,25.0,0.0,8.00,0.00,0.50
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,78,08-20-2019,07:00:00,000,28.8,24.5,997.47,1006.73,30.73,28.2,0.0,10.00,0.00,0.00
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,93,08-20-2019,07:00:00,000,26.0,24.8,1006.41,1007.68,31.38,25.3,0.0,12.00,0.00,0.00
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,81,08-20-2019,07:00:00,000,27.3,23.7,1006.42,1006.85,29.23,26.8,0.0,11.00,0.00,0.00
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,91,08-20-2019,07:00:00,000,24.7,23.1,994.93,1007.29,28.21,24.2,0.0,8.00,0.00,0.00
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,80,08-20-2019,07:00:00,190,27.2,23.4,1006.18,1006.89,28.78,26.8,7.4,10.00,0.00,0.00
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,78,08-20-2019,07:00:00,190,28.5,24.3,1005.80,1008.23,30.42,28.2,5.6,10.00,0.00,0.00
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,81,08-20-2019,07:00:00,260,29.0,25.5,1006.81,1007.32,32.55,28.8,11.1,10.00,0.00,0.00
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,90,08-20-2019,07:00:00,000,27.2,25.5,1002.34,1007.50,32.61,26.8,0.0,12.00,0.00,6.80
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,97,08-20-2019,07:00:00,000,26.4,25.8,1007.15,1007.56,33.27,26.2,0.0,6.00,9.80,10.50
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,96,08-20-2019,07:00:00,000,27.0,26.3,1005.10,1007.87,34.19,25.8,0.0,8.00,3.30,21.60
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,81,08-20-2019,07:00:00,000,27.1,23.4,1006.90,1007.68,28.86,25.0,0.0,10.00,0.00,0.30
48501,TRAD,ตราด,ตราด,11.76667,102.88333,96,08-20-2019,07:00:00,350,26.1,25.4,1007.37,1007.83,32.40,24.6,5.6,6.00,0.90,0.90
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,92,08-20-2019,07:00:00,000,25.7,24.2,1007.59,1008.28,30.28,25.5,0.0,10.00,0.00,0.00
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,93,08-20-2019,07:00:00,000,25.2,24.0,1007.03,1008.57,29.89,24.9,0.0,8.00,0.00,0.00
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,92,08-20-2019,07:00:00,000,25.5,24.0,1008.32,1009.24,29.91,24.9,0.0,10.00,0.00,0.00
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,77,08-20-2019,07:00:00,280,27.3,22.9,1008.35,1009.04,27.90,26.0,13.0,10.00,0.00,0.00
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,96,08-20-2019,07:00:00,250,22.9,22.3,1008.97,1009.78,26.91,22.4,1.9,9.00,0.00,0.00
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,96,08-20-2019,07:00:00,000,24.7,24.0,1008.49,1009.13,29.77,24.1,0.0,10.00,0.00,0.00
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,97,08-20-2019,07:00:00,000,24.3,23.9,1008.85,1009.26,29.57,23.5,0.0,8.00,0.00,0.00
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,96,08-20-2019,07:00:00,000,23.0,22.2,1006.88,1011.16,26.83,22.4,0.0,6.00,0.00,0.00
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,96,08-20-2019,07:00:00,000,25.3,24.6,1007.88,1009.50,30.87,22.2,0.0,6.00,0.00,0.00
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,97,08-20-2019,07:00:00,000,23.3,22.8,1006.81,1010.34,27.83,22.8,0.0,6.00,0.00,0.00
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,97,08-20-2019,07:00:00,000,24.7,24.1,1007.78,1009.15,30.03,24.5,0.0,8.00,0.00,0.00
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,94,08-20-2019,07:00:00,000,24.2,23.2,1008.49,1009.38,28.36,23.9,0.0,10.00,0.00,0.00
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,96,08-20-2019,07:00:00,000,22.7,21.9,1005.93,1009.54,26.33,22.3,0.0,10.00,0.00,0.00
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,91,08-20-2019,07:00:00,000,25.6,24.0,1009.36,1009.80,29.82,25.2,0.0,10.00,0.00,0.00
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,97,08-20-2019,07:00:00,000,24.0,23.6,1008.31,1009.32,29.04,21.6,0.0,10.00,0.00,0.00
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,94,08-20-2019,07:00:00,090,25.3,24.3,1008.86,1009.68,30.34,24.5,5.6,10.00,0.00,0.00
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,96,08-20-2019,07:00:00,000,25.2,24.5,1008.02,1009.85,30.69,24.8,0.0,2.00,0.00,0.00
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,83,08-20-2019,07:00:00,160,27.3,24.1,1008.62,1009.37,30.04,26.7,5.6,8.00,0.00,0.00
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,93,08-20-2019,07:00:00,150,25.6,24.4,1005.61,1009.63,30.63,22.6,5.6,8.00,0.00,0.00
48570,SATUN,สตูล,สตูล,6.65000,100.08333,93,08-20-2019,07:00:00,000,25.0,23.8,1009.12,1009.81,29.52,24.2,0.0,10.00,1.60,1.60
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,96,08-20-2019,07:00:00,000,26.0,25.3,1008.59,1009.71,32.20,23.4,0.0,10.00,0.00,0.00
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,98,08-20-2019,07:00:00,000,24.7,24.4,1006.98,1009.93,30.56,23.0,0.0,.50,0.00,0.00
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,95,08-20-2019,07:00:00,000,25.7,24.8,1008.22,1008.91,31.36,25.2,0.0,10.00,0.00,0.00
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,95,08-20-2019,07:00:00,250,25.0,24.1,1005.97,1010.14,30.05,24.4,9.3,6.00,0.00,0.00
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,88,08-20-2019,07:00:00,260,25.5,23.3,1008.66,1009.25,28.59,.0,5.6,9.00,0.00,0.00
