WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindDirection,Date,Time,RelativeHumidity,WindSpeed,DewPoint,Rainfall24Hr,AirTemperature,MeanSeaLevelPressure,LandVisibility,VaporPressure,StationPressure,Rainfall
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,000,09-25-2019,10:00:00,75,0.0,23.9,0.50,28.8,1015.70,6.00,29.63,1004.36,0.00
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,060,09-25-2019,10:00:00,57,9.3,20.4,0.00,29.8,1016.02,10.00,24.02,1015.01,0.00
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,050,09-25-2019,10:00:00,54,14.8,19.9,0.00,30.4,1016.03,8.00,23.27,1014.21,0.00
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,040,09-25-2019,10:00:00,58,3.7,21.8,0.00,31.1,1015.73,9.00,26.11,1014.97,0.00
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,080,09-25-2019,10:00:00,65,13.0,22.8,0.00,30.1,1014.83,9.00,27.74,1014.13,0.00
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,090,09-25-2019,10:00:00,54,7.4,21.3,0.00,31.8,1014.52,10.00,25.26,1013.82,0.00
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,080,09-25-2019,10:00:00,61,7.4,20.6,0.00,28.9,1016.73,8.00,24.25,995.51,0.00
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,020,09-25-2019,10:00:00,67,11.1,22.0,0.00,28.8,1016.12,8.00,26.40,999.36,0.00
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,010,09-25-2019,10:00:00,66,11.1,22.4,0.00,29.5,1016.17,9.00,27.15,999.73,0.00
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,030,09-25-2019,10:00:00,67,9.3,21.4,0.00,28.0,1016.54,8.00,25.50,994.55,0.00
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,060,09-25-2019,10:00:00,68,18.5,20.1,0.00,26.4,1014.97,10.00,23.55,971.31,0.00
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,050,09-25-2019,10:00:00,68,7.4,21.9,0.00,28.3,1016.07,8.00,26.29,995.42,0.00
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,050,09-25-2019,10:00:00,75,22.2,23.6,0.00,28.5,1018.22,7.00,29.05,997.28,0.00
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,050,09-25-2019,10:00:00,68,11.1,23.5,2.00,30.2,1015.03,9.00,29.03,1014.60,0.00
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,080,09-25-2019,10:00:00,65,3.7,22.5,0.80,29.8,1014.63,11.00,27.17,1013.22,0.00
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,030,09-25-2019,10:00:00,66,3.7,22.8,0.00,30.0,1015.32,12.00,27.82,1010.40,0.00
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,020,09-25-2019,10:00:00,59,9.3,21.6,0.00,30.5,1015.79,7.00,25.80,1012.51,0.00
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,010,09-25-2019,10:00:00,68,3.7,22.9,0.30,29.5,1015.67,9.00,27.96,1014.57,0.00
