WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,AirTemperature,Date,Time,Rainfall24Hr,Rainfall,DewPoint,WindSpeed,MeanSeaLevelPressure,StationPressure,LandVisibility,WindDirection,RelativeHumidity,VaporPressure
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,24.7,08-12-2019,04:00:00,10.90,0.00,23.4,0.0,1005.48,1004.68,10.00,000,92,28.72
48501,TRAD,ตราด,ตราด,11.76667,102.88333,25.0,08-12-2019,04:00:00,56.60,0.00,24.8,1.9,1006.53,1006.07,6.00,080,99,31.39
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,24.8,08-12-2019,04:00:00,20.70,0.20,24.1,0.0,1006.15,1005.47,7.00,000,96,29.95
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,25.2,08-12-2019,04:00:00,21.40,0.00,23.7,0.0,1006.40,1004.86,7.00,000,92,29.36
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,25.2,08-12-2019,04:00:00,102.40,0.40,24.2,3.7,1006.53,1005.61,10.00,190,94,30.15
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,26.3,08-12-2019,04:00:00,7.40,0.00,24.0,0.0,1006.77,1006.08,10.00,000,87,29.78
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,24.0,08-12-2019,04:00:00,5.90,0.00,23.7,3.7,1007.24,1006.43,7.00,180,98,29.30
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,25.5,08-12-2019,04:00:00,0.00,0.00,23.6,0.0,1006.23,1005.60,10.00,000,89,29.11
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,24.9,08-12-2019,04:00:00,7.30,0.00,24.3,0.0,1005.86,1005.45,10.00,000,97,30.40
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,24.5,08-12-2019,04:00:00,0.01,0.00,23.8,0.0,1008.78,1004.53,5.00,000,96,29.41
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,24.0,08-12-2019,04:00:00,30.80,2.00,23.3,0.0,1007.12,1005.50,6.00,000,96,28.53
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,24.0,08-12-2019,04:00:00,16.00,0.20,23.3,0.0,1007.98,1004.46,6.00,000,96,28.53
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,24.5,08-12-2019,04:00:00,6.70,0.00,24.1,0.0,1007.18,1005.81,8.00,000,97,29.93
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,25.2,08-12-2019,04:00:00,27.00,0.00,24.3,0.0,1008.36,1007.47,10.00,000,95,30.42
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,23.7,08-12-2019,04:00:00,27.40,0.00,23.4,0.0,1007.25,1003.65,10.00,000,98,28.77
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,25.5,08-12-2019,04:00:00,4.20,0.00,24.0,0.0,1006.73,1006.30,10.00,000,92,29.91
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,25.5,08-12-2019,04:00:00,30.00,0.00,23.7,0.0,1006.85,1005.85,10.00,000,90,29.38
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,24.5,08-12-2019,04:00:00,8.70,2.90,23.8,0.0,1007.64,1005.81,8.00,000,96,29.41
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,26.2,08-12-2019,04:00:00,10.80,0.00,23.6,0.0,1007.24,1006.49,10.00,000,85,29.07
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,24.7,08-12-2019,04:00:00,4.20,0.00,24.0,0.0,1007.64,1003.61,9.00,000,96,29.77
48570,SATUN,สตูล,สตูล,6.65000,100.08333,25.5,08-12-2019,04:00:00,23.60,0.00,23.9,0.0,1007.00,1006.32,10.00,000,91,29.64
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,26.8,08-12-2019,04:00:00,9.40,0.00,24.9,0.0,1007.07,1005.96,10.00,000,90,31.55
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,25.0,08-12-2019,04:00:00,27.20,0.00,24.1,0.0,1007.56,1004.62,10.00,000,95,30.05
