WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindSpeed,Date,Time,DewPoint,RelativeHumidity,StationPressure,LandVisibility,WindDirection,Rainfall24Hr,Rainfall,VaporPressure,MeanSeaLevelPressure,AirTemperature
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,3.7,10-17-2019,22:00:00,20.8,73,997.86,10.00,040,0.00,0.00,24.61,1013.85,26.0
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,0.0,10-17-2019,22:00:00,22.4,84,993.55,8.00,000,0.00,0.00,27.12,1012.63,25.4
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,0.0,10-17-2019,22:00:00,20.1,89,963.10,7.00,000,0.00,0.00,23.56,1015.37,22.0
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,0.0,10-17-2019,22:00:00,24.9,81,1008.67,8.00,000,0.00,0.00,31.54,1012.63,28.5
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,0.0,10-17-2019,22:00:00,18.8,95,918.57,4.00,000,13.70,0.00,21.68,1015.00,19.6
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,0.0,10-17-2019,22:00:00,22.1,79,997.08,8.00,000,0.00,0.00,26.63,1013.22,26.0
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,0.0,10-17-2019,22:00:00,25.1,85,1008.72,8.00,000,0.00,0.00,31.95,1012.77,28.0
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,0.0,10-17-2019,22:00:00,22.1,69,1002.95,8.00,000,0.00,0.00,26.55,1013.64,28.3
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,0.0,10-17-2019,22:00:00,24.6,86,1011.43,14.00,000,0.00,0.00,30.94,1013.37,27.2
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,0.0,10-17-2019,22:00:00,22.4,75,992.27,10.00,000,0.00,0.00,27.11,1013.24,27.3
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,11.1,10-17-2019,22:00:00,20.5,72,995.58,10.00,070,0.00,0.00,24.12,1013.42,26.0
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,5.6,10-17-2019,22:00:00,21.8,73,996.69,10.00,030,0.00,0.00,26.06,1012.94,27.0
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,5.6,10-17-2019,22:00:00,20.2,66,998.55,10.00,040,0.00,0.00,23.71,1012.65,27.1
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,0.0,10-17-2019,22:00:00,20.4,69,998.48,10.00,000,0.00,0.00,23.96,1013.42,26.5
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,18.5,10-17-2019,22:00:00,22.3,73,997.59,8.00,030,0.00,0.00,26.95,1012.31,27.5
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,0.0,10-17-2019,22:00:00,24.6,81,1009.57,9.00,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",0.00,0.00,30.95,1012.59,28.2
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,0.0,10-17-2019,22:00:00,23.1,77,1004.72,7.00,000,0.00,0.00,28.26,1012.70,27.5
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,0.0,10-17-2019,22:00:00,25.5,83,1011.08,6.00,000,0.00,0.00,32.59,1012.19,28.6
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,0.0,10-17-2019,22:00:00,22.0,77,998.86,8.00,000,0.00,0.00,26.47,1013.67,26.5
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,13.0,10-17-2019,22:00:00,18.3,90,877.90,8.00,050,0.00,0.00,21.00,1013.60,19.9
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,0.0,10-17-2019,22:00:00,23.9,85,1006.77,10.00,000,0.00,0.00,29.72,1012.68,26.7
