WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,AirTemperature,Date,Time,RelativeHumidity,Rainfall,StationPressure,MinimumTemperature,DewPoint,LandVisibility,WindDirection,MeanSeaLevelPressure,WindSpeed,Rainfall24Hr,VaporPressure
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,24.9,09-10-2019,07:00:00,92,0.00,977.34,24.5,23.6,8.00,000,1007.37,0.0,0.00,29.08
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,24.0,09-10-2019,07:00:00,96,0.00,971.63,23.5,23.3,7.00,000,1007.39,0.0,0.00,28.53
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,25.0,09-10-2019,07:00:00,92,0.00,976.74,24.2,23.5,12.00,000,1006.56,0.0,0.00,29.00
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,26.2,09-10-2019,07:00:00,86,0.00,1000.50,26.0,23.7,10.00,000,1007.83,0.0,0.00,29.33
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,27.2,09-10-2019,07:00:00,90,0.00,986.67,27.0,25.5,15.00,190,1006.53,3.7,0.00,32.61
48353,LOEI,เลย,เลย,17.45000,101.73333,26.0,09-10-2019,07:00:00,88,0.00,977.99,25.0,23.8,12.00,140,1006.69,5.6,0.00,29.50
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,27.0,09-10-2019,07:00:00,87,0.00,986.87,26.5,24.5,12.00,150,1007.03,3.7,0.00,30.83
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,27.0,09-10-2019,07:00:00,84,0.00,985.47,26.5,24.1,10.00,000,1007.18,0.0,4.10,30.02
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,27.0,09-10-2019,07:00:00,85,0.00,987.24,26.5,24.3,10.00,180,1006.71,3.7,0.00,30.29
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,26.0,09-10-2019,07:00:00,92,0.10,991.18,25.9,24.6,10.00,190,1007.99,3.7,0.10,30.84
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,25.0,09-10-2019,07:00:00,88,0.00,990.76,24.2,22.8,10.00,220,1008.30,14.8,0.00,27.70
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,25.8,09-10-2019,07:00:00,98,0.00,980.77,25.8,25.5,9.00,000,1006.62,0.0,0.00,32.65
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,27.2,09-10-2019,07:00:00,83,0.00,1001.65,25.6,24.0,10.00,000,1007.44,0.0,0.00,29.85
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,26.5,09-10-2019,07:00:00,82,0.00,1001.59,26.0,23.1,12.00,000,1007.80,0.0,0.00,28.29
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,25.7,09-10-2019,07:00:00,90,0.00,992.26,25.0,23.9,12.00,000,1008.79,0.0,0.00,29.74
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,23.5,09-10-2019,07:00:00,96,0.00,985.06,22.7,22.8,10.00,000,1007.65,0.0,12.80,27.66
48376,TAK,ตาก,ตาก,16.87833,99.14333,27.6,09-10-2019,07:00:00,70,0.00,993.89,25.0,21.6,6.00,270,1008.27,7.4,2.00,25.83
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,27.0,09-10-2019,07:00:00,84,0.00,990.29,25.5,24.1,7.00,000,1006.67,0.0,0.00,30.02
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,26.3,09-10-2019,07:00:00,91,0.00,1002.85,25.5,24.7,10.00,130,1008.09,5.6,0.00,31.13
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,26.0,09-10-2019,07:00:00,92,0.00,993.18,25.2,24.6,10.00,000,1006.41,0.0,0.00,30.84
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,25.3,09-10-2019,07:00:00,95,0.00,998.83,25.1,24.4,10.00,000,1008.22,0.0,0.00,30.60
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,26.0,09-10-2019,07:00:00,88,0.00,985.75,25.5,23.8,8.00,210,1007.51,9.3,0.90,29.50
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,27.2,09-10-2019,07:00:00,79,0.00,991.38,24.2,23.2,10.00,230,1008.90,11.1,23.40,28.51
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,25.5,09-10-2019,07:00:00,96,7.50,990.38,24.5,24.8,10.00,190,1006.28,3.7,7.70,31.25
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,26.2,09-10-2019,07:00:00,86,0.00,987.84,26.0,23.7,8.00,190,1006.77,5.6,0.00,29.33
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,22.0,09-10-2019,07:00:00,94,0.00,957.43,20.5,20.9,7.00,000,1009.40,0.0,11.30,24.74
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,26.5,09-10-2019,07:00:00,92,0.00,1004.08,26.3,25.1,7.00,140,1008.05,5.6,0.00,31.79
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,20.5,09-10-2019,07:00:00,93,0.00,913.55,19.1,19.4,6.00,180,1009.14,9.3,3.80,22.50
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,26.8,09-10-2019,07:00:00,90,0.20,991.86,26.3,24.9,6.00,000,1007.87,0.0,0.20,31.55
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,25.4,09-10-2019,07:00:00,91,0.00,1004.39,25.0,23.8,10.00,000,1008.46,0.0,0.00,29.46
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,25.2,09-10-2019,07:00:00,89,0.00,999.05,24.5,23.3,8.00,150,1009.81,3.7,0.00,28.57
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,25.0,09-10-2019,07:00:00,96,0.00,1007.01,24.5,24.3,10.00,150,1008.96,3.7,0.00,30.32
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,25.4,09-10-2019,07:00:00,88,0.00,987.27,23.5,23.2,10.00,000,1008.26,0.0,0.00,28.41
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,26.0,09-10-2019,07:00:00,93,2.00,990.91,25.6,24.8,8.00,000,1008.66,0.0,2.00,31.38
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,26.0,09-10-2019,07:00:00,95,1.10,991.98,26.0,25.1,7.00,230,1008.22,7.4,4.20,31.93
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,25.4,09-10-2019,07:00:00,94,0.10,995.01,24.7,24.4,10.00,000,1009.15,0.0,5.20,30.52
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,25.0,09-10-2019,07:00:00,96,0.00,995.25,24.0,24.3,9.00,000,1010.23,0.0,5.20,30.32
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,26.0,09-10-2019,07:00:00,96,0.00,994.74,24.2,25.3,7.00,300,1009.49,3.7,4.50,32.20
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,25.7,09-10-2019,07:00:00,89,0.00,1005.30,24.5,23.7,10.00,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",1008.34,0.0,0.10,29.21
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,26.1,09-10-2019,07:00:00,89,0.00,1000.84,25.6,24.2,10.00,000,1008.83,0.0,0.00,30.22
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,25.7,09-10-2019,07:00:00,89,0.00,1008.12,24.5,23.8,8.00,230,1009.24,5.6,9.70,29.48
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,26.3,09-10-2019,07:00:00,93,0.00,994.29,25.3,25.1,8.00,000,1009.04,0.0,0.00,31.96
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,19.0,09-10-2019,07:00:00,100,0.20,875.25,17.8,19.0,.05,280,1010.98,7.4,56.80,21.95
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,26.0,09-10-2019,07:00:00,98,0.00,1003.32,25.0,25.7,10.00,000,1009.23,0.0,0.00,33.04
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,27.2,09-10-2019,07:00:00,80,0.00,1008.79,26.4,23.4,8.00,270,1009.60,3.7,0.00,28.78
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,27.0,09-10-2019,07:00:00,88,0.00,1008.63,26.6,24.8,10.00,000,1009.08,0.0,0.50,31.38
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,24.2,09-10-2019,07:00:00,97,0.00,998.84,23.8,23.6,4.00,000,1010.28,0.0,2.00,29.13
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,27.0,09-10-2019,07:00:00,81,0.00,1008.12,26.0,23.5,10.00,210,1009.14,5.6,2.10,28.94
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,25.8,09-10-2019,07:00:00,88,0.00,1007.06,25.3,23.6,8.00,000,1008.89,0.0,0.01,29.13
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,26.5,09-10-2019,07:00:00,80,0.00,1008.62,25.5,22.8,8.00,000,1009.39,0.0,0.00,27.77
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,26.8,09-10-2019,07:00:00,84,0.00,1008.88,25.9,23.9,9.00,240,1009.59,5.6,0.20,29.64
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,26.5,09-10-2019,07:00:00,95,0.30,1008.79,25.6,25.6,7.00,000,1009.50,0.0,7.50,32.91
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,26.0,09-10-2019,07:00:00,84,0.01,987.59,25.3,23.1,10.00,000,1008.84,0.0,0.01,28.18
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,26.5,09-10-2019,07:00:00,92,0.00,992.21,25.0,25.1,7.00,200,1008.98,5.6,0.01,31.79
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,26.2,09-10-2019,07:00:00,91,0.10,993.04,24.8,24.6,8.00,230,1009.55,7.4,0.10,30.94
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,26.0,09-10-2019,07:00:00,84,0.00,987.18,25.4,23.1,10.00,000,1009.15,0.0,0.00,28.18
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,25.5,09-10-2019,07:00:00,76,0.00,965.81,24.9,20.9,15.00,220,1009.36,9.3,1.20,24.78
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,26.2,09-10-2019,07:00:00,89,0.01,988.40,25.7,24.2,8.00,000,1009.05,0.0,0.30,30.13
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,25.3,09-10-2019,07:00:00,100,2.80,989.78,25.2,25.3,3.00,200,1010.79,13.0,2.80,32.23
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,27.0,09-10-2019,07:00:00,84,0.00,1008.61,26.1,24.1,10.00,210,1009.05,3.7,0.00,30.02
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,25.5,09-10-2019,07:00:00,96,0.00,1007.78,23.7,24.8,8.00,000,1009.21,0.0,0.10,31.25
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,26.1,09-10-2019,07:00:00,98,0.20,1004.72,26.0,25.8,6.00,000,1009.68,0.0,37.40,33.23
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,26.5,09-10-2019,07:00:00,81,0.00,1006.02,24.2,23.0,12.00,320,1009.32,3.7,0.90,28.03
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,25.0,09-10-2019,07:00:00,92,0.00,1008.20,24.5,23.5,10.00,000,1009.32,0.0,0.01,29.00
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,27.0,09-10-2019,07:00:00,83,0.00,1009.07,26.4,23.8,10.00,000,1009.37,0.0,2.10,29.48
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,26.7,09-10-2019,07:00:00,89,0.00,1008.70,26.2,24.7,10.00,000,1009.39,0.0,17.80,31.08
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,27.0,09-10-2019,07:00:00,86,0.00,1008.34,26.8,24.4,10.00,000,1008.83,0.0,29.20,30.56
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,27.2,09-10-2019,07:00:00,79,0.00,1008.30,27.0,23.2,10.00,200,1009.71,11.1,0.00,28.51
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,28.5,09-10-2019,07:00:00,88,0.00,1007.81,28.0,26.4,10.00,210,1009.48,11.1,0.00,34.40
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,25.7,09-10-2019,07:00:00,94,0.00,1002.90,25.4,24.7,10.00,180,1010.97,3.7,0.00,31.08
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,27.6,09-10-2019,07:00:00,84,0.00,1008.99,27.0,24.6,10.00,180,1009.28,3.7,0.00,30.89
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,28.0,09-10-2019,07:00:00,81,0.00,1006.43,26.0,24.4,10.00,000,1009.56,0.0,0.00,30.56
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,27.8,09-10-2019,07:00:00,79,0.00,1002.77,26.2,23.7,12.00,210,1009.71,5.6,0.00,29.36
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,26.5,09-10-2019,07:00:00,92,0.00,1004.45,26.0,25.1,8.00,000,1010.07,0.0,0.00,31.79
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,27.7,09-10-2019,07:00:00,77,0.00,1001.35,27.2,23.3,10.00,230,1010.67,13.0,0.00,28.63
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,25.5,09-10-2019,07:00:00,92,0.00,1008.59,25.0,24.0,12.00,140,1009.87,3.7,0.01,29.91
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,27.7,09-10-2019,07:00:00,76,0.00,1009.06,26.5,23.2,11.00,000,1009.49,0.0,0.01,28.37
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,24.2,09-10-2019,07:00:00,91,0.00,997.47,23.0,22.6,8.00,000,1009.87,0.0,0.00,27.34
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,26.6,09-10-2019,07:00:00,83,0.00,1009.09,26.2,23.5,10.00,000,1009.81,0.0,0.00,29.00
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,27.4,09-10-2019,07:00:00,83,0.00,1007.11,27.0,24.2,10.00,220,1009.55,5.6,0.00,30.23
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,28.2,09-10-2019,07:00:00,79,0.00,1009.65,28.0,24.2,10.00,260,1010.17,7.4,0.00,30.12
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,26.9,09-10-2019,07:00:00,85,0.00,1004.55,26.7,24.1,9.00,000,1009.72,0.0,0.00,30.10
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,27.7,09-10-2019,07:00:00,87,0.00,1010.38,27.1,25.4,7.00,000,1010.79,0.0,0.00,32.48
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,26.5,09-10-2019,07:00:00,96,0.00,1008.28,26.2,25.8,8.00,000,1011.07,0.0,0.00,33.19
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,26.4,09-10-2019,07:00:00,81,0.00,1009.36,22.8,22.9,10.00,000,1010.15,0.0,13.80,27.85
48501,TRAD,ตราด,ตราด,11.76667,102.88333,23.9,09-10-2019,07:00:00,97,15.70,1011.00,23.3,23.5,5.00,080,1011.47,5.6,180.20,28.86
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,24.8,09-10-2019,07:00:00,91,0.00,1010.20,24.3,23.2,7.00,000,1010.89,0.0,0.90,28.38
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,24.2,09-10-2019,07:00:00,92,0.00,1008.52,24.2,22.9,8.00,000,1010.07,0.0,8.80,27.85
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,24.1,09-10-2019,07:00:00,93,0.40,1010.91,24.0,22.9,10.00,000,1011.84,0.0,48.90,27.93
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,25.4,09-10-2019,07:00:00,87,0.00,1010.31,23.8,23.0,10.00,000,1011.01,0.0,30.10,28.15
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,23.3,09-10-2019,07:00:00,97,0.00,1010.56,22.9,22.8,9.00,000,1011.37,0.0,15.80,27.83
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,23.6,09-10-2019,07:00:00,99,0.00,1010.13,23.2,23.4,10.00,000,1010.78,0.0,14.00,28.85
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,24.4,09-10-2019,07:00:00,98,0.00,1010.60,23.2,24.1,10.00,000,1011.01,0.0,34.80,30.02
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,23.0,09-10-2019,07:00:00,97,0.00,1008.85,22.5,22.5,6.00,000,1013.14,0.0,42.20,27.32
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,23.8,09-10-2019,07:00:00,97,0.00,1008.26,22.6,23.4,5.00,000,1009.89,0.0,8.80,28.69
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,23.0,09-10-2019,07:00:00,98,0.00,1007.84,22.9,22.7,.80,000,1011.38,0.0,41.50,27.57
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,24.5,09-10-2019,07:00:00,97,0.00,1009.81,24.4,23.9,8.00,000,1011.18,0.0,0.01,29.67
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,24.0,09-10-2019,07:00:00,97,0.00,1009.79,22.9,23.6,10.00,000,1010.68,0.0,7.30,29.04
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,23.0,09-10-2019,07:00:00,98,0.00,1007.22,22.5,22.7,10.00,000,1010.84,0.0,52.20,27.57
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,24.5,09-10-2019,07:00:00,96,0.00,1010.58,24.0,23.8,10.00,000,1011.02,0.0,42.00,29.41
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,24.2,09-10-2019,07:00:00,98,0.00,1010.17,23.0,23.9,10.00,000,1011.17,0.0,2.00,29.66
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,24.5,09-10-2019,07:00:00,94,0.00,1010.26,23.6,23.5,10.00,000,1011.08,0.0,7.40,28.89
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,24.0,09-10-2019,07:00:00,97,0.00,1009.77,23.7,23.4,8.00,000,1011.61,0.0,45.80,28.78
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,25.7,09-10-2019,07:00:00,86,0.00,1010.85,25.0,23.2,8.00,000,1011.61,0.0,7.00,28.42
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,24.4,09-10-2019,07:00:00,96,0.00,1007.88,23.1,23.7,7.00,260,1011.92,5.6,0.00,29.23
48570,SATUN,สตูล,สตูล,6.65000,100.08333,25.0,09-10-2019,07:00:00,93,0.00,1010.94,24.3,23.8,10.00,000,1011.63,0.0,0.00,29.52
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,25.0,09-10-2019,07:00:00,96,0.00,1010.09,23.5,24.3,8.00,000,1011.22,0.0,0.00,30.32
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,24.0,09-10-2019,07:00:00,98,0.00,1008.67,22.3,23.7,8.00,000,1011.63,0.0,0.00,29.30
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,24.5,09-10-2019,07:00:00,98,0.00,1010.55,24.1,24.2,6.00,000,1011.25,0.0,1.50,30.20
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,24.9,09-10-2019,07:00:00,94,0.00,1008.01,23.4,23.9,5.00,000,1012.18,0.0,1.50,29.61
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,24.7,09-10-2019,07:00:00,90,0.00,1009.54,.0,22.9,8.00,000,1010.13,0.0,13.50,27.95
