WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,StationPressure,Date,Time,MeanSeaLevelPressure,AirTemperature,WindSpeed,MaximumTemperature,Rainfall,Rainfall24Hr,RelativeHumidity,WindDirection,LandVisibility,DewPoint,VaporPressure
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,1006.01,09-08-2019,19:00:00,1007.42,27.6,22.2,32.8,0.00,0.01,79,230,10.00,23.7,29.25
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,1006.39,09-08-2019,19:00:00,1008.08,26.0,9.3,30.1,30.60,30.60,96,200,10.00,25.3,32.20
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,1001.64,09-08-2019,19:00:00,1009.61,29.1,9.3,32.5,0.00,0.00,70,250,10.00,23.1,28.29
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,1008.96,09-08-2019,19:00:00,1009.25,25.6,14.8,32.8,9.80,9.80,93,160,4.00,24.3,30.36
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,1005.23,09-08-2019,19:00:00,1008.38,25.5,0.0,32.8,6.50,6.50,96,000,10.00,24.8,31.25
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,1001.11,09-08-2019,19:00:00,1008.02,28.5,5.6,30.4,0.00,0.00,81,240,10.00,24.9,31.54
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,1001.77,09-08-2019,19:00:00,1007.32,30.0,0.0,33.8,0.00,0.00,71,000,10.00,24.3,30.31
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,1000.21,09-08-2019,19:00:00,1009.53,27.3,7.4,32.1,0.00,0.00,84,340,10.00,24.3,30.31
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,1007.36,09-08-2019,19:00:00,1008.63,26.0,3.7,33.6,1.20,1.20,92,350,10.00,24.6,30.84
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,1007.42,09-08-2019,19:00:00,1007.85,28.6,18.5,33.1,0.00,0.00,80,200,11.00,24.9,31.46
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,996.47,09-08-2019,19:00:00,1008.78,26.1,0.0,32.6,0.40,0.40,90,000,10.00,24.4,30.48
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,1007.63,09-08-2019,19:00:00,1008.34,27.7,0.0,33.5,0.40,7.20,80,000,10.00,23.9,29.71
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,1006.73,09-08-2019,19:00:00,1009.15,29.2,5.6,33.4,0.00,0.00,74,220,10.00,24.2,30.13
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,1007.53,09-08-2019,19:00:00,1008.04,28.9,7.4,30.8,0.01,0.01,78,260,10.00,24.8,31.21
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,1002.81,09-08-2019,19:00:00,1007.94,28.6,0.0,33.8,0.00,0.00,77,000,9.00,24.1,30.07
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,1008.15,09-08-2019,19:00:00,1008.56,28.5,0.0,32.0,0.00,18.30,79,000,7.00,24.5,30.70
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,1005.99,09-08-2019,19:00:00,1008.75,28.0,0.0,32.0,0.00,0.60,85,000,8.00,25.1,31.95
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,1008.98,09-08-2019,19:00:00,1009.77,26.5,0.0,32.6,0.00,0.00,79,000,10.00,22.5,27.25
48501,TRAD,ตราด,ตราด,11.76667,102.88333,1008.25,09-08-2019,19:00:00,1008.71,28.5,0.0,32.1,0.00,63.90,84,000,8.00,25.5,32.67
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,1009.23,09-08-2019,19:00:00,1009.92,25.9,7.4,33.9,0.10,0.10,87,260,8.00,23.6,29.05
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,1008.81,09-08-2019,19:00:00,1010.35,25.5,0.0,34.2,0.20,0.20,85,000,8.00,22.8,27.81
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,1010.17,09-08-2019,19:00:00,1011.10,24.1,0.0,32.5,45.90,62.80,94,000,7.00,23.1,28.19
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,1009.65,09-08-2019,19:00:00,1010.34,26.4,7.4,31.9,7.50,7.60,94,260,8.00,25.4,32.43
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,1009.45,09-08-2019,19:00:00,1010.25,26.0,0.0,36.4,13.70,29.70,93,000,8.00,24.8,31.38
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,1008.72,09-08-2019,19:00:00,1009.36,28.8,7.4,34.5,0.00,0.50,76,320,7.00,24.2,30.18
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,1008.69,09-08-2019,19:00:00,1009.10,24.7,0.0,35.2,0.90,13.30,98,000,10.00,24.4,30.56
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,1007.28,09-08-2019,19:00:00,1011.54,24.8,3.7,34.5,5.60,20.70,95,170,5.00,23.9,29.69
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,1008.21,09-08-2019,19:00:00,1009.83,26.8,0.0,34.0,0.00,0.00,86,000,10.00,24.2,30.18
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,1006.31,09-08-2019,19:00:00,1009.81,25.5,0.0,34.2,37.70,37.70,93,000,7.00,24.3,30.44
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,1008.11,09-08-2019,19:00:00,1009.46,29.2,0.0,32.7,0.00,0.01,76,000,10.00,24.6,30.96
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,1009.88,09-08-2019,19:00:00,1010.78,24.7,14.8,32.2,20.40,20.40,97,270,5.00,24.1,30.03
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,1006.61,09-08-2019,19:00:00,1010.17,27.9,0.0,34.1,0.00,0.00,78,000,10.00,23.7,29.28
