WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,Rainfall24Hr,RelativeHumidity,WindDirection,StationPressure,LandVisibility,AirTemperature,WindSpeed,VaporPressure,DewPoint,MeanSeaLevelPressure
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,0.00,08-05-2019,01:00:00,1.00,82,190,1003.21,10.00,27.1,7.4,29.39,23.8,1004.62
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,0.00,08-05-2019,01:00:00,0.30,93,000,997.88,10.00,25.8,0.0,31.00,24.6,1005.91
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,0.00,08-05-2019,01:00:00,0.01,92,000,1003.82,10.00,27.5,0.0,33.78,26.1,1004.11
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,0.00,08-05-2019,01:00:00,1.30,81,260,1001.50,10.00,28.5,5.6,31.54,24.9,1004.61
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,0.00,08-05-2019,01:00:00,0.01,80,240,998.11,10.00,28.2,11.1,30.40,24.3,1005.00
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,0.00,08-05-2019,01:00:00,0.00,88,000,999.04,7.00,27.0,0.0,31.38,24.8,1004.63
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,0.01,08-05-2019,01:00:00,5.20,97,000,1004.02,8.00,25.0,0.0,30.85,24.6,1005.29
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,0.00,08-05-2019,01:00:00,2.00,89,210,1004.05,11.00,27.1,18.5,31.85,25.1,1004.48
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,0.60,08-05-2019,01:00:00,7.50,97,000,993.04,8.00,24.5,0.0,29.93,24.1,1005.38
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,0.20,08-05-2019,01:00:00,1.80,93,220,1004.21,10.00,26.2,9.3,31.49,24.9,1004.92
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,0.00,08-05-2019,01:00:00,0.01,77,230,1002.75,10.00,28.8,11.1,30.46,24.3,1005.17
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,0.00,08-05-2019,01:00:00,0.01,83,230,1005.01,8.00,29.0,9.3,33.41,25.9,1005.52
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,0.00,08-05-2019,01:00:00,0.01,80,180,999.69,8.00,28.2,1.9,30.40,24.3,1004.81
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,8.10,08-05-2019,01:00:00,12.80,94,250,1004.46,7.00,26.7,3.7,33.02,25.7,1004.88
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,7.20,08-05-2019,01:00:00,7.20,96,000,1002.72,8.00,25.2,0.0,30.69,24.5,1005.51
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,0.60,08-05-2019,01:00:00,6.90,93,180,1005.06,10.00,26.0,3.7,31.38,24.8,1005.85
48501,TRAD,ตราด,ตราด,11.76667,102.88333,27.00,08-05-2019,01:00:00,168.30,96,210,1005.95,5.00,24.5,7.4,29.41,23.8,1006.41
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,2.50,08-05-2019,01:00:00,6.00,96,000,1005.62,7.00,25.9,0.0,32.01,25.2,1006.31
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,0.40,08-05-2019,01:00:00,5.60,92,000,1004.88,7.00,26.5,0.0,31.79,25.1,1006.41
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,0.50,08-05-2019,01:00:00,6.30,83,210,1006.60,10.00,27.6,7.4,30.61,24.4,1007.52
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,0.00,08-05-2019,01:00:00,0.00,74,270,1006.26,10.00,28.7,11.1,29.16,23.6,1006.95
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,0.90,08-05-2019,01:00:00,1.30,95,220,1007.02,7.00,25.5,1.9,30.98,24.6,1007.82
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,0.00,08-05-2019,01:00:00,1.80,87,000,1006.14,10.00,26.2,0.0,29.60,23.9,1006.78
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,0.00,08-05-2019,01:00:00,2.50,93,000,1005.45,10.00,26.0,0.0,31.11,24.7,1005.85
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,0.00,08-05-2019,01:00:00,0.01,78,230,1005.29,5.00,27.9,13.0,29.28,23.7,1009.50
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,0.00,08-05-2019,01:00:00,0.00,96,000,1006.60,8.00,24.8,0.0,29.95,24.1,1008.22
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,0.00,08-05-2019,01:00:00,13.00,97,000,1004.94,6.00,25.1,0.0,30.77,24.5,1008.44
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,0.00,08-05-2019,01:00:00,0.00,93,000,1006.46,8.00,25.2,0.0,29.89,24.0,1007.82
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,0.00,08-05-2019,01:00:00,0.50,81,240,1007.09,10.00,28.0,11.1,30.56,24.4,1007.97
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,0.00,08-05-2019,01:00:00,0.00,82,000,1004.05,10.00,27.4,0.0,29.96,24.1,1007.61
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,0.00,08-05-2019,01:00:00,0.60,74,280,1007.57,10.00,29.3,13.0,30.32,24.3,1008.01
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,0.01,08-05-2019,01:00:00,0.01,75,270,1006.61,9.00,29.6,7.4,30.92,24.6,1007.59
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,0.00,08-05-2019,01:00:00,0.00,78,260,1007.29,10.00,29.5,29.6,32.13,25.2,1008.10
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,0.00,08-05-2019,01:00:00,0.20,91,000,1006.53,10.00,26.1,0.0,30.76,24.5,1008.35
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,0.00,08-05-2019,01:00:00,0.00,79,250,1007.53,8.00,27.5,3.7,29.06,23.6,1008.28
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,0.00,08-05-2019,01:00:00,3.20,93,000,1004.58,8.00,25.7,0.0,30.81,24.5,1008.60
48570,SATUN,สตูล,สตูล,6.65000,100.08333,0.00,08-05-2019,01:00:00,8.60,91,000,1008.48,10.00,25.8,0.0,30.19,24.2,1009.17
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,0.00,08-05-2019,01:00:00,0.00,84,000,1007.06,10.00,27.0,0.0,30.02,24.1,1008.18
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,0.00,08-05-2019,01:00:00,0.80,90,000,1005.50,10.00,26.2,0.0,30.67,24.5,1008.43
