WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,Rainfall24Hr,AirTemperature,MeanSeaLevelPressure,WindSpeed,RelativeHumidity,WindDirection,VaporPressure,Rainfall,LandVisibility,DewPoint,StationPressure
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,08-12-2019,16:00:00,16.10,31.5,1003.52,7.4,76,170,34.90,0.10,8.00,26.6,998.38
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,08-12-2019,16:00:00,3.60,31.7,1002.45,0.0,68,000,31.77,0.00,12.00,25.0,989.52
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,08-12-2019,16:00:00,0.00,32.0,1003.47,5.6,69,160,32.99,0.00,12.00,25.7,994.33
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,08-12-2019,16:00:00,0.10,33.2,1003.47,11.1,54,210,27.67,0.00,10.00,22.8,982.30
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,08-12-2019,16:00:00,0.00,33.6,1003.80,0.0,63,000,32.56,0.00,10.00,25.5,986.73
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,08-12-2019,16:00:00,17.70,32.5,1003.04,9.3,62,210,30.53,0.00,12.00,24.4,987.55
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,08-12-2019,16:00:00,4.40,33.0,1002.19,5.6,59,200,29.54,0.00,10.00,23.8,983.76
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,08-12-2019,16:00:00,7.80,28.0,1005.71,0.0,74,000,27.85,0.00,10.00,22.9,954.94
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,08-12-2019,16:00:00,0.80,32.6,1003.17,9.3,67,200,32.79,0.00,9.00,25.6,999.30
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,08-12-2019,16:00:00,4.70,22.8,1004.78,0.0,93,000,25.76,2.90,3.00,21.6,910.29
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,08-12-2019,16:00:00,4.30,33.0,1003.50,0.0,66,000,33.36,0.00,10.00,25.9,987.88
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,08-12-2019,16:00:00,0.01,32.7,1003.46,5.6,63,180,30.94,0.00,12.00,24.6,999.52
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,08-12-2019,16:00:00,9.00,32.4,1004.60,3.7,61,230,29.75,0.40,8.00,24.0,994.14
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,08-12-2019,16:00:00,4.30,32.4,1004.30,9.3,62,180,30.03,0.00,14.00,24.1,1002.41
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,08-12-2019,16:00:00,0.01,34.4,1002.67,18.5,44,230,23.93,0.00,12.00,20.4,982.40
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,08-12-2019,16:00:00,7.00,32.1,1003.49,14.8,65,210,30.86,0.00,10.00,24.6,986.18
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,08-12-2019,16:00:00,0.50,33.6,1002.90,11.1,61,180,31.67,0.00,10.00,25.0,987.16
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,08-12-2019,16:00:00,1.40,34.3,1003.68,3.7,55,220,29.92,0.00,10.00,24.0,990.03
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,08-12-2019,16:00:00,1.80,32.7,1004.21,5.6,63,160,30.94,0.00,10.00,24.6,989.70
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,08-12-2019,16:00:00,0.30,34.0,1004.63,7.4,62,240,32.84,0.00,10.00,25.6,990.33
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,08-12-2019,16:00:00,1.00,32.8,1003.69,0.0,63,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",31.15,0.00,10.00,24.7,1000.74
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,08-12-2019,16:00:00,2.20,32.5,1003.49,5.6,59,200,28.81,0.00,10.00,23.4,995.71
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,08-12-2019,16:00:00,8.10,31.5,1004.33,9.3,72,090,33.10,0.00,8.00,25.7,1003.24
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,08-12-2019,16:00:00,6.50,33.6,1004.08,0.0,48,000,25.13,0.00,8.00,21.2,989.75
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,08-12-2019,16:00:00,19.40,20.9,1005.95,1.9,99,180,24.46,1.80,.10,20.7,871.69
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,08-12-2019,16:00:00,18.90,32.8,1004.11,14.8,63,230,31.44,0.00,10.00,24.9,998.36
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,08-12-2019,16:00:00,0.00,34.7,1004.29,7.4,56,220,30.76,0.00,12.00,24.5,1003.51
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,08-12-2019,16:00:00,0.00,29.1,1005.16,11.1,74,210,29.65,0.00,10.00,23.9,1004.72
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,08-12-2019,16:00:00,45.50,28.0,1005.53,0.0,86,000,32.52,1.60,7.00,25.4,994.29
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,08-12-2019,16:00:00,6.30,33.5,1004.46,7.4,61,230,31.46,0.00,12.00,24.9,1003.47
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,08-12-2019,16:00:00,9.00,33.4,1004.22,0.0,59,000,30.37,0.00,10.00,24.3,1002.44
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,08-12-2019,16:00:00,3.00,32.6,1004.13,0.0,62,000,30.44,0.00,9.00,24.3,1003.38
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,08-12-2019,16:00:00,0.40,31.1,1005.18,25.9,66,190,29.68,0.00,10.00,23.9,1004.49
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,08-12-2019,16:00:00,0.01,34.5,1004.89,7.4,59,220,32.42,0.00,12.00,25.4,1004.21
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,08-12-2019,16:00:00,1.10,35.2,1003.48,5.6,43,270,24.64,0.00,12.00,20.9,982.96
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,08-12-2019,16:00:00,0.00,33.3,1004.10,11.1,61,210,31.03,0.00,11.00,24.7,987.77
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,08-12-2019,16:00:00,0.00,33.2,1004.58,3.7,65,190,32.89,0.00,11.00,25.6,988.52
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,08-12-2019,16:00:00,1.40,34.5,1003.69,7.4,51,260,28.02,0.00,10.00,23.0,982.44
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,08-12-2019,16:00:00,0.10,30.0,1004.69,0.0,65,000,27.55,0.00,14.00,22.7,961.97
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,08-12-2019,16:00:00,0.00,35.0,1003.66,11.1,47,260,26.47,0.00,10.00,22.0,983.70
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,08-12-2019,16:00:00,6.80,28.8,1005.85,3.7,92,160,36.22,0.40,10.00,27.3,985.18
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,08-12-2019,16:00:00,0.01,29.7,1005.41,29.6,79,190,32.83,0.00,10.00,25.6,1004.98
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,08-12-2019,16:00:00,0.30,31.5,1004.93,7.4,69,240,31.93,0.00,11.00,25.1,1003.54
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,08-12-2019,16:00:00,0.01,29.5,1005.45,0.0,79,000,32.71,0.01,9.00,25.5,1000.57
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,08-12-2019,16:00:00,23.60,30.6,1004.63,5.6,70,180,30.94,0.00,12.00,24.6,1001.39
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,08-12-2019,16:00:00,11.40,32.4,1004.57,0.0,64,000,31.19,0.00,10.00,24.7,1003.49
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,08-12-2019,16:00:00,0.01,31.0,1004.99,11.1,68,200,30.61,0.00,10.00,24.4,1004.70
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,08-12-2019,16:00:00,0.00,31.5,1004.92,14.8,68,250,31.35,0.00,10.00,24.8,1004.25
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,08-12-2019,16:00:00,0.00,31.5,1005.64,3.7,66,120,30.49,0.00,10.00,24.4,1005.16
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,08-12-2019,16:00:00,0.01,32.2,1004.64,18.5,64,170,30.77,0.00,10.00,24.5,1003.26
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,08-12-2019,16:00:00,0.00,28.3,1005.46,24.1,83,180,31.99,0.00,10.00,25.2,1003.79
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,08-12-2019,16:00:00,1.20,29.0,1007.09,5.6,71,240,28.37,0.00,10.00,23.2,999.13
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,08-12-2019,16:00:00,0.20,29.4,1005.01,11.1,75,160,30.80,0.00,12.00,24.5,1004.72
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,08-12-2019,16:00:00,19.80,27.8,1005.23,0.0,82,000,30.72,13.00,10.00,24.5,1002.11
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,08-12-2019,16:00:00,10.80,27.0,1005.70,0.0,94,000,33.62,3.70,10.00,26.0,998.77
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,08-12-2019,16:00:00,0.00,31.8,1005.34,5.6,67,200,31.68,0.00,8.00,25.0,999.84
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,08-12-2019,16:00:00,13.90,28.5,1005.56,11.1,81,120,31.54,5.60,10.00,24.9,996.31
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,08-12-2019,16:00:00,13.60,27.9,1006.15,0.0,93,000,34.90,10.20,14.00,26.6,1004.89
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,08-12-2019,16:00:00,3.00,29.7,1005.48,7.4,84,170,34.88,0.70,11.00,26.6,1005.05
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,08-12-2019,16:00:00,5.90,30.2,1005.69,7.4,65,230,27.93,0.10,10.00,22.9,993.57
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,08-12-2019,16:00:00,6.70,30.3,1005.30,7.4,72,240,30.91,4.60,10.00,24.6,1004.60
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,08-12-2019,16:00:00,11.00,30.0,1006.09,11.1,75,220,31.72,0.00,10.00,25.0,1003.68
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,08-12-2019,16:00:00,0.01,30.0,1006.01,11.1,78,220,33.17,0.00,10.00,25.8,1005.50
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,08-12-2019,16:00:00,1.30,29.8,1005.52,7.4,71,210,29.63,0.00,11.00,23.9,1000.42
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,08-12-2019,16:00:00,4.00,30.6,1006.64,14.8,73,180,32.09,0.00,8.00,25.2,1006.23
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,08-12-2019,16:00:00,2.40,30.5,1006.98,0.0,75,000,32.75,0.00,8.00,25.6,1004.24
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,08-12-2019,16:00:00,9.30,30.0,1006.64,0.0,75,000,31.72,1.50,10.00,25.0,1005.86
48501,TRAD,ตราด,ตราด,11.76667,102.88333,08-12-2019,16:00:00,77.70,27.0,1007.24,3.7,95,110,33.91,0.10,8.00,26.1,1006.78
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,08-12-2019,16:00:00,9.00,33.5,1005.54,5.6,58,250,29.99,0.00,8.00,24.1,1004.87
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,08-12-2019,16:00:00,11.20,33.0,1005.78,1.9,61,280,30.69,0.00,9.00,24.5,1004.29
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,08-12-2019,16:00:00,39.00,31.5,1006.63,7.4,67,230,31.06,0.00,10.00,24.7,1005.73
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,08-12-2019,16:00:00,0.00,30.8,1006.34,5.6,73,100,32.22,0.00,10.00,25.3,1005.66
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,08-12-2019,16:00:00,0.00,33.7,1006.34,7.4,66,210,34.30,0.00,10.00,26.3,1005.56
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,08-12-2019,16:00:00,0.00,33.2,1005.28,5.6,49,090,24.92,0.00,10.00,21.0,1004.66
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,08-12-2019,16:00:00,0.01,35.5,1005.70,7.4,52,200,30.10,0.00,10.00,24.2,1005.31
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,08-12-2019,16:00:00,0.00,33.2,1007.42,9.3,54,240,27.67,0.00,7.00,22.8,1003.30
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,08-12-2019,16:00:00,15.50,33.0,1005.54,9.3,55,250,27.84,0.00,10.00,22.9,1003.97
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,08-12-2019,16:00:00,0.50,33.7,1006.66,0.0,60,000,31.29,0.00,12.00,24.8,1003.26
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,08-12-2019,16:00:00,0.01,34.3,1005.54,3.7,47,270,25.38,0.00,10.00,21.3,1004.22
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,08-12-2019,16:00:00,11.50,31.2,1007.26,13.0,69,240,31.31,0.00,10.00,24.8,1006.39
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,08-12-2019,16:00:00,7.90,31.5,1007.13,9.3,64,220,29.63,0.00,10.00,23.9,1003.62
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,08-12-2019,16:00:00,3.20,33.2,1006.87,5.6,57,270,29.09,0.00,10.00,23.6,1006.44
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,08-12-2019,16:00:00,13.40,31.8,1006.77,3.7,64,200,30.24,0.00,10.00,24.2,1005.80
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,08-12-2019,16:00:00,8.40,31.9,1006.98,9.3,74,270,35.18,0.00,10.00,26.8,1006.18
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,08-12-2019,16:00:00,4.80,32.6,1006.45,9.3,60,230,29.30,0.00,14.00,23.7,1004.67
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,08-12-2019,16:00:00,0.00,33.9,1005.88,7.4,48,270,25.43,0.00,12.00,21.4,1005.15
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,08-12-2019,16:00:00,3.00,32.8,1006.30,9.3,59,170,29.42,0.00,10.00,23.8,1002.39
48570,SATUN,สตูล,สตูล,6.65000,100.08333,08-12-2019,16:00:00,1.60,32.5,1006.71,0.0,61,000,29.95,0.00,10.00,24.1,1006.04
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,08-12-2019,16:00:00,4.20,33.7,1006.64,5.6,55,210,28.68,0.00,12.00,23.3,1005.55
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,08-12-2019,16:00:00,1.10,33.3,1006.62,9.3,58,230,29.87,0.00,12.00,24.0,1003.76
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,08-12-2019,16:00:00,0.00,33.9,1005.88,0.0,65,000,34.44,0.00,11.00,26.4,1005.21
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,08-12-2019,16:00:00,0.10,34.6,1006.23,5.6,49,210,27.08,0.00,10.00,22.4,1002.21
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,08-12-2019,16:00:00,19.30,32.3,1006.92,13.0,66,100,31.86,0.00,12.00,25.1,1006.35
