WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MeanSeaLevelPressure,Date,Time,WindDirection,Rainfall,DewPoint,Rainfall24Hr,RelativeHumidity,StationPressure,VaporPressure,WindSpeed,AirTemperature,LandVisibility
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,1005.98,09-04-2019,22:00:00,000,3.00,24.0,15.40,94,984.15,29.79,0.0,25.0,7.00
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,1004.86,09-04-2019,22:00:00,200,3.30,24.4,10.80,98,985.28,30.56,3.7,24.7,7.00
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,1005.45,09-04-2019,22:00:00,000,2.50,23.8,34.80,96,988.60,29.41,0.0,24.5,7.00
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,1005.92,09-04-2019,22:00:00,000,3.30,23.8,53.40,97,988.39,29.49,0.0,24.4,7.00
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,1003.67,09-04-2019,22:00:00,130,1.60,25.8,1.80,90,978.04,33.21,7.4,27.5,8.00
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,1006.39,09-04-2019,22:00:00,250,0.00,24.3,0.00,80,1000.62,30.28,9.3,28.0,10.00
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,1006.55,09-04-2019,22:00:00,000,0.00,24.5,0.00,75,1000.42,30.72,0.0,29.5,10.00
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,1006.37,09-04-2019,22:00:00,000,0.00,24.6,0.00,84,989.98,30.89,0.0,27.6,8.00
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,1007.41,09-04-2019,22:00:00,180,0.80,23.0,2.70,91,984.91,28.03,3.7,24.6,8.00
48376,TAK,ตาก,ตาก,16.87833,99.14333,1007.45,09-04-2019,22:00:00,270,0.00,22.1,0.00,70,993.11,26.54,16.7,28.0,10.00
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,1006.81,09-04-2019,22:00:00,000,0.30,23.3,0.30,85,990.39,28.62,0.0,26.1,8.00
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,1006.67,09-04-2019,22:00:00,000,0.80,26.2,0.80,94,1001.45,33.95,0.0,27.3,10.00
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,1005.03,09-04-2019,22:00:00,000,0.00,24.8,0.00,88,991.86,31.38,0.0,27.0,10.00
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,1006.37,09-04-2019,22:00:00,000,0.00,25.0,0.01,90,997.05,31.63,0.0,26.7,10.00
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,1006.01,09-04-2019,22:00:00,090,0.01,25.1,0.01,91,984.33,31.91,7.4,26.7,9.00
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,1006.09,09-04-2019,22:00:00,000,0.80,23.6,14.50,84,988.58,29.08,0.0,26.5,7.00
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,1004.35,09-04-2019,22:00:00,220,2.10,24.0,37.70,98,988.42,29.84,3.7,24.3,10.00
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,1005.17,09-04-2019,22:00:00,030,0.00,22.7,0.00,83,986.25,27.56,5.6,25.8,7.00
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,1009.17,09-04-2019,22:00:00,000,0.00,21.7,3.40,95,957.30,26.01,0.0,22.5,5.00
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,1006.17,09-04-2019,22:00:00,130,0.00,25.0,0.00,87,1002.22,31.61,5.6,27.4,8.00
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,1007.71,09-04-2019,22:00:00,270,0.01,20.3,2.60,97,912.34,23.85,9.3,20.8,1.20
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,1005.93,09-04-2019,22:00:00,000,11.70,23.4,30.90,98,989.79,28.77,0.0,23.7,4.00
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,1006.77,09-04-2019,22:00:00,230,0.00,24.2,1.80,87,1002.73,30.16,5.6,26.5,8.00
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,1007.90,09-04-2019,22:00:00,180,0.00,24.0,0.00,85,997.21,29.91,3.7,26.8,7.00
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,1007.80,09-04-2019,22:00:00,180,0.00,22.0,0.10,76,1005.87,26.39,5.6,26.6,7.00
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,1006.06,09-04-2019,22:00:00,240,0.00,24.1,0.40,85,985.22,30.10,5.6,26.9,10.00
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,1006.38,09-04-2019,22:00:00,240,14.80,22.3,30.40,96,988.49,26.91,5.6,22.9,5.00
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,1006.14,09-04-2019,22:00:00,250,4.80,22.9,18.00,95,989.82,27.92,7.4,23.8,6.00
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,1005.78,09-04-2019,22:00:00,000,1.50,24.3,112.30,96,991.67,30.32,0.0,25.0,10.00
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,1006.11,09-04-2019,22:00:00,000,0.60,24.4,104.20,97,991.19,30.48,0.0,24.8,8.00
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,1006.49,09-04-2019,22:00:00,220,2.40,24.9,109.30,98,991.74,31.49,7.4,25.2,3.00
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,1006.98,09-04-2019,22:00:00,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",0.00,24.5,8.50,88,1003.96,30.81,0.0,26.7,10.00
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,1006.69,09-04-2019,22:00:00,000,0.00,24.4,15.30,80,998.77,30.48,0.0,28.1,7.00
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,1007.58,09-04-2019,22:00:00,000,0.00,25.2,0.00,86,1006.47,32.12,0.0,27.8,8.00
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,1005.20,09-04-2019,22:00:00,000,5.20,23.8,90.30,96,990.42,29.41,0.0,24.5,2.00
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,1009.20,09-04-2019,22:00:00,290,0.00,18.9,4.00,100,873.67,21.82,11.1,18.9,.05
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,1007.46,09-04-2019,22:00:00,210,0.00,24.8,1.20,90,1001.57,31.35,3.7,26.7,10.00
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,1008.20,09-04-2019,22:00:00,280,0.00,24.4,0.00,80,1007.40,30.48,3.7,28.1,8.00
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,1008.14,09-04-2019,22:00:00,230,0.00,24.2,0.20,78,1007.69,30.23,11.1,28.4,10.00
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,1009.64,09-04-2019,22:00:00,000,2.10,23.8,14.50,97,998.21,29.49,0.0,24.4,3.00
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,1008.08,09-04-2019,22:00:00,000,0.00,23.3,0.01,76,1007.07,28.55,0.0,27.8,10.00
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,1007.89,09-04-2019,22:00:00,150,0.00,23.8,0.00,80,1006.06,29.52,3.7,27.6,7.00
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,1008.36,09-04-2019,22:00:00,230,0.00,22.2,0.60,73,1007.60,26.69,7.4,27.5,5.00
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,1008.36,09-04-2019,22:00:00,200,0.00,24.3,0.40,82,1007.65,30.34,5.6,27.6,10.00
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,1008.00,09-04-2019,22:00:00,280,0.00,25.7,1.60,91,1007.30,33.09,3.7,27.3,7.00
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,1006.93,09-04-2019,22:00:00,260,0.00,23.8,2.10,83,985.78,29.56,3.7,26.9,10.00
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,1006.24,09-04-2019,22:00:00,000,0.00,23.9,38.90,90,989.47,29.74,0.0,25.7,7.00
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,1006.51,09-04-2019,22:00:00,180,0.00,24.0,34.00,92,990.00,29.91,3.7,25.5,6.00
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,1007.03,09-04-2019,22:00:00,000,0.00,23.7,12.10,86,985.12,29.25,0.0,26.3,10.00
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,1007.87,09-04-2019,22:00:00,240,0.00,21.9,1.00,81,964.39,26.28,11.1,25.5,10.00
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,1006.38,09-04-2019,22:00:00,220,0.00,22.7,17.80,79,985.82,27.60,7.4,26.7,10.00
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,1007.33,09-04-2019,22:00:00,230,0.00,24.7,15.00,94,986.42,31.08,11.1,25.7,8.00
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,1008.45,09-04-2019,22:00:00,260,0.00,23.0,0.20,74,1008.02,28.04,5.6,28.1,10.00
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,1007.84,09-04-2019,22:00:00,000,0.00,24.6,1.80,94,1006.41,30.90,0.0,25.6,6.00
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,1008.40,09-04-2019,22:00:00,000,0.00,25.8,3.70,96,1003.46,33.19,0.0,26.5,7.00
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,1008.39,09-04-2019,22:00:00,000,0.00,23.3,1.70,80,1005.09,28.67,0.0,27.0,10.00
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,1008.33,09-04-2019,22:00:00,000,0.00,24.8,0.50,88,1007.23,31.38,0.0,27.0,10.00
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,1008.49,09-04-2019,22:00:00,000,0.00,24.8,0.20,82,1008.19,31.31,0.0,28.1,10.00
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,1008.14,09-04-2019,22:00:00,270,0.00,24.6,0.30,84,1007.65,30.97,1.9,27.5,10.00
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,1008.60,09-04-2019,22:00:00,240,0.00,25.0,0.01,82,1007.20,31.70,11.1,28.3,10.00
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,1009.51,09-04-2019,22:00:00,180,0.00,24.4,1.90,93,1001.45,30.63,7.4,25.6,10.00
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,1008.49,09-04-2019,22:00:00,000,0.00,24.4,0.30,81,1008.21,30.56,0.0,28.0,10.00
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,1008.62,09-04-2019,22:00:00,000,0.00,24.6,0.70,84,1005.48,30.97,0.0,27.5,10.00
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,1008.51,09-04-2019,22:00:00,240,0.00,23.8,3.60,80,1001.58,29.52,7.4,27.6,10.00
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,1008.16,09-04-2019,22:00:00,260,0.00,24.7,16.20,93,1002.54,31.11,5.6,26.0,10.00
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,1008.88,09-04-2019,22:00:00,000,0.01,23.4,0.01,81,1007.61,28.76,0.0,26.9,10.00
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,1008.64,09-04-2019,22:00:00,000,0.40,24.5,3.90,87,1008.20,30.83,0.0,27.0,11.00
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,1008.83,09-04-2019,22:00:00,000,0.00,23.8,4.80,92,996.49,29.54,0.0,25.3,10.00
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,1008.38,09-04-2019,22:00:00,000,0.00,23.2,0.30,79,1007.66,28.51,0.0,27.2,10.00
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,1008.72,09-04-2019,22:00:00,240,0.01,24.2,3.70,81,1006.29,30.26,7.4,27.7,10.00
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,1008.95,09-04-2019,22:00:00,250,0.00,25.1,3.30,85,1008.43,31.95,13.0,28.0,10.00
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,1008.96,09-04-2019,22:00:00,000,0.00,24.6,2.10,89,1003.79,30.89,0.0,26.6,9.00
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,1009.01,09-04-2019,22:00:00,000,0.00,25.1,27.60,96,1008.60,31.82,0.0,25.8,7.00
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,1009.20,09-04-2019,22:00:00,000,0.00,24.6,69.30,97,1006.41,30.96,0.0,25.2,8.00
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,1009.78,09-04-2019,22:00:00,000,0.00,23.4,5.30,83,1008.99,28.82,0.0,26.5,10.00
48501,TRAD,ตราด,ตราด,11.76667,102.88333,1009.28,09-04-2019,22:00:00,280,0.00,25.3,123.50,96,1008.82,32.20,5.6,26.0,6.00
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,1010.53,09-04-2019,22:00:00,000,0.60,23.9,33.10,97,1009.84,29.57,0.0,24.3,7.00
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,1009.32,09-04-2019,22:00:00,000,0.00,23.6,12.40,93,1007.77,29.16,0.0,24.8,7.00
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,1010.25,09-04-2019,22:00:00,190,6.80,23.5,56.50,93,1009.33,28.98,3.7,24.7,7.00
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,1007.50,09-04-2019,22:00:00,000,0.00,24.4,0.30,82,1006.81,30.53,0.0,27.7,10.00
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,1010.98,09-04-2019,22:00:00,000,0.00,24.7,0.90,95,1010.18,31.17,0.0,25.6,8.00
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,1010.35,09-04-2019,22:00:00,060,0.00,24.7,0.30,87,1009.72,31.11,3.7,27.0,10.00
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,1010.49,09-04-2019,22:00:00,210,0.00,24.6,1.00,92,1010.09,30.84,7.4,26.0,10.00
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,1012.34,09-04-2019,22:00:00,000,0.00,24.4,16.00,97,1008.08,30.48,0.0,24.8,4.00
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,1011.07,09-04-2019,22:00:00,000,0.00,25.1,0.00,97,1009.45,31.79,0.0,25.5,10.00
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,1011.11,09-04-2019,22:00:00,000,0.00,24.6,0.00,92,1007.61,30.84,0.0,26.0,10.00
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,1010.31,09-04-2019,22:00:00,000,0.00,25.2,0.00,85,1008.96,32.03,0.0,27.9,8.00
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,1010.26,09-04-2019,22:00:00,000,0.00,25.5,0.00,88,1009.37,32.68,0.0,27.8,10.00
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,1010.88,09-04-2019,22:00:00,000,0.00,25.0,0.00,93,1007.30,31.76,0.0,26.2,10.00
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,1010.28,09-04-2019,22:00:00,000,0.00,25.1,2.80,85,1009.85,31.95,0.0,28.0,10.00
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,1010.60,09-04-2019,22:00:00,270,0.00,24.7,0.00,78,1009.61,31.13,9.3,29.0,10.00
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,1010.91,09-04-2019,22:00:00,080,0.00,25.1,0.00,90,1010.09,31.82,7.4,26.8,10.00
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,1010.65,09-04-2019,22:00:00,000,0.00,24.7,0.00,89,1008.83,31.08,0.0,26.7,10.00
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,1010.45,09-04-2019,22:00:00,220,0.00,24.5,0.00,79,1009.70,30.70,7.4,28.5,8.00
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,1010.52,09-04-2019,22:00:00,230,0.00,24.9,0.00,91,1006.50,31.52,5.6,26.5,8.00
48570,SATUN,สตูล,สตูล,6.65000,100.08333,1010.88,09-04-2019,22:00:00,000,0.00,25.9,0.00,88,1010.20,33.49,0.0,28.2,10.00
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,1010.93,09-04-2019,22:00:00,000,0.00,25.1,0.00,87,1009.81,31.80,0.0,27.5,10.00
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,1010.52,09-04-2019,22:00:00,000,0.00,24.7,0.00,86,1007.60,31.14,0.0,27.3,10.00
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,1009.81,09-04-2019,22:00:00,000,0.00,26.0,0.00,91,1009.12,33.62,0.0,27.7,8.00
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,1010.74,09-04-2019,22:00:00,000,0.00,22.8,0.00,80,1006.60,27.77,0.0,26.5,6.00
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,1010.43,09-04-2019,22:00:00,150,0.00,21.7,0.00,79,1009.84,25.94,9.3,25.6,10.00
