WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MeanSeaLevelPressure,Date,Time,LandVisibility,Rainfall24Hr,WindSpeed,WindDirection,Rainfall,RelativeHumidity,DewPoint,StationPressure,AirTemperature,VaporPressure
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,1006.61,08-11-2019,22:00:00,8.00,4.50,0.0,000,0.01,95,25.6,1005.35,26.5,32.91
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,1006.25,08-11-2019,22:00:00,11.00,18.00,7.4,210,0.30,89,24.2,1005.82,26.2,30.13
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,1006.90,08-11-2019,22:00:00,8.00,10.90,0.0,000,0.70,93,23.3,994.54,24.5,28.63
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,1006.26,08-11-2019,22:00:00,10.00,13.40,0.0,000,0.30,88,23.4,1005.55,25.5,28.85
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,1006.58,08-11-2019,22:00:00,10.00,11.00,7.4,200,0.00,86,24.3,1004.15,26.8,30.45
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,1006.84,08-11-2019,22:00:00,10.00,0.01,16.7,250,0.00,81,24.9,1006.32,28.5,31.54
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,1006.92,08-11-2019,22:00:00,9.00,1.30,3.7,210,0.00,86,24.2,1001.77,26.8,30.18
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,1007.17,08-11-2019,22:00:00,7.00,2.00,0.0,000,1.30,90,25.0,1006.75,26.7,31.63
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,1007.65,08-11-2019,22:00:00,8.00,10.50,0.0,000,2.00,96,25.3,1004.87,26.0,32.20
48501,TRAD,ตราด,ตราด,11.76667,102.88333,1007.89,08-11-2019,22:00:00,5.00,71.70,1.9,090,18.30,98,24.2,1007.42,24.5,30.20
