WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,LandVisibility,Date,Time,RelativeHumidity,StationPressure,MaximumTemperature,AirTemperature,VaporPressure,Rainfall,MeanSeaLevelPressure,WindSpeed,WindDirection,DewPoint,Rainfall24Hr
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,9.00,10-05-2019,19:00:00,94,989.94,32.2,25.5,30.71,0.00,1010.94,0.0,000,24.5,3.90
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,10.00,10-05-2019,19:00:00,75,1009.31,32.3,28.4,28.86,0.00,1009.74,0.0,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",23.5,0.00
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,8.00,10-05-2019,19:00:00,88,1007.52,33.4,26.0,29.50,0.10,1008.94,0.0,000,23.8,0.10
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,9.00,10-05-2019,19:00:00,94,1004.18,31.8,25.7,31.08,0.00,1009.14,0.0,000,24.7,6.20
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,10.00,10-05-2019,19:00:00,84,1007.03,34.0,26.5,29.08,0.00,1010.34,0.0,000,23.6,4.30
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,10.00,10-05-2019,19:00:00,86,1008.51,33.7,27.0,30.56,0.00,1009.62,0.0,000,24.4,0.00
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,8.00,10-05-2019,19:00:00,92,1008.87,31.6,25.7,30.28,0.60,1009.18,0.0,000,24.2,55.80
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,8.00,10-05-2019,19:00:00,92,1008.60,30.8,26.0,30.84,5.20,1009.29,3.7,230,24.6,20.40
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,10.00,10-05-2019,19:00:00,92,1009.16,34.3,25.7,30.28,0.40,1009.65,0.0,000,24.2,12.50
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,10.00,10-05-2019,19:00:00,88,1008.25,32.0,26.0,29.50,3.00,1009.66,9.3,340,23.8,3.00
