WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindDirection,Date,Time,VaporPressure,WindSpeed,AirTemperature,Rainfall,LandVisibility,StationPressure,MeanSeaLevelPressure,Rainfall24Hr,RelativeHumidity,DewPoint
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,080,10-16-2019,10:00:00,26.21,13.0,30.0,0.00,15.00,987.93,1013.61,0.00,62,21.9
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,000,10-16-2019,10:00:00,29.32,0.0,31.2,0.00,10.00,1008.65,1014.40,0.00,65,23.7
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,310,10-16-2019,10:00:00,28.65,9.3,31.0,0.00,12.00,1008.85,1015.01,0.00,64,23.3
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,000,10-16-2019,10:00:00,25.80,0.0,30.5,0.00,12.00,998.99,1015.37,0.00,59,21.6
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,070,10-16-2019,10:00:00,26.37,14.8,29.8,0.00,10.00,990.45,1012.69,0.00,63,22.0
48376,TAK,ตาก,ตาก,16.87833,99.14333,300,10-16-2019,10:00:00,30.59,5.6,28.3,0.00,7.00,1001.35,1015.80,0.00,80,24.4
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,000,10-16-2019,10:00:00,27.39,0.0,30.2,0.00,8.00,999.39,1015.74,0.00,64,22.6
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,120,10-16-2019,10:00:00,27.49,3.7,31.4,0.00,10.00,1009.15,1014.34,0.00,60,22.6
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,060,10-16-2019,10:00:00,29.06,7.4,30.5,0.00,12.00,1000.08,1013.20,0.00,67,23.6
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,290,10-16-2019,10:00:00,30.80,3.7,29.4,0.00,13.00,1005.58,1014.90,7.50,75,24.5
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,050,10-16-2019,10:00:00,26.82,11.1,29.9,0.00,10.00,993.22,1014.86,12.20,64,22.2
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,070,10-16-2019,10:00:00,29.24,11.1,31.3,0.00,12.00,996.92,1014.30,1.10,64,23.7
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,050,10-16-2019,10:00:00,30.08,11.1,32.0,0.00,12.00,998.66,1014.35,0.00,63,24.1
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,050,10-16-2019,10:00:00,27.30,13.0,30.3,0.00,10.00,994.92,1013.72,4.50,63,22.5
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,000,10-16-2019,10:00:00,26.60,0.0,24.8,0.00,10.00,961.94,1013.65,0.00,85,22.1
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,000,10-16-2019,10:00:00,27.85,0.0,32.3,0.00,9.00,1009.96,1013.87,0.00,58,22.9
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,070,10-16-2019,10:00:00,23.84,14.8,23.1,0.00,8.00,919.51,1014.85,21.90,84,20.3
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,090,10-16-2019,10:00:00,28.04,11.1,29.4,0.00,10.00,998.33,1014.31,1.60,68,23.0
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,090,10-16-2019,10:00:00,29.07,3.7,31.5,0.00,10.00,1010.45,1014.45,0.00,63,23.6
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,030,10-16-2019,10:00:00,26.91,3.7,29.8,0.00,10.00,1004.17,1014.82,0.00,64,22.3
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,360,10-16-2019,10:00:00,26.89,9.3,30.8,0.00,12.00,1012.53,1014.45,0.00,61,22.3
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,030,10-16-2019,10:00:00,24.89,14.8,30.0,0.00,12.00,993.43,1014.24,1.90,59,21.0
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,060,10-16-2019,10:00:00,26.21,18.5,30.0,0.00,11.00,996.30,1013.91,0.00,62,21.9
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,020,10-16-2019,10:00:00,27.57,14.8,30.3,0.00,10.00,997.81,1013.91,0.00,64,22.7
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,060,10-16-2019,10:00:00,26.83,11.1,31.2,0.00,10.00,999.70,1013.63,0.10,59,22.2
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,000,10-16-2019,10:00:00,28.26,0.0,27.5,0.00,9.00,1000.11,1015.03,22.00,77,23.1
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,050,10-16-2019,10:00:00,31.39,5.6,30.4,0.00,10.00,999.24,1013.85,0.00,72,24.9
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",10-16-2019,10:00:00,28.12,0.0,30.3,0.00,10.00,1010.64,1013.64,0.00,65,23.0
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,010,10-16-2019,10:00:00,25.45,9.3,31.9,0.00,10.00,1006.18,1014.06,0.00,54,21.4
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,040,10-16-2019,10:00:00,28.40,18.5,31.3,0.00,9.00,1012.79,1013.89,0.00,62,23.2
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,000,10-16-2019,10:00:00,29.74,0.0,29.0,0.00,8.00,999.52,1014.21,0.00,74,23.9
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,050,10-16-2019,10:00:00,22.42,3.7,19.5,0.00,.10,879.01,1015.08,0.00,99,19.3
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,070,10-16-2019,10:00:00,27.76,7.4,30.4,0.00,10.00,1008.42,1014.27,0.00,64,22.8
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,040,10-16-2019,10:00:00,29.95,13.0,32.5,0.00,8.00,1012.58,1013.37,0.00,61,24.1
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,120,10-16-2019,10:00:00,28.32,20.4,31.4,0.00,10.00,1012.61,1013.05,0.00,62,23.1
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,000,10-16-2019,10:00:00,27.79,0.0,30.7,0.00,10.00,1002.58,1013.82,0.00,63,22.8
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,090,10-16-2019,10:00:00,28.20,16.7,31.2,0.00,7.00,1012.87,1013.87,0.00,62,23.1
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,050,10-16-2019,10:00:00,26.06,13.0,30.5,0.00,10.00,1012.08,1013.89,0.00,60,21.8
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,040,10-16-2019,10:00:00,29.73,3.7,30.7,0.00,10.00,1013.19,1013.95,0.00,67,23.9
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,040,10-16-2019,10:00:00,28.67,13.0,30.3,0.00,10.00,1012.99,1013.69,0.01,66,23.3
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,060,10-16-2019,10:00:00,26.86,7.4,32.5,0.00,10.00,1012.36,1013.05,0.01,55,22.3
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,080,10-16-2019,10:00:00,26.85,11.1,28.9,0.00,10.00,993.31,1014.48,0.00,67,22.3
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,360,10-16-2019,10:00:00,27.21,9.3,29.1,0.00,8.00,997.21,1013.92,0.00,68,22.5
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,010,10-16-2019,10:00:00,29.52,5.6,29.6,0.00,9.00,998.09,1014.50,0.01,71,23.8
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,000,10-16-2019,10:00:00,28.10,0.0,27.7,0.00,10.00,992.66,1014.63,0.00,76,23.0
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,080,10-16-2019,10:00:00,25.95,25.9,26.2,0.00,10.00,970.53,1014.19,0.00,76,21.7
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,030,10-16-2019,10:00:00,27.42,11.1,29.5,0.00,10.00,993.50,1014.03,1.30,67,22.6
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,040,10-16-2019,10:00:00,31.59,18.5,28.1,0.00,10.00,994.98,1015.90,1.40,83,25.0
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",10-16-2019,10:00:00,32.93,0.0,31.0,0.00,10.00,1012.56,1012.99,0.00,73,25.7
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,060,10-16-2019,10:00:00,32.17,3.7,29.8,0.00,11.00,1011.75,1013.16,6.70,77,25.3
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,000,10-16-2019,10:00:00,29.73,0.0,30.7,0.00,10.00,1008.00,1012.90,0.00,67,23.9
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,030,10-16-2019,10:00:00,28.97,7.4,30.6,0.00,12.00,1010.64,1013.92,0.00,66,23.5
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,060,10-16-2019,10:00:00,30.49,3.7,30.8,0.00,10.00,1012.75,1013.85,0.00,69,24.4
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,060,10-16-2019,10:00:00,29.76,13.0,31.0,0.00,10.00,1013.31,1013.61,3.30,66,24.0
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,080,10-16-2019,10:00:00,30.53,7.4,32.5,0.00,10.00,1012.44,1013.12,0.50,62,24.4
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,140,10-16-2019,10:00:00,31.93,5.6,31.5,0.00,10.00,1011.87,1012.35,1.60,69,25.1
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,040,10-16-2019,10:00:00,30.41,11.1,30.9,0.00,10.00,1012.16,1013.56,2.20,68,24.3
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,060,10-16-2019,10:00:00,30.63,25.9,29.6,0.00,10.00,1011.67,1013.34,0.00,74,24.4
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,000,10-16-2019,10:00:00,30.14,0.0,30.2,0.00,10.00,1007.20,1015.19,0.50,70,24.2
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,040,10-16-2019,10:00:00,30.61,5.6,32.4,0.00,12.00,1012.61,1012.89,0.00,63,24.4
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,200,10-16-2019,10:00:00,32.09,5.6,30.6,0.00,12.00,1009.47,1012.58,0.00,73,25.2
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,060,10-16-2019,10:00:00,29.48,9.3,31.0,0.00,10.00,1005.55,1012.44,0.00,66,23.8
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,110,10-16-2019,10:00:00,33.38,5.6,26.6,0.00,10.00,1008.07,1013.72,8.50,96,25.9
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,080,10-16-2019,10:00:00,31.77,13.0,31.7,0.00,10.00,1004.45,1013.68,0.00,68,25.0
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,340,10-16-2019,10:00:00,32.38,3.7,29.2,0.00,12.00,1012.71,1013.97,0.20,80,25.4
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,060,10-16-2019,10:00:00,32.26,18.5,31.1,0.00,8.00,1012.66,1013.09,0.01,71,25.3
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,040,10-16-2019,10:00:00,31.98,11.1,29.0,0.00,4.00,1001.09,1013.34,1.70,80,25.2
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,060,10-16-2019,10:00:00,35.72,5.6,30.5,0.00,8.00,1012.19,1012.90,9.20,82,27.0
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,060,10-16-2019,10:00:00,31.74,7.4,32.8,0.00,10.00,1010.44,1012.84,14.20,64,25.0
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,080,10-16-2019,10:00:00,29.92,9.3,31.5,0.00,10.00,1011.97,1012.48,6.40,65,24.0
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,360,10-16-2019,10:00:00,29.48,9.3,31.0,0.00,15.00,1007.42,1012.53,0.01,66,23.8
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,020,10-16-2019,10:00:00,30.14,11.1,30.2,0.00,8.00,1012.02,1012.43,0.80,70,24.2
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,210,10-16-2019,10:00:00,31.27,9.3,32.3,0.00,8.00,1009.67,1012.40,0.00,65,24.8
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,000,10-16-2019,10:00:00,30.63,0.0,25.6,12.60,10.00,1012.10,1012.90,12.60,93,24.4
48501,TRAD,ตราด,ตราด,11.76667,102.88333,100,10-16-2019,10:00:00,30.86,11.1,32.8,0.00,10.00,1011.30,1011.75,6.30,62,24.6
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,080,10-16-2019,10:00:00,33.41,7.4,29.7,0.20,8.00,1011.39,1012.07,1.30,80,25.9
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,000,10-16-2019,10:00:00,31.31,0.0,30.5,0.00,8.00,1010.41,1011.92,0.60,72,24.8
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,060,10-16-2019,10:00:00,32.18,3.7,31.2,0.00,10.00,1010.89,1011.79,0.30,71,25.3
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,080,10-16-2019,10:00:00,33.80,20.4,30.3,0.00,10.00,1011.52,1012.21,0.00,78,26.1
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,080,10-16-2019,10:00:00,32.38,3.7,29.2,0.00,10.00,1011.34,1012.14,0.01,80,25.4
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,030,10-16-2019,10:00:00,33.29,3.7,29.5,0.00,10.00,1011.28,1011.91,7.80,81,25.8
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,050,10-16-2019,10:00:00,32.26,7.4,30.4,0.00,10.00,1011.55,1011.95,12.30,74,25.3
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,000,10-16-2019,10:00:00,32.13,0.0,27.1,0.00,6.00,1009.48,1013.72,0.00,90,25.2
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,000,10-16-2019,10:00:00,30.01,0.0,29.0,0.00,12.00,1010.22,1011.83,0.40,75,24.1
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,000,10-16-2019,10:00:00,32.13,0.0,29.5,0.00,12.00,1008.00,1011.46,2.80,78,25.2
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,060,10-16-2019,10:00:00,31.48,7.4,30.3,0.00,10.00,1010.45,1011.80,2.50,73,24.9
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,060,10-16-2019,10:00:00,29.20,9.3,31.0,0.00,15.00,1010.67,1011.54,17.70,65,23.6
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,000,10-16-2019,10:00:00,29.98,0.0,30.4,0.00,10.00,1008.01,1011.54,1.60,69,24.1
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,000,10-16-2019,10:00:00,30.05,0.0,31.0,0.00,10.00,1010.98,1011.42,0.40,67,24.1
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,060,10-16-2019,10:00:00,29.76,9.3,31.0,0.00,10.00,1010.02,1011.00,2.90,66,24.0
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,080,10-16-2019,10:00:00,35.70,5.6,29.8,0.00,112.00,1010.61,1011.42,20.80,85,27.0
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,160,10-16-2019,10:00:00,32.13,5.6,29.5,0.00,10.00,1009.86,1011.67,1.30,78,25.2
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,280,10-16-2019,10:00:00,30.28,3.7,28.0,0.70,12.00,1011.11,1011.86,0.80,80,24.3
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,300,10-16-2019,10:00:00,32.27,9.3,28.3,0.00,10.00,1007.80,1011.80,7.20,84,25.3
48570,SATUN,สตูล,สตูล,6.65000,100.08333,000,10-16-2019,10:00:00,30.61,0.0,31.0,0.00,10.00,1010.23,1010.91,4.40,68,24.4
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,310,10-16-2019,10:00:00,31.79,7.4,28.2,0.00,12.00,1010.35,1011.47,0.80,83,25.1
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,060,10-16-2019,10:00:00,33.46,5.6,30.0,0.00,11.00,1008.60,1011.50,10.80,79,25.9
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,000,10-16-2019,10:00:00,33.40,0.0,31.5,0.00,12.00,1010.24,1010.92,10.60,72,25.9
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,000,10-16-2019,10:00:00,30.26,0.0,30.4,0.00,8.00,1007.86,1011.96,1.30,70,24.2
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,090,10-16-2019,10:00:00,30.01,9.3,30.7,0.00,10.00,1010.59,1011.17,0.00,68,24.1
