WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,RelativeHumidity,Date,Time,MeanSeaLevelPressure,LandVisibility,AirTemperature,StationPressure,Rainfall,DewPoint,Rainfall24Hr,WindSpeed,WindDirection,VaporPressure
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,75,08-26-2019,10:00:00,1007.17,10.00,28.3,993.20,0.00,23.5,8.20,5.6,240,28.95
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,81,08-26-2019,10:00:00,1007.63,10.00,28.2,992.85,0.00,24.6,8.40,0.0,000,30.95
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,92,08-26-2019,10:00:00,1007.78,8.00,26.1,993.05,0.01,24.7,7.80,7.4,270,31.05
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,80,08-26-2019,10:00:00,1007.95,10.00,28.1,1004.94,0.01,24.4,14.90,0.0,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",30.48
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,77,08-26-2019,10:00:00,1007.61,10.00,28.0,999.68,0.00,23.6,0.20,5.6,180,29.19
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,76,08-26-2019,10:00:00,1008.63,8.00,28.2,1007.53,0.00,23.5,1.00,14.8,200,29.03
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,87,08-26-2019,10:00:00,1004.57,9.00,28.3,989.99,0.00,25.9,9.10,0.0,000,33.41
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,100,08-26-2019,10:00:00,1009.99,.05,19.1,874.44,0.40,19.1,73.80,11.1,290,22.09
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,86,08-26-2019,10:00:00,1008.35,9.00,27.1,1002.46,0.00,24.5,14.10,5.6,190,30.75
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,74,08-26-2019,10:00:00,1008.91,8.00,28.9,1008.11,0.00,23.8,12.30,18.5,230,29.54
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,78,08-26-2019,10:00:00,1008.86,10.00,29.0,1008.42,0.30,24.7,5.70,14.8,240,31.13
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,94,08-26-2019,10:00:00,1009.72,3.00,25.7,998.34,0.30,24.7,23.30,0.0,000,31.08
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,78,08-26-2019,10:00:00,1008.80,12.00,28.5,1007.79,0.00,24.2,2.60,3.7,190,30.15
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,79,08-26-2019,10:00:00,1008.63,8.00,28.0,1006.81,0.00,23.9,3.20,9.3,200,29.74
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,76,08-26-2019,10:00:00,1008.62,9.00,27.8,1007.85,0.01,23.1,1.20,7.4,230,28.28
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,76,08-26-2019,10:00:00,1009.14,10.00,28.0,1008.43,0.01,23.3,7.00,22.2,260,28.65
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,78,08-26-2019,10:00:00,1008.84,7.00,29.3,1008.14,0.00,25.0,28.30,5.6,270,31.73
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,66,08-26-2019,10:00:00,1007.54,10.00,29.4,986.54,0.00,22.5,36.70,9.3,260,27.24
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,89,08-26-2019,10:00:00,1007.82,8.00,26.2,991.05,0.20,24.2,38.50,5.6,230,30.13
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,84,08-26-2019,10:00:00,1008.11,7.00,26.8,991.66,0.00,23.9,60.00,5.6,270,29.64
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,77,08-26-2019,10:00:00,1008.12,10.00,28.0,986.32,0.00,23.6,4.30,0.0,000,29.19
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,76,08-26-2019,10:00:00,1008.36,8.00,26.4,964.98,0.01,21.9,1.40,22.2,240,26.30
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,81,08-26-2019,10:00:00,1007.93,9.00,27.2,987.37,0.00,23.6,4.80,14.8,210,29.04
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,92,08-26-2019,10:00:00,1009.11,8.00,27.0,988.26,0.00,25.6,4.80,11.1,230,32.77
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,87,08-26-2019,10:00:00,1009.15,10.00,26.1,1008.71,2.10,23.8,6.00,7.4,230,29.41
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,84,08-26-2019,10:00:00,1008.61,11.00,28.4,1007.20,0.00,25.4,48.40,7.4,250,32.47
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,83,08-26-2019,10:00:00,1008.63,8.00,28.5,1003.72,0.01,25.4,21.10,0.0,000,32.39
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,87,08-26-2019,10:00:00,1008.96,12.00,27.0,1005.66,1.00,24.5,10.10,5.6,230,30.83
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,82,08-26-2019,10:00:00,1008.78,5.00,28.0,1007.67,0.10,24.6,3.60,0.0,000,30.84
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,75,08-26-2019,10:00:00,1008.99,9.00,28.5,1008.69,0.80,23.6,6.70,11.1,270,29.05
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,75,08-26-2019,10:00:00,1008.78,10.00,28.5,1008.09,0.00,23.7,5.60,7.4,250,29.33
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,77,08-26-2019,10:00:00,1008.29,10.00,28.3,1007.80,0.00,23.8,4.90,0.0,000,29.49
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,74,08-26-2019,10:00:00,1009.19,10.00,29.1,1007.79,0.00,24.1,11.40,22.2,230,29.93
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,93,08-26-2019,10:00:00,1009.24,10.00,27.0,1007.56,0.01,25.7,2.90,24.1,240,33.06
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,76,08-26-2019,10:00:00,1011.13,10.00,28.8,1003.14,0.00,24.0,5.20,7.4,230,29.90
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,79,08-26-2019,10:00:00,1009.52,8.00,28.1,1009.24,0.00,24.1,2.40,5.6,260,29.93
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,84,08-26-2019,10:00:00,1009.16,10.00,27.5,1006.02,0.50,24.6,0.50,9.3,300,30.97
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,81,08-26-2019,10:00:00,1009.52,12.00,28.0,1002.58,0.00,24.4,4.30,7.4,240,30.56
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,78,08-26-2019,10:00:00,1008.79,7.00,28.8,1003.21,0.01,24.5,11.80,7.4,300,30.73
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,76,08-26-2019,10:00:00,1010.57,10.00,28.6,1001.28,0.00,24.0,24.50,20.4,300,29.79
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,86,08-26-2019,10:00:00,1009.70,12.00,27.0,1008.43,2.50,24.4,6.00,7.4,140,30.56
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,92,08-26-2019,10:00:00,1009.30,11.00,25.3,1008.87,4.30,23.8,7.70,11.1,270,29.54
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,91,08-26-2019,10:00:00,1009.74,8.00,24.5,997.35,3.20,23.0,6.50,0.0,000,28.11
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,92,08-26-2019,10:00:00,1009.51,7.00,25.6,1008.79,4.00,24.1,5.30,7.4,260,30.09
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,81,08-26-2019,10:00:00,1009.67,10.00,28.0,1007.24,0.30,24.4,3.00,7.4,240,30.56
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,80,08-26-2019,10:00:00,1009.90,10.00,27.8,1009.38,0.01,24.0,0.90,18.5,300,29.90
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,82,08-26-2019,10:00:00,1009.46,13.00,28.1,1004.32,0.01,24.7,2.70,5.6,220,31.03
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,82,08-26-2019,10:00:00,1009.91,8.00,28.0,1009.49,0.01,24.7,1.60,0.0,000,31.11
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,85,08-26-2019,10:00:00,1009.39,8.00,28.0,1006.63,0.20,25.1,2.10,7.4,270,31.95
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,79,08-26-2019,10:00:00,1010.00,8.00,27.1,1009.22,3.60,23.1,7.30,0.0,000,28.33
48501,TRAD,ตราด,ตราด,11.76667,102.88333,84,08-26-2019,10:00:00,1010.10,8.00,28.5,1009.64,0.00,25.5,21.30,5.6,230,32.67
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,78,08-26-2019,10:00:00,1010.52,12.00,27.6,1009.84,0.00,23.4,1.20,9.3,280,28.71
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,69,08-26-2019,10:00:00,1010.42,9.00,30.4,1008.91,0.00,24.1,0.60,3.7,230,29.98
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,81,08-26-2019,10:00:00,1011.86,10.00,28.1,1010.95,0.00,24.5,24.20,9.3,210,30.75
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,77,08-26-2019,10:00:00,1011.23,12.00,28.2,1010.54,0.00,23.9,4.00,0.0,000,29.57
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,88,08-26-2019,10:00:00,1011.66,10.00,27.5,1010.86,0.00,25.4,2.60,1.9,180,32.36
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,82,08-26-2019,10:00:00,1011.25,10.00,27.6,1010.61,0.01,24.3,0.01,0.0,000,30.34
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,79,08-26-2019,10:00:00,1011.28,10.00,28.4,1010.87,0.00,24.4,0.01,0.0,000,30.51
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,66,08-26-2019,10:00:00,1014.20,5.00,29.5,1010.00,0.00,22.4,0.00,13.0,270,27.15
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,74,08-26-2019,10:00:00,1011.80,10.00,28.5,1010.19,0.00,23.4,2.90,0.0,000,28.78
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,86,08-26-2019,10:00:00,1011.61,7.00,26.7,1008.12,0.00,24.2,1.20,0.0,000,30.26
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,79,08-26-2019,10:00:00,1011.75,9.00,28.4,1010.39,0.00,24.4,5.60,5.6,280,30.51
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,85,08-26-2019,10:00:00,1011.53,10.00,28.0,1010.64,0.00,25.1,10.00,11.1,270,31.95
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,83,08-26-2019,10:00:00,1011.62,10.00,28.5,1008.07,0.00,25.2,0.00,11.1,310,32.10
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,77,08-26-2019,10:00:00,1011.30,10.00,29.4,1010.87,0.00,25.0,1.00,11.1,280,31.65
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,75,08-26-2019,10:00:00,1011.23,10.00,30.0,1010.25,0.00,25.0,0.50,13.0,290,31.72
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,82,08-26-2019,10:00:00,1011.61,10.00,29.5,1010.79,0.00,26.1,6.20,13.0,280,33.87
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,83,08-26-2019,10:00:00,1011.62,10.00,28.4,1009.81,0.00,25.3,10.10,0.0,000,32.19
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,62,08-26-2019,10:00:00,1011.67,11.00,30.6,1010.92,0.00,22.5,1.40,7.4,280,27.33
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,74,08-26-2019,10:00:00,1011.63,10.00,29.8,1007.66,0.00,24.7,1.60,5.6,990,31.03
48570,SATUN,สตูล,สตูล,6.65000,100.08333,79,08-26-2019,10:00:00,1011.79,10.00,29.0,1011.11,0.00,25.0,32.30,0.0,000,31.69
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,67,08-26-2019,10:00:00,1011.41,12.00,30.6,1010.30,0.00,23.8,8.40,0.0,000,29.53
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,71,08-26-2019,10:00:00,1011.68,12.00,29.5,1008.77,0.00,23.7,8.50,0.0,000,29.33
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,68,08-26-2019,10:00:00,1011.37,10.00,30.5,1010.69,0.00,24.0,0.00,9.3,250,29.89
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,69,08-26-2019,10:00:00,1011.93,10.00,29.5,1007.83,0.00,23.2,1.20,0.0,000,28.50
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,67,08-26-2019,10:00:00,1011.58,10.00,29.7,1011.00,0.00,22.8,0.90,0.0,000,27.80
