WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,RelativeHumidity,Date,Time,AirTemperature,MeanSeaLevelPressure,WindSpeed,StationPressure,VaporPressure,DewPoint,WindDirection,Rainfall,LandVisibility,Rainfall24Hr
48376,TAK,ตาก,ตาก,16.87833,99.14333,67,09-03-2019,22:00:00,28.0,1007.40,11.1,993.06,25.24,21.3,280,0.00,7.00,3.20
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,70,09-03-2019,22:00:00,28.0,1006.58,0.0,990.26,26.54,22.1,000,0.00,8.00,3.90
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,88,09-03-2019,22:00:00,28.0,1006.56,0.0,1001.35,33.37,25.9,000,0.00,10.00,3.40
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,93,09-03-2019,22:00:00,25.8,1005.37,0.0,992.15,31.00,24.6,000,0.60,10.00,4.00
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,87,09-03-2019,22:00:00,27.7,1006.85,0.0,997.55,32.20,25.3,000,0.00,10.00,0.20
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,97,09-03-2019,22:00:00,25.2,1005.31,11.1,983.54,31.22,24.8,250,1.80,7.00,16.70
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,96,09-03-2019,22:00:00,25.0,1005.34,5.6,987.76,30.32,24.3,230,3.40,7.00,27.10
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,96,09-03-2019,22:00:00,24.5,1002.14,7.4,986.26,29.41,23.8,300,5.50,10.00,62.20
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,98,09-03-2019,22:00:00,25.0,1004.70,0.0,985.74,31.12,24.7,000,1.60,8.00,15.00
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,93,09-03-2019,22:00:00,22.8,1009.53,0.0,957.70,25.76,21.6,000,0.80,8.00,16.20
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,88,09-03-2019,22:00:00,28.3,1006.27,7.4,1002.33,33.70,26.0,180,0.00,7.00,3.60
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,97,09-03-2019,22:00:00,20.4,1008.78,7.4,913.19,23.26,19.9,230,0.60,.20,4.10
