WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,VaporPressure,Date,Time,StationPressure,Rainfall24Hr,Rainfall,MinimumTemperature,LandVisibility,RelativeHumidity,DewPoint,MeanSeaLevelPressure,WindDirection,AirTemperature,WindSpeed
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,31.68,09-30-2019,07:00:00,1009.31,1.40,0.00,25.3,7.00,98,25.0,1010.68,000,25.3,0.0
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,29.04,09-30-2019,07:00:00,1009.71,11.50,0.00,22.6,8.00,97,23.6,1010.61,000,24.0,0.0
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,28.60,09-30-2019,07:00:00,1007.31,4.40,0.00,23.0,7.00,98,23.3,1010.92,000,23.6,0.0
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,30.63,09-30-2019,07:00:00,1009.92,21.80,0.00,24.5,10.00,93,24.4,1010.36,000,25.6,0.0
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,31.25,09-30-2019,07:00:00,1009.18,23.60,0.00,21.6,10.00,96,24.8,1010.18,000,25.5,0.0
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,28.55,09-30-2019,07:00:00,1010.54,0.00,0.00,24.1,10.00,92,23.3,1011.36,000,24.6,0.0
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,30.15,09-30-2019,07:00:00,1008.95,0.00,0.00,24.6,10.00,94,24.2,1010.78,000,25.2,0.0
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,30.97,09-30-2019,07:00:00,1010.28,0.00,0.00,25.5,10.00,89,24.6,1011.03,180,26.5,3.7
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,30.56,09-30-2019,07:00:00,1007.19,0.00,0.00,23.2,6.00,98,24.4,1011.23,000,24.7,0.0
48570,SATUN,สตูล,สตูล,6.65000,100.08333,29.79,09-30-2019,07:00:00,1009.82,0.70,0.00,24.5,10.00,94,24.0,1010.51,000,25.0,0.0
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,31.25,09-30-2019,07:00:00,1009.50,0.00,0.00,24.7,8.00,96,24.8,1010.62,000,25.5,0.0
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,30.20,09-30-2019,07:00:00,1008.36,6.60,0.00,22.5,8.00,98,24.2,1011.31,000,24.5,0.0
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,30.40,09-30-2019,07:00:00,1009.60,0.00,0.00,24.1,10.00,97,24.3,1010.30,000,24.9,0.0
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,29.66,09-30-2019,07:00:00,1007.21,4.40,0.00,23.8,2.00,98,23.9,1011.39,000,24.2,0.0
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,27.95,09-30-2019,07:00:00,1010.12,1.10,0.00,.0,9.00,90,22.9,1010.72,000,24.7,0.0
