WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MeanSeaLevelPressure,Date,Time,RelativeHumidity,WindDirection,LandVisibility,StationPressure,Rainfall24Hr,WindSpeed,AirTemperature,DewPoint,VaporPressure,Rainfall
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,1000.08,07-18-2019,16:00:00,58,190,12.00,994.12,0.00,5.6,36.0,26.3,34.26,0.00
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,1000.88,07-18-2019,16:00:00,52,000,10.00,984.94,0.00,0.0,34.5,23.1,28.30,0.00
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,1000.91,07-18-2019,16:00:00,65,210,10.00,979.04,0.00,5.6,31.2,23.7,29.32,0.00
48376,TAK,ตาก,ตาก,16.87833,99.14333,1000.85,07-18-2019,16:00:00,47,260,10.00,986.97,0.00,14.8,36.0,22.7,27.64,0.00
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,999.29,07-18-2019,16:00:00,38,000,12.00,983.67,0.00,0.0,39.2,22.4,27.05,0.00
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,1000.64,07-18-2019,16:00:00,52,170,10.00,995.60,0.00,5.6,35.9,24.6,30.97,0.00
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,999.21,07-18-2019,16:00:00,48,180,12.00,986.52,0.00,3.7,36.5,23.7,29.28,0.00
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,1000.31,07-18-2019,16:00:00,48,350,12.00,991.32,0.00,1.9,36.0,23.1,28.22,0.00
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,1001.41,07-18-2019,16:00:00,44,150,12.00,980.49,0.00,5.6,36.2,22.1,26.62,0.00
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,999.99,07-18-2019,16:00:00,48,000,12.00,983.19,0.00,0.0,37.5,24.6,30.86,0.00
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,1000.19,07-18-2019,16:00:00,53,190,12.00,984.87,0.00,3.7,35.1,24.2,30.14,0.00
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,998.92,07-18-2019,16:00:00,44,200,10.00,980.80,0.00,3.7,37.2,23.0,28.11,0.00
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,1002.94,07-18-2019,16:00:00,70,000,10.00,952.50,0.00,0.0,29.2,23.1,28.21,0.00
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,1000.52,07-18-2019,16:00:00,57,180,9.00,996.69,0.00,11.1,35.0,25.2,32.01,0.00
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,1001.37,07-18-2019,16:00:00,67,200,9.00,908.67,2.50,13.0,27.8,21.2,25.15,0.00
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,1000.08,07-18-2019,16:00:00,48,170,10.00,984.74,0.00,11.1,37.5,24.6,30.86,0.00
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,1000.79,07-18-2019,16:00:00,59,110,12.00,996.90,0.00,3.7,36.0,26.6,34.89,0.00
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,1001.64,07-18-2019,16:00:00,50,130,10.00,991.31,0.00,3.7,35.5,23.3,28.64,0.00
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,1001.20,07-18-2019,16:00:00,52,000,15.00,999.33,0.00,0.0,35.5,24.2,30.10,0.00
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,999.51,07-18-2019,16:00:00,36,250,10.00,979.48,0.00,9.3,37.2,19.7,22.99,0.00
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,1000.33,07-18-2019,16:00:00,49,000,10.00,983.26,0.00,0.0,35.5,23.0,28.06,0.00
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,1000.02,07-18-2019,16:00:00,57,130,10.00,984.36,0.00,14.8,34.6,24.9,31.44,0.00
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,1001.25,07-18-2019,16:00:00,53,000,10.00,987.67,0.00,0.0,35.2,24.1,30.05,0.00
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,1001.80,07-18-2019,16:00:00,55,000,10.00,987.45,0.00,0.0,35.4,25.0,31.68,0.00
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,1001.61,07-18-2019,16:00:00,50,220,10.00,987.44,0.00,5.6,36.1,23.9,29.61,0.00
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,1001.16,07-18-2019,16:00:00,49,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",10.00,998.25,0.00,0.0,36.4,23.9,29.66,0.00
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,1000.79,07-18-2019,16:00:00,51,000,10.00,993.11,0.00,0.0,35.4,23.9,29.60,0.00
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,1001.49,07-18-2019,16:00:00,52,260,10.00,1000.42,0.00,5.6,34.3,22.9,27.90,0.00
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,1000.79,07-18-2019,16:00:00,52,000,10.00,986.57,0.00,0.0,35.0,23.6,29.05,0.00
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,1000.82,07-18-2019,16:00:00,88,260,8.00,868.56,0.20,5.6,24.1,22.0,26.42,0.00
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,1001.08,07-18-2019,16:00:00,55,210,10.00,995.40,0.00,7.4,36.0,25.4,32.40,0.00
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,1002.07,07-18-2019,16:00:00,58,230,10.00,1001.30,0.00,3.7,36.2,26.6,34.73,0.00
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,1001.96,07-18-2019,16:00:00,68,210,10.00,1001.53,0.00,20.4,31.5,25.0,31.64,0.00
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,1003.43,07-18-2019,16:00:00,83,000,7.00,992.23,10.00,0.0,28.6,25.3,32.30,10.00
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,1001.14,07-18-2019,16:00:00,48,210,14.00,1000.17,0.00,5.6,36.5,23.7,29.28,0.00
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,1001.42,07-18-2019,16:00:00,51,180,12.00,999.65,0.00,9.3,35.0,23.4,28.76,0.00
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,1001.07,07-18-2019,16:00:00,47,230,12.00,1000.33,0.00,11.1,36.0,22.9,27.93,0.00
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,1002.20,07-18-2019,16:00:00,60,200,10.00,1001.51,0.00,13.0,32.8,23.9,29.70,0.00
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,1001.64,07-18-2019,16:00:00,55,260,12.00,1000.96,0.00,3.7,36.1,25.5,32.63,0.00
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,1000.87,07-18-2019,16:00:00,79,240,10.00,980.16,1.90,13.0,31.5,27.4,36.42,1.90
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,1000.82,07-18-2019,16:00:00,53,180,14.00,984.62,0.00,3.7,34.7,23.7,29.29,0.00
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,1001.47,07-18-2019,16:00:00,48,210,10.00,985.60,0.00,9.3,36.0,23.4,28.81,0.00
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,1000.15,07-18-2019,16:00:00,49,200,10.00,979.06,0.00,3.7,35.9,23.6,29.18,0.00
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,1001.15,07-18-2019,16:00:00,61,210,10.00,958.80,0.00,18.5,31.6,23.0,28.15,0.00
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,1000.58,07-18-2019,16:00:00,53,120,10.00,980.62,7.60,9.3,34.1,23.2,28.35,0.40
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,1002.35,07-18-2019,16:00:00,62,160,10.00,982.10,0.00,13.0,34.0,25.8,33.14,0.00
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,1002.15,07-18-2019,16:00:00,69,170,10.00,1001.73,0.00,16.7,31.9,25.6,32.77,0.00
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,1001.35,07-18-2019,16:00:00,58,000,11.00,999.98,0.00,0.0,34.4,24.8,31.31,0.00
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,1002.10,07-18-2019,16:00:00,86,000,7.00,997.23,6.50,0.0,29.4,26.7,35.13,6.50
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,1002.19,07-18-2019,16:00:00,50,250,12.00,999.00,0.00,13.0,35.1,23.0,28.10,0.00
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,1001.71,07-18-2019,16:00:00,62,260,10.00,1000.63,0.00,3.7,34.1,25.7,33.06,0.00
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,1001.95,07-18-2019,16:00:00,60,170,10.00,1001.66,0.00,11.1,33.5,24.7,31.16,0.00
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,1002.05,07-18-2019,16:00:00,62,220,12.00,1001.38,0.00,7.4,33.4,25.2,32.13,0.00
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,1002.75,07-18-2019,16:00:00,59,120,10.00,1002.28,0.00,3.7,33.5,24.2,30.28,0.00
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,1001.81,07-18-2019,16:00:00,60,210,10.00,1000.45,0.00,11.1,34.6,25.7,32.95,0.00
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,1002.42,07-18-2019,16:00:00,70,190,12.00,1000.77,0.00,18.5,31.2,25.0,31.60,0.00
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,1003.26,07-18-2019,16:00:00,63,180,15.00,995.43,0.40,14.8,32.7,24.8,31.23,0.00
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,1002.11,07-18-2019,16:00:00,60,300,12.00,1001.83,0.00,9.3,33.7,25.0,31.59,0.00
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,1002.77,07-18-2019,16:00:00,66,200,10.00,999.69,0.00,5.6,31.0,23.8,29.48,0.00
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,1002.62,07-18-2019,16:00:00,64,240,10.00,995.83,0.00,13.0,32.0,24.5,30.65,0.00
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,1001.53,07-18-2019,16:00:00,57,280,10.00,996.11,2.10,11.1,35.0,25.2,32.01,0.00
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,1004.62,07-18-2019,16:00:00,69,000,12.00,995.48,0.00,0.0,32.0,25.7,32.99,0.00
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,1003.04,07-18-2019,16:00:00,56,270,15.00,1001.81,0.00,7.4,33.7,23.7,29.25,0.00
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,1002.22,07-18-2019,16:00:00,67,170,11.00,1001.80,0.00,18.5,33.6,26.5,34.69,0.00
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,1003.21,07-18-2019,16:00:00,59,230,10.00,991.19,0.00,7.4,31.7,22.7,27.52,0.00
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,1003.26,07-18-2019,16:00:00,56,300,10.00,1002.57,1.10,7.4,33.5,23.6,29.13,0.00
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,1003.34,07-18-2019,16:00:00,60,200,10.00,1000.96,0.00,14.8,33.0,24.2,30.11,0.00
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,1003.39,07-18-2019,16:00:00,76,230,10.00,1002.87,0.00,9.3,30.0,25.3,32.30,0.00
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,1002.50,07-18-2019,16:00:00,68,270,11.00,997.43,0.00,5.6,30.7,24.1,30.01,0.00
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,1003.58,07-18-2019,16:00:00,84,000,8.00,1003.17,111.70,0.0,29.0,26.0,33.70,1.00
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,1003.82,07-18-2019,16:00:00,85,170,8.00,1001.07,154.90,3.7,28.0,25.1,31.95,3.20
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,1005.39,07-18-2019,16:00:00,59,000,12.00,1004.61,0.00,0.0,31.5,22.4,27.13,0.00
48501,TRAD,ตราด,ตราด,11.76667,102.88333,1004.05,07-18-2019,16:00:00,91,310,3.00,1003.60,85.70,3.7,27.3,25.7,33.09,2.00
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,1005.10,07-18-2019,16:00:00,94,000,7.00,1004.41,25.60,0.0,25.2,24.2,30.15,21.10
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,1005.34,07-18-2019,16:00:00,92,000,8.00,1003.81,19.00,0.0,26.2,24.8,31.22,17.60
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,1006.39,07-18-2019,16:00:00,92,310,5.00,1005.47,41.10,9.3,25.8,24.3,30.46,19.20
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,1006.30,07-18-2019,16:00:00,94,000,7.00,1005.61,35.20,0.0,25.8,24.8,31.27,26.20
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,1006.27,07-18-2019,16:00:00,93,000,7.00,1005.48,5.90,0.0,26.5,25.2,32.07,4.10
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,1005.03,07-18-2019,16:00:00,90,130,8.00,1004.40,18.70,3.7,26.8,25.1,31.82,18.70
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,1005.04,07-18-2019,16:00:00,94,290,8.00,1004.63,25.30,7.4,24.7,23.7,29.25,23.30
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,1007.83,07-18-2019,16:00:00,87,000,5.00,1003.62,8.30,0.0,27.0,24.5,30.83,0.10
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,1005.99,07-18-2019,16:00:00,94,000,10.00,1004.38,29.40,0.0,25.5,24.5,30.71,7.40
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,1006.56,07-18-2019,16:00:00,94,000,6.00,1003.07,17.30,0.0,25.7,24.7,31.08,12.60
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,1004.18,07-18-2019,16:00:00,79,300,10.00,1002.84,3.50,3.7,30.4,26.3,34.31,2.70
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,1005.38,07-18-2019,16:00:00,99,000,8.00,1004.49,116.90,0.0,25.5,25.3,32.34,32.80
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,1005.64,07-18-2019,16:00:00,92,000,10.00,1002.08,16.70,0.0,27.0,25.6,32.77,1.70
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,1005.48,07-18-2019,16:00:00,92,270,8.00,1005.04,78.80,7.4,25.7,24.2,30.28,11.20
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,1005.43,07-18-2019,16:00:00,96,260,3.00,1004.44,90.60,25.9,26.0,25.3,32.20,35.60
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,1005.53,07-18-2019,16:00:00,88,270,10.00,1004.72,23.40,14.8,28.6,26.4,34.32,0.00
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,1005.21,07-18-2019,16:00:00,88,190,1.00,1003.40,16.70,18.5,27.5,25.4,32.36,4.70
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,1004.34,07-18-2019,16:00:00,87,200,7.00,1003.59,11.30,3.7,27.0,24.5,30.83,11.00
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,1004.00,07-18-2019,16:00:00,58,220,10.00,1000.08,0.80,11.1,32.2,22.9,27.94,0.20
48570,SATUN,สตูล,สตูล,6.65000,100.08333,1004.84,07-18-2019,16:00:00,66,130,10.00,1004.16,0.20,7.4,30.9,23.9,29.56,0.00
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,1003.97,07-18-2019,16:00:00,67,000,10.00,1002.87,0.00,0.0,31.5,24.5,30.77,0.00
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,1004.20,07-18-2019,16:00:00,61,200,12.00,1001.35,0.00,7.4,33.5,24.9,31.46,0.00
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,1004.23,07-18-2019,16:00:00,91,000,6.00,1003.54,3.50,0.0,27.6,26.0,33.70,3.50
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,1004.45,07-18-2019,16:00:00,61,150,8.00,1000.42,0.00,7.4,33.5,24.9,31.46,0.00
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,1005.07,07-18-2019,16:00:00,64,090,10.00,1004.49,0.00,11.1,32.5,24.7,31.11,0.00
