WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindSpeed,Date,Time,Rainfall24Hr,AirTemperature,MeanSeaLevelPressure,MinimumTemperature,LandVisibility,StationPressure,DewPoint,RelativeHumidity,VaporPressure,Rainfall,WindDirection
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,0.0,07-27-2019,07:00:00,0.01,26.6,1008.87,26.0,10.00,1007.86,21.2,72,25.12,0.00,000
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,0.0,07-27-2019,07:00:00,0.40,26.3,1008.97,26.0,7.00,1007.14,22.9,82,27.93,0.00,000
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,0.0,07-27-2019,07:00:00,0.00,25.5,1008.83,25.0,8.00,1008.06,21.6,79,25.77,0.00,000
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,5.6,07-27-2019,07:00:00,0.00,27.2,1008.72,25.9,10.00,1008.02,21.7,72,25.90,0.00,040
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,0.0,07-27-2019,07:00:00,1.50,26.0,1009.09,25.0,7.00,1008.39,24.7,93,31.11,0.00,000
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,0.0,07-27-2019,07:00:00,0.01,27.2,1008.38,26.0,10.00,987.22,24.0,83,29.85,0.00,000
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,0.0,07-27-2019,07:00:00,0.00,25.6,1008.40,24.2,8.00,991.58,23.2,87,28.51,0.00,000
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,5.6,07-27-2019,07:00:00,0.00,25.4,1009.19,24.3,10.00,992.63,23.6,90,29.19,0.00,230
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,0.0,07-27-2019,07:00:00,0.00,26.5,1008.33,25.6,10.00,986.41,23.3,83,28.55,0.00,000
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,18.5,07-27-2019,07:00:00,0.01,25.1,1009.07,24.6,15.00,965.48,21.2,79,25.10,0.00,240
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,7.4,07-27-2019,07:00:00,0.00,26.0,1008.36,25.4,10.00,987.71,23.1,84,28.18,0.00,210
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,7.4,07-27-2019,07:00:00,0.00,26.3,1010.08,25.2,9.00,989.15,24.4,89,30.59,0.00,220
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,7.4,07-27-2019,07:00:00,0.01,26.6,1008.83,26.0,10.00,1008.40,22.8,80,27.69,0.00,340
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,0.0,07-27-2019,07:00:00,15.00,24.1,1008.81,23.7,8.00,1007.38,23.8,98,29.48,3.60,000
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,0.0,07-27-2019,07:00:00,3.50,24.4,1008.93,24.2,7.00,1003.95,23.7,96,29.23,3.50,000
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,3.7,07-27-2019,07:00:00,0.20,25.4,1009.02,23.5,12.00,1005.70,21.5,79,25.60,0.00,230
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,3.7,07-27-2019,07:00:00,0.00,25.3,1009.04,24.7,10.00,1007.93,22.2,83,26.69,0.00,310
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,0.0,07-27-2019,07:00:00,0.00,27.9,1008.77,27.5,10.00,1008.47,22.9,74,27.93,0.00,000
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,0.0,07-27-2019,07:00:00,0.00,27.5,1009.35,27.0,10.00,1008.66,23.9,81,29.60,0.00,000
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,0.0,07-27-2019,07:00:00,0.00,27.5,1009.00,27.5,10.00,1008.51,22.8,76,27.73,0.00,000
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,11.1,07-27-2019,07:00:00,0.01,27.5,1009.17,26.5,10.00,1007.76,20.5,66,24.13,0.00,280
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,9.3,07-27-2019,07:00:00,0.00,28.5,1008.67,28.2,10.00,1007.00,24.0,77,29.87,0.00,320
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,1.9,07-27-2019,07:00:00,0.00,25.2,1010.87,25.2,10.00,1002.79,24.2,94,30.15,0.00,180
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,9.3,07-27-2019,07:00:00,0.20,28.4,1008.92,25.3,10.00,1008.64,23.9,77,29.68,0.00,300
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,0.0,07-27-2019,07:00:00,0.00,29.2,1008.53,28.6,10.00,1005.41,25.4,80,32.38,0.00,000
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,5.6,07-27-2019,07:00:00,1.20,28.5,1009.08,24.8,10.00,1002.16,22.6,71,27.44,0.00,270
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,3.7,07-27-2019,07:00:00,0.01,24.8,1009.15,24.2,7.00,1003.50,23.6,93,29.16,0.01,280
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,7.4,07-27-2019,07:00:00,0.00,28.5,1009.85,26.3,10.00,1000.56,23.4,74,28.78,0.00,330
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,0.0,07-27-2019,07:00:00,0.01,25.0,1009.84,24.9,12.00,1008.57,23.5,92,29.00,0.01,000
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,0.0,07-27-2019,07:00:00,0.00,27.0,1008.79,26.4,11.00,1008.36,23.2,80,28.41,0.00,000
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,0.0,07-27-2019,07:00:00,0.00,24.5,1009.61,23.7,8.00,997.22,22.3,87,26.84,0.00,000
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,0.0,07-27-2019,07:00:00,0.00,27.1,1009.01,26.5,10.00,1008.29,23.3,80,28.59,0.00,000
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,0.0,07-27-2019,07:00:00,1.40,26.0,1009.55,25.5,10.00,1007.10,24.6,92,30.84,0.00,000
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,0.0,07-27-2019,07:00:00,4.70,26.0,1009.14,26.0,10.00,1008.62,23.1,84,28.18,0.00,000
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,1.9,07-27-2019,07:00:00,0.20,26.0,1009.20,25.7,12.00,1004.02,22.4,81,27.14,0.20,340
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,0.0,07-27-2019,07:00:00,16.30,24.3,1009.84,23.9,7.00,1009.42,23.9,97,29.57,13.70,000
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,7.4,07-27-2019,07:00:00,10.80,24.3,1009.90,24.0,8.00,1007.10,23.9,97,29.57,10.40,040
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,0.0,07-27-2019,07:00:00,0.00,27.2,1009.67,23.0,10.00,1008.88,23.4,80,28.78,0.00,000
48501,TRAD,ตราด,ตราด,11.76667,102.88333,0.0,07-27-2019,07:00:00,26.00,25.0,1009.53,23.6,8.00,1009.07,24.6,97,30.85,0.00,000
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,0.0,07-27-2019,07:00:00,0.00,26.0,1010.11,25.6,7.00,1009.42,24.6,92,30.84,0.00,000
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,0.0,07-27-2019,07:00:00,1.20,26.0,1010.02,25.8,8.00,1008.49,24.8,93,31.38,0.00,000
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,0.0,07-27-2019,07:00:00,16.90,25.1,1010.47,25.0,10.00,1009.55,24.1,94,29.97,0.00,000
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,0.0,07-27-2019,07:00:00,26.80,25.6,1009.99,24.4,8.00,1009.30,25.2,97,31.98,0.30,000
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,0.0,07-27-2019,07:00:00,0.40,25.5,1010.20,25.5,8.00,1009.40,24.8,96,31.25,0.30,000
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,0.0,07-27-2019,07:00:00,0.00,25.0,1009.63,24.8,10.00,1008.99,24.3,96,30.32,0.00,000
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,0.0,07-27-2019,07:00:00,0.00,25.1,1009.96,24.5,8.00,1009.55,24.4,96,30.50,0.00,000
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,0.0,07-27-2019,07:00:00,2.30,25.4,1011.36,24.0,5.00,1007.11,25.1,98,31.87,0.80,000
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,0.0,07-27-2019,07:00:00,0.00,24.0,1008.23,23.5,7.00,1006.60,23.3,96,28.53,0.00,000
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,0.0,07-27-2019,07:00:00,0.00,24.9,1010.45,24.5,7.00,1006.94,24.3,97,30.40,0.00,000
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,0.0,07-27-2019,07:00:00,0.00,25.8,1009.45,24.5,8.00,1008.09,23.6,88,29.13,0.00,000
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,0.0,07-27-2019,07:00:00,2.60,25.7,1009.48,25.0,10.00,1008.58,25.1,97,31.90,0.00,000
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,0.0,07-27-2019,07:00:00,0.00,24.0,1009.86,23.2,9.00,1006.26,23.4,97,28.78,0.00,000
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,0.0,07-27-2019,07:00:00,0.00,26.4,1009.56,26.0,10.00,1009.12,24.7,90,31.05,0.00,000
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,11.1,07-27-2019,07:00:00,0.00,29.0,1009.63,23.6,9.00,1008.64,23.9,74,29.74,0.00,270
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,11.1,07-27-2019,07:00:00,0.00,27.9,1009.94,24.5,10.00,1009.12,25.3,86,32.32,0.00,270
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,0.0,07-27-2019,07:00:00,0.00,25.0,1010.12,24.7,8.00,1008.29,24.1,95,30.05,0.00,000
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,0.0,07-27-2019,07:00:00,0.00,26.3,1010.44,25.0,7.00,1009.68,23.7,86,29.25,0.00,000
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,0.0,07-27-2019,07:00:00,43.20,24.0,1010.73,22.2,4.00,1006.68,23.7,98,29.30,0.00,000
48570,SATUN,สตูล,สตูล,6.65000,100.08333,0.0,07-27-2019,07:00:00,0.30,24.5,1009.99,22.9,8.00,1009.30,23.3,93,28.63,0.00,000
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,0.0,07-27-2019,07:00:00,1.60,24.4,1010.00,21.5,9.00,1008.87,24.1,98,30.02,0.00,000
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,0.0,07-27-2019,07:00:00,9.70,23.6,1010.54,22.8,8.00,1007.58,23.3,98,28.60,0.00,000
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,0.0,07-27-2019,07:00:00,1.50,24.2,1009.36,23.8,7.00,1008.66,23.9,98,29.66,0.00,000
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,0.0,07-27-2019,07:00:00,0.01,24.6,1011.31,24.3,7.00,1007.14,23.7,95,29.33,0.00,000
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,3.7,07-27-2019,07:00:00,0.00,25.0,1010.23,.0,9.00,1009.64,22.8,88,27.70,0.00,210
