WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,VaporPressure,Date,Time,DewPoint,WindSpeed,Rainfall24Hr,AirTemperature,WindDirection,StationPressure,MeanSeaLevelPressure,LandVisibility,Rainfall,RelativeHumidity
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,31.11,07-28-2019,01:00:00,24.7,0.0,13.80,26.0,000,1008.46,1008.88,7.00,0.00,93
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,31.25,07-28-2019,01:00:00,24.8,0.0,10.40,25.5,000,1006.15,1008.94,8.00,0.00,96
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,26.62,07-28-2019,01:00:00,22.1,0.0,0.00,27.9,000,1008.41,1009.20,10.00,0.00,71
48501,TRAD,ตราด,ตราด,11.76667,102.88333,30.79,07-28-2019,01:00:00,24.5,7.4,0.20,25.4,090,1008.79,1009.26,6.00,0.00,95
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,29.05,07-28-2019,01:00:00,23.6,0.0,0.00,25.9,000,1009.23,1009.91,10.00,0.00,87
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,30.25,07-28-2019,01:00:00,24.2,0.0,0.00,25.4,000,1007.55,1009.09,8.00,0.00,93
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,30.67,07-28-2019,01:00:00,24.5,0.0,0.50,26.2,000,1009.54,1010.46,10.00,0.00,90
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,30.03,07-28-2019,01:00:00,24.1,0.0,13.10,26.0,000,1009.71,1010.41,10.00,0.00,89
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,28.89,07-28-2019,01:00:00,23.5,0.0,0.40,24.5,000,1009.49,1010.30,8.00,0.00,94
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,32.20,07-28-2019,01:00:00,25.3,1.9,19.00,26.0,190,1009.29,1009.93,9.00,0.50,96
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,32.04,07-28-2019,01:00:00,25.2,0.0,0.00,26.2,000,1010.04,1010.45,10.00,0.00,94
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,30.05,07-28-2019,01:00:00,24.1,0.0,2.30,25.0,000,1008.18,1012.44,5.00,0.00,95
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,31.00,07-28-2019,01:00:00,24.6,0.0,0.00,25.8,000,1009.78,1011.40,10.00,0.00,93
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,30.44,07-28-2019,01:00:00,24.3,0.0,0.00,25.5,000,1005.90,1009.40,6.00,0.00,93
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,30.96,07-28-2019,01:00:00,24.6,0.0,17.80,25.2,000,1008.89,1010.26,8.00,0.00,97
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,29.91,07-28-2019,01:00:00,24.0,0.0,0.80,25.5,000,1009.97,1010.86,10.00,0.00,92
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,28.72,07-28-2019,01:00:00,23.4,0.0,0.00,24.7,000,1006.87,1010.46,10.00,0.00,92
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,30.48,07-28-2019,01:00:00,24.4,0.0,0.00,27.1,000,1010.14,1010.58,10.00,0.00,85
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,28.81,07-28-2019,01:00:00,23.4,3.7,0.00,28.8,240,1009.14,1010.13,10.00,0.00,73
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,31.29,07-28-2019,01:00:00,24.8,18.5,0.00,28.8,270,1009.69,1010.50,10.00,0.00,79
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,30.36,07-28-2019,01:00:00,24.3,0.0,0.00,25.6,000,1008.87,1010.70,10.00,0.00,93
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,30.01,07-28-2019,01:00:00,24.1,3.7,0.50,25.7,230,1009.28,1010.04,10.00,0.00,91
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,30.03,07-28-2019,01:00:00,24.1,0.0,0.00,24.7,000,1006.31,1010.35,8.00,0.00,97
48570,SATUN,สตูล,สตูล,6.65000,100.08333,29.79,07-28-2019,01:00:00,24.0,0.0,1.50,25.0,000,1011.04,1011.73,10.00,0.00,94
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,29.57,07-28-2019,01:00:00,23.9,0.0,17.00,24.3,000,1009.93,1011.06,10.00,0.00,97
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,29.33,07-28-2019,01:00:00,23.7,0.0,0.00,24.6,000,1007.31,1010.27,10.00,0.00,95
