WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MeanSeaLevelPressure,Date,Time,Rainfall,RelativeHumidity,StationPressure,DewPoint,WindSpeed,LandVisibility,VaporPressure,WindDirection,MinimumTemperature,AirTemperature,Rainfall24Hr
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,1005.99,09-09-2019,07:00:00,0.00,95,976.14,23.7,0.0,12.00,29.33,000,24.0,24.6,0.00
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,1007.17,09-09-2019,07:00:00,0.00,90,999.85,24.7,0.0,9.00,31.05,000,26.2,26.4,0.01
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,1005.67,09-09-2019,07:00:00,0.00,92,985.82,25.6,0.0,12.00,32.77,000,26.6,27.0,0.00
48353,LOEI,เลย,เลย,17.45000,101.73333,1006.20,09-09-2019,07:00:00,0.00,92,977.42,23.5,3.7,13.00,29.00,170,24.5,25.0,0.00
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,1006.23,09-09-2019,07:00:00,0.00,87,986.03,23.8,3.7,15.00,29.41,220,25.1,26.1,0.01
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,1006.81,09-09-2019,07:00:00,0.00,86,985.10,24.4,3.7,12.00,30.56,190,26.7,27.0,0.00
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,1006.15,09-09-2019,07:00:00,0.00,87,986.72,25.1,3.7,15.00,31.80,240,26.7,27.5,0.00
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,1007.08,09-09-2019,07:00:00,0.00,90,990.35,25.5,0.0,12.00,32.61,000,26.7,27.2,0.01
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,1006.96,09-09-2019,07:00:00,0.00,92,989.59,26.1,0.0,10.00,33.78,000,25.2,27.5,0.40
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,1005.77,09-09-2019,07:00:00,0.00,97,979.90,24.9,0.0,12.00,31.41,000,25.1,25.3,28.40
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,1007.60,09-09-2019,07:00:00,0.00,90,1001.82,25.5,9.3,10.00,32.61,270,24.5,27.2,0.00
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,1007.52,09-09-2019,07:00:00,0.00,85,1001.32,24.3,0.0,12.00,30.29,000,26.4,27.0,0.00
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,1008.37,09-09-2019,07:00:00,0.00,92,991.81,23.5,0.0,10.00,29.00,000,24.5,25.0,0.00
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,1007.90,09-09-2019,07:00:00,2.60,96,985.30,22.8,0.0,8.00,27.75,000,22.4,23.4,17.90
48376,TAK,ตาก,ตาก,16.87833,99.14333,1008.53,09-09-2019,07:00:00,0.00,76,994.12,22.4,7.4,7.00,27.10,240,26.3,27.0,0.00
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,1007.54,09-09-2019,07:00:00,0.00,75,991.16,22.5,0.0,8.00,27.19,000,26.2,27.2,0.00
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,1007.65,09-09-2019,07:00:00,0.00,89,1002.41,24.5,0.0,10.00,30.78,000,25.6,26.4,0.00
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,1006.06,09-09-2019,07:00:00,0.00,97,992.78,24.4,0.0,10.00,30.48,000,24.2,24.8,5.10
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,1007.73,09-09-2019,07:00:00,0.00,91,998.37,24.2,0.0,10.00,30.19,000,25.0,25.8,0.00
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,1007.22,09-09-2019,07:00:00,0.00,92,985.45,24.4,3.7,8.00,30.65,180,25.0,25.9,28.00
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,1007.49,09-09-2019,07:00:00,0.00,83,989.96,23.5,3.7,10.00,28.92,200,24.5,26.7,2.70
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,1006.14,09-09-2019,07:00:00,0.00,90,990.34,25.3,0.0,10.00,32.33,000,26.8,27.2,0.00
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,1006.20,09-09-2019,07:00:00,0.00,88,987.28,23.9,0.0,10.00,29.68,000,25.4,26.1,9.80
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,1010.69,09-09-2019,07:00:00,3.60,94,958.83,21.9,0.0,6.00,26.33,000,22.1,23.0,6.80
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,1007.36,09-09-2019,07:00:00,0.00,96,1003.41,26.5,7.4,6.00,34.60,140,26.4,27.2,4.30
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,1009.41,09-09-2019,07:00:00,0.60,99,913.70,20.0,13.0,.30,23.42,210,19.4,20.2,6.00
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,1007.11,09-09-2019,07:00:00,0.00,90,991.09,24.7,0.0,8.00,31.05,000,25.5,26.4,0.50
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,1007.57,09-09-2019,07:00:00,0.00,92,1003.51,24.3,0.0,10.00,30.46,000,25.3,25.8,0.00
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,1008.87,09-09-2019,07:00:00,0.00,89,998.12,23.6,0.0,8.00,29.11,000,24.6,25.5,0.00
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,1008.29,09-09-2019,07:00:00,0.00,91,1006.34,23.6,0.0,10.00,29.10,000,24.8,25.2,8.70
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,1008.00,09-09-2019,07:00:00,0.00,86,987.00,22.8,0.0,10.00,27.72,000,24.5,25.3,0.00
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,1007.25,09-09-2019,07:00:00,0.00,84,989.55,23.6,9.3,10.00,29.08,210,25.8,26.5,0.00
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,1006.71,09-09-2019,07:00:00,0.00,85,990.55,24.1,9.3,10.00,30.10,220,26.7,26.9,0.00
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,1007.53,09-09-2019,07:00:00,0.00,88,993.47,24.4,0.0,10.00,30.62,000,26.1,26.6,2.10
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,1008.15,09-09-2019,07:00:00,0.00,93,993.25,24.6,0.0,10.00,31.00,000,25.3,25.8,0.00
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,1008.66,09-09-2019,07:00:00,0.00,92,993.94,25.1,7.4,7.00,31.79,240,25.1,26.5,0.00
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,1007.40,09-09-2019,07:00:00,0.00,87,1004.38,23.8,0.0,10.00,29.41,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",24.8,26.1,0.60
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,1008.14,09-09-2019,07:00:00,0.00,88,1000.15,23.8,0.0,8.00,29.50,000,25.5,26.0,0.00
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,1007.72,09-09-2019,07:00:00,0.00,89,1006.61,23.8,3.7,7.00,29.48,180,25.0,25.7,0.00
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,1005.90,09-09-2019,07:00:00,0.00,90,991.27,26.1,0.0,9.00,33.74,000,25.9,27.9,0.00
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,1010.32,09-09-2019,07:00:00,0.00,100,874.81,19.3,7.4,.10,22.37,280,17.8,19.3,40.60
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,1008.68,09-09-2019,07:00:00,0.00,94,1002.76,24.2,0.0,9.00,30.15,000,24.2,25.2,0.00
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,1009.05,09-09-2019,07:00:00,0.00,84,1008.24,23.6,14.8,9.00,29.08,240,26.0,26.5,0.00
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,1008.68,09-09-2019,07:00:00,0.00,92,1008.23,25.1,7.4,10.00,31.79,230,25.9,26.5,35.30
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,1010.01,09-09-2019,07:00:00,0.00,97,998.59,24.2,0.0,3.00,30.22,000,24.5,24.8,8.10
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,1008.54,09-09-2019,07:00:00,0.00,87,1007.52,24.3,3.7,10.00,30.34,180,25.6,26.6,0.00
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,1008.17,09-09-2019,07:00:00,0.00,88,1006.34,23.7,0.0,8.00,29.31,000,25.5,25.9,0.50
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,1008.50,09-09-2019,07:00:00,0.00,81,1007.73,23.5,0.0,7.00,28.94,000,25.1,27.0,0.00
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,1009.04,09-09-2019,07:00:00,0.00,84,1008.33,23.4,5.6,10.00,28.72,240,23.9,26.3,10.80
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,1009.08,09-09-2019,07:00:00,0.00,92,1008.38,25.0,0.0,7.00,31.60,000,25.2,26.4,1.50
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,1008.05,09-09-2019,07:00:00,0.00,81,986.79,22.3,0.0,10.00,26.87,000,25.0,25.7,0.00
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,1008.09,09-09-2019,07:00:00,0.00,92,991.28,24.1,0.0,8.00,30.09,000,24.4,25.6,0.00
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,1007.67,09-09-2019,07:00:00,0.00,91,991.15,24.0,3.7,10.00,29.82,180,24.5,25.6,0.00
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,1007.94,09-09-2019,07:00:00,0.00,88,985.92,22.8,0.0,10.00,27.70,000,24.6,25.0,0.00
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,1009.31,09-09-2019,07:00:00,0.00,93,965.46,22.2,3.7,12.00,26.75,250,22.5,23.4,5.00
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,1007.97,09-09-2019,07:00:00,0.00,84,987.28,22.6,0.0,10.00,27.38,000,24.8,25.4,0.00
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,1009.40,09-09-2019,07:00:00,0.00,93,988.46,24.6,13.0,8.00,30.92,220,25.0,25.9,0.00
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,1008.86,09-09-2019,07:00:00,0.00,81,1008.42,23.6,5.6,10.00,29.04,220,26.0,27.2,1.80
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,1008.99,09-09-2019,07:00:00,0.00,96,1007.56,24.3,0.0,8.00,30.32,000,24.6,25.0,3.70
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,1008.83,09-09-2019,07:00:00,0.20,97,1003.86,25.1,0.0,7.00,31.79,000,25.1,25.5,0.50
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,1008.39,09-09-2019,07:00:00,0.00,80,1005.09,23.1,3.7,10.00,28.31,250,24.8,26.8,0.00
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,1008.81,09-09-2019,07:00:00,0.00,95,1007.70,24.2,0.0,10.00,30.23,000,25.1,25.1,0.20
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,1009.11,09-09-2019,07:00:00,0.00,86,1008.81,23.7,0.0,10.00,29.25,000,25.7,26.3,28.00
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,1008.80,09-09-2019,07:00:00,0.00,89,1008.11,24.2,0.0,10.00,30.13,000,25.0,26.2,7.50
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,1008.43,09-09-2019,07:00:00,0.00,88,1007.94,24.0,0.0,10.00,29.86,000,26.0,26.2,15.40
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,1009.05,09-09-2019,07:00:00,0.00,79,1007.64,23.2,14.8,10.00,28.51,240,26.6,27.2,0.00
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,1008.73,09-09-2019,07:00:00,0.00,87,1007.06,26.3,14.8,10.00,34.24,220,25.3,28.7,30.60
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,1010.72,09-09-2019,07:00:00,0.00,93,1002.64,23.8,0.0,10.00,29.52,000,24.5,25.0,0.00
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,1008.92,09-09-2019,07:00:00,0.00,92,1008.63,25.1,0.0,8.00,31.79,000,24.7,26.5,11.60
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,1009.33,09-09-2019,07:00:00,0.00,83,1006.19,24.6,0.0,10.00,31.00,000,25.0,27.8,8.60
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,1009.09,09-09-2019,07:00:00,0.00,84,1002.13,24.1,9.3,10.00,29.93,240,26.7,27.1,0.00
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,1009.15,09-09-2019,07:00:00,0.00,90,1003.51,23.9,0.0,10.00,29.74,000,25.0,25.7,0.00
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,1010.17,09-09-2019,07:00:00,0.00,82,1000.85,24.2,13.0,10.00,30.15,230,26.2,27.5,0.00
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,1009.23,09-09-2019,07:00:00,0.00,93,1007.95,23.7,0.0,14.00,29.34,000,24.5,24.9,1.20
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,1009.13,09-09-2019,07:00:00,0.00,82,1008.70,24.2,18.5,11.00,30.15,210,26.1,27.5,0.00
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,1009.48,09-09-2019,07:00:00,0.00,95,997.08,23.2,0.0,10.00,28.44,000,23.3,24.1,0.40
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,1009.14,09-09-2019,07:00:00,0.00,86,1008.42,23.7,0.0,10.00,29.33,000,25.4,26.2,7.20
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,1009.77,09-09-2019,07:00:00,0.00,89,1007.33,24.5,5.6,10.00,30.70,210,25.5,26.5,0.00
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,1009.41,09-09-2019,07:00:00,0.00,81,1008.89,24.4,7.4,10.00,30.56,250,27.5,28.0,0.01
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,1009.47,09-09-2019,07:00:00,0.00,91,1004.29,24.4,0.0,11.00,30.57,000,26.0,26.0,0.00
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,1009.60,09-09-2019,07:00:00,0.00,90,1009.19,25.5,3.7,8.00,32.61,200,26.5,27.2,0.00
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,1009.98,09-09-2019,07:00:00,0.00,94,1007.19,25.2,0.0,8.00,32.04,000,25.7,26.2,0.00
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,1010.75,09-09-2019,07:00:00,0.00,82,1009.96,23.2,3.7,10.00,28.37,250,25.5,26.4,0.00
48501,TRAD,ตราด,ตราด,11.76667,102.88333,1009.19,09-09-2019,07:00:00,1.00,93,1008.73,24.2,9.3,6.00,30.17,060,24.0,25.5,21.90
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,1010.70,09-09-2019,07:00:00,0.00,94,1010.01,24.1,0.0,8.00,29.97,000,24.4,25.1,0.10
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,1010.07,09-09-2019,07:00:00,0.00,96,1008.52,23.3,0.0,8.00,28.53,000,24.0,24.0,0.20
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,1010.96,09-09-2019,07:00:00,0.00,96,1010.04,23.4,0.0,9.00,28.70,000,24.0,24.1,63.00
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,1010.62,09-09-2019,07:00:00,0.00,95,1009.92,24.1,0.0,10.00,30.05,000,23.7,25.0,26.20
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,1011.39,09-09-2019,07:00:00,0.00,96,1010.59,24.8,0.0,8.00,31.25,000,24.0,25.5,30.30
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,1010.59,09-09-2019,07:00:00,0.00,97,1009.95,24.6,0.0,7.00,30.96,000,24.8,25.2,0.00
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,1010.85,09-09-2019,07:00:00,0.00,97,1010.44,24.0,0.0,6.00,29.85,000,23.9,24.6,12.40
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,1012.44,09-09-2019,07:00:00,0.00,97,1008.17,23.6,0.0,6.00,29.13,000,23.9,24.2,21.10
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,1009.36,09-09-2019,07:00:00,0.00,96,1007.73,23.8,0.0,6.00,29.41,000,22.8,24.5,0.00
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,1011.08,09-09-2019,07:00:00,0.00,97,1007.57,24.2,0.0,7.00,30.22,000,24.5,24.8,38.70
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,1010.94,09-09-2019,07:00:00,0.00,93,1009.57,23.6,0.0,9.00,29.16,000,24.8,24.8,0.00
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,1010.26,09-09-2019,07:00:00,0.00,97,1009.37,24.9,0.0,10.00,31.41,000,23.7,25.3,45.40
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,1011.48,09-09-2019,07:00:00,0.00,96,1007.87,23.9,0.0,10.00,29.59,000,23.0,24.6,0.00
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,1010.63,09-09-2019,07:00:00,1.20,92,1010.19,23.4,0.0,10.00,28.82,000,24.7,24.9,7.20
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,1010.02,09-09-2019,07:00:00,0.00,93,1009.02,24.6,0.0,8.00,30.92,000,23.5,25.9,0.00
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,1011.28,09-09-2019,07:00:00,22.20,94,1010.45,24.5,5.6,10.00,30.71,220,24.0,25.5,61.80
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,1010.95,09-09-2019,07:00:00,0.00,97,1009.12,23.9,0.0,8.00,29.67,000,23.6,24.5,18.90
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,1011.34,09-09-2019,07:00:00,0.00,84,1010.59,23.5,0.0,8.00,28.90,000,25.5,26.4,0.00
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,1011.74,09-09-2019,07:00:00,0.00,97,1007.69,24.3,0.0,2.00,30.30,000,23.2,24.7,7.40
48570,SATUN,สตูล,สตูล,6.65000,100.08333,1012.20,09-09-2019,07:00:00,0.00,89,1011.51,23.8,0.0,8.00,29.48,000,24.5,25.7,0.00
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,1011.26,09-09-2019,07:00:00,0.00,97,1010.13,23.7,0.0,8.00,29.31,000,24.0,24.3,6.40
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,1011.67,09-09-2019,07:00:00,0.00,97,1008.71,23.8,0.0,8.00,29.49,000,22.6,24.4,0.30
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,1011.08,09-09-2019,07:00:00,0.00,99,1010.38,23.9,0.0,6.00,29.74,000,23.5,24.1,44.40
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,1011.95,09-09-2019,07:00:00,0.00,97,1007.77,23.4,0.0,2.00,28.78,000,23.5,24.0,0.40
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,1011.20,09-09-2019,07:00:00,1.40,95,1010.60,23.5,0.0,6.00,28.97,000,.0,24.4,1.40
