WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,Rainfall24Hr,AirTemperature,Rainfall,DewPoint,MeanSeaLevelPressure,StationPressure,WindDirection,LandVisibility,RelativeHumidity,VaporPressure,WindSpeed,MaximumTemperature
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,07-18-2019,19:00:00,0.50,26.2,0.50,24.2,1001.48,971.92,320,12.00,89,30.13,3.7,38.4
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,07-18-2019,19:00:00,0.00,34.4,0.00,24.2,1000.56,993.47,000,11.00,55,30.13,0.0,39.2
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,07-18-2019,19:00:00,0.00,34.1,0.00,27.4,1000.67,981.37,000,15.00,68,36.46,0.0,36.8
48353,LOEI,เลย,เลย,17.45000,101.73333,07-18-2019,19:00:00,0.01,27.6,0.00,23.8,1001.59,973.18,320,15.00,80,29.52,7.4,38.0
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,07-18-2019,19:00:00,0.00,34.3,0.00,25.5,1000.97,981.41,000,13.00,60,32.59,0.0,37.1
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,07-18-2019,19:00:00,0.00,32.4,0.00,27.4,1002.07,980.84,000,12.00,75,36.61,0.0,35.5
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,07-18-2019,19:00:00,0.00,32.1,0.00,26.4,1001.10,982.06,140,15.00,72,34.40,3.7,35.4
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,07-18-2019,19:00:00,0.00,32.2,0.00,25.3,1002.14,985.77,000,11.00,67,32.23,0.0,34.6
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,07-18-2019,19:00:00,0.00,30.6,0.00,28.0,1002.15,985.04,000,10.00,86,37.79,0.0,34.4
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,07-18-2019,19:00:00,0.00,33.0,0.00,24.5,999.89,974.80,000,13.00,61,30.69,0.0,37.0
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,07-18-2019,19:00:00,0.00,34.1,0.00,26.2,1000.03,994.41,000,10.00,64,33.97,0.0,38.1
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,07-18-2019,19:00:00,0.00,32.7,0.00,25.4,1000.45,994.41,000,12.00,66,32.41,0.0,37.5
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,07-18-2019,19:00:00,0.00,32.5,0.00,24.7,1001.99,985.93,000,10.00,64,31.11,0.0,37.0
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,07-18-2019,19:00:00,0.00,28.4,0.00,23.5,1002.04,979.93,240,10.00,75,28.86,5.6,33.5
48376,TAK,ตาก,ตาก,16.87833,99.14333,07-18-2019,19:00:00,0.00,32.0,0.00,23.7,1001.80,987.72,260,10.00,61,29.22,18.5,37.0
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,07-18-2019,19:00:00,0.00,33.5,0.00,22.6,1000.54,984.61,000,10.00,53,27.43,0.0,39.9
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,07-18-2019,19:00:00,0.00,33.4,0.00,24.3,1001.45,996.36,000,10.00,59,30.37,0.0,36.4
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,07-18-2019,19:00:00,0.00,33.8,0.00,23.1,999.73,986.91,000,12.00,54,28.31,0.0,37.5
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,07-18-2019,19:00:00,0.00,32.6,0.00,23.5,1001.44,992.33,220,12.00,59,29.01,3.7,36.6
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,07-18-2019,19:00:00,0.00,33.4,0.00,22.8,1001.45,980.34,120,10.00,54,27.79,11.1,37.0
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,07-18-2019,19:00:00,0.00,33.0,0.00,25.4,1000.68,983.63,000,12.00,65,32.46,0.0,38.1
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,07-18-2019,19:00:00,0.00,33.5,0.00,24.2,1000.88,985.47,000,10.00,59,30.28,0.0,36.4
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,07-18-2019,19:00:00,0.00,33.2,0.00,24.1,1000.14,981.76,000,10.00,59,29.95,0.0,37.6
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,07-18-2019,19:00:00,0.00,26.5,0.00,22.5,1004.96,953.98,000,8.00,79,27.25,0.0,32.8
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,07-18-2019,19:00:00,0.00,32.6,0.00,26.2,1001.19,997.32,180,8.00,69,33.99,1.9,35.6
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,07-18-2019,19:00:00,0.00,23.5,0.00,20.7,1003.87,909.68,180,7.00,85,24.46,16.7,27.9
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,07-18-2019,19:00:00,0.00,33.1,0.00,26.0,1001.36,985.78,000,10.00,66,33.58,0.0,38.4
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,07-18-2019,19:00:00,0.00,29.5,0.00,25.2,1002.18,998.20,240,12.00,78,32.13,5.6,36.7
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,07-18-2019,19:00:00,0.00,32.7,0.00,23.7,1002.93,992.50,000,8.00,59,29.21,0.0,35.8
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,07-18-2019,19:00:00,0.00,32.4,0.00,24.0,1002.92,1001.03,000,10.00,61,29.75,0.0,36.2
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,07-18-2019,19:00:00,0.00,34.0,0.00,21.5,1000.67,980.42,290,10.00,48,25.63,5.6,38.6
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,07-18-2019,19:00:00,0.00,33.0,0.00,23.7,1001.55,984.32,000,10.00,58,29.25,0.0,36.5
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,07-18-2019,19:00:00,0.00,33.7,0.00,24.5,1000.96,985.24,140,10.00,59,30.70,5.6,36.8
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,07-18-2019,19:00:00,0.00,32.7,0.00,24.6,1002.31,988.60,000,10.00,63,30.94,0.0,35.8
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,07-18-2019,19:00:00,0.00,31.5,0.00,25.6,1002.82,988.27,000,9.00,71,32.81,0.0,36.0
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,07-18-2019,19:00:00,0.00,33.2,0.00,25.9,1002.09,987.79,000,8.00,66,33.50,0.0,36.6
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,07-18-2019,19:00:00,0.00,28.6,0.00,23.2,1002.30,999.31,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",10.00,73,28.43,0.0,37.0
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,07-18-2019,19:00:00,0.00,33.5,0.00,23.8,1001.74,994.00,000,10.00,57,29.41,0.0,36.0
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,07-18-2019,19:00:00,0.00,32.0,0.00,23.8,1002.68,1001.60,210,10.00,62,29.51,11.1,35.2
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,07-18-2019,19:00:00,0.00,33.0,0.00,26.0,1002.31,987.98,000,10.00,67,33.66,0.0,36.1
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,07-18-2019,19:00:00,0.20,21.8,0.00,21.5,1003.33,869.79,180,.01,98,25.62,9.3,24.5
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,07-18-2019,19:00:00,0.00,33.2,0.00,25.3,1002.08,996.35,200,10.00,63,32.30,5.6,36.7
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,07-18-2019,19:00:00,0.00,31.0,0.00,26.8,1003.27,1002.48,230,8.00,79,35.31,5.6,37.9
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,07-18-2019,19:00:00,0.00,30.0,0.00,25.8,1003.24,1002.80,210,10.00,78,33.17,13.0,32.5
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,07-18-2019,19:00:00,10.00,28.6,0.00,26.1,1003.62,992.42,000,6.00,86,33.74,0.0,34.0
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,07-18-2019,19:00:00,0.00,31.3,0.00,23.3,1002.80,1001.81,190,12.00,63,28.68,3.7,37.5
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,07-18-2019,19:00:00,0.00,32.7,0.00,24.5,1002.44,1000.66,230,8.00,62,30.65,5.6,35.4
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,07-18-2019,19:00:00,0.00,31.2,0.00,22.6,1002.75,1002.00,230,9.00,60,27.38,3.7,37.0
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,07-18-2019,19:00:00,0.00,29.9,0.00,25.1,1003.79,1003.10,200,10.00,75,31.80,18.5,33.4
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,07-18-2019,19:00:00,0.00,33.1,0.00,26.4,1003.20,1002.51,000,10.00,68,34.49,0.0,36.6
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,07-18-2019,19:00:00,1.90,32.5,0.00,24.7,1001.81,981.14,230,10.00,64,31.11,9.3,36.3
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,07-18-2019,19:00:00,0.00,33.0,0.00,23.7,1002.03,985.72,000,12.00,58,29.25,0.0,35.4
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,07-18-2019,19:00:00,0.00,32.0,0.00,24.9,1002.58,986.49,000,10.00,66,31.52,0.0,36.7
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,07-18-2019,19:00:00,0.00,33.0,0.00,23.5,1002.18,980.85,000,10.00,58,28.97,0.0,37.3
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,07-18-2019,19:00:00,0.00,30.0,0.00,22.7,1002.33,959.71,170,10.00,65,27.55,7.4,32.2
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,07-18-2019,19:00:00,7.60,32.0,0.00,24.9,1001.87,981.75,170,10.00,66,31.52,5.6,35.8
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,07-18-2019,19:00:00,0.00,30.6,0.00,25.5,1003.95,983.44,240,9.00,74,32.67,7.4,34.8
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,07-18-2019,19:00:00,0.00,31.1,0.00,25.6,1003.48,1003.05,230,10.00,73,32.84,7.4,33.5
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,07-18-2019,19:00:00,0.00,30.5,0.00,27.6,1002.73,1001.34,000,8.00,85,36.94,0.0,34.7
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,07-18-2019,19:00:00,32.30,28.2,25.80,26.5,1003.79,998.89,000,7.00,91,34.65,0.0,34.8
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,07-18-2019,19:00:00,0.00,32.2,0.00,23.2,1002.88,999.65,250,12.00,59,28.50,5.6,35.8
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,07-18-2019,19:00:00,0.10,29.3,0.10,24.7,1003.05,1001.96,000,10.00,76,31.16,0.0,36.4
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,07-18-2019,19:00:00,0.00,30.5,0.00,25.6,1003.63,1003.34,180,10.00,75,32.75,9.3,34.4
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,07-18-2019,19:00:00,0.00,29.8,0.00,24.8,1003.12,1002.44,000,10.00,75,31.32,0.0,34.2
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,07-18-2019,19:00:00,0.00,31.2,0.00,25.3,1003.95,1003.47,000,10.00,71,32.18,0.0,35.5
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,07-18-2019,19:00:00,0.00,30.9,0.00,24.9,1003.26,1001.87,190,10.00,71,31.56,18.5,34.6
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,07-18-2019,19:00:00,0.00,30.0,0.00,26.4,1003.45,1001.80,180,10.00,81,34.34,33.3,31.6
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,07-18-2019,19:00:00,0.40,29.7,0.00,25.5,1004.99,997.07,180,10.00,78,32.54,7.4,34.9
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,07-18-2019,19:00:00,0.00,31.5,0.00,25.9,1003.65,1003.37,000,10.00,72,33.40,0.0,34.9
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,07-18-2019,19:00:00,0.00,29.7,0.00,25.2,1003.66,1000.56,180,10.00,77,31.97,5.6,32.5
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,07-18-2019,19:00:00,0.00,30.0,0.00,24.9,1004.07,997.22,000,10.00,74,31.44,0.0,32.2
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,07-18-2019,19:00:00,0.00,31.3,0.00,25.4,1003.25,997.75,270,9.00,71,32.39,5.6,35.9
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,07-18-2019,19:00:00,0.00,29.5,0.00,24.5,1005.44,996.22,210,10.00,75,30.72,18.5,33.0
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,07-18-2019,19:00:00,0.00,30.4,0.00,23.3,1003.93,1002.69,000,12.00,66,28.59,0.0,35.1
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,07-18-2019,19:00:00,0.90,30.5,0.90,23.4,1003.76,1003.34,210,11.00,66,28.78,5.6,36.8
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,07-18-2019,19:00:00,0.00,29.5,0.00,22.1,1004.00,991.88,000,10.00,65,26.62,0.0,32.5
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,07-18-2019,19:00:00,1.10,31.2,0.00,23.2,1004.06,1003.36,000,10.00,63,28.48,0.0,34.3
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,07-18-2019,19:00:00,0.00,30.2,0.00,24.9,1004.45,1002.05,190,10.00,74,31.56,11.1,33.5
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,07-18-2019,19:00:00,0.00,29.5,0.00,25.8,1004.47,1003.96,190,10.00,81,33.29,16.7,31.0
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,07-18-2019,19:00:00,0.00,29.4,0.00,24.5,1004.29,999.19,230,10.00,75,30.80,5.6,33.1
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,07-18-2019,19:00:00,111.70,28.0,0.00,26.0,1004.60,1004.19,000,7.00,89,33.66,0.0,29.7
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,07-18-2019,19:00:00,154.90,27.4,0.00,25.4,1004.72,1001.96,000,8.00,89,32.45,0.0,29.0
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,07-18-2019,19:00:00,0.00,31.2,0.00,22.1,1007.06,1006.29,000,10.00,58,26.56,0.0,33.5
48501,TRAD,ตราด,ตราด,11.76667,102.88333,07-18-2019,19:00:00,106.10,25.8,20.90,25.1,1005.03,1004.57,000,5.00,96,31.82,0.0,30.1
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,07-18-2019,19:00:00,32.80,24.0,9.70,23.6,1006.30,1005.61,000,7.00,97,29.04,0.0,32.7
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,07-18-2019,19:00:00,20.60,25.5,1.80,24.3,1006.01,1004.48,000,8.00,93,30.44,0.0,32.7
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,07-18-2019,19:00:00,56.50,24.6,19.20,23.7,1006.59,1005.67,000,10.00,95,29.33,0.0,29.1
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,07-18-2019,19:00:00,33.70,25.5,7.50,24.9,1006.56,1005.87,260,9.00,97,31.52,5.6,33.2
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,07-18-2019,19:00:00,7.10,25.8,2.80,24.9,1006.77,1005.97,000,7.00,95,31.55,0.0,33.7
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,07-18-2019,19:00:00,19.60,26.3,0.90,25.6,1006.30,1005.67,170,10.00,96,32.79,3.7,34.5
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,07-18-2019,19:00:00,28.20,25.4,2.90,24.8,1006.74,1006.33,000,8.00,97,31.33,0.0,33.6
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,07-18-2019,19:00:00,5.70,26.0,2.70,25.0,1008.74,1004.52,190,4.00,94,31.65,5.6,33.0
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,07-18-2019,19:00:00,37.00,24.2,8.80,23.9,1006.91,1005.29,000,8.00,98,29.66,0.0,31.1
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,07-18-2019,19:00:00,26.50,25.0,10.00,24.1,1008.29,1004.79,000,8.00,95,30.05,0.0,31.0
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,07-18-2019,19:00:00,3.50,26.8,0.00,23.3,1006.07,1004.72,300,10.00,81,28.57,5.6,33.0
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,07-18-2019,19:00:00,141.00,25.1,33.20,24.9,1005.84,1004.95,000,10.00,99,31.58,0.0,27.3
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,07-18-2019,19:00:00,16.20,24.5,9.80,23.9,1006.85,1003.26,000,9.00,97,29.67,0.0,29.8
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,07-18-2019,19:00:00,64.80,27.0,0.20,25.0,1006.20,1005.76,290,10.00,89,31.66,3.7,27.4
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,07-18-2019,19:00:00,96.80,26.0,11.20,24.3,1006.11,1005.11,250,5.00,90,30.30,9.3,28.0
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,07-18-2019,19:00:00,36.80,26.6,15.80,24.6,1006.86,1006.04,270,10.00,89,30.89,33.3,29.5
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,07-18-2019,19:00:00,22.40,25.7,5.70,24.2,1007.14,1005.32,000,10.00,92,30.28,0.0,33.2
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,07-18-2019,19:00:00,15.60,26.6,4.30,24.3,1006.73,1005.98,170,5.00,87,30.34,3.7,32.8
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,07-18-2019,19:00:00,0.80,29.4,0.00,23.9,1006.01,1002.05,000,10.00,72,29.68,0.0,34.6
48570,SATUN,สตูล,สตูล,6.65000,100.08333,07-18-2019,19:00:00,0.20,28.6,0.00,24.4,1007.72,1007.04,260,10.00,78,30.62,7.4,33.1
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,07-18-2019,19:00:00,0.60,28.9,0.60,24.5,1005.82,1004.71,000,8.00,77,30.65,0.0,34.5
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,07-18-2019,19:00:00,0.00,29.4,0.00,24.8,1006.10,1003.20,000,10.00,77,31.36,0.0,34.1
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,07-18-2019,19:00:00,5.50,27.6,2.00,25.6,1006.10,1005.42,000,5.00,89,32.84,0.0,33.8
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,07-18-2019,19:00:00,0.00,28.1,0.00,24.4,1006.70,1002.59,000,8.00,80,30.48,0.0,34.3
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,07-18-2019,19:00:00,0.00,29.5,0.00,26.7,1005.87,1005.28,000,10.00,85,35.05,0.0,32.7
