WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MeanSeaLevelPressure,Date,Time,VaporPressure,Rainfall,StationPressure,WindSpeed,RelativeHumidity,LandVisibility,Rainfall24Hr,WindDirection,DewPoint,AirTemperature,MinimumTemperature
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,1007.39,08-03-2019,07:00:00,31.00,4.00,1004.61,0.0,93,8.00,50.50,000,24.6,25.8,25.5
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,1009.75,08-03-2019,07:00:00,26.43,1.00,1008.96,25.9,83,8.00,6.90,290,22.0,25.0,24.0
48501,TRAD,ตราด,ตราด,11.76667,102.88333,1007.84,08-03-2019,07:00:00,30.28,2.20,1007.38,7.4,92,5.00,28.70,280,24.2,25.7,25.2
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,1010.40,08-03-2019,07:00:00,27.25,13.90,1009.71,14.8,91,5.00,36.60,300,22.5,24.0,23.0
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,1010.23,08-03-2019,07:00:00,25.84,26.40,1008.69,25.9,86,7.00,55.40,270,21.6,24.2,24.0
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,1011.75,08-03-2019,07:00:00,27.25,21.50,1010.82,9.3,91,7.00,104.60,350,22.5,24.0,23.8
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,1009.43,08-03-2019,07:00:00,30.72,0.00,1008.74,0.0,87,10.00,1.40,000,24.5,26.8,26.3
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,1010.17,08-03-2019,07:00:00,29.93,0.00,1009.37,0.0,97,7.00,3.60,000,24.1,24.5,24.0
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,1009.36,08-03-2019,07:00:00,30.05,0.00,1008.72,3.7,95,9.00,8.10,170,24.1,25.0,24.3
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,1009.96,08-03-2019,07:00:00,30.23,0.00,1009.55,0.0,95,10.00,0.00,000,24.2,25.1,24.6
