WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall24Hr,Date,Time,WindSpeed,MeanSeaLevelPressure,StationPressure,Rainfall,WindDirection,DewPoint,RelativeHumidity,VaporPressure,LandVisibility,AirTemperature
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,0.00,09-26-2019,22:00:00,0.0,1013.68,1010.66,0.00,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",26.1,87,33.82,8.00,28.5
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,0.00,09-26-2019,22:00:00,0.0,1014.33,1006.34,0.00,000,24.1,81,29.98,8.00,27.7
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,0.00,09-26-2019,22:00:00,7.4,1013.77,1012.67,0.00,070,25.2,79,32.10,6.00,29.2
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,0.00,09-26-2019,22:00:00,7.4,1015.05,1000.23,0.00,090,22.0,77,26.47,8.00,26.5
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,0.00,09-26-2019,22:00:00,1.9,1017.13,880.23,0.00,060,17.5,96,20.03,8.00,18.2
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,0.00,09-26-2019,22:00:00,0.0,1014.34,1008.40,0.00,000,23.8,86,29.43,10.00,26.4
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,0.00,09-26-2019,22:00:00,0.0,1013.51,1012.71,0.00,000,25.1,76,31.89,9.00,29.8
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,0.00,09-26-2019,22:00:00,9.3,1013.21,1012.77,0.00,120,23.8,72,29.49,10.00,29.3
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,0.00,09-26-2019,22:00:00,0.0,1014.72,1003.29,0.00,000,23.5,87,28.87,4.00,25.8
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,0.00,09-26-2019,22:00:00,0.0,1013.93,1012.92,0.00,000,24.4,76,30.57,8.00,29.0
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,0.00,09-26-2019,22:00:00,0.0,1014.06,1012.24,0.00,000,23.2,71,28.37,8.00,29.0
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,0.00,09-26-2019,22:00:00,0.0,1013.68,1012.91,0.00,000,23.7,78,29.28,6.00,27.9
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,0.00,09-26-2019,22:00:00,9.3,1013.27,1012.56,0.00,090,24.9,73,31.48,9.00,30.3
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,0.00,09-26-2019,22:00:00,0.0,1013.22,1012.52,0.00,000,24.1,72,29.99,7.00,29.7
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,0.00,09-26-2019,22:00:00,3.7,1014.82,993.57,0.00,050,23.8,79,29.55,8.00,27.9
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,0.00,09-26-2019,22:00:00,0.0,1014.38,997.60,0.00,000,25.0,85,31.75,7.00,27.9
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,0.00,09-26-2019,22:00:00,0.0,1014.86,998.26,0.00,000,24.8,92,31.22,7.00,26.2
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,0.00,09-26-2019,22:00:00,0.0,1014.75,992.74,0.00,000,23.9,82,29.58,10.00,27.2
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,0.00,09-26-2019,22:00:00,7.4,1014.68,970.97,0.00,130,21.6,77,25.87,8.00,26.0
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,0.00,09-26-2019,22:00:00,3.7,1014.87,994.11,0.00,040,24.4,89,30.59,10.00,26.3
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,0.00,09-26-2019,22:00:00,0.0,1016.17,995.03,0.00,000,25.1,100,31.85,7.00,25.1
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,13.00,09-26-2019,22:00:00,3.7,1013.57,1013.13,0.00,350,25.5,86,32.72,10.00,28.1
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,0.00,09-26-2019,22:00:00,0.0,1013.29,1011.87,0.00,000,24.9,80,31.46,6.00,28.6
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,0.00,09-26-2019,22:00:00,0.0,1014.30,1009.34,0.00,000,25.9,91,33.50,7.00,27.5
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,0.00,09-26-2019,22:00:00,0.0,1014.00,1010.71,0.00,000,24.3,77,30.46,8.00,28.8
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,0.00,09-26-2019,22:00:00,0.0,1013.90,1012.79,0.00,000,25.9,88,33.37,10.00,28.0
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,0.00,09-26-2019,22:00:00,0.0,1013.50,1013.20,0.00,000,25.1,76,31.89,10.00,29.8
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,0.00,09-26-2019,22:00:00,0.0,1013.45,1012.96,0.00,000,25.2,79,32.01,10.00,29.3
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,0.00,09-26-2019,22:00:00,24.1,1013.59,1012.19,0.00,350,24.9,72,31.51,10.00,30.6
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,0.00,09-26-2019,22:00:00,0.0,1015.31,1007.23,0.00,000,25.1,92,31.79,10.00,26.5
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,0.00,09-26-2019,22:00:00,0.0,1012.99,1012.71,0.00,000,24.9,73,31.48,10.00,30.3
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,0.00,09-26-2019,22:00:00,0.0,1013.37,1010.22,0.00,000,25.4,88,32.36,10.00,27.5
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,11.20,09-26-2019,22:00:00,0.0,1013.07,1006.09,0.00,000,25.6,93,32.86,10.00,26.9
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,0.20,09-26-2019,22:00:00,3.7,1014.37,1008.75,0.20,110,25.4,88,32.36,9.00,27.5
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,0.00,09-26-2019,22:00:00,7.4,1014.18,1012.92,0.00,300,25.2,80,31.98,8.00,29.0
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,0.00,09-26-2019,22:00:00,3.7,1014.38,1001.95,0.00,270,22.5,86,27.19,8.00,25.0
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,0.00,09-26-2019,22:00:00,0.0,1013.78,1013.06,0.00,000,22.7,69,27.65,8.00,28.9
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,0.01,09-26-2019,22:00:00,0.0,1013.40,1010.96,0.00,000,25.1,85,31.95,4.00,28.0
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,0.00,09-26-2019,22:00:00,0.0,1013.52,1013.00,0.00,000,24.3,85,30.29,10.00,27.0
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,0.00,09-26-2019,22:00:00,5.6,1013.51,1008.34,0.00,080,25.1,85,31.84,8.00,27.8
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,0.00,09-26-2019,22:00:00,0.0,1014.12,1013.71,0.00,000,25.6,85,32.84,7.00,28.3
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,8.90,09-26-2019,22:00:00,0.0,1014.12,1011.32,0.00,000,25.4,97,32.48,8.00,26.0
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,0.00,09-26-2019,22:00:00,3.7,1013.40,1012.61,0.00,330,22.7,78,27.52,6.00,26.8
48501,TRAD,ตราด,ตราด,11.76667,102.88333,0.01,09-26-2019,22:00:00,5.6,1013.87,1013.41,0.00,100,25.4,93,32.35,6.00,26.5
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,0.00,09-26-2019,22:00:00,0.0,1013.99,1013.30,0.00,000,25.5,91,32.69,7.00,27.1
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,0.40,09-26-2019,22:00:00,0.0,1012.95,1011.41,0.00,000,24.6,92,30.84,7.00,26.0
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,0.00,09-26-2019,22:00:00,0.0,1013.85,1012.92,0.00,000,23.3,88,28.67,10.00,25.4
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,8.50,09-26-2019,22:00:00,0.0,1014.19,1013.50,0.00,000,25.4,93,32.35,9.00,26.5
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,1.30,09-26-2019,22:00:00,0.0,1013.89,1013.09,0.00,000,24.7,94,31.08,8.00,25.7
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,23.70,09-26-2019,22:00:00,0.0,1013.73,1013.09,0.50,000,25.5,95,32.71,10.00,26.4
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,13.00,09-26-2019,22:00:00,0.0,1012.47,1012.06,0.00,000,25.5,95,32.71,10.00,26.4
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,16.10,09-26-2019,22:00:00,0.0,1015.55,1011.28,0.00,000,24.5,96,30.69,6.00,25.2
