WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,Rainfall24Hr,LandVisibility,StationPressure,Rainfall,VaporPressure,RelativeHumidity,DewPoint,MeanSeaLevelPressure,WindSpeed,AirTemperature,WindDirection
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,10-03-2019,22:00:00,0.00,10.00,977.67,0.00,25.81,72,21.6,1011.27,0.0,27.0,000
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,10-03-2019,22:00:00,0.00,3.00,992.16,0.00,29.45,84,23.8,1010.72,0.0,26.7,000
48331,NAN,น่าน,น่าน,18.77972,100.77778,10-03-2019,22:00:00,0.00,10.00,988.35,0.00,26.65,77,22.1,1011.25,0.0,26.6,000
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,10-03-2019,22:00:00,0.00,9.00,981.32,0.00,27.87,89,22.9,1011.48,0.0,24.8,000
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,10-03-2019,22:00:00,0.00,7.00,975.44,0.00,32.77,92,25.6,1010.98,0.0,27.0,000
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,10-03-2019,22:00:00,0.00,6.00,980.66,0.00,28.92,91,23.5,1010.60,0.0,25.1,000
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,10-03-2019,22:00:00,0.00,8.00,1003.63,0.00,26.93,75,22.3,1010.96,0.0,27.2,000
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,10-03-2019,22:00:00,0.00,5.00,990.34,0.00,33.41,80,25.9,1010.11,3.7,29.7,120
48353,LOEI,เลย,เลย,17.45000,101.73333,10-03-2019,22:00:00,0.00,8.00,982.04,0.00,29.77,82,24.0,1010.73,3.7,27.3,260
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,10-03-2019,22:00:00,0.00,8.00,990.50,0.00,29.54,74,23.8,1010.60,3.7,28.9,140
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,10-03-2019,22:00:00,0.00,6.00,989.81,0.00,28.67,88,23.3,1011.74,0.0,25.4,000
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,10-03-2019,22:00:00,0.00,8.00,991.30,0.00,31.00,83,24.6,1010.79,0.0,27.8,000
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,10-03-2019,22:00:00,0.00,10.00,994.59,0.00,27.30,68,22.5,1011.28,0.0,29.0,000
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,10-03-2019,22:00:00,0.00,8.00,993.98,0.00,28.16,72,23.0,1011.36,0.0,28.6,000
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,10-03-2019,22:00:00,0.00,9.00,984.66,0.00,32.19,83,25.3,1010.38,3.7,28.4,080
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,10-03-2019,22:00:00,0.00,8.00,1004.38,0.00,32.39,83,25.4,1010.15,0.0,28.5,000
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,10-03-2019,22:00:00,0.00,6.00,1004.14,0.00,32.88,84,25.6,1010.32,0.0,28.6,000
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,10-03-2019,22:00:00,0.00,8.00,995.32,0.00,27.36,77,22.6,1011.83,0.0,27.0,000
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,10-03-2019,22:00:00,0.00,10.00,988.26,0.00,24.21,78,20.6,1010.83,0.0,24.7,000
48376,TAK,ตาก,ตาก,16.87833,99.14333,10-03-2019,22:00:00,0.00,6.00,997.21,0.00,28.72,84,23.4,1011.69,0.0,26.3,000
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,10-03-2019,22:00:00,0.00,7.00,994.67,0.00,29.50,88,23.8,1011.17,0.0,26.0,000
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,10-03-2019,22:00:00,0.00,10.00,1005.44,0.00,28.94,81,23.5,1010.68,0.0,27.0,000
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,10-03-2019,22:00:00,0.00,8.00,996.56,0.00,28.02,75,23.0,1009.76,0.0,27.8,000
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,10-03-2019,22:00:00,0.00,10.00,1001.62,0.00,29.77,82,24.0,1010.97,1.9,27.3,240
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,10-03-2019,22:00:00,0.00,8.00,989.22,0.00,31.54,81,24.9,1010.87,0.0,28.5,000
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,10-03-2019,22:00:00,0.00,6.00,993.34,0.00,28.95,75,23.5,1010.83,5.6,28.3,110
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,10-03-2019,22:00:00,0.00,10.00,994.69,0.00,30.59,80,24.4,1010.51,0.0,28.3,000
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,10-03-2019,22:00:00,0.00,7.00,991.19,0.00,31.22,87,24.8,1010.12,0.0,27.2,000
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,10-03-2019,22:00:00,0.00,7.00,962.18,0.00,24.57,90,20.8,1014.31,0.0,22.5,000
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,10-03-2019,22:00:00,0.00,3.00,1006.47,0.00,36.06,90,27.2,1010.42,0.0,29.0,000
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,10-03-2019,22:00:00,6.00,4.00,917.31,0.00,22.24,95,19.2,1013.47,0.0,20.0,000
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,10-03-2019,22:00:00,0.00,8.00,994.77,0.00,32.84,89,25.6,1010.78,0.0,27.6,000
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,10-03-2019,22:00:00,5.90,5.00,1007.16,0.00,32.35,93,25.4,1011.21,0.0,26.5,000
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,10-03-2019,22:00:00,0.00,7.00,1000.95,0.00,32.32,86,25.3,1011.64,0.0,27.9,000
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,10-03-2019,22:00:00,0.00,5.00,1009.45,0.00,34.58,86,26.5,1011.38,0.0,29.0,000
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,10-03-2019,22:00:00,0.00,7.00,990.42,0.00,30.70,79,24.5,1011.26,0.0,28.5,000
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,10-03-2019,22:00:00,0.00,10.00,993.14,0.00,33.45,89,25.9,1010.82,7.4,27.9,190
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,10-03-2019,22:00:00,0.00,10.00,994.58,0.00,34.40,88,26.4,1010.71,5.6,28.5,160
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,10-03-2019,22:00:00,0.00,8.00,997.36,0.00,32.55,85,25.5,1011.39,0.0,28.3,000
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,10-03-2019,22:00:00,0.00,9.00,997.16,0.00,32.77,92,25.6,1012.06,0.0,27.0,000
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,10-03-2019,22:00:00,19.10,7.00,997.54,0.00,35.39,98,26.9,1012.27,0.0,27.3,000
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,10-03-2019,22:00:00,0.00,5.00,1008.09,0.00,35.23,83,26.8,1011.09,0.0,30.0,"{'@attributes': {'Unit': 'degree'}, '0': '   '}"
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,10-03-2019,22:00:00,0.00,8.00,1002.96,0.00,30.42,83,24.3,1010.93,0.0,27.5,000
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,10-03-2019,22:00:00,0.00,{'@attributes': {'Unit': 'km'}},{'@attributes': {'unit': 'hPa'}},0.00,{'@attributes': {'Unit': 'mb'}},{'@attributes': {'Unit': '%'}},{'@attributes': {'Unit': 'celcius'}},{'@attributes': {'Unit': 'hPa'}},0.0,{'@attributes': {'Unit': 'celcius'}},"{'@attributes': {'Unit': 'degree'}, '0': '   '}"
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,10-03-2019,22:00:00,0.00,8.00,993.51,0.00,33.28,84,25.8,1008.13,3.7,28.8,080
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,10-03-2019,22:00:00,11.60,.10,877.83,1.20,23.49,98,20.1,1013.28,5.6,20.4,180
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,10-03-2019,22:00:00,26.60,10.00,1005.38,0.00,30.81,93,24.5,1011.31,0.0,25.7,000
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,10-03-2019,22:00:00,15.10,7.00,1011.37,0.00,26.54,70,22.1,1012.18,0.0,28.0,000
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,10-03-2019,22:00:00,0.00,10.00,1010.81,0.00,31.38,80,24.8,1011.26,9.3,28.7,140
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,10-03-2019,22:00:00,0.00,6.00,1001.11,0.00,30.59,89,24.4,1012.50,0.0,26.3,000
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,10-03-2019,22:00:00,0.00,7.00,1010.33,0.00,29.52,80,23.8,1011.35,0.0,27.6,000
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,10-03-2019,22:00:00,0.00,7.00,1009.38,0.00,32.13,78,25.2,1011.19,3.7,29.5,170
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,10-03-2019,22:00:00,0.00,8.00,1010.43,0.00,27.14,81,22.4,1011.20,3.7,26.0,260
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,10-03-2019,22:00:00,0.00,9.00,1010.94,0.00,31.77,80,25.1,1011.64,3.7,28.9,130
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,10-03-2019,22:00:00,0.00,7.00,1013.51,0.00,29.41,76,23.8,1014.22,3.7,28.4,120
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,10-03-2019,22:00:00,0.40,6.00,990.30,0.00,28.70,85,23.4,1011.62,0.0,26.0,000
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,10-03-2019,22:00:00,0.01,7.00,994.89,0.00,31.22,87,24.8,1011.67,0.0,27.2,000
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,10-03-2019,22:00:00,27.00,6.00,995.63,27.00,31.08,94,24.7,1012.21,0.0,25.7,000
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,10-03-2019,22:00:00,0.00,6.00,989.64,0.00,27.25,79,22.5,1011.63,0.0,26.5,000
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,10-03-2019,22:00:00,0.30,6.00,968.26,0.00,25.84,87,21.6,1012.16,3.7,23.9,100
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,10-03-2019,22:00:00,0.20,6.00,991.15,0.00,30.05,88,24.1,1011.85,3.7,26.3,160
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,10-03-2019,22:00:00,0.00,6.00,991.86,0.00,30.15,94,24.2,1012.92,5.6,25.2,170
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,10-03-2019,22:00:00,0.01,10.00,1010.88,0.00,30.59,89,24.4,1011.32,0.0,26.3,"{'@attributes': {'Unit': 'degree'}, '0': '   '}"
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,10-03-2019,22:00:00,8.20,8.00,1010.40,0.20,30.15,94,24.2,1011.83,0.0,25.2,000
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,10-03-2019,22:00:00,1.10,7.00,1006.92,0.20,31.52,97,24.9,1011.90,0.0,25.5,000
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,10-03-2019,22:00:00,1.80,10.00,1008.72,1.80,29.00,92,23.5,1012.05,0.0,25.0,000
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,10-03-2019,22:00:00,0.00,10.00,1010.53,0.00,28.67,88,23.3,1011.65,3.7,25.4,080
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,10-03-2019,22:00:00,0.00,10.00,1011.08,0.00,28.64,72,23.3,1011.38,0.0,29.0,000
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,10-03-2019,22:00:00,0.00,8.00,1010.82,0.00,32.42,79,25.4,1011.31,3.7,29.5,150
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,10-03-2019,22:00:00,6.00,9.00,1010.28,0.00,26.59,73,22.1,1011.70,9.3,27.3,210
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,10-03-2019,22:00:00,36.10,10.00,1005.51,0.20,28.60,98,23.3,1013.66,0.0,23.6,000
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,10-03-2019,22:00:00,0.00,4.00,1011.51,0.00,33.70,91,26.0,1011.79,0.0,27.6,000
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,10-03-2019,22:00:00,0.00,10.00,1008.45,0.00,34.52,95,26.4,1011.59,0.0,27.3,000
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,10-03-2019,22:00:00,0.00,10.00,1004.58,0.00,33.04,85,25.7,1011.52,0.0,28.4,000
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,10-03-2019,22:00:00,1.10,7.00,1006.12,0.00,28.67,80,23.3,1011.75,0.0,27.0,000
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,10-03-2019,22:00:00,0.00,10.00,1011.92,0.00,27.79,88,22.8,1013.20,0.0,24.9,000
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,10-03-2019,22:00:00,0.00,11.00,1011.21,0.00,28.26,77,23.1,1011.65,0.0,27.5,000
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,10-03-2019,22:00:00,0.70,8.00,999.83,0.00,27.42,93,22.6,1012.29,0.0,23.8,000
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,10-03-2019,22:00:00,0.00,10.00,1010.81,0.00,27.00,77,22.4,1011.53,7.4,26.8,260
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,10-03-2019,22:00:00,0.20,10.00,1009.62,0.00,33.20,87,25.8,1012.06,5.6,28.2,170
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,10-03-2019,22:00:00,0.00,7.00,1012.42,0.00,32.55,81,25.5,1012.94,0.0,29.0,000
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,10-03-2019,22:00:00,0.40,8.00,1006.66,0.00,32.52,86,25.4,1011.82,0.0,28.0,000
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,10-03-2019,22:00:00,0.00,7.00,1011.75,0.00,30.05,88,24.1,1012.17,0.0,26.3,000
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,10-03-2019,22:00:00,0.00,8.00,1009.45,0.00,30.84,92,24.6,1012.24,0.0,26.0,000
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,10-03-2019,22:00:00,0.00,10.00,1011.70,0.00,27.60,79,22.7,1012.50,0.0,26.7,000
48501,TRAD,ตราด,ตราด,11.76667,102.88333,10-03-2019,22:00:00,0.00,7.00,1011.86,0.00,27.21,83,22.5,1012.32,5.6,25.6,060
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,10-03-2019,22:00:00,0.00,8.00,1011.71,0.00,30.67,90,24.5,1012.40,0.0,26.2,000
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,10-03-2019,22:00:00,2.40,8.00,1011.14,0.00,29.16,93,23.6,1012.68,0.0,24.8,000
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,10-03-2019,22:00:00,0.10,10.00,1012.13,0.00,30.16,87,24.2,1013.05,0.0,26.5,000
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,10-03-2019,22:00:00,0.00,10.00,1012.08,0.00,29.06,79,23.6,1012.78,5.6,27.5,270
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,10-03-2019,22:00:00,0.00,9.00,1012.29,0.00,28.10,93,23.0,1013.10,0.0,24.2,000
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,10-03-2019,22:00:00,0.00,10.00,1011.59,0.00,29.52,93,23.8,1012.23,0.0,25.0,000
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,10-03-2019,22:00:00,62.20,10.00,1013.44,0.00,29.75,97,24.0,1013.85,0.0,24.4,000
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,10-03-2019,22:00:00,63.10,5.00,1010.72,0.00,28.77,98,23.4,1015.01,0.0,23.7,000
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,10-03-2019,22:00:00,18.20,7.00,1010.63,16.00,28.54,94,23.3,1012.26,0.0,24.3,000
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,10-03-2019,22:00:00,2.00,7.00,1009.29,0.10,30.22,97,24.2,1012.81,0.0,24.8,000
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,10-03-2019,22:00:00,0.00,8.00,1011.57,0.00,30.07,93,24.1,1012.94,0.0,25.3,000
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,10-03-2019,22:00:00,23.50,10.00,1011.66,0.00,30.38,98,24.3,1012.56,0.0,24.6,000
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,10-03-2019,22:00:00,0.00,10.00,1008.78,0.00,29.97,94,24.1,1012.38,0.0,25.1,000
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,10-03-2019,22:00:00,0.00,10.00,1012.13,0.00,31.31,82,24.8,1012.57,0.0,28.1,000
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,10-03-2019,22:00:00,9.70,10.00,1011.02,0.00,31.36,84,24.8,1012.02,0.0,27.7,000
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,10-03-2019,22:00:00,3.00,9.00,1012.09,1.60,29.68,88,23.9,1012.91,5.6,26.1,100
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,10-03-2019,22:00:00,36.20,10.00,1011.14,0.00,29.41,96,23.8,1012.98,0.0,24.5,000
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,10-03-2019,22:00:00,0.01,10.00,1012.01,0.01,28.76,81,23.4,1012.77,5.6,26.9,160
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,10-03-2019,22:00:00,13.80,10.00,1009.11,0.40,31.06,96,24.7,1013.15,5.6,25.4,130
48570,SATUN,สตูล,สตูล,6.65000,100.08333,10-03-2019,22:00:00,25.30,10.00,1012.33,0.00,31.03,92,24.7,1013.02,0.0,26.1,000
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,10-03-2019,22:00:00,0.00,10.00,1011.68,0.00,29.80,86,24.0,1012.81,0.0,26.6,000
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,10-03-2019,22:00:00,6.60,10.00,1010.26,1.50,32.40,96,25.4,1013.21,0.0,26.1,000
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,10-03-2019,22:00:00,1.90,7.00,1012.14,1.40,29.52,93,23.8,1012.84,0.0,25.0,000
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,10-03-2019,22:00:00,116.70,6.00,1009.32,8.50,28.69,97,23.4,1013.52,0.0,23.8,000
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,10-03-2019,22:00:00,0.00,10.00,1011.74,0.00,27.29,84,22.5,1012.34,13.0,25.5,250
