WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,LandVisibility,Date,Time,Rainfall24Hr,AirTemperature,RelativeHumidity,WindSpeed,VaporPressure,WindDirection,DewPoint,MeanSeaLevelPressure,Rainfall,StationPressure
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,10.00,08-20-2019,10:00:00,0.01,32.3,59,0.0,28.69,000,23.4,1007.69,0.00,1007.40
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,10.00,08-20-2019,10:00:00,0.00,32.4,61,5.6,29.46,220,23.8,1007.74,0.00,1007.06
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,10.00,08-20-2019,10:00:00,0.00,31.7,65,3.7,30.61,270,24.4,1007.14,0.00,1006.66
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,10.00,08-20-2019,10:00:00,4.60,31.7,63,13.0,29.47,250,23.8,1007.80,0.00,1006.41
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,10.00,08-20-2019,10:00:00,0.00,29.5,85,16.7,35.05,210,26.7,1008.12,0.00,1006.45
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,10.00,08-20-2019,10:00:00,0.20,29.0,81,0.0,32.55,000,25.5,1009.93,0.00,1001.95
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,10.00,08-20-2019,10:00:00,9.30,30.5,76,5.6,33.34,320,25.9,1007.87,0.00,1007.59
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,10.00,08-20-2019,10:00:00,0.00,30.0,73,9.3,31.15,300,24.7,1007.90,0.00,1004.79
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,12.00,08-20-2019,10:00:00,1.50,30.0,73,11.1,30.87,240,24.6,1008.19,0.00,1001.31
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,8.00,08-20-2019,10:00:00,0.50,30.5,75,5.6,32.75,290,25.6,1008.23,0.00,1002.69
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,10.00,08-20-2019,10:00:00,0.00,30.5,70,11.1,30.46,240,24.3,1009.18,0.00,999.96
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,12.00,08-20-2019,10:00:00,0.01,30.0,75,0.0,31.72,000,25.0,1008.58,0.01,1007.33
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,11.00,08-20-2019,10:00:00,0.00,31.5,69,0.0,31.93,000,25.1,1008.07,0.00,1007.65
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,8.00,08-20-2019,10:00:00,0.00,30.8,67,7.4,29.65,230,23.9,1008.48,0.00,996.36
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,10.00,08-20-2019,10:00:00,0.00,31.8,63,9.3,29.67,280,23.9,1008.19,0.00,1007.48
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,10.00,08-20-2019,10:00:00,0.00,32.5,62,11.1,30.24,230,24.2,1008.52,0.00,1006.13
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,10.00,08-20-2019,10:00:00,0.00,29.8,76,9.3,31.89,260,25.1,1008.47,0.00,1007.95
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,16.00,08-20-2019,10:00:00,6.80,30.7,71,3.7,31.15,230,24.7,1008.29,0.00,1003.20
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,7.00,08-20-2019,10:00:00,27.80,28.4,91,0.0,35.36,000,26.9,1008.82,17.30,1008.41
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,8.00,08-20-2019,10:00:00,21.60,28.9,89,0.0,35.54,000,26.9,1008.82,0.00,1006.06
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,10.00,08-20-2019,10:00:00,0.30,30.7,69,0.0,30.29,000,24.3,1008.18,0.00,1007.40
48501,TRAD,ตราด,ตราด,11.76667,102.88333,7.00,08-20-2019,10:00:00,4.30,27.0,96,3.7,34.19,010,26.3,1009.29,3.40,1008.83
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,10.00,08-20-2019,10:00:00,0.00,31.4,65,7.4,29.72,290,23.9,1009.54,0.00,1008.86
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,10.00,08-20-2019,10:00:00,0.00,32.0,60,3.7,28.66,270,23.3,1009.58,0.00,1008.08
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,10.00,08-20-2019,10:00:00,0.00,30.2,70,7.4,30.14,240,24.2,1010.62,0.00,1009.71
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,10.00,08-20-2019,10:00:00,0.00,32.7,56,0.0,27.52,000,22.7,1009.68,0.00,1009.00
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,10.00,08-20-2019,10:00:00,0.00,31.5,63,9.3,29.07,230,23.6,1010.19,0.00,1009.40
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,10.00,08-20-2019,10:00:00,0.00,32.7,56,7.4,27.80,090,22.8,1009.24,0.00,1008.61
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,10.00,08-20-2019,10:00:00,0.00,33.6,55,0.0,28.76,000,23.4,1009.50,0.00,1009.10
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,10.00,08-20-2019,10:00:00,0.00,31.5,57,14.8,26.32,230,21.9,1011.93,0.00,1007.77
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,12.00,08-20-2019,10:00:00,0.00,30.2,65,0.0,27.93,000,22.9,1010.19,0.00,1008.60
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,10.00,08-20-2019,10:00:00,0.00,31.3,67,5.6,30.65,270,24.5,1010.24,0.00,1006.80
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,10.00,08-20-2019,10:00:00,0.00,30.6,68,0.0,29.81,000,24.0,1009.71,0.00,1008.36
