WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,StationPressure,Date,Time,MeanSeaLevelPressure,Rainfall,LandVisibility,WindDirection,WindSpeed,Rainfall24Hr,DewPoint,AirTemperature,RelativeHumidity,MinimumTemperature,VaporPressure
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,1005.69,08-12-2019,07:00:00,1006.40,0.00,7.00,100,3.7,0.01,24.9,26.6,90,25.7,31.44
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,984.98,08-12-2019,07:00:00,1006.18,0.00,10.00,000,0.0,1.10,23.4,26.0,85,25.1,28.70
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,990.31,08-12-2019,07:00:00,1007.10,0.00,7.00,000,0.0,0.00,24.1,25.7,91,24.6,30.01
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,990.72,08-12-2019,07:00:00,1007.23,0.00,6.00,180,1.9,0.00,24.1,25.7,91,24.5,30.01
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,984.58,08-12-2019,07:00:00,1006.49,0.00,10.00,000,0.0,1.40,24.0,26.0,89,24.8,29.76
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,962.83,08-12-2019,07:00:00,1006.41,0.10,8.00,120,7.4,1.30,23.1,24.4,92,23.7,28.20
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,985.92,08-12-2019,07:00:00,1006.51,0.00,10.00,120,7.4,0.00,23.3,26.4,83,25.5,28.64
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,987.13,08-12-2019,07:00:00,1008.08,0.00,8.00,180,11.1,6.60,25.1,25.3,99,24.8,31.96
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,1005.67,08-12-2019,07:00:00,1006.10,0.00,10.00,220,11.1,0.10,24.1,27.0,84,25.9,30.02
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,1004.81,08-12-2019,07:00:00,1006.24,0.00,8.00,000,0.0,8.90,25.0,25.6,97,24.5,31.71
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,1001.63,08-12-2019,07:00:00,1006.59,0.00,8.00,000,0.0,0.80,24.8,25.4,97,25.2,31.33
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,1002.38,08-12-2019,07:00:00,1005.69,0.00,10.00,000,0.0,23.80,24.4,25.3,95,23.3,30.60
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,1004.57,08-12-2019,07:00:00,1005.68,0.01,5.00,000,0.0,11.40,25.0,25.4,97,24.7,31.60
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,1005.63,08-12-2019,07:00:00,1005.93,0.00,10.00,000,0.0,0.01,24.7,27.3,86,26.8,31.14
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,1005.15,08-12-2019,07:00:00,1005.84,0.00,10.00,000,0.0,0.00,24.6,27.5,84,27.2,30.97
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,1005.27,08-12-2019,07:00:00,1005.76,0.00,10.00,000,0.0,0.00,24.1,27.0,84,26.7,30.02
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,1004.27,08-12-2019,07:00:00,1005.68,0.01,10.00,120,9.3,0.01,24.4,27.6,83,26.7,30.61
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,1004.50,08-12-2019,07:00:00,1006.17,0.00,10.00,190,22.2,0.00,25.1,28.2,83,27.7,31.79
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,999.95,08-12-2019,07:00:00,1008.01,0.00,10.00,230,3.7,1.40,24.1,25.4,92,24.5,29.99
