WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,RelativeHumidity,Date,Time,Rainfall,VaporPressure,LandVisibility,AirTemperature,Rainfall24Hr,DewPoint,MeanSeaLevelPressure,WindSpeed,StationPressure,WindDirection
48331,NAN,น่าน,น่าน,18.77972,100.77778,70,08-13-2019,16:00:00,0.00,32.30,10.00,31.4,7.20,25.3,1005.01,0.0,982.60,000
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,76,08-13-2019,16:00:00,0.00,32.42,12.00,30.2,1.80,25.4,1005.14,7.4,975.68,090
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,78,08-13-2019,16:00:00,0.00,33.17,6.00,30.0,5.60,25.8,1005.14,0.0,970.14,000
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,72,08-13-2019,16:00:00,0.00,32.76,14.00,31.2,13.20,25.6,1004.24,3.7,975.08,100
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,78,08-13-2019,16:00:00,0.00,34.22,9.00,30.5,8.90,26.3,1005.53,0.0,998.33,000
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,81,08-13-2019,16:00:00,0.00,33.58,13.00,29.5,37.00,26.0,1005.21,5.6,985.52,250
48353,LOEI,เลย,เลย,17.45000,101.73333,70,08-13-2019,16:00:00,0.00,32.10,15.00,31.3,5.30,25.2,1004.81,5.6,976.66,340
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,72,08-13-2019,16:00:00,0.01,29.88,12.00,29.5,7.10,24.0,1005.51,5.6,985.55,280
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,90,08-13-2019,16:00:00,2.10,34.36,8.00,28.2,13.20,26.4,1006.46,0.0,984.84,000
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,91,08-13-2019,16:00:00,3.30,33.50,7.00,27.5,9.10,25.9,1005.66,3.7,986.24,260
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,85,08-13-2019,16:00:00,11.50,31.05,10.00,27.4,27.20,24.7,1006.26,3.7,989.56,280
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,87,08-13-2019,16:00:00,12.60,31.49,12.00,27.2,26.80,24.9,1006.35,0.0,988.98,000
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,81,08-13-2019,16:00:00,0.50,32.55,9.00,29.0,8.60,25.5,1005.19,5.6,979.64,160
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,78,08-13-2019,16:00:00,0.00,36.49,10.00,31.8,6.30,27.4,1005.38,0.0,999.69,000
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,76,08-13-2019,16:00:00,0.00,35.42,12.00,31.6,8.80,26.9,1005.50,0.0,999.42,000
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,74,08-13-2019,16:00:00,0.00,32.67,10.00,30.6,3.40,25.5,1006.11,0.0,989.88,000
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,78,08-13-2019,16:00:00,0.20,33.17,10.00,30.0,9.90,25.8,1004.96,7.4,982.91,240
48376,TAK,ตาก,ตาก,16.87833,99.14333,80,08-13-2019,16:00:00,8.20,33.41,7.00,29.7,8.60,25.9,1006.69,0.0,992.44,000
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,65,08-13-2019,16:00:00,1.00,31.27,7.00,32.3,4.00,24.8,1005.04,0.0,988.97,000
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,70,08-13-2019,16:00:00,0.00,32.73,10.00,31.6,9.20,25.5,1006.05,3.7,1000.91,260
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,78,08-13-2019,16:00:00,0.00,33.17,12.00,30.0,11.80,25.8,1004.07,0.0,991.04,000
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,96,08-13-2019,16:00:00,25.00,32.20,3.00,26.0,29.20,25.3,1006.69,0.0,997.34,000
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,78,08-13-2019,16:00:00,0.20,31.41,8.00,29.0,1.20,24.9,1005.78,5.6,984.27,230
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,72,08-13-2019,16:00:00,0.01,31.31,10.00,30.5,0.30,24.8,1005.71,14.8,988.43,250
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,82,08-13-2019,16:00:00,0.01,32.42,10.00,28.8,5.60,25.4,1005.41,3.7,989.69,220
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,76,08-13-2019,16:00:00,0.01,31.68,10.00,29.7,1.10,25.0,1005.06,0.0,986.39,000
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,90,08-13-2019,16:00:00,7.70,29.19,10.00,25.4,18.60,23.6,1006.60,0.0,955.35,000
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,70,08-13-2019,16:00:00,0.00,32.22,8.00,31.5,3.10,25.3,1005.42,7.4,1001.53,130
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,89,08-13-2019,16:00:00,1.90,25.84,8.00,23.6,5.10,21.6,1006.63,9.3,912.21,250
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,84,08-13-2019,16:00:00,0.10,34.88,10.00,29.7,3.80,26.6,1005.77,0.0,989.95,000
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,75,08-13-2019,16:00:00,0.01,35.26,7.00,31.8,5.80,26.8,1005.89,5.6,1001.92,210
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,69,08-13-2019,16:00:00,0.00,31.93,10.00,31.5,0.80,25.1,1006.99,5.6,996.48,200
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,71,08-13-2019,16:00:00,0.01,32.05,9.00,31.0,5.80,25.2,1006.43,11.1,1004.53,210
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,74,08-13-2019,16:00:00,0.20,30.63,12.00,29.6,1.80,24.4,1005.98,5.6,985.32,250
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,74,08-13-2019,16:00:00,0.00,30.44,10.00,29.5,1.40,24.3,1005.73,11.1,988.23,290
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,72,08-13-2019,16:00:00,0.00,30.39,10.00,29.9,5.90,24.3,1005.55,0.0,989.57,000
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,69,08-13-2019,16:00:00,0.00,30.90,10.00,31.0,0.00,24.6,1005.90,11.1,992.07,310
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,82,08-13-2019,16:00:00,0.01,34.00,8.00,29.7,0.01,26.2,1006.63,0.0,991.94,000
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,73,08-13-2019,16:00:00,0.00,32.93,9.00,31.0,0.00,25.7,1006.60,3.7,992.13,270
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,67,08-13-2019,16:00:00,0.01,30.57,10.00,31.4,0.20,24.4,1005.74,0.0,1002.77,"{'@attributes': {'Unit': 'degree'}, '0': '   '}"
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,68,08-13-2019,16:00:00,0.20,31.77,10.00,31.7,0.20,25.0,1005.68,13.0,997.86,320
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,59,08-13-2019,16:00:00,0.00,31.34,9.00,34.0,0.00,24.8,1006.10,11.1,1005.02,210
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,86,08-13-2019,16:00:00,0.00,36.44,9.00,30.0,0.00,27.4,1005.30,3.7,990.79,120
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,99,08-13-2019,16:00:00,2.80,24.46,.05,20.9,10.60,20.7,1008.02,5.6,873.48,260
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,65,08-13-2019,16:00:00,0.00,32.68,10.00,33.1,5.80,25.5,1005.88,0.0,1000.12,000
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,59,08-13-2019,16:00:00,0.00,30.28,9.00,33.5,0.00,24.2,1006.94,5.6,1006.15,240
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,67,08-13-2019,16:00:00,0.00,31.27,10.00,31.6,0.00,24.8,1007.30,9.3,1006.86,210
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,92,08-13-2019,16:00:00,2.80,31.79,4.00,26.5,11.90,25.1,1007.88,0.0,996.55,000
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,67,08-13-2019,16:00:00,0.00,32.02,12.00,32.1,2.10,25.2,1006.48,14.8,1005.48,240
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,60,08-13-2019,16:00:00,0.00,32.07,8.00,34.2,0.00,25.2,1006.27,3.7,1004.49,230
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,81,08-13-2019,16:00:00,0.60,33.50,8.00,29.6,13.70,25.9,1006.44,0.0,1005.68,000
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,70,08-13-2019,16:00:00,0.00,30.34,10.00,30.3,0.00,24.3,1007.36,16.7,1006.66,190
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,81,08-13-2019,16:00:00,0.10,31.94,7.00,28.7,0.10,25.1,1006.20,0.0,1005.50,000
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,73,08-13-2019,16:00:00,1.20,31.27,10.00,30.2,10.60,24.8,1005.94,5.6,985.03,200
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,85,08-13-2019,16:00:00,12.80,32.84,8.00,28.3,12.80,25.6,1006.23,0.0,989.61,000
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,85,08-13-2019,16:00:00,3.90,34.62,10.00,29.3,3.90,26.5,1007.03,3.7,990.73,150
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,91,08-13-2019,16:00:00,14.30,31.52,10.00,26.5,14.30,24.9,1006.54,0.0,984.66,000
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,77,08-13-2019,16:00:00,0.00,30.85,10.00,29.0,0.00,24.6,1006.55,0.0,963.61,000
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,95,08-13-2019,16:00:00,10.20,29.51,6.00,24.7,10.20,23.8,1007.42,14.8,986.69,300
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,79,08-13-2019,16:00:00,0.00,33.67,9.00,30.1,0.00,26.0,1007.63,5.6,987.02,350
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,85,08-13-2019,16:00:00,5.60,35.05,10.00,29.5,6.00,26.7,1006.91,18.5,1006.48,170
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,86,08-13-2019,16:00:00,0.80,33.53,8.00,28.5,8.00,26.0,1007.03,0.0,1005.62,000
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,86,08-13-2019,16:00:00,0.01,35.65,8.00,29.5,0.01,27.0,1007.21,0.0,1002.32,000
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,62,08-13-2019,16:00:00,0.00,29.83,12.00,32.3,0.40,24.0,1006.52,3.7,1003.29,240
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,63,08-13-2019,16:00:00,0.00,31.02,10.00,32.6,0.50,24.7,1006.44,0.0,1005.35,000
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,73,08-13-2019,16:00:00,0.00,32.30,10.00,30.7,0.01,25.3,1007.12,9.3,1006.83,210
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,71,08-13-2019,16:00:00,0.00,31.76,10.00,31.0,0.00,25.0,1006.71,7.4,1006.03,250
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,65,08-13-2019,16:00:00,0.00,30.20,10.00,31.5,0.00,24.2,1006.49,5.6,1006.01,240
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,68,08-13-2019,16:00:00,0.00,31.23,10.00,31.3,0.01,24.8,1006.72,16.7,1005.33,170
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,79,08-13-2019,16:00:00,0.00,33.33,10.00,29.8,0.00,25.9,1007.07,18.5,1005.41,210
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,61,08-13-2019,16:00:00,0.01,28.43,10.00,31.6,0.90,23.2,1008.99,3.7,1001.09,270
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,65,08-13-2019,16:00:00,0.00,31.27,10.00,32.3,0.00,24.8,1007.08,13.0,1006.80,160
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,69,08-13-2019,16:00:00,0.00,30.90,10.00,31.0,0.00,24.6,1006.75,5.6,1003.65,230
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,71,08-13-2019,16:00:00,0.00,31.15,10.00,30.7,0.00,24.7,1007.59,5.6,1000.73,250
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,80,08-13-2019,16:00:00,0.00,30.59,8.00,28.3,0.00,24.4,1008.11,18.5,1002.53,210
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,70,08-13-2019,16:00:00,0.00,31.06,10.00,30.8,0.00,24.7,1007.28,9.3,998.08,230
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,64,08-13-2019,16:00:00,0.00,31.11,14.00,32.5,0.00,24.7,1007.84,7.4,1006.60,210
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,78,08-13-2019,16:00:00,0.40,36.34,8.00,31.6,0.60,27.3,1007.05,22.2,1006.62,170
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,62,08-13-2019,16:00:00,0.00,30.03,9.00,32.4,0.70,24.1,1007.36,7.4,995.31,270
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,60,08-13-2019,16:00:00,0.00,30.32,10.00,33.1,0.00,24.3,1007.28,5.6,1006.58,210
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,65,08-13-2019,16:00:00,0.00,30.32,10.00,31.7,0.00,24.3,1008.49,14.8,1006.09,220
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,79,08-13-2019,16:00:00,0.00,32.71,10.00,29.5,0.00,25.5,1007.97,14.8,1007.46,260
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,67,08-13-2019,16:00:00,0.00,30.05,14.00,31.0,0.30,24.1,1007.68,3.7,1002.59,150
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,80,08-13-2019,16:00:00,0.00,33.62,8.00,29.8,5.50,26.0,1008.15,7.4,1007.75,210
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,87,08-13-2019,16:00:00,0.00,32.28,8.00,27.6,3.60,25.3,1009.21,0.0,1006.44,000
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,71,08-13-2019,16:00:00,0.00,29.63,10.00,29.8,0.00,23.9,1008.18,9.3,1007.40,250
48501,TRAD,ตราด,ตราด,11.76667,102.88333,82,08-13-2019,16:00:00,0.00,32.42,8.00,28.8,8.20,25.4,1008.35,5.6,1007.90,300
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,77,08-13-2019,16:00:00,0.00,32.59,8.00,30.0,6.00,25.5,1008.27,7.4,1007.59,280
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,81,08-13-2019,16:00:00,0.00,33.50,7.00,29.6,12.60,25.9,1008.19,3.7,1006.68,240
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,73,08-13-2019,16:00:00,5.30,31.15,10.00,30.0,6.60,24.7,1009.12,7.4,1008.21,220
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,59,08-13-2019,16:00:00,0.00,30.24,10.00,33.2,0.00,24.2,1008.32,16.7,1007.64,280
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,86,08-13-2019,16:00:00,15.60,37.11,10.00,30.3,15.60,27.7,1008.51,1.9,1007.72,190
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,66,08-13-2019,16:00:00,0.00,31.10,10.00,31.8,0.00,24.7,1007.80,11.1,1007.18,090
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,60,08-13-2019,16:00:00,0.00,31.94,10.00,34.0,0.00,25.1,1007.37,0.0,1006.97,000
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,71,08-13-2019,16:00:00,0.01,31.23,6.00,30.6,0.01,24.8,1010.14,9.3,1005.97,240
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,49,08-13-2019,16:00:00,0.00,24.63,10.00,32.9,0.00,20.8,1008.13,0.0,1006.55,000
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,59,08-13-2019,16:00:00,0.00,31.34,10.00,34.0,0.20,24.8,1008.43,5.6,1005.03,240
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,84,08-13-2019,16:00:00,1.80,34.25,8.00,29.4,1.80,26.3,1007.65,3.7,1006.30,210
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,71,08-13-2019,16:00:00,0.00,31.35,10.00,30.8,5.40,24.8,1008.82,11.1,1007.94,260
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,69,08-13-2019,16:00:00,0.00,30.90,10.00,31.0,0.00,24.6,1008.39,0.0,1004.88,000
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,60,08-13-2019,16:00:00,0.00,30.45,10.00,33.3,0.00,24.3,1007.96,9.3,1007.53,260
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,67,08-13-2019,16:00:00,0.00,31.47,10.00,31.7,30.60,24.9,1008.56,7.4,1007.59,240
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,72,08-13-2019,16:00:00,0.00,33.75,10.00,31.8,0.00,26.1,1008.75,9.3,1007.94,260
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,54,08-13-2019,16:00:00,0.00,28.11,14.00,33.7,0.00,23.0,1008.02,7.4,1006.25,250
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,71,08-13-2019,16:00:00,0.00,32.26,12.00,31.1,0.00,25.3,1008.06,7.4,1007.31,340
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,51,08-13-2019,16:00:00,0.00,27.21,10.00,34.1,0.00,22.5,1007.58,11.1,1003.67,240
48570,SATUN,สตูล,สตูล,6.65000,100.08333,61,08-13-2019,16:00:00,0.00,31.33,10.00,33.3,0.00,24.8,1008.00,9.3,1007.33,270
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,64,08-13-2019,16:00:00,0.00,29.24,12.00,31.3,0.00,23.7,1006.29,18.5,1005.19,350
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,55,08-13-2019,16:00:00,0.00,31.24,12.00,35.2,0.00,24.8,1007.60,5.6,1004.76,210
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,70,08-13-2019,16:00:00,0.00,36.33,10.00,33.5,0.00,27.3,1007.07,9.3,1006.40,360
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,64,08-13-2019,16:00:00,0.00,33.03,10.00,33.4,0.00,25.7,1007.58,0.0,1003.54,000
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,64,08-13-2019,16:00:00,0.00,31.11,12.00,32.5,0.00,24.7,1007.81,9.3,1007.23,050
