WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,RelativeHumidity,Date,Time,Rainfall24Hr,Rainfall,WindSpeed,VaporPressure,LandVisibility,MeanSeaLevelPressure,DewPoint,StationPressure,MinimumTemperature,AirTemperature,WindDirection
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,94,09-16-2019,07:00:00,0.00,0.00,0.0,32.63,10.00,1007.41,25.5,998.07,26.0,26.5,000
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,92,09-16-2019,07:00:00,0.00,0.00,0.0,29.00,6.00,1008.13,23.5,986.28,24.5,25.0,000
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,81,09-16-2019,07:00:00,0.00,0.00,3.7,27.85,10.00,1008.18,22.9,990.63,24.5,26.4,050
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,80,09-16-2019,07:00:00,0.00,0.00,5.6,28.96,10.00,1007.69,23.5,991.86,25.5,27.3,050
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,97,09-16-2019,07:00:00,0.00,0.00,0.0,30.58,7.00,1007.31,24.4,988.30,24.1,25.0,000
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,96,09-16-2019,07:00:00,0.00,0.00,0.0,24.22,8.00,1008.01,20.6,955.98,20.5,21.2,000
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,92,09-16-2019,07:00:00,1.70,0.00,3.7,31.79,4.00,1007.21,25.1,1003.24,25.0,26.5,320
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,98,09-16-2019,07:00:00,1.80,0.00,0.0,23.64,.20,1008.62,20.2,913.07,19.6,20.5,000
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,95,09-16-2019,07:00:00,0.00,0.00,0.0,32.32,9.00,1007.43,25.3,991.39,25.1,26.2,000
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,94,09-16-2019,07:00:00,0.00,0.00,0.0,31.08,7.00,1007.50,24.7,1003.45,25.3,25.7,000
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,96,09-16-2019,07:00:00,0.00,0.00,0.0,30.32,9.00,1008.60,24.3,997.84,24.2,25.0,000
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,92,09-16-2019,07:00:00,12.60,0.00,0.0,30.28,10.00,1007.77,24.2,1005.84,24.5,25.7,000
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,92,09-16-2019,07:00:00,0.00,0.00,0.0,29.54,10.00,1007.73,23.8,986.74,23.5,25.3,000
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,97,09-16-2019,07:00:00,0.00,0.00,5.6,33.47,8.00,1007.37,25.9,989.68,25.0,26.5,080
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,98,09-16-2019,07:00:00,0.00,0.00,5.6,34.24,8.00,1007.14,26.3,990.96,26.0,26.6,080
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,91,09-16-2019,07:00:00,0.00,0.00,5.6,31.33,10.00,1008.18,24.8,994.11,25.6,26.4,130
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,93,09-16-2019,07:00:00,0.00,0.00,0.0,30.07,8.00,1008.91,24.1,993.97,25.0,25.3,000
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,98,09-16-2019,07:00:00,0.00,0.00,0.0,33.55,8.00,1008.11,26.0,993.40,24.5,26.4,000
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,94,09-16-2019,07:00:00,0.00,0.00,0.0,33.02,8.00,1007.38,25.7,1004.36,25.2,26.7,"{'@attributes': {'Unit': 'degree'}, '0': '   '}"
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,90,09-16-2019,07:00:00,2.50,0.00,0.0,31.05,10.00,1007.68,24.7,999.71,25.8,26.4,000
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,86,09-16-2019,07:00:00,4.40,0.00,0.0,29.25,9.00,1007.25,23.7,1006.14,25.0,26.3,000
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,94,09-16-2019,07:00:00,1.50,0.00,0.0,32.04,8.00,1007.50,25.2,992.77,24.7,26.2,000
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,95,09-16-2019,07:00:00,2.20,0.00,0.0,21.82,4.00,1008.68,18.9,873.56,18.4,19.7,000
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,96,09-16-2019,07:00:00,0.00,0.00,0.0,32.20,8.00,1007.67,25.3,1001.77,24.7,26.0,000
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,89,09-16-2019,07:00:00,24.70,0.00,1.9,29.29,8.00,1007.51,23.7,1006.70,24.7,25.6,030
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,87,09-16-2019,07:00:00,12.30,0.00,7.4,29.60,10.00,1007.05,23.9,1006.60,25.5,26.2,140
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,96,09-16-2019,07:00:00,4.30,0.00,0.0,30.32,5.00,1008.21,24.3,996.82,24.7,25.0,000
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,92,09-16-2019,07:00:00,0.00,0.00,0.0,31.03,10.00,1007.52,24.7,1006.50,25.5,26.1,000
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,96,09-16-2019,07:00:00,46.90,0.00,0.0,29.95,7.00,1007.67,24.1,1005.83,23.7,24.8,000
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,92,09-16-2019,07:00:00,0.40,0.00,0.0,30.46,8.00,1007.27,24.3,1006.50,25.1,25.8,000
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,87,09-16-2019,07:00:00,0.40,0.00,5.6,29.97,10.00,1007.14,24.1,1006.43,24.4,26.4,020
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,92,09-16-2019,07:00:00,11.00,0.00,0.0,31.99,7.00,1007.36,25.2,1006.66,25.5,26.6,000
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,91,09-16-2019,07:00:00,0.00,0.00,0.0,30.57,10.00,1007.93,24.4,986.69,25.2,26.0,000
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,97,09-16-2019,07:00:00,0.70,0.00,0.0,30.58,8.00,1008.09,24.4,991.25,23.4,25.0,000
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,97,09-16-2019,07:00:00,0.20,0.00,0.0,30.96,9.00,1008.64,24.6,992.09,24.5,25.2,000
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,92,09-16-2019,07:00:00,0.00,0.00,0.0,29.91,10.00,1007.85,24.0,985.87,24.6,25.5,000
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,97,09-16-2019,07:00:00,0.60,0.00,0.0,28.52,9.00,1008.11,23.3,964.36,22.7,23.7,000
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,96,09-16-2019,07:00:00,0.40,0.00,0.0,29.95,10.00,1007.88,24.1,987.16,24.0,24.8,000
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,100,09-16-2019,07:00:00,2.20,0.00,3.7,33.01,5.00,1009.34,25.7,988.39,23.8,25.7,250
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,86,09-16-2019,07:00:00,0.00,0.00,9.3,30.56,10.00,1006.88,24.4,1006.45,26.1,27.0,360
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,97,09-16-2019,07:00:00,11.50,0.01,0.0,31.04,11.00,1007.04,24.7,1005.61,24.8,25.1,000
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,98,09-16-2019,07:00:00,4.20,0.00,0.0,31.68,7.00,1007.24,25.0,1002.28,25.1,25.3,000
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,87,09-16-2019,07:00:00,0.00,0.00,5.6,29.60,12.00,1007.45,23.9,1004.14,23.7,26.2,330
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,90,09-16-2019,07:00:00,0.60,0.00,0.0,31.55,10.00,1007.41,24.9,1006.30,25.2,26.8,000
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,93,09-16-2019,07:00:00,4.20,0.00,0.0,30.92,10.00,1007.34,24.6,1007.04,24.9,25.9,000
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,95,09-16-2019,07:00:00,0.00,0.00,0.0,31.93,10.00,1007.09,25.1,1006.40,25.0,26.0,000
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,95,09-16-2019,07:00:00,0.00,0.00,0.0,32.12,10.00,1006.70,25.2,1006.21,25.0,26.1,000
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,89,09-16-2019,07:00:00,30.00,0.00,0.0,30.97,9.00,1007.74,24.6,1006.33,23.8,26.5,000
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,96,09-16-2019,07:00:00,11.40,11.40,11.1,35.23,10.00,1007.41,26.8,1005.74,26.5,27.5,030
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,99,09-16-2019,07:00:00,36.90,0.00,0.0,29.74,8.00,1009.33,23.9,1001.23,23.8,24.1,000
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,96,09-16-2019,07:00:00,43.20,0.00,0.0,32.59,10.00,1007.30,25.5,1007.02,25.3,26.2,000
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,88,09-16-2019,07:00:00,0.00,0.00,0.0,31.38,10.00,1007.47,24.8,1004.34,25.5,27.0,000
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,88,09-16-2019,07:00:00,0.00,0.00,5.6,31.38,12.00,1007.90,24.8,1000.96,26.5,27.0,090
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,94,09-16-2019,07:00:00,0.00,0.00,0.0,31.46,9.00,1008.22,24.9,1002.60,25.0,25.9,000
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,92,09-16-2019,07:00:00,0.00,0.00,0.0,32.77,8.00,1009.25,25.6,999.92,25.1,27.0,000
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,95,09-16-2019,07:00:00,0.00,0.00,3.7,30.23,12.00,1008.03,24.2,1006.76,24.8,25.1,320
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,87,09-16-2019,07:00:00,2.30,0.00,0.0,29.23,11.00,1007.07,23.7,1006.64,25.3,26.0,000
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,92,09-16-2019,07:00:00,0.01,0.00,0.0,27.51,8.00,1008.09,22.7,995.70,23.0,24.0,000
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,87,09-16-2019,07:00:00,0.00,0.00,0.0,28.87,10.00,1007.58,23.5,1006.87,25.4,25.8,000
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,93,09-16-2019,07:00:00,5.60,0.00,0.0,30.25,10.00,1007.39,24.2,1004.94,25.0,25.4,000
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,93,09-16-2019,07:00:00,51.10,0.00,0.0,31.11,10.00,1007.37,24.7,1006.85,25.3,26.0,000
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,96,09-16-2019,07:00:00,9.70,0.00,0.0,31.06,10.00,1007.42,24.7,1002.24,24.9,25.4,000
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,98,09-16-2019,07:00:00,70.40,0.60,0.0,31.31,7.00,1007.82,24.8,1007.40,23.7,25.1,000
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,96,09-16-2019,07:00:00,409.50,3.00,0.0,29.41,8.00,1007.29,23.8,1004.49,23.5,24.5,000
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,95,09-16-2019,07:00:00,4.10,3.50,0.0,29.33,8.00,1008.92,23.7,1008.13,24.1,24.6,000
48501,TRAD,ตราด,ตราด,11.76667,102.88333,98,09-16-2019,07:00:00,179.40,6.50,9.3,33.43,4.00,1007.33,25.9,1006.87,24.6,26.2,300
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,91,09-16-2019,07:00:00,24.30,1.40,5.6,27.86,7.00,1008.76,22.9,1008.07,23.4,24.5,270
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,93,09-16-2019,07:00:00,13.80,1.00,3.7,27.42,7.00,1008.60,22.6,1007.05,23.8,23.8,270
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,91,09-16-2019,07:00:00,115.20,14.00,3.7,27.25,10.00,1009.63,22.5,1008.70,23.9,24.0,190
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,92,09-16-2019,07:00:00,3.00,0.00,13.0,29.62,10.00,1007.90,23.9,1007.21,24.0,25.2,290
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,97,09-16-2019,07:00:00,5.90,0.50,0.0,28.17,8.00,1008.88,23.0,1008.07,23.4,23.5,000
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,91,09-16-2019,07:00:00,3.80,0.01,5.6,28.11,10.00,1007.70,23.0,1007.06,24.0,24.5,060
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,87,09-16-2019,07:00:00,1.60,0.00,0.0,28.15,10.00,1007.84,23.0,1007.44,24.4,25.4,000
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,97,09-16-2019,07:00:00,4.30,0.10,0.0,28.78,5.00,1010.40,23.4,1006.14,23.1,24.0,000
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,97,09-16-2019,07:00:00,7.50,1.20,0.0,28.69,5.00,1009.15,23.4,1007.52,22.6,23.8,000
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,96,09-16-2019,07:00:00,4.00,1.40,0.0,28.53,7.00,1010.00,23.3,1006.48,23.5,24.0,000
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,86,09-16-2019,07:00:00,5.40,0.00,0.0,28.42,8.00,1008.43,23.2,1007.07,24.2,25.7,000
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,93,09-16-2019,07:00:00,47.20,1.80,14.8,29.52,8.00,1009.29,23.8,1008.40,23.7,25.0,270
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,88,09-16-2019,07:00:00,12.00,0.80,7.4,27.10,10.00,1008.85,22.4,1005.26,22.0,24.5,320
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,80,09-16-2019,07:00:00,0.40,0.00,0.0,28.41,10.00,1009.04,23.2,1008.60,25.6,27.0,000
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,77,09-16-2019,07:00:00,10.70,0.10,11.1,28.26,9.00,1008.60,23.1,1007.61,23.4,27.5,290
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,84,09-16-2019,07:00:00,12.00,0.00,27.8,30.12,10.00,1009.01,24.2,1008.20,25.0,27.2,300
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,96,09-16-2019,07:00:00,7.40,0.90,0.0,29.59,10.00,1009.14,23.9,1007.31,24.3,24.6,000
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,91,09-16-2019,07:00:00,15.20,0.00,0.0,29.10,10.00,1009.10,23.6,1008.34,23.8,25.2,000
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,98,09-16-2019,07:00:00,6.00,0.00,0.0,29.48,10.00,1009.35,23.8,1005.31,23.3,24.1,000
48570,SATUN,สตูล,สตูล,6.65000,100.08333,97,09-16-2019,07:00:00,5.50,0.60,0.0,31.14,10.00,1010.21,24.7,1009.52,24.5,25.3,000
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,97,09-16-2019,07:00:00,22.40,0.00,0.0,30.58,10.00,1009.17,24.4,1008.04,22.5,25.0,000
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,97,09-16-2019,07:00:00,2.70,0.00,0.0,29.39,10.00,1009.23,23.8,1006.27,22.8,24.2,000
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,98,09-16-2019,07:00:00,22.80,0.00,0.0,28.60,7.00,1008.77,23.3,1008.07,22.7,23.6,000
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,94,09-16-2019,07:00:00,35.80,0.00,7.4,26.99,8.00,1009.65,22.3,1005.46,22.5,23.4,280
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,91,09-16-2019,07:00:00,27.10,0.00,0.0,26.42,9.00,1009.21,22.0,1008.62,.0,23.5,000
