WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,StationPressure,MeanSeaLevelPressure,DewPoint,WindDirection,RelativeHumidity,LandVisibility,Rainfall24Hr,VaporPressure,WindSpeed,AirTemperature
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,0.00,08-14-2019,10:00:00,995.50,1009.49,24.9,220,81,10.00,0.70,31.54,5.6,28.5
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,0.00,08-14-2019,10:00:00,995.02,1009.87,25.2,000,88,8.00,0.60,31.97,0.0,27.3
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,0.00,08-14-2019,10:00:00,994.82,1009.46,26.5,240,90,8.00,3.00,34.57,5.6,28.3
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,0.00,08-14-2019,10:00:00,1005.54,1008.52,24.2,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",67,10.00,0.80,30.13,0.0,30.9
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,0.00,08-14-2019,10:00:00,1001.33,1009.24,25.4,140,79,10.00,6.40,32.50,7.4,29.4
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,0.00,08-14-2019,10:00:00,1009.12,1010.22,24.7,230,73,8.00,3.90,31.15,13.0,30.0
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,0.00,08-14-2019,10:00:00,995.25,1009.90,24.3,000,78,8.00,1.50,30.34,0.0,28.6
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,0.00,08-14-2019,10:00:00,876.10,1011.47,19.8,000,99,.05,8.40,23.13,0.0,20.0
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,0.00,08-14-2019,10:00:00,1003.72,1009.55,25.1,190,73,10.00,0.40,31.88,9.3,30.5
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,0.00,08-14-2019,10:00:00,1009.18,1009.97,24.2,220,70,9.00,2.40,30.14,9.3,30.2
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,0.00,08-14-2019,10:00:00,1009.63,1010.07,24.2,240,70,10.00,0.00,30.14,11.1,30.2
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,0.00,08-14-2019,10:00:00,999.50,1010.82,26.0,000,90,6.00,11.40,33.53,0.0,27.8
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,0.00,08-14-2019,10:00:00,1008.83,1009.83,24.7,180,67,12.00,0.40,31.06,5.6,31.5
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,0.00,08-14-2019,10:00:00,1007.93,1009.73,25.2,150,71,8.00,7.40,32.05,5.6,31.0
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,0.00,08-14-2019,10:00:00,1009.12,1009.88,23.2,000,65,9.00,0.60,28.50,0.0,30.5
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,0.01,08-14-2019,10:00:00,1009.62,1010.32,23.9,250,71,10.00,0.01,29.63,14.8,29.8
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,0.00,08-14-2019,10:00:00,1009.33,1010.03,26.3,000,85,7.00,5.10,34.20,0.0,29.1
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,0.00,08-14-2019,10:00:00,988.17,1009.16,23.3,270,67,10.00,3.90,28.56,9.3,30.1
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,0.00,08-14-2019,10:00:00,992.99,1009.69,25.4,180,85,8.00,34.50,32.43,9.3,28.1
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,0.00,08-14-2019,10:00:00,993.34,1009.75,25.8,190,87,8.00,41.20,33.20,5.6,28.2
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,0.00,08-14-2019,10:00:00,987.84,1009.57,23.7,000,71,10.00,16.50,29.33,0.0,29.5
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,0.00,08-14-2019,10:00:00,966.72,1009.96,22.9,230,74,14.00,5.00,27.93,25.9,27.9
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,0.00,08-14-2019,10:00:00,988.76,1009.25,23.3,210,72,10.00,18.40,28.54,9.3,28.8
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,0.00,08-14-2019,10:00:00,990.07,1010.86,26.4,230,88,8.00,0.20,34.40,13.0,28.5
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,0.00,08-14-2019,10:00:00,1009.93,1010.36,24.1,230,75,10.00,5.60,30.01,5.6,29.0
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,0.00,08-14-2019,10:00:00,1008.28,1009.69,25.8,000,85,10.00,9.30,33.24,0.0,28.5
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,0.50,08-14-2019,10:00:00,1005.59,1010.52,26.7,000,94,8.00,2.30,34.98,0.0,27.8
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,0.00,08-14-2019,10:00:00,1006.49,1009.73,23.7,220,61,12.00,1.30,29.22,3.7,32.0
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,0.00,08-14-2019,10:00:00,1009.34,1010.44,24.8,270,73,10.00,0.20,31.35,3.7,30.1
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,0.30,08-14-2019,10:00:00,1009.54,1009.84,24.0,240,72,8.00,0.40,29.80,3.7,29.6
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,0.00,08-14-2019,10:00:00,1009.39,1010.08,25.0,240,75,10.00,0.00,31.72,3.7,30.0
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,0.00,08-14-2019,10:00:00,1008.88,1009.36,25.3,240,71,10.00,0.00,32.18,3.7,31.2
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,0.00,08-14-2019,10:00:00,1009.09,1010.50,24.6,230,73,10.00,3.80,30.95,13.0,29.9
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,0.00,08-14-2019,10:00:00,1008.82,1010.49,25.5,220,81,10.00,0.00,32.55,16.7,29.0
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,0.60,08-14-2019,10:00:00,1003.49,1011.47,25.2,230,79,10.00,1.90,32.10,3.7,29.2
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,0.00,08-14-2019,10:00:00,1009.84,1010.12,24.4,000,71,10.00,0.00,30.62,0.0,30.3
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,0.00,08-14-2019,10:00:00,1007.09,1010.20,24.6,300,73,10.00,0.00,30.87,5.6,30.0
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,0.00,08-14-2019,10:00:00,1003.33,1010.24,24.5,230,75,12.00,0.00,30.80,5.6,29.4
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,0.00,08-14-2019,10:00:00,1005.33,1010.90,25.4,220,79,7.00,1.00,32.42,7.4,29.5
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,0.00,08-14-2019,10:00:00,1000.89,1010.14,24.7,250,74,10.00,0.00,31.03,11.1,29.8
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,0.00,08-14-2019,10:00:00,1009.40,1010.66,24.6,000,73,14.00,0.01,30.87,0.0,30.0
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,0.00,08-14-2019,10:00:00,1010.01,1010.44,24.4,000,78,11.00,9.00,30.54,0.0,28.7
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,0.00,08-14-2019,10:00:00,998.48,1010.68,23.9,000,72,10.00,0.50,29.60,0.0,29.5
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,0.00,08-14-2019,10:00:00,1009.74,1010.45,23.7,250,69,10.00,0.00,29.39,5.6,30.1
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,0.00,08-14-2019,10:00:00,1007.65,1010.06,23.8,240,66,10.00,0.00,29.48,11.1,31.0
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,0.00,08-14-2019,10:00:00,1010.07,1010.59,25.0,280,75,10.00,0.00,31.72,9.3,30.0
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,0.00,08-14-2019,10:00:00,1005.23,1010.33,23.2,260,63,12.00,0.01,28.48,1.9,31.2
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,0.00,08-14-2019,10:00:00,1010.22,1010.63,25.2,000,75,8.00,2.80,32.01,0.0,30.0
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,0.00,08-14-2019,10:00:00,1007.86,1010.62,26.7,260,85,8.00,3.00,35.05,7.4,29.5
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,0.00,08-14-2019,10:00:00,1010.09,1010.87,23.9,270,72,10.00,0.00,29.60,18.5,29.5
48501,TRAD,ตราด,ตราด,11.76667,102.88333,0.00,08-14-2019,10:00:00,1010.28,1010.73,26.4,250,84,7.00,13.30,34.46,5.6,29.5
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,1.30,08-14-2019,10:00:00,1010.83,1011.52,24.8,280,87,7.00,5.80,31.22,3.7,27.2
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,6.20,08-14-2019,10:00:00,1010.34,1011.88,24.2,000,86,8.00,18.80,30.18,0.0,26.8
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,22.90,08-14-2019,10:00:00,1011.74,1012.66,25.4,000,93,8.00,52.80,32.35,0.0,26.5
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,0.00,08-14-2019,10:00:00,1010.66,1011.34,23.9,250,63,10.00,0.00,29.67,11.1,31.8
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,0.00,08-14-2019,10:00:00,1011.26,1012.05,26.3,240,78,10.00,15.60,34.22,5.6,30.5
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,0.00,08-14-2019,10:00:00,1010.36,1010.98,24.0,120,59,10.00,0.00,29.83,9.3,33.0
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,0.00,08-14-2019,10:00:00,1011.17,1011.57,24.6,230,62,10.00,0.00,30.99,7.4,33.0
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,0.00,08-14-2019,10:00:00,1009.10,1013.28,23.5,250,64,8.00,0.01,28.92,7.4,31.0
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,0.00,08-14-2019,10:00:00,1010.42,1012.02,24.8,000,76,12.00,0.00,31.28,0.0,29.5
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,0.00,08-14-2019,10:00:00,1008.09,1011.54,24.7,270,71,10.00,0.20,31.15,5.6,30.7
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,0.00,08-14-2019,10:00:00,1010.56,1011.91,23.8,270,74,10.00,1.80,29.46,14.8,29.0
