WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindSpeed,Date,Time,WindDirection,StationPressure,DewPoint,MeanSeaLevelPressure,LandVisibility,Rainfall24Hr,VaporPressure,Rainfall,AirTemperature,RelativeHumidity
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,7.4,09-29-2019,10:00:00,340,1013.46,25.8,1013.86,10.00,19.30,33.29,0.00,30.2,78
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,0.0,09-29-2019,10:00:00,000,1011.63,26.2,1015.85,6.00,28.00,33.99,0.00,29.0,85
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,0.0,09-29-2019,10:00:00,000,1012.31,24.1,1013.93,10.00,1.80,30.02,0.00,27.0,84
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,3.7,09-29-2019,10:00:00,270,1009.82,25.2,1013.29,8.00,1.30,32.13,0.00,29.5,78
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,5.6,09-29-2019,10:00:00,100,1012.26,24.9,1013.61,10.00,2.40,31.44,0.00,30.0,74
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,0.0,09-29-2019,10:00:00,000,1012.66,23.9,1013.54,10.00,27.40,29.74,0.00,29.0,74
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,7.4,09-29-2019,10:00:00,060,1009.81,23.9,1013.36,10.00,1.50,29.74,0.00,29.0,74
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,5.6,09-29-2019,10:00:00,350,1012.80,24.2,1013.23,10.00,0.80,30.26,0.00,30.4,70
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,0.0,09-29-2019,10:00:00,000,1011.85,24.2,1012.84,10.00,8.90,30.16,0.00,31.2,66
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,9.3,09-29-2019,10:00:00,080,1012.38,25.7,1013.20,10.00,0.40,33.00,0.00,30.2,77
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,18.5,09-29-2019,10:00:00,070,1011.22,23.8,1013.02,12.00,0.70,29.48,0.00,31.0,66
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,5.6,09-29-2019,10:00:00,060,1012.82,24.7,1013.56,11.00,1.90,31.19,0.00,30.3,72
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,13.0,09-29-2019,10:00:00,990,1009.66,24.7,1013.66,10.00,0.60,31.05,0.00,29.1,77
48570,SATUN,สตูล,สตูล,6.65000,100.08333,9.3,09-29-2019,10:00:00,090,1012.13,24.3,1012.81,10.00,20.50,30.31,0.00,30.0,71
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,9.3,09-29-2019,10:00:00,040,1012.15,25.2,1013.27,10.00,2.80,31.98,0.00,29.0,80
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,7.4,09-29-2019,10:00:00,070,1010.61,25.8,1013.52,11.00,1.20,33.17,0.00,30.0,78
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,9.3,09-29-2019,10:00:00,040,1012.26,25.9,1012.95,10.00,0.00,33.50,0.00,30.3,78
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,0.0,09-29-2019,10:00:00,000,1009.93,24.9,1014.03,10.00,1.50,31.48,0.00,30.3,73
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,7.4,09-29-2019,10:00:00,140,1012.42,24.9,1013.01,10.00,11.50,31.54,0.30,28.5,81
