WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,StationPressure,Date,Time,AirTemperature,WindSpeed,Rainfall24Hr,MeanSeaLevelPressure,Rainfall,VaporPressure,DewPoint,RelativeHumidity,WindDirection,LandVisibility
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,986.55,10-01-2019,04:00:00,24.8,0.0,0.30,1009.07,0.00,28.13,23.0,90,000,8.00
48376,TAK,ตาก,ตาก,16.87833,99.14333,995.41,10-01-2019,04:00:00,26.0,0.0,0.00,1009.88,0.00,29.50,23.8,88,000,5.00
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,992.81,10-01-2019,04:00:00,26.4,0.0,0.60,1009.26,0.00,30.51,24.4,89,000,7.00
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,1004.01,10-01-2019,04:00:00,26.1,0.0,0.00,1009.27,0.00,30.76,24.5,91,000,6.00
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,995.01,10-01-2019,04:00:00,25.5,0.0,0.00,1008.29,0.00,29.91,24.0,92,000,10.00
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,999.77,10-01-2019,04:00:00,25.7,0.0,0.00,1009.15,0.00,30.28,24.2,92,000,5.00
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,987.98,10-01-2019,04:00:00,24.7,0.0,0.00,1009.89,0.00,29.25,23.7,94,000,5.00
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,992.52,10-01-2019,04:00:00,25.0,0.0,0.00,1010.19,0.00,29.00,23.5,92,000,8.00
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,994.12,10-01-2019,04:00:00,23.5,0.0,0.00,1010.19,0.00,25.19,21.2,87,000,10.00
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,989.89,10-01-2019,04:00:00,24.1,0.0,0.00,1008.99,0.00,28.44,23.2,95,000,4.00
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,958.55,10-01-2019,04:00:00,21.5,0.0,0.00,1010.67,0.00,23.28,19.9,91,000,5.00
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,1005.09,10-01-2019,04:00:00,27.1,0.0,0.00,1009.05,0.00,34.11,26.2,95,000,3.00
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,915.44,10-01-2019,04:00:00,21.3,5.6,1.20,1010.97,0.00,24.60,20.8,97,240,6.00
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,993.78,10-01-2019,04:00:00,24.7,0.0,0.00,1009.93,0.00,29.77,24.0,96,000,7.00
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,1005.25,10-01-2019,04:00:00,26.2,0.0,0.00,1009.31,0.00,31.22,24.8,92,000,4.00
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,999.76,10-01-2019,04:00:00,26.5,0.0,0.00,1010.48,0.00,31.24,24.8,90,000,6.00
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,1007.45,10-01-2019,04:00:00,26.4,0.0,0.00,1009.39,0.00,30.51,24.4,89,000,6.00
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,989.14,10-01-2019,04:00:00,26.0,0.0,0.00,1010.13,0.00,28.97,23.5,86,000,7.00
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,991.70,10-01-2019,04:00:00,24.2,0.0,0.00,1009.57,0.00,28.36,23.2,94,000,5.00
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,993.06,10-01-2019,04:00:00,25.5,0.0,0.00,1009.33,0.00,31.79,25.1,97,000,8.00
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,995.90,10-01-2019,04:00:00,25.0,0.0,0.00,1010.07,0.00,29.00,23.5,92,000,5.00
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,995.39,10-01-2019,04:00:00,23.2,0.0,0.00,1010.45,0.00,26.41,22.0,93,000,6.00
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,996.16,10-01-2019,04:00:00,25.0,0.0,0.00,1010.99,0.00,31.39,24.8,99,000,1.00
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,1006.31,10-01-2019,04:00:00,26.5,0.0,0.00,1009.34,0.00,31.24,24.8,90,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",4.00
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,1001.32,10-01-2019,04:00:00,26.5,0.0,0.00,1009.30,0.00,28.29,23.1,82,000,8.00
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,1008.29,10-01-2019,04:00:00,27.7,5.6,0.00,1009.40,0.00,31.92,25.1,86,090,6.00
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,995.30,10-01-2019,04:00:00,25.5,0.0,0.00,1010.10,0.00,29.91,24.0,92,000,8.00
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,876.08,10-01-2019,04:00:00,19.4,7.4,0.00,1011.75,0.00,22.28,19.2,99,200,.20
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,1003.92,10-01-2019,04:00:00,25.6,0.0,0.00,1009.85,0.00,30.09,24.1,92,000,8.00
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,1009.00,10-01-2019,04:00:00,27.0,0.0,0.00,1009.81,0.00,28.67,23.3,80,000,5.00
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,1008.38,10-01-2019,04:00:00,28.7,7.4,0.00,1008.82,0.00,29.98,24.1,76,210,6.00
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,999.10,10-01-2019,04:00:00,24.7,0.0,0.00,1010.53,0.00,29.25,23.7,94,000,4.00
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,1008.26,10-01-2019,04:00:00,27.7,3.7,0.00,1009.27,0.00,30.53,24.4,82,210,6.00
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,1007.80,10-01-2019,04:00:00,27.5,0.0,0.00,1009.62,0.00,32.08,25.2,87,000,6.00
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,1008.21,10-01-2019,04:00:00,25.6,0.0,0.00,1008.98,0.00,30.09,24.1,92,000,7.00
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,1009.21,10-01-2019,04:00:00,28.7,7.4,0.00,1009.91,0.00,33.08,25.7,84,170,8.00
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,1009.09,10-01-2019,04:00:00,27.3,0.0,3.20,1009.80,0.00,31.97,25.2,88,000,7.00
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,988.49,10-01-2019,04:00:00,27.0,0.0,0.01,1009.69,0.01,29.75,24.0,83,000,7.00
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,993.09,10-01-2019,04:00:00,24.8,0.0,0.00,1009.97,0.00,29.42,23.8,94,000,7.00
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,994.08,10-01-2019,04:00:00,24.0,3.7,0.00,1010.73,0.00,28.01,23.0,94,010,6.00
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,987.57,10-01-2019,04:00:00,26.0,0.0,0.00,1009.55,0.00,28.97,23.5,86,000,6.00
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,966.56,10-01-2019,04:00:00,23.0,0.0,0.00,1010.51,0.00,27.07,22.4,96,000,8.00
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,989.13,10-01-2019,04:00:00,25.1,0.0,0.00,1009.87,0.00,28.66,23.3,90,000,6.00
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,990.21,10-01-2019,04:00:00,24.2,5.6,0.00,1011.30,0.00,30.18,24.2,100,210,5.00
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,1009.22,10-01-2019,04:00:00,27.8,0.0,0.00,1009.66,0.00,32.12,25.2,86,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",8.00
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,1008.41,10-01-2019,04:00:00,26.2,0.0,0.00,1009.84,0.00,31.22,24.8,92,000,6.00
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,1005.01,10-01-2019,04:00:00,25.9,0.0,0.00,1009.98,0.00,31.74,25.0,95,000,7.00
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,1005.94,10-01-2019,04:00:00,26.7,3.7,0.00,1009.25,0.00,30.26,24.2,86,230,6.00
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,1008.38,10-01-2019,04:00:00,26.0,0.0,0.00,1009.49,0.00,31.38,24.8,93,000,10.00
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,1009.20,10-01-2019,04:00:00,29.1,0.0,1.30,1009.50,0.60,34.79,26.6,86,000,8.00
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,1008.68,10-01-2019,04:00:00,27.5,0.0,3.70,1009.17,0.00,33.21,25.8,90,000,7.00
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,1008.25,10-01-2019,04:00:00,28.3,3.7,13.80,1009.66,0.00,34.57,26.5,90,160,10.00
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,1003.34,10-01-2019,04:00:00,25.8,0.0,0.00,1011.41,0.00,31.55,24.9,95,000,10.00
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,1009.31,10-01-2019,04:00:00,28.5,3.7,0.00,1009.60,0.00,32.96,25.7,85,150,4.00
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,1006.35,10-01-2019,04:00:00,28.5,0.0,0.00,1009.47,0.00,32.10,25.2,83,000,10.00
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,1002.79,10-01-2019,04:00:00,27.5,0.0,0.00,1009.73,0.00,32.36,25.4,88,000,8.00
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,1004.93,10-01-2019,04:00:00,27.0,0.0,0.00,1010.55,0.00,32.77,25.6,92,000,7.00
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,1009.34,10-01-2019,04:00:00,27.0,3.7,0.00,1010.61,0.00,31.66,25.0,89,100,4.00
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,1009.06,10-01-2019,04:00:00,27.0,0.0,0.00,1009.50,0.00,30.29,24.3,85,000,11.00
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,997.43,10-01-2019,04:00:00,24.4,0.0,0.00,1009.83,0.00,28.20,23.1,92,000,8.00
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,1008.96,10-01-2019,04:00:00,26.5,0.0,0.00,1009.68,0.00,30.43,24.3,88,000,6.00
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,1008.64,10-01-2019,04:00:00,26.7,3.7,0.00,1011.09,0.00,31.63,25.0,90,180,5.00
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,1010.18,10-01-2019,04:00:00,28.7,0.0,0.00,1010.70,0.00,32.79,25.6,83,000,8.00
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,1004.76,10-01-2019,04:00:00,27.9,0.0,0.10,1009.91,0.00,31.47,24.9,84,000,5.00
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,1009.78,10-01-2019,04:00:00,25.5,0.0,1.60,1010.20,0.00,31.25,24.8,96,000,7.00
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,1007.76,10-01-2019,04:00:00,25.3,0.0,4.30,1010.55,0.00,31.41,24.9,97,000,8.00
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,1008.31,10-01-2019,04:00:00,25.3,0.0,0.00,1009.11,0.00,27.46,22.6,85,000,10.00
48501,TRAD,ตราด,ตราด,11.76667,102.88333,1009.85,10-01-2019,04:00:00,25.5,7.4,15.50,1010.31,0.00,30.98,24.6,95,070,6.00
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,1009.78,10-01-2019,04:00:00,24.9,0.0,0.00,1010.47,0.00,29.87,24.0,95,000,8.00
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,1008.97,10-01-2019,04:00:00,24.4,0.0,0.00,1010.51,0.00,28.97,23.5,95,000,6.00
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,1010.70,10-01-2019,04:00:00,24.7,1.9,3.60,1011.63,0.00,29.25,23.7,94,050,9.00
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,1009.77,10-01-2019,04:00:00,27.0,5.6,0.00,1010.46,0.00,31.94,25.1,90,300,10.00
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,1010.21,10-01-2019,04:00:00,22.8,0.0,0.00,1011.02,0.00,26.99,22.3,97,000,7.00
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,1009.73,10-01-2019,04:00:00,24.3,0.0,0.00,1010.38,0.00,29.31,23.7,97,000,10.00
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,1009.82,10-01-2019,04:00:00,24.4,0.0,0.00,1010.23,0.00,29.23,23.7,96,000,8.00
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,1008.61,10-01-2019,04:00:00,23.6,0.0,1.20,1012.89,0.00,28.34,23.2,97,000,1.00
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,1008.87,10-01-2019,04:00:00,22.9,0.0,27.40,1010.51,0.00,27.40,22.6,98,000,5.00
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,1006.91,10-01-2019,04:00:00,23.2,0.0,53.40,1010.44,0.00,27.41,22.6,96,000,6.00
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,1008.63,10-01-2019,04:00:00,23.6,0.0,0.00,1010.00,0.00,28.60,23.3,98,000,7.00
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,1009.54,10-01-2019,04:00:00,25.5,0.0,0.00,1010.43,0.00,31.25,24.8,96,000,10.00
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,1005.76,10-01-2019,04:00:00,23.0,0.0,1.20,1009.37,0.00,27.32,22.5,97,000,10.00
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,1009.66,10-01-2019,04:00:00,26.5,0.0,1.40,1010.10,1.40,31.24,24.8,90,000,10.00
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,1009.07,10-01-2019,04:00:00,25.7,0.0,0.00,1010.07,0.00,31.63,25.0,96,000,9.00
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,1008.99,10-01-2019,04:00:00,25.1,0.0,0.40,1009.82,0.00,29.70,23.9,93,000,10.00
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,1008.63,10-01-2019,04:00:00,23.5,0.0,92.90,1010.47,0.00,28.17,23.0,97,000,3.00
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,1009.52,10-01-2019,04:00:00,25.3,5.6,0.00,1010.28,0.00,27.72,22.8,86,250,10.00
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,1006.49,10-01-2019,04:00:00,23.1,3.7,35.80,1010.55,0.00,27.99,22.9,99,990,6.00
48570,SATUN,สตูล,สตูล,6.65000,100.08333,1009.96,10-01-2019,04:00:00,24.0,0.0,37.20,1010.65,0.00,28.27,23.1,95,000,10.00
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,1009.10,10-01-2019,04:00:00,24.2,0.0,11.00,1010.23,0.00,29.13,23.6,97,000,8.00
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,1007.68,10-01-2019,04:00:00,23.8,0.0,6.10,1010.64,0.00,28.95,23.5,98,000,10.00
