WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindSpeed,Date,Time,WindDirection,LandVisibility,DewPoint,StationPressure,RelativeHumidity,Rainfall24Hr,MeanSeaLevelPressure,MaximumTemperature,VaporPressure,AirTemperature,Rainfall
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,0.0,10-03-2019,19:00:00,000,9.00,24.2,1008.85,93,2.40,1010.39,34.0,30.17,25.5,0.00
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,0.0,10-03-2019,19:00:00,000,10.00,23.9,1010.18,81,0.10,1011.10,32.8,29.69,27.4,0.00
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,0.0,10-03-2019,19:00:00,000,10.00,24.7,1009.92,78,0.00,1010.60,33.1,31.13,29.0,0.00
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,0.0,10-03-2019,19:00:00,000,10.00,22.9,1009.90,82,0.00,1010.70,34.3,27.93,26.3,0.00
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,0.0,10-03-2019,19:00:00,000,10.00,23.7,1009.73,89,0.00,1010.37,33.0,29.29,25.6,0.00
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,0.0,10-03-2019,19:00:00,000,10.00,23.7,1010.06,98,62.20,1010.47,34.6,29.30,24.0,61.90
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,0.0,10-03-2019,19:00:00,000,6.00,23.6,1008.57,97,63.10,1012.84,33.2,29.04,24.0,0.00
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,0.0,10-03-2019,19:00:00,000,8.00,24.6,1008.67,92,2.20,1010.29,33.5,30.84,26.0,0.00
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,0.0,10-03-2019,19:00:00,000,7.00,24.1,1007.27,93,1.90,1010.78,33.0,30.07,25.3,0.20
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,0.0,10-03-2019,19:00:00,000,8.00,24.6,1009.25,92,0.00,1010.62,33.6,30.84,26.0,0.00
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,0.0,10-03-2019,19:00:00,000,10.00,24.1,1009.36,97,24.20,1010.25,31.0,29.93,24.5,22.00
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,0.0,10-03-2019,19:00:00,000,10.00,24.5,1006.63,84,0.00,1010.19,32.2,30.70,27.5,0.00
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,7.4,10-03-2019,19:00:00,270,10.00,24.3,1010.00,77,0.00,1010.44,32.9,30.46,28.8,0.00
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,7.4,10-03-2019,19:00:00,300,10.00,23.9,1008.66,74,10.00,1009.64,31.4,29.74,29.0,0.00
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,11.1,10-03-2019,19:00:00,270,10.00,23.5,1010.01,77,1.40,1010.82,31.4,28.92,28.0,1.40
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,5.6,10-03-2019,19:00:00,140,10.00,23.7,1009.19,95,36.20,1011.03,32.5,29.33,24.6,2.80
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,3.7,10-03-2019,19:00:00,180,10.00,23.7,1010.03,80,0.01,1010.78,33.3,29.33,27.5,0.01
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,7.4,10-03-2019,19:00:00,230,10.00,23.1,1007.14,76,13.40,1011.14,33.6,28.18,27.6,0.00
48570,SATUN,สตูล,สตูล,6.65000,100.08333,0.0,10-03-2019,19:00:00,000,10.00,24.7,1010.57,85,25.30,1011.26,32.5,31.05,27.4,0.00
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,5.6,10-03-2019,19:00:00,250,10.00,23.0,1009.56,75,0.00,1010.68,33.8,28.02,27.8,0.00
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,0.0,10-03-2019,19:00:00,000,10.00,23.9,1008.28,80,5.10,1011.21,33.2,29.71,27.7,0.00
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,0.0,10-03-2019,19:00:00,000,7.00,24.5,1010.21,95,0.50,1010.90,33.5,30.79,25.4,0.50
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,0.0,10-03-2019,19:00:00,000,4.00,23.9,1008.37,97,108.50,1012.56,33.5,29.57,24.3,108.20
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,9.3,10-03-2019,19:00:00,280,10.00,21.8,1010.92,78,0.00,1011.51,32.5,26.12,26.0,0.00
