WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MeanSeaLevelPressure,Date,Time,WindDirection,AirTemperature,VaporPressure,Rainfall,DewPoint,StationPressure,WindSpeed,LandVisibility,Rainfall24Hr,RelativeHumidity
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,1008.59,10-03-2019,04:00:00,000,26.0,30.84,0.00,24.6,995.33,0.0,8.00,0.00,92
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,1009.31,10-03-2019,04:00:00,000,26.3,30.05,0.00,24.1,999.94,0.0,6.00,0.00,88
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,1008.06,10-03-2019,04:00:00,000,25.8,29.39,0.00,23.8,986.27,0.0,7.00,0.00,89
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,1009.82,10-03-2019,04:00:00,000,26.0,30.84,0.00,24.6,992.22,0.0,8.00,0.00,92
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,1008.94,10-03-2019,04:00:00,000,24.5,29.41,0.00,23.8,992.94,0.0,10.00,0.00,96
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,1008.54,10-03-2019,04:00:00,000,25.5,30.98,0.00,24.6,989.54,0.0,7.00,0.00,95
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,1012.58,10-03-2019,04:00:00,000,22.2,24.34,0.00,20.7,960.49,0.0,5.00,0.00,91
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,1009.68,10-03-2019,04:00:00,050,27.2,32.05,0.00,25.2,1005.72,11.1,3.00,0.00,89
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,1010.92,10-03-2019,04:00:00,150,20.8,23.62,0.00,20.2,915.25,5.6,6.00,0.00,96
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,1009.82,10-03-2019,04:00:00,000,25.3,31.14,0.00,24.7,993.70,0.0,5.00,0.00,97
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,1009.12,10-03-2019,04:00:00,000,26.0,30.84,0.00,24.6,1005.06,0.0,5.00,0.00,92
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,1010.13,10-03-2019,04:00:00,000,26.0,32.20,0.00,25.3,999.39,0.0,3.00,21.70,96
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,1009.71,10-03-2019,04:00:00,000,27.6,32.84,0.00,25.6,1007.78,0.0,8.00,0.00,89
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,1009.12,10-03-2019,04:00:00,000,25.4,29.19,0.00,23.6,988.11,0.0,7.00,0.00,90
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,1009.08,10-03-2019,04:00:00,000,25.0,30.32,0.00,24.3,991.26,0.0,10.00,0.00,96
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,1008.88,10-03-2019,04:00:00,000,26.5,32.63,0.00,25.5,992.66,0.0,8.00,0.00,94
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,1009.68,10-03-2019,04:00:00,000,26.5,30.43,0.00,24.3,995.59,0.0,5.00,0.00,88
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,1010.50,10-03-2019,04:00:00,000,25.5,29.91,0.00,24.0,995.54,0.0,8.00,0.00,92
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,1009.88,10-03-2019,04:00:00,000,26.8,34.64,0.00,26.5,995.16,0.0,4.00,0.00,98
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,1009.20,10-03-2019,04:00:00,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",26.7,30.26,0.00,24.2,1006.17,0.0,5.00,0.00,86
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,1009.43,10-03-2019,04:00:00,000,26.4,31.05,0.00,24.7,1001.45,0.0,7.00,0.00,90
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,1009.40,10-03-2019,04:00:00,110,27.7,32.20,0.00,25.3,1008.29,5.6,6.00,0.00,87
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,1008.88,10-03-2019,04:00:00,000,26.0,28.70,0.00,23.4,994.12,0.0,8.00,0.00,85
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,1011.27,10-03-2019,04:00:00,180,19.6,22.57,0.00,19.4,875.76,5.6,4.00,23.00,99
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,1009.62,10-03-2019,04:00:00,000,25.1,28.66,0.00,23.3,1003.69,0.0,6.00,0.00,90
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,1009.41,10-03-2019,04:00:00,080,27.3,34.52,0.00,26.4,1008.61,5.6,7.00,0.20,95
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,1008.99,10-03-2019,04:00:00,140,28.6,34.32,0.00,26.4,1008.55,7.4,10.00,0.00,88
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,1010.38,10-03-2019,04:00:00,000,25.0,29.79,0.00,24.0,998.96,0.0,4.00,0.00,94
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,1009.36,10-03-2019,04:00:00,000,28.0,34.23,0.00,26.3,1008.35,0.0,5.00,0.00,91
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,1009.13,10-03-2019,04:00:00,000,28.0,33.08,0.00,25.7,1007.31,0.0,7.00,0.00,88
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,1009.35,10-03-2019,04:00:00,000,25.9,30.65,0.00,24.4,1008.57,0.0,5.00,0.00,92
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,1009.45,10-03-2019,04:00:00,140,27.8,33.25,0.00,25.8,1008.75,7.4,8.00,0.00,89
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,1009.42,10-03-2019,04:00:00,090,28.4,33.04,0.00,25.7,1008.71,3.7,7.00,0.00,85
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,1009.72,10-03-2019,04:00:00,000,25.1,27.62,0.00,22.7,988.38,0.0,7.00,0.00,87
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,1009.70,10-03-2019,04:00:00,000,25.7,31.08,0.00,24.7,992.87,0.0,6.00,0.01,94
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,1010.16,10-03-2019,04:00:00,000,25.2,30.42,0.00,24.3,993.58,0.0,5.00,0.00,95
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,1009.59,10-03-2019,04:00:00,000,25.5,31.25,0.00,24.8,987.57,0.0,4.00,0.00,96
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,1010.06,10-03-2019,04:00:00,040,23.8,27.17,0.00,22.5,966.24,7.4,.00,0.60,92
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,1009.50,10-03-2019,04:00:00,000,24.7,30.03,0.00,24.1,988.73,0.0,8.00,0.00,97
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,1011.27,10-03-2019,04:00:00,220,25.0,31.66,0.00,25.0,990.23,7.4,5.00,0.00,100
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,1008.89,10-03-2019,04:00:00,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",27.0,32.21,0.00,25.3,1008.45,0.0,{'@attributes': {'Unit': 'km'}},0.00,90
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,1009.69,10-03-2019,04:00:00,000,26.6,31.71,0.00,25.0,1008.27,0.0,6.00,0.20,91
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,1009.53,10-03-2019,04:00:00,000,25.4,32.15,0.00,25.2,1004.56,0.0,5.00,4.70,99
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,1008.84,10-03-2019,04:00:00,000,27.5,29.60,0.00,23.9,1005.55,0.0,10.00,0.00,81
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,1009.09,10-03-2019,04:00:00,000,27.0,33.34,0.00,25.9,1007.98,0.0,10.00,0.00,94
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,1009.16,10-03-2019,04:00:00,180,28.5,33.82,0.00,26.1,1008.86,5.6,10.00,0.00,87
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,1009.03,10-03-2019,04:00:00,000,28.0,30.56,0.00,24.4,1008.54,0.0,8.00,0.00,81
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,1009.17,10-03-2019,04:00:00,160,27.9,34.90,0.00,26.6,1007.76,9.3,81.00,0.01,93
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,1011.29,10-03-2019,04:00:00,000,25.0,30.32,0.00,24.3,1003.20,0.0,10.00,0.00,96
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,1009.06,10-03-2019,04:00:00,000,27.5,34.07,0.00,26.2,1008.78,0.0,6.00,18.20,93
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,1009.46,10-03-2019,04:00:00,000,27.0,32.77,0.00,25.6,1006.32,0.0,10.00,0.00,92
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,1008.95,10-03-2019,04:00:00,000,27.0,32.77,0.00,25.6,1001.99,0.0,10.00,0.01,92
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,1010.65,10-03-2019,04:00:00,000,26.0,30.30,0.00,24.3,1005.02,0.0,7.00,2.70,90
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,1010.12,10-03-2019,04:00:00,000,25.8,31.00,0.00,24.6,1008.85,0.0,6.00,0.00,93
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,1009.05,10-03-2019,04:00:00,000,27.1,29.93,0.00,24.1,1008.61,0.0,11.00,0.00,84
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,1009.81,10-03-2019,04:00:00,000,24.0,28.27,0.00,23.1,997.40,0.0,8.00,0.00,95
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,1009.17,10-03-2019,04:00:00,000,26.4,29.97,0.00,24.1,1008.46,0.0,10.00,0.00,87
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,1008.27,10-03-2019,04:00:00,180,27.0,32.21,0.00,25.3,1005.84,7.4,10.00,0.00,90
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,1009.54,10-03-2019,04:00:00,000,28.5,32.96,0.00,25.7,1009.02,0.0,8.00,0.00,85
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,1009.13,10-03-2019,04:00:00,000,27.2,32.33,0.40,25.3,1003.97,0.0,8.00,78.80,90
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,1009.74,10-03-2019,04:00:00,000,26.4,31.33,0.00,24.8,1009.33,0.0,7.00,0.00,91
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,1009.43,10-03-2019,04:00:00,000,26.0,30.84,0.00,24.6,1006.64,0.0,8.00,0.00,92
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,1009.31,10-03-2019,04:00:00,000,25.5,28.59,0.00,23.3,1008.51,0.0,10.00,0.00,88
48501,TRAD,ตราด,ตราด,11.76667,102.88333,1009.69,10-03-2019,04:00:00,000,25.8,31.55,0.00,24.9,1009.23,0.0,6.00,22.40,95
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,1009.92,10-03-2019,04:00:00,000,25.0,30.05,0.00,24.1,1009.23,0.0,7.00,0.01,95
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,1010.74,10-03-2019,04:00:00,000,24.4,28.97,0.00,23.5,1009.19,0.0,8.00,0.20,95
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,1010.33,10-03-2019,04:00:00,000,25.2,28.83,0.00,23.4,1009.40,0.0,10.00,0.10,90
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,1010.37,10-03-2019,04:00:00,300,27.0,30.56,0.00,24.4,1009.68,7.4,10.00,0.00,86
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,1010.90,10-03-2019,04:00:00,000,23.8,28.69,0.00,23.4,1010.09,0.0,7.00,0.00,97
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,1009.96,10-03-2019,04:00:00,000,24.0,28.27,0.00,23.1,1009.32,0.0,10.00,0.00,95
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,1011.54,10-03-2019,04:00:00,000,23.6,27.83,0.00,22.9,1011.13,0.0,10.00,0.00,96
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,1012.23,10-03-2019,04:00:00,000,23.2,27.41,0.00,22.6,1007.95,0.0,5.00,0.90,96
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,1010.79,10-03-2019,04:00:00,000,23.1,27.74,0.00,22.8,1009.15,0.0,8.00,0.80,98
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,1011.11,10-03-2019,04:00:00,000,23.0,27.32,0.00,22.5,1007.58,0.0,7.00,0.30,97
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,1010.32,10-03-2019,04:00:00,000,23.4,28.25,0.00,23.1,1008.95,0.0,7.00,0.00,98
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,1010.21,10-03-2019,04:00:00,000,24.6,29.85,0.00,24.0,1009.31,0.0,10.00,2.40,97
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,1010.85,10-03-2019,04:00:00,000,23.5,28.42,0.00,23.2,1007.23,0.0,10.00,5.90,98
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,1009.96,10-03-2019,04:00:00,000,26.3,30.59,0.00,24.4,1009.52,0.0,10.00,3.20,89
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,1009.62,10-03-2019,04:00:00,000,25.0,30.32,7.40,24.3,1008.62,0.0,9.00,8.00,96
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,1010.69,10-03-2019,04:00:00,070,24.6,29.85,0.00,24.0,1009.86,7.4,10.00,0.40,97
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,1010.64,10-03-2019,04:00:00,000,23.1,27.74,0.00,22.8,1008.80,0.0,.60,2.70,98
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,1011.14,10-03-2019,04:00:00,230,25.2,28.57,0.00,23.3,1010.38,3.7,10.00,0.00,89
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,1010.55,10-03-2019,04:00:00,000,22.6,26.91,0.00,22.3,1006.48,0.0,10.00,5.60,98
48570,SATUN,สตูล,สตูล,6.65000,100.08333,1010.21,10-03-2019,04:00:00,000,23.6,26.58,0.00,22.1,1009.52,0.0,10.00,20.40,91
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,1010.24,10-03-2019,04:00:00,000,23.4,28.00,0.00,22.9,1009.11,0.0,10.00,73.20,97
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,1010.36,10-03-2019,04:00:00,000,24.7,29.77,0.00,24.0,1007.41,0.0,10.00,0.80,96
