WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,LandVisibility,Date,Time,MeanSeaLevelPressure,WindSpeed,WindDirection,RelativeHumidity,DewPoint,Rainfall,AirTemperature,StationPressure,VaporPressure,Rainfall24Hr
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,19.00,08-07-2019,13:00:00,1002.26,14.8,200,65,25.9,0.00,33.3,982.87,33.41,0.00
48353,LOEI,เลย,เลย,17.45000,101.73333,15.00,08-07-2019,13:00:00,1003.26,13.0,240,46,20.7,0.00,33.9,975.38,24.34,0.00
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,18.00,08-07-2019,13:00:00,1002.97,16.7,270,56,23.1,0.00,33.1,983.29,28.32,0.00
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,15.00,08-07-2019,13:00:00,1002.81,18.5,310,56,24.0,0.00,34.0,981.68,29.87,0.00
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,15.00,08-07-2019,13:00:00,1001.89,13.0,300,58,24.0,0.00,33.3,982.91,29.87,0.70
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,14.00,08-07-2019,13:00:00,1002.63,5.6,290,57,23.6,0.00,33.2,986.30,29.09,0.90
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,12.00,08-07-2019,13:00:00,1002.71,3.7,280,58,24.0,0.00,33.4,985.74,29.79,0.00
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,12.00,08-07-2019,13:00:00,1002.80,9.3,260,55,22.9,0.00,33.0,977.65,27.84,0.60
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,8.00,08-07-2019,13:00:00,1005.36,11.1,270,82,26.1,0.01,29.6,999.63,33.79,4.40
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,8.00,08-07-2019,13:00:00,1005.63,11.1,290,74,24.9,0.01,30.2,999.51,31.56,7.10
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,10.00,08-07-2019,13:00:00,1005.12,0.0,000,66,24.4,0.00,31.5,988.96,30.49,0.00
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,7.00,08-07-2019,13:00:00,1005.87,5.6,240,87,23.7,3.50,26.0,983.51,29.23,33.20
48376,TAK,ตาก,ตาก,16.87833,99.14333,6.00,08-07-2019,13:00:00,1006.21,13.0,270,69,23.7,0.00,29.9,991.97,29.27,20.10
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,7.00,08-07-2019,13:00:00,1005.50,0.0,000,80,24.9,0.00,28.6,989.23,31.46,17.90
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,10.00,08-07-2019,13:00:00,1005.55,5.6,170,67,24.9,0.00,31.7,1000.41,31.47,0.80
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,12.00,08-07-2019,13:00:00,1003.49,0.0,000,65,24.3,0.00,31.7,990.54,30.32,0.20
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,10.00,08-07-2019,13:00:00,1005.76,7.4,070,72,24.4,0.00,30.1,996.54,30.50,3.00
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,10.00,08-07-2019,13:00:00,1002.58,11.1,280,50,22.3,0.00,34.2,981.50,26.85,0.00
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,12.00,08-07-2019,13:00:00,1003.05,14.8,300,56,25.4,0.00,35.5,986.09,32.51,0.00
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,13.00,08-07-2019,13:00:00,1001.80,5.6,260,59,24.6,0.00,33.8,986.40,30.91,3.40
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,10.00,08-07-2019,13:00:00,1002.01,5.6,310,46,21.7,0.00,34.9,983.70,25.99,0.00
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,10.00,08-07-2019,13:00:00,1006.40,0.0,000,59,17.8,0.80,26.4,955.33,20.43,21.50
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,10.00,08-07-2019,13:00:00,1005.56,11.1,230,60,23.9,0.01,32.6,1001.68,29.58,0.01
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,.70,08-07-2019,13:00:00,1006.82,16.7,220,96,21.4,0.70,22.0,911.90,25.45,15.10
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,12.00,08-07-2019,13:00:00,1002.66,3.7,270,58,25.0,0.00,34.6,987.14,31.74,0.00
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,12.00,08-07-2019,13:00:00,1005.52,5.6,200,71,25.8,0.00,31.7,1001.56,33.24,4.10
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,10.00,08-07-2019,13:00:00,1006.49,5.6,270,61,23.4,0.00,31.9,995.99,28.74,0.10
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,10.00,08-07-2019,13:00:00,1006.00,3.7,150,63,24.1,0.00,32.0,1004.10,30.08,0.00
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,12.00,08-07-2019,13:00:00,1004.98,11.1,230,51,21.5,0.00,33.0,984.57,25.63,0.00
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,10.00,08-07-2019,13:00:00,1002.48,9.3,300,60,23.9,0.00,32.6,985.22,29.58,1.20
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,10.00,08-07-2019,13:00:00,1002.47,5.6,280,56,23.7,0.00,33.6,986.73,29.33,3.80
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,10.00,08-07-2019,13:00:00,1003.01,9.3,270,59,23.7,0.00,32.9,989.30,29.33,1.60
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,10.00,08-07-2019,13:00:00,1003.15,0.0,000,62,24.9,0.00,33.1,988.67,31.49,0.00
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,10.00,08-07-2019,13:00:00,1004.33,13.0,300,63,24.5,0.00,32.3,989.95,30.69,2.60
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,10.00,08-07-2019,13:00:00,1005.27,0.0,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",59,23.8,0.00,32.8,1002.31,29.42,0.10
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,10.00,08-07-2019,13:00:00,1004.99,9.3,250,56,23.0,0.00,32.8,997.21,28.00,0.00
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,8.00,08-07-2019,13:00:00,1006.52,14.8,230,51,22.5,0.00,34.0,1005.44,27.29,0.20
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,8.00,08-07-2019,13:00:00,1003.97,0.0,000,51,21.5,0.00,33.0,989.61,25.63,18.10
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,4.00,08-07-2019,13:00:00,1006.45,11.1,290,98,20.9,0.00,21.2,872.25,24.68,3.40
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,10.00,08-07-2019,13:00:00,1005.14,7.4,230,55,23.5,0.00,33.7,999.40,28.96,0.01
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,9.00,08-07-2019,13:00:00,1006.21,9.3,270,66,24.9,0.00,32.0,1005.42,31.52,0.40
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,10.00,08-07-2019,13:00:00,1006.07,11.1,230,70,24.0,0.00,30.0,1005.63,29.75,24.10
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,5.00,08-07-2019,13:00:00,1008.00,0.0,000,92,25.6,1.00,27.0,996.69,32.77,23.10
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,12.00,08-07-2019,13:00:00,1005.47,7.4,270,58,23.7,0.00,33.0,1004.48,29.25,14.70
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,8.00,08-07-2019,13:00:00,1005.87,5.6,200,63,23.8,0.00,31.8,1004.08,29.39,0.90
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,8.00,08-07-2019,13:00:00,1005.35,7.4,300,55,22.3,0.00,32.5,1004.60,26.86,2.70
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,10.00,08-07-2019,13:00:00,1005.98,18.5,260,65,23.7,0.00,31.2,1005.28,29.32,26.20
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,7.00,08-07-2019,13:00:00,1005.73,7.4,300,67,25.0,0.00,31.8,1005.04,31.68,0.10
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,12.00,08-07-2019,13:00:00,1003.82,13.0,310,45,22.3,0.00,35.9,983.34,26.86,0.00
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,9.00,08-07-2019,13:00:00,1003.83,9.3,240,54,22.7,0.00,33.3,987.51,27.59,0.30
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,12.00,08-07-2019,13:00:00,1004.54,11.1,270,55,22.7,0.00,32.9,988.46,27.64,0.90
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,10.00,08-07-2019,13:00:00,1004.27,18.5,300,50,21.8,0.00,33.5,982.94,26.04,0.00
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,15.00,08-07-2019,13:00:00,1005.89,11.1,230,68,21.9,0.01,28.3,962.88,26.29,0.01
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,11.00,08-07-2019,13:00:00,1003.46,18.5,310,42,21.0,0.00,36.0,983.56,24.81,0.00
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,10.00,08-07-2019,13:00:00,1005.35,11.1,260,65,25.1,0.00,32.6,984.95,31.90,0.00
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,10.00,08-07-2019,13:00:00,1005.90,13.0,310,57,22.6,0.00,32.2,1005.47,27.38,1.10
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,10.00,08-07-2019,13:00:00,1005.76,0.0,000,69,24.8,0.00,31.1,1004.37,31.39,3.20
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,8.00,08-07-2019,13:00:00,1005.72,3.7,250,72,25.4,0.00,31.0,1000.86,32.34,0.30
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,12.00,08-07-2019,13:00:00,1005.88,9.3,320,60,22.9,0.00,31.8,1002.65,27.99,1.60
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,10.00,08-07-2019,13:00:00,1005.98,5.6,280,62,24.6,0.00,32.8,1004.90,30.86,4.90
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,10.00,08-07-2019,13:00:00,1005.93,5.6,200,69,25.1,0.00,31.5,1005.63,31.93,19.00
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,10.00,08-07-2019,13:00:00,1005.71,9.3,280,63,24.0,0.00,31.9,1005.04,29.87,13.90
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,10.00,08-07-2019,13:00:00,1005.94,7.4,300,64,23.8,0.00,31.6,1005.46,29.55,15.90
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,10.00,08-07-2019,13:00:00,1006.32,18.5,280,64,24.1,0.00,31.8,1004.94,29.96,5.60
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,10.00,08-07-2019,13:00:00,1006.50,14.8,210,73,23.6,0.00,29.0,1004.83,29.19,6.00
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,10.00,08-07-2019,13:00:00,1007.77,3.7,270,64,23.3,0.00,31.0,999.87,28.65,14.50
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,10.00,08-07-2019,13:00:00,1006.06,7.4,290,68,24.5,0.00,31.2,1005.78,30.73,19.90
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,10.00,08-07-2019,13:00:00,1006.30,5.6,300,68,23.5,0.00,30.0,1003.20,28.91,5.00
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,10.00,08-07-2019,13:00:00,1006.74,9.3,270,71,23.3,0.00,29.1,999.85,28.56,5.00
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,8.00,08-07-2019,13:00:00,1004.89,3.7,250,65,24.3,0.00,31.7,999.39,30.32,0.00
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,15.00,08-07-2019,13:00:00,1007.52,9.3,240,68,24.3,0.00,31.0,998.32,30.33,10.90
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,14.00,08-07-2019,13:00:00,1007.05,7.4,270,60,23.3,0.00,32.0,1005.81,28.66,0.10
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,11.00,08-07-2019,13:00:00,1006.06,22.2,270,63,22.7,0.00,30.6,1005.63,27.60,1.30
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,9.00,08-07-2019,13:00:00,1006.17,16.7,300,60,22.9,0.00,31.5,994.11,27.96,17.20
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,10.00,08-07-2019,13:00:00,1006.24,0.0,000,70,25.4,0.00,31.5,1005.54,32.52,12.40
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,10.00,08-07-2019,13:00:00,1006.62,14.8,220,66,23.8,0.20,31.0,1004.21,29.48,11.10
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,9.00,08-07-2019,13:00:00,1006.80,9.3,250,78,24.7,0.01,29.0,1006.28,31.13,6.50
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,14.00,08-07-2019,13:00:00,1006.60,1.9,310,70,24.3,0.10,30.3,1001.50,30.34,6.30
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,8.00,08-07-2019,13:00:00,1006.74,0.0,000,74,24.7,0.00,29.8,1006.33,31.03,14.20
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,8.00,08-07-2019,13:00:00,1006.80,7.4,240,75,24.5,0.00,29.5,1004.05,30.72,26.30
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,10.00,08-07-2019,13:00:00,1007.65,0.0,000,73,25.9,0.30,31.4,1006.87,33.48,23.80
48501,TRAD,ตราด,ตราด,11.76667,102.88333,6.00,08-07-2019,13:00:00,1006.93,5.6,300,85,25.7,0.00,28.5,1006.48,32.96,68.60
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,7.00,08-07-2019,13:00:00,1007.08,0.0,000,78,25.2,0.00,29.5,1006.40,32.13,23.30
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,6.00,08-07-2019,13:00:00,1007.17,0.0,000,75,25.0,0.00,30.0,1005.66,31.72,2.00
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,10.00,08-07-2019,13:00:00,1008.40,11.1,250,68,24.0,1.00,30.6,1007.49,29.81,1.90
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,12.00,08-07-2019,13:00:00,1007.45,7.4,260,62,23.5,0.00,31.7,1006.78,28.91,0.00
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,10.00,08-07-2019,13:00:00,1007.36,13.0,290,85,26.2,0.00,29.0,1006.56,33.99,0.00
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,10.00,08-07-2019,13:00:00,1006.61,9.3,270,49,21.0,0.00,33.2,1005.99,24.92,0.00
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,10.00,08-07-2019,13:00:00,1006.80,7.4,290,51,22.9,0.00,34.6,1006.41,27.94,0.00
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,6.00,08-07-2019,13:00:00,1009.11,5.6,230,63,24.1,0.00,32.0,1004.97,30.08,0.00
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,10.00,08-07-2019,13:00:00,1008.53,0.0,000,66,24.4,0.00,31.5,1006.94,30.49,0.00
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,8.00,08-07-2019,13:00:00,1007.54,9.3,310,59,22.4,0.00,31.5,1004.12,27.13,0.00
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,10.00,08-07-2019,13:00:00,1006.76,14.8,270,45,19.8,0.00,33.5,1005.44,23.07,0.00
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,10.00,08-07-2019,13:00:00,1008.50,9.3,270,66,24.2,0.00,31.2,1007.63,30.16,0.00
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,10.00,08-07-2019,13:00:00,1007.70,14.8,310,52,21.4,0.00,32.5,1004.20,25.49,0.00
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,10.00,08-07-2019,13:00:00,1007.61,9.3,240,48,21.5,0.00,34.0,1007.19,25.63,0.00
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,10.00,08-07-2019,13:00:00,1007.78,11.1,300,64,24.2,0.00,31.9,1006.80,30.16,0.00
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,10.00,08-07-2019,13:00:00,1007.43,11.1,270,73,25.6,0.00,31.1,1006.62,32.84,0.00
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,12.00,08-07-2019,13:00:00,1007.49,5.6,270,57,23.5,0.00,33.1,1005.71,28.88,0.00
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,10.00,08-07-2019,13:00:00,1007.20,7.4,330,49,21.2,0.00,33.5,1006.46,25.22,0.00
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,10.00,08-07-2019,13:00:00,1007.25,22.2,260,38,18.4,0.00,34.6,1003.36,21.12,0.00
48570,SATUN,สตูล,สตูล,6.65000,100.08333,10.00,08-07-2019,13:00:00,1007.28,0.0,000,59,23.6,0.00,32.8,1006.61,29.13,0.00
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,12.00,08-07-2019,13:00:00,1008.09,18.5,280,41,18.5,0.00,33.7,1007.00,21.34,0.00
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,12.00,08-07-2019,13:00:00,1007.43,18.5,250,42,20.0,0.00,35.0,1004.58,23.44,0.00
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,10.00,08-07-2019,13:00:00,1006.90,5.6,330,67,25.5,0.00,32.5,1006.23,32.58,0.00
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,8.00,08-07-2019,13:00:00,1007.69,9.3,290,59,24.1,0.00,33.2,1003.65,29.95,0.00
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,9.00,08-07-2019,13:00:00,1008.38,13.0,020,55,22.5,0.00,32.7,1007.80,27.25,0.00
