WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,DewPoint,Date,Time,StationPressure,RelativeHumidity,Rainfall24Hr,LandVisibility,VaporPressure,WindSpeed,WindDirection,MeanSeaLevelPressure,AirTemperature,Rainfall
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,25.0,08-16-2019,04:00:00,986.60,91,14.70,10.00,31.71,0.0,000,1004.23,26.6,0.00
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,24.7,08-16-2019,04:00:00,987.80,86,0.30,10.00,31.14,11.1,200,1003.89,27.3,0.00
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,24.1,08-16-2019,04:00:00,991.09,84,0.00,10.00,30.02,0.0,000,1005.10,27.0,0.00
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,25.1,08-16-2019,04:00:00,990.88,92,0.00,8.00,31.79,0.0,000,1005.71,26.5,0.00
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,24.1,08-16-2019,04:00:00,990.43,84,0.00,6.00,30.02,3.7,240,1005.07,27.0,0.00
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,24.7,08-16-2019,04:00:00,1001.53,90,12.20,8.00,31.05,0.0,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",1004.55,26.4,0.00
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,24.6,08-16-2019,04:00:00,996.49,88,0.01,7.00,31.00,0.0,000,1004.43,26.8,0.00
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,25.6,08-16-2019,04:00:00,1004.12,87,0.00,6.00,32.80,7.4,180,1005.23,28.0,0.00
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,23.0,08-16-2019,04:00:00,990.98,82,0.00,8.00,28.01,0.0,000,1005.68,26.2,0.00
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,19.9,08-16-2019,04:00:00,872.09,98,55.40,.05,23.20,9.3,210,1006.75,20.2,3.60
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,25.4,08-16-2019,04:00:00,999.15,90,0.00,10.00,32.41,3.7,200,1005.02,27.1,0.00
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,24.1,08-16-2019,04:00:00,1004.65,79,0.00,8.00,30.01,7.4,250,1005.45,28.0,0.00
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,24.8,08-16-2019,04:00:00,1004.91,78,0.00,10.00,31.21,11.1,230,1005.36,28.9,0.00
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,24.8,08-16-2019,04:00:00,995.60,96,0.20,4.00,31.25,0.0,000,1006.95,25.5,0.00
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,24.3,08-16-2019,04:00:00,1004.23,82,0.30,10.00,30.34,3.7,180,1005.23,27.6,0.00
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,24.8,08-16-2019,04:00:00,1003.32,88,0.00,7.00,31.38,3.7,160,1005.14,27.0,0.00
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,24.3,08-16-2019,04:00:00,1004.21,84,0.00,5.00,30.39,0.0,000,1004.98,27.2,0.00
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,23.3,08-16-2019,04:00:00,1005.15,80,0.00,10.00,28.59,5.6,250,1005.86,27.1,0.00
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,25.9,08-16-2019,04:00:00,1004.81,91,0.60,7.00,33.41,0.0,000,1005.51,27.6,0.00
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,23.8,08-16-2019,04:00:00,983.61,79,0.00,10.00,29.44,7.4,210,1004.66,27.7,0.00
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,23.8,08-16-2019,04:00:00,989.67,88,0.00,6.00,29.50,0.0,000,1006.14,26.0,0.00
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,24.1,08-16-2019,04:00:00,983.17,84,0.01,10.00,30.02,0.0,000,1004.98,27.0,0.00
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,23.2,08-16-2019,04:00:00,962.39,87,0.00,8.00,28.51,22.2,210,1005.76,25.6,0.00
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,23.7,08-16-2019,04:00:00,984.89,86,11.00,10.00,29.33,5.6,210,1005.47,26.2,0.00
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,25.4,08-16-2019,04:00:00,985.68,97,0.80,8.00,32.48,13.0,190,1006.55,26.0,0.00
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,25.4,08-16-2019,04:00:00,1004.89,88,3.50,10.00,32.36,3.7,300,1005.32,27.5,0.00
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,25.4,08-16-2019,04:00:00,1004.38,92,0.00,6.00,32.38,0.0,000,1005.80,26.8,0.00
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,25.3,08-16-2019,04:00:00,1000.98,96,0.00,7.00,32.20,0.0,000,1005.92,26.0,0.00
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,22.9,08-16-2019,04:00:00,1002.46,74,0.00,10.00,27.85,0.0,000,1005.73,28.0,0.00
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,24.0,08-16-2019,04:00:00,1004.54,86,0.00,10.00,29.89,0.0,000,1005.64,26.5,0.00
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,24.0,08-16-2019,04:00:00,1005.48,77,0.00,10.00,29.76,0.0,000,1005.78,28.3,0.00
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,26.4,08-16-2019,04:00:00,1005.59,88,0.00,10.00,34.40,0.0,000,1006.07,28.5,0.00
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,23.5,08-16-2019,04:00:00,1004.02,74,0.00,10.00,28.97,11.1,210,1005.42,28.6,0.00
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,25.4,08-16-2019,04:00:00,999.45,96,0.00,10.00,32.40,1.9,180,1007.49,26.1,0.00
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,25.0,08-16-2019,04:00:00,1005.29,82,0.00,10.00,31.70,0.0,000,1005.58,28.3,0.00
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,26.0,08-16-2019,04:00:00,1002.45,86,0.00,10.00,33.66,0.0,000,1005.56,28.7,0.00
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,25.4,08-16-2019,04:00:00,998.77,84,0.00,10.00,32.47,7.4,230,1005.67,28.4,0.00
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,24.3,08-16-2019,04:00:00,1000.56,88,0.00,8.00,30.43,0.0,000,1006.16,26.5,0.00
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,24.1,08-16-2019,04:00:00,1005.43,92,5.60,10.00,29.99,0.0,000,1006.70,25.4,0.00
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,23.5,08-16-2019,04:00:00,1005.26,77,16.80,11.00,28.92,3.7,240,1005.69,28.0,0.00
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,23.1,08-16-2019,04:00:00,993.82,92,0.00,10.00,28.29,0.0,000,1006.16,24.6,0.00
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,23.9,08-16-2019,04:00:00,1005.25,81,0.00,10.00,29.69,0.0,000,1005.96,27.4,0.00
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,24.4,08-16-2019,04:00:00,1003.93,79,0.00,10.00,30.51,7.4,220,1006.35,28.4,0.00
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,26.3,08-16-2019,04:00:00,1005.63,86,0.00,10.00,34.15,9.3,260,1006.14,28.8,0.00
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,25.0,08-16-2019,04:00:00,1000.90,85,0.00,9.00,31.75,0.0,000,1006.03,27.9,0.00
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,26.4,08-16-2019,04:00:00,1006.15,91,0.40,7.00,34.44,0.0,000,1006.56,28.1,0.40
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,26.1,08-16-2019,04:00:00,1003.67,96,0.00,8.00,33.79,7.4,150,1006.44,26.8,0.00
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,22.7,08-16-2019,04:00:00,1006.37,78,0.00,10.00,27.52,0.0,000,1007.16,26.8,0.00
48501,TRAD,ตราด,ตราด,11.76667,102.88333,26.3,08-16-2019,04:00:00,1006.42,92,2.20,6.00,34.19,3.7,240,1006.88,27.7,0.00
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,24.1,08-16-2019,04:00:00,1006.83,94,4.80,8.00,29.97,0.0,000,1007.52,25.1,0.00
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,23.4,08-16-2019,04:00:00,1006.33,90,0.40,8.00,28.83,0.0,000,1007.87,25.2,0.00
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,24.6,08-16-2019,04:00:00,1007.57,93,45.20,7.00,31.00,7.4,210,1008.49,25.8,8.30
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,24.7,08-16-2019,04:00:00,1007.39,90,5.50,10.00,31.16,0.0,000,1008.08,26.6,0.00
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,24.4,08-16-2019,04:00:00,1007.56,98,4.60,6.00,30.56,3.7,180,1008.36,24.7,0.00
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,23.6,08-16-2019,04:00:00,1007.04,95,2.60,10.00,29.15,0.0,000,1007.68,24.5,0.00
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,24.1,08-16-2019,04:00:00,1007.44,96,0.00,10.00,29.95,7.4,180,1007.84,24.8,0.00
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,23.6,08-16-2019,04:00:00,1005.61,88,3.10,6.00,29.13,0.0,000,1009.84,25.8,0.00
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,23.4,08-16-2019,04:00:00,1006.97,98,9.60,10.00,28.77,0.0,000,1008.60,23.7,0.00
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,23.8,08-16-2019,04:00:00,1005.54,96,2.40,7.00,29.41,0.0,000,1009.05,24.5,0.00
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,22.5,08-16-2019,04:00:00,1006.25,86,0.00,9.00,27.19,0.0,000,1007.61,25.0,0.00
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,24.3,08-16-2019,04:00:00,1007.99,88,17.90,10.00,30.43,14.8,240,1008.88,26.5,0.00
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,24.0,08-16-2019,04:00:00,1004.63,97,14.50,10.00,29.75,0.0,000,1008.22,24.4,0.10
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,24.1,08-16-2019,04:00:00,1008.95,92,18.20,6.00,30.09,0.0,000,1009.39,25.6,4.20
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,24.5,08-16-2019,04:00:00,1007.26,83,25.40,10.00,30.81,9.3,290,1008.25,27.7,0.00
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,25.6,08-16-2019,04:00:00,1007.27,86,45.00,10.00,32.92,22.2,270,1008.08,28.2,1.20
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,23.6,08-16-2019,04:00:00,1007.15,97,43.50,5.00,29.04,0.0,000,1008.98,24.0,5.60
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,23.0,08-16-2019,04:00:00,1007.55,87,4.60,10.00,28.15,0.0,000,1008.30,25.4,0.00
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,23.6,08-16-2019,04:00:00,1004.78,91,0.01,10.00,29.10,11.1,240,1008.81,25.2,0.00
48570,SATUN,สตูล,สตูล,6.65000,100.08333,23.7,08-16-2019,04:00:00,1008.78,94,17.50,10.00,29.25,0.0,000,1009.47,24.7,0.20
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,23.7,08-16-2019,04:00:00,1007.34,92,0.00,10.00,29.26,0.0,000,1008.46,25.0,0.00
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,23.6,08-16-2019,04:00:00,1005.99,97,15.00,10.00,29.04,0.0,000,1008.94,24.0,0.00
