WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindSpeed,Date,Time,AirTemperature,RelativeHumidity,LandVisibility,Rainfall,StationPressure,WindDirection,Rainfall24Hr,VaporPressure,MeanSeaLevelPressure,DewPoint
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,0.0,09-05-2019,04:00:00,26.5,93,7.00,0.00,1005.41,000,1.30,32.35,1006.12,25.4
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,5.6,09-05-2019,04:00:00,25.8,81,10.00,0.00,984.62,290,1.50,26.79,1005.83,22.2
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,0.0,09-05-2019,04:00:00,24.8,92,6.00,0.00,988.39,000,14.10,28.90,1005.20,23.5
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,0.0,09-05-2019,04:00:00,24.7,94,6.00,0.00,988.98,000,12.90,29.25,1005.51,23.7
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,0.0,09-05-2019,04:00:00,25.0,92,10.00,0.00,983.55,000,9.80,29.00,1005.52,23.5
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,18.5,09-05-2019,04:00:00,24.8,87,10.00,0.00,962.35,240,0.20,27.10,1005.85,22.4
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,9.3,09-05-2019,04:00:00,25.8,84,10.00,0.00,984.18,230,8.40,27.82,1004.78,22.8
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,7.4,09-05-2019,04:00:00,24.5,99,7.00,0.00,985.45,230,1.80,30.46,1006.42,24.3
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,0.0,09-05-2019,04:00:00,27.0,83,10.00,0.00,1006.08,000,0.10,29.75,1006.51,24.0
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,0.0,09-05-2019,04:00:00,25.3,96,6.00,0.00,1004.59,000,1.40,30.87,1006.01,24.6
