WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,WindSpeed,AirTemperature,Rainfall24Hr,VaporPressure,LandVisibility,DewPoint,MeanSeaLevelPressure,StationPressure,RelativeHumidity,WindDirection,MinimumTemperature
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,0.00,09-27-2019,07:00:00,0.0,24.0,0.00,25.51,12.00,21.4,1016.82,1000.06,86,000,23.0
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,0.00,09-27-2019,07:00:00,0.0,23.6,0.00,26.09,9.00,21.8,1014.20,991.47,90,000,22.6
48376,TAK,ตาก,ตาก,16.87833,99.14333,0.00,09-27-2019,07:00:00,0.0,25.2,0.00,29.36,6.00,23.7,1016.09,1001.49,92,000,24.4
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,0.00,09-27-2019,07:00:00,0.0,24.6,0.00,28.03,6.00,23.0,1015.95,999.29,91,000,24.0
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,0.00,09-27-2019,07:00:00,0.0,25.0,0.00,29.00,10.00,23.5,1015.54,1010.23,92,000,24.7
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,0.00,09-27-2019,07:00:00,0.0,23.7,0.00,26.25,8.00,21.9,1014.65,1001.21,90,000,23.3
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,0.00,09-27-2019,07:00:00,0.0,25.7,0.00,30.28,6.00,24.2,1015.50,1006.05,92,000,25.1
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,0.00,09-27-2019,07:00:00,3.7,24.6,0.00,25.51,8.00,21.4,1016.26,994.20,83,070,23.6
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,0.00,09-27-2019,07:00:00,0.0,24.3,0.00,24.78,10.00,20.9,1016.89,999.06,82,000,23.4
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,0.00,09-27-2019,07:00:00,0.0,24.0,0.00,24.78,10.00,20.9,1015.73,999.60,83,000,22.9
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,0.00,09-27-2019,07:00:00,0.0,23.5,0.00,26.17,8.00,21.8,1015.68,996.41,90,000,22.5
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,0.00,09-27-2019,07:00:00,0.0,20.0,0.00,21.79,.80,18.9,1018.04,965.29,93,000,19.0
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,0.00,09-27-2019,07:00:00,5.6,27.0,0.00,32.77,3.00,25.6,1014.87,1010.88,92,120,25.9
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,0.00,09-27-2019,07:00:00,0.0,19.1,0.00,21.43,3.00,18.6,1016.84,920.08,97,000,17.9
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,0.00,09-27-2019,07:00:00,3.7,24.2,0.00,24.62,8.00,20.8,1016.03,999.75,82,020,22.5
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,0.00,09-27-2019,07:00:00,0.0,26.4,0.00,33.27,3.00,25.8,1015.00,1010.93,97,000,25.5
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,0.00,09-27-2019,07:00:00,9.3,26.0,0.00,26.37,9.00,22.0,1016.18,1005.37,78,290,23.8
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,0.00,09-27-2019,07:00:00,0.0,26.3,0.00,31.68,4.00,25.0,1015.32,1013.37,93,000,25.6
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,0.00,09-27-2019,07:00:00,0.0,24.9,0.00,23.08,8.00,19.8,1016.26,995.06,73,000,24.4
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,0.00,09-27-2019,07:00:00,11.1,23.5,0.00,23.99,10.00,20.4,1016.20,998.17,83,040,22.5
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,0.00,09-27-2019,07:00:00,0.0,24.0,0.00,25.02,10.00,21.1,1015.66,999.20,84,000,23.5
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,0.00,09-27-2019,07:00:00,3.7,24.5,0.00,24.86,10.00,21.0,1015.32,1001.05,81,360,23.8
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,0.00,09-27-2019,07:00:00,0.0,24.1,0.00,25.19,10.00,21.2,1015.44,1000.34,84,000,23.5
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,0.00,09-27-2019,07:00:00,7.4,25.5,0.00,26.78,9.00,22.2,1015.88,1001.01,82,030,24.3
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,0.00,09-27-2019,07:00:00,0.0,26.0,0.00,30.57,6.00,24.4,1014.50,1011.45,91,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",24.7
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,0.00,09-27-2019,07:00:00,0.0,25.4,0.00,30.52,8.00,24.4,1015.38,1007.32,94,000,24.8
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,0.00,09-27-2019,07:00:00,3.7,25.5,0.00,28.59,8.00,23.3,1013.89,1012.77,88,360,24.3
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,0.00,09-27-2019,07:00:00,3.7,27.0,0.00,29.21,9.00,23.6,1012.43,997.67,82,110,25.4
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,0.00,09-27-2019,07:00:00,3.7,19.0,0.00,19.80,8.00,17.4,1016.60,880.12,90,090,17.8
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,0.00,09-27-2019,07:00:00,0.0,24.0,0.00,28.27,7.00,23.1,1015.67,1009.68,95,000,23.1
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,0.00,09-27-2019,07:00:00,3.7,26.5,1.80,31.79,8.00,25.1,1014.17,1013.36,92,310,25.8
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,0.00,09-27-2019,07:00:00,0.0,28.0,0.00,30.56,10.00,24.4,1013.61,1013.16,81,000,27.8
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,0.00,09-27-2019,07:00:00,0.0,23.0,0.00,26.83,.60,22.2,1015.28,1003.74,96,000,22.7
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,0.00,09-27-2019,07:00:00,0.0,26.5,0.00,30.43,5.00,24.3,1014.84,1013.82,88,000,25.9
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,0.00,09-27-2019,07:00:00,9.3,27.9,0.00,26.62,8.00,22.1,1014.74,1012.91,71,060,25.7
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,0.00,09-27-2019,07:00:00,0.0,26.3,0.00,30.05,8.00,24.1,1014.45,1013.67,88,000,25.3
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,0.00,09-27-2019,07:00:00,5.6,27.4,0.00,31.05,10.00,24.7,1014.18,1013.47,85,080,26.1
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,0.00,09-27-2019,07:00:00,3.7,27.8,0.00,25.66,8.00,21.5,1013.75,1013.05,69,090,26.5
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,0.00,09-27-2019,07:00:00,7.4,25.2,0.00,25.27,8.00,21.3,1015.79,994.33,79,060,24.3
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,0.00,09-27-2019,07:00:00,3.7,25.1,0.00,25.85,6.00,21.6,1015.11,998.16,81,050,23.4
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,0.00,09-27-2019,07:00:00,5.6,24.2,0.00,25.84,9.00,21.6,1015.67,998.94,86,050,23.1
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,0.00,09-27-2019,07:00:00,0.0,24.0,0.00,26.01,4.00,21.7,1015.42,993.17,87,000,23.7
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,0.00,09-27-2019,07:00:00,22.2,24.0,0.00,24.78,6.00,20.9,1015.85,971.80,83,060,23.3
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,0.00,09-27-2019,07:00:00,3.7,24.6,0.00,25.51,6.00,21.4,1015.69,994.79,83,040,23.6
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,0.00,09-27-2019,07:00:00,13.0,24.1,0.00,26.92,6.00,22.3,1016.86,995.64,90,030,23.2
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,0.00,09-27-2019,07:00:00,5.6,26.5,13.00,30.43,8.00,24.3,1014.02,1013.58,88,350,25.9
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,0.00,09-27-2019,07:00:00,0.0,26.0,0.00,28.18,11.00,23.1,1013.97,1012.54,84,000,25.7
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,0.00,09-27-2019,07:00:00,0.0,26.0,0.00,31.93,7.00,25.1,1013.99,1009.01,95,000,25.5
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,0.00,09-27-2019,07:00:00,0.0,26.1,0.00,28.88,6.00,23.5,1014.51,1011.19,85,000,24.2
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,0.00,09-27-2019,07:00:00,0.0,25.0,2.50,30.32,10.00,24.3,1014.42,1013.30,96,000,23.5
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,0.00,09-27-2019,07:00:00,0.0,27.9,0.01,31.47,10.00,24.9,1013.88,1013.57,84,000,27.5
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,0.00,09-27-2019,07:00:00,5.6,28.8,0.00,30.46,10.00,24.3,1013.35,1012.67,77,050,27.8
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,0.00,09-27-2019,07:00:00,0.0,28.5,0.00,32.96,10.00,25.7,1013.72,1013.23,85,000,27.0
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,0.00,09-27-2019,07:00:00,9.3,27.2,0.00,32.05,8.00,25.2,1014.79,1013.37,89,340,27.1
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,0.00,09-27-2019,07:00:00,14.8,29.0,0.00,32.55,8.00,25.5,1013.60,1011.92,81,060,28.6
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,0.00,09-27-2019,07:00:00,0.0,25.0,0.00,30.32,10.00,24.3,1015.66,1007.53,96,000,24.5
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,0.00,09-27-2019,07:00:00,7.4,27.7,0.00,31.64,10.00,25.0,1013.56,1013.27,85,270,25.5
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,0.00,09-27-2019,07:00:00,5.6,27.6,0.00,32.28,10.00,25.3,1013.54,1010.39,87,200,25.5
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,0.00,09-27-2019,07:00:00,0.0,26.1,11.20,31.03,8.00,24.7,1013.44,1006.43,92,000,25.9
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,0.00,09-27-2019,07:00:00,3.7,27.0,0.20,29.21,10.00,23.6,1014.46,1008.82,82,100,26.0
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,0.00,09-27-2019,07:00:00,0.0,27.5,0.00,28.26,6.00,23.1,1014.46,1005.09,77,000,27.0
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,0.00,09-27-2019,07:00:00,3.7,26.0,0.00,30.84,7.00,24.6,1014.34,1013.06,92,320,26.0
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,1.10,09-27-2019,07:00:00,14.8,25.2,3.10,29.10,8.00,23.6,1013.50,1013.07,91,330,24.6
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,0.00,09-27-2019,07:00:00,3.7,23.9,9.90,27.34,8.00,22.6,1014.05,1001.58,92,260,22.9
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,0.00,09-27-2019,07:00:00,3.7,25.5,6.80,28.59,10.00,23.3,1013.31,1012.59,88,260,23.6
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,0.00,09-27-2019,07:00:00,3.7,26.0,0.01,30.84,4.00,24.6,1013.36,1010.90,92,020,25.5
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,0.00,09-27-2019,07:00:00,0.0,26.0,0.00,30.84,10.00,24.6,1014.18,1013.65,92,000,25.8
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,0.00,09-27-2019,07:00:00,3.7,26.0,0.00,30.03,10.00,24.1,1013.65,1008.44,89,030,25.5
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,0.00,09-27-2019,07:00:00,5.6,27.1,0.00,29.39,7.00,23.8,1013.82,1013.40,82,070,25.6
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,0.00,09-27-2019,07:00:00,0.0,25.5,8.90,31.25,8.00,24.8,1014.07,1011.27,96,000,25.0
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,0.00,09-27-2019,07:00:00,3.7,25.0,0.00,28.22,6.00,23.1,1013.90,1013.10,89,330,24.2
48501,TRAD,ตราด,ตราด,11.76667,102.88333,0.00,09-27-2019,07:00:00,3.7,26.1,0.01,30.76,7.00,24.5,1013.43,1012.96,91,090,25.1
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,0.00,09-27-2019,07:00:00,3.7,25.1,0.00,30.50,6.00,24.4,1012.90,1012.21,96,300,24.9
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,0.00,09-27-2019,07:00:00,0.0,24.2,0.40,28.36,7.00,23.2,1013.13,1011.57,94,000,24.2
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,0.00,09-27-2019,07:00:00,3.7,25.0,0.00,29.00,9.00,23.5,1013.09,1012.16,92,360,24.9
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,0.00,09-27-2019,07:00:00,0.0,25.7,8.50,32.18,9.00,25.3,1013.17,1012.47,97,000,24.4
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,0.00,09-27-2019,07:00:00,1.9,24.0,1.30,29.04,8.00,23.6,1013.09,1012.28,97,320,24.0
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,0.00,09-27-2019,07:00:00,0.0,24.4,10.60,30.02,8.00,24.1,1012.88,1012.24,98,000,23.8
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,0.00,09-27-2019,07:00:00,0.0,24.4,0.00,29.49,10.00,23.8,1012.74,1012.33,97,000,23.8
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,0.00,09-27-2019,07:00:00,0.0,23.2,16.10,27.91,6.00,22.9,1014.77,1010.47,98,000,23.0
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,0.00,09-27-2019,07:00:00,0.0,24.5,0.00,29.41,5.00,23.8,1011.31,1009.68,96,000,22.6
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,0.00,09-27-2019,07:00:00,0.0,23.2,0.00,27.66,2.00,22.7,1012.83,1009.29,97,000,23.0
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,0.00,09-27-2019,07:00:00,0.0,25.5,0.01,31.79,9.00,25.1,1012.79,1011.42,97,000,25.0
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,0.00,09-27-2019,07:00:00,0.0,24.0,0.00,28.53,8.00,23.3,1012.18,1011.28,96,000,23.7
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,0.00,09-27-2019,07:00:00,0.0,23.5,0.00,28.17,10.00,23.0,1012.43,1008.81,97,000,22.5
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,0.00,09-27-2019,07:00:00,3.7,26.7,3.20,30.53,10.00,24.4,1012.23,1011.80,87,030,26.2
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,0.00,09-27-2019,07:00:00,0.0,25.1,0.00,30.23,8.00,24.2,1011.87,1010.86,95,000,23.0
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,0.00,09-27-2019,07:00:00,9.3,26.1,0.00,30.22,10.00,24.2,1012.27,1011.45,89,050,25.6
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,0.00,09-27-2019,07:00:00,0.0,24.7,0.90,29.77,7.00,24.0,1012.42,1010.58,96,000,24.1
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,0.30,09-27-2019,07:00:00,1.9,25.5,0.30,29.91,8.00,24.0,1012.85,1012.09,92,170,24.7
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,0.00,09-27-2019,07:00:00,0.0,23.3,0.40,28.08,10.00,23.0,1012.83,1008.76,98,000,21.2
48570,SATUN,สตูล,สตูล,6.65000,100.08333,0.00,09-27-2019,07:00:00,0.0,24.0,10.90,28.01,10.00,23.0,1012.33,1011.64,94,000,22.3
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,0.00,09-27-2019,07:00:00,0.0,24.2,0.40,29.13,9.00,23.6,1012.38,1011.25,97,000,23.4
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,0.00,09-27-2019,07:00:00,0.0,23.0,11.80,27.57,9.00,22.7,1012.66,1009.68,98,000,21.1
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,0.00,09-27-2019,07:00:00,0.0,23.7,0.80,28.77,7.00,23.4,1012.74,1012.04,98,000,23.2
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,0.00,09-27-2019,07:00:00,0.0,23.6,0.00,28.09,5.00,23.0,1013.49,1009.30,96,000,22.7
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,0.00,09-27-2019,07:00:00,0.0,23.9,5.60,27.34,10.00,22.6,1012.29,1011.69,92,000,.0
