WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,Rainfall24Hr,LandVisibility,MaximumTemperature,DewPoint,VaporPressure,RelativeHumidity,WindDirection,WindSpeed,StationPressure,AirTemperature,MeanSeaLevelPressure
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,0.00,07-28-2019,19:00:00,0.00,10.00,34.6,23.6,29.19,77,190,7.4,977.98,28.0,1005.30
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,0.00,07-28-2019,19:00:00,0.00,10.00,34.1,22.7,27.59,68,200,7.4,971.11,29.3,1004.23
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,0.00,07-28-2019,19:00:00,0.00,12.00,34.5,24.1,30.08,63,210,1.9,985.87,32.0,1003.99
48331,NAN,น่าน,น่าน,18.77972,100.77778,0.00,07-28-2019,19:00:00,0.00,10.00,34.0,24.5,30.65,64,000,0.0,981.45,32.0,1003.78
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,0.00,07-28-2019,19:00:00,0.00,12.00,32.8,25.8,33.17,78,000,0.0,974.62,30.0,1004.06
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,0.00,07-28-2019,19:00:00,0.01,6.00,33.6,23.3,28.67,80,000,0.0,969.67,27.0,1005.01
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,0.00,07-28-2019,19:00:00,0.00,14.00,37.3,24.0,29.88,66,000,0.0,973.92,31.2,1003.05
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,0.00,07-28-2019,19:00:00,0.00,10.00,36.2,24.0,29.75,61,000,0.0,997.13,32.4,1004.28
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,0.00,07-28-2019,19:00:00,0.00,12.00,36.3,24.7,31.11,64,210,5.6,983.90,32.5,1003.36
48353,LOEI,เลย,เลย,17.45000,101.73333,0.00,07-28-2019,19:00:00,0.00,15.00,36.6,22.6,27.43,58,000,0.0,975.43,31.8,1003.50
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,0.00,07-28-2019,19:00:00,0.00,14.00,35.9,22.0,26.45,53,300,5.6,983.96,33.0,1003.66
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,0.00,07-28-2019,19:00:00,0.00,12.00,35.5,25.7,32.93,73,000,0.0,983.32,31.0,1004.70
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,0.00,07-28-2019,19:00:00,0.00,12.00,35.0,24.5,30.73,68,000,0.0,984.63,31.2,1003.78
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,0.00,07-28-2019,19:00:00,0.01,12.00,34.0,24.4,30.47,73,000,0.0,988.43,29.8,1004.98
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,0.00,07-28-2019,19:00:00,0.00,12.00,33.1,24.7,31.13,78,000,0.0,987.88,29.0,1005.13
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,0.00,07-28-2019,19:00:00,0.00,13.00,37.0,24.0,29.83,59,000,0.0,976.97,33.0,1002.11
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,0.00,07-28-2019,19:00:00,0.00,10.00,35.1,25.8,33.17,78,000,0.0,998.98,30.0,1004.70
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,0.00,07-28-2019,19:00:00,0.00,12.00,35.0,25.3,32.22,79,000,0.0,998.67,29.4,1004.80
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,0.00,07-28-2019,19:00:00,0.00,10.00,34.5,24.6,30.90,69,000,0.0,988.35,31.0,1004.53
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,0.00,07-28-2019,19:00:00,0.00,10.00,33.0,21.8,26.06,73,210,5.6,983.73,27.0,1006.03
48376,TAK,ตาก,ตาก,16.87833,99.14333,0.00,07-28-2019,19:00:00,1.00,8.00,35.2,21.7,25.98,65,280,13.0,991.81,29.0,1006.09
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,0.00,07-28-2019,19:00:00,0.00,12.00,37.5,22.2,26.73,60,000,0.0,988.57,31.0,1004.70
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,0.00,07-28-2019,19:00:00,0.00,10.00,34.5,24.1,30.08,66,000,0.0,999.72,31.3,1004.86
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,0.00,07-28-2019,19:00:00,0.00,12.00,34.5,25.3,32.30,70,000,0.0,990.04,31.4,1002.99
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,0.00,07-28-2019,19:00:00,0.00,11.00,34.3,23.8,29.52,71,000,0.0,995.87,29.6,1005.10
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,0.00,07-28-2019,19:00:00,0.00,12.00,36.2,23.3,28.68,57,100,3.7,982.69,33.0,1003.88
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,0.00,07-28-2019,19:00:00,0.00,10.00,36.2,24.4,30.53,60,000,0.0,987.28,33.2,1004.39
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,0.00,07-28-2019,19:00:00,0.40,10.00,35.2,24.3,30.31,71,000,0.0,987.90,30.0,1003.53
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,0.00,07-28-2019,19:00:00,0.00,10.00,37.0,25.2,32.05,62,000,0.0,984.34,33.5,1002.75
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,0.00,07-28-2019,19:00:00,0.00,8.00,30.8,22.6,27.47,84,000,0.0,957.45,25.6,1008.77
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,0.00,07-28-2019,19:00:00,0.00,12.00,34.7,23.9,29.66,61,000,0.0,1000.66,32.5,1004.53
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,0.00,07-28-2019,19:00:00,0.00,7.00,27.2,19.7,22.87,87,180,11.1,912.41,22.0,1007.38
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,0.00,07-28-2019,19:00:00,0.00,8.00,37.8,25.5,32.63,82,000,0.0,988.69,28.9,1004.54
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,0.00,07-28-2019,19:00:00,0.00,8.00,36.0,25.3,32.20,65,270,5.6,1000.53,32.6,1004.48
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,0.00,07-28-2019,19:00:00,0.00,9.00,36.0,23.9,29.63,64,000,0.0,996.29,31.5,1006.80
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,0.00,07-28-2019,19:00:00,0.00,9.00,36.2,24.1,30.08,63,230,16.7,1003.81,32.0,1005.70
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,0.00,07-28-2019,19:00:00,0.00,10.00,37.6,20.5,24.09,48,250,9.3,986.71,32.9,1007.18
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,0.00,07-28-2019,19:00:00,0.00,10.00,35.5,24.0,29.79,63,000,0.0,986.24,32.0,1003.56
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,0.00,07-28-2019,19:00:00,0.00,10.00,35.6,23.9,29.70,60,000,0.0,987.35,32.8,1003.15
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,0.00,07-28-2019,19:00:00,2.30,10.00,34.6,24.2,30.14,70,130,9.3,991.26,30.2,1005.12
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,1.00,07-28-2019,19:00:00,2.40,10.00,33.0,25.4,32.47,84,000,0.0,991.23,28.4,1005.97
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,0.00,07-28-2019,19:00:00,0.00,8.00,35.2,25.7,32.94,70,000,0.0,990.46,31.7,1004.88
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,8.40,07-28-2019,19:00:00,8.40,8.00,36.5,24.9,31.46,89,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",0.0,1002.62,26.9,1005.64
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,0.00,07-28-2019,19:00:00,0.00,10.00,35.5,25.4,32.53,68,000,0.0,996.40,32.2,1004.19
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,0.00,07-28-2019,19:00:00,0.00,8.00,35.3,24.5,30.65,64,180,3.7,1004.74,32.0,1005.83
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,0.00,07-28-2019,19:00:00,0.00,8.00,34.7,21.7,25.94,61,000,0.0,990.90,30.0,1005.42
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,0.00,07-28-2019,19:00:00,0.00,8.00,24.1,20.1,23.55,97,200,5.6,871.84,20.6,1006.26
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,0.00,07-28-2019,19:00:00,0.00,10.00,36.9,23.0,28.00,56,000,0.0,998.96,32.8,1004.72
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,0.00,07-28-2019,19:00:00,0.00,10.00,37.0,22.9,27.84,55,000,0.0,1004.22,33.0,1005.00
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,0.00,07-28-2019,19:00:00,0.00,10.00,33.0,25.1,31.80,72,230,11.1,1004.83,30.6,1005.27
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,0.00,07-28-2019,19:00:00,0.00,10.00,34.0,21.9,26.21,62,000,0.0,995.72,30.0,1006.90
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,0.00,07-28-2019,19:00:00,0.00,12.00,37.0,23.0,28.08,57,000,0.0,1004.20,32.7,1005.19
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,0.00,07-28-2019,19:00:00,0.00,10.00,35.3,23.3,28.53,58,000,0.0,1003.13,32.5,1004.92
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,0.00,07-28-2019,19:00:00,0.00,8.00,36.4,21.3,25.39,57,230,7.4,1004.76,31.0,1005.51
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,0.00,07-28-2019,19:00:00,7.20,10.00,33.3,22.6,27.47,64,200,16.7,1004.70,30.1,1005.40
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,0.00,07-28-2019,19:00:00,23.00,8.00,35.2,26.3,34.29,70,000,0.0,1004.26,32.6,1004.95
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,0.00,07-28-2019,19:00:00,0.00,12.00,37.7,22.8,27.71,54,250,9.3,983.76,33.5,1004.41
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,0.00,07-28-2019,19:00:00,0.00,10.00,36.2,22.6,27.43,58,000,0.0,987.95,31.8,1004.36
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,0.00,07-28-2019,19:00:00,0.00,8.00,36.5,23.2,28.51,62,190,3.7,988.67,31.5,1004.82
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,0.00,07-28-2019,19:00:00,0.10,10.00,37.1,22.4,27.13,55,000,0.0,982.92,32.5,1004.33
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,0.00,07-28-2019,19:00:00,0.00,10.00,32.4,22.4,27.11,68,150,7.4,962.72,28.9,1005.63
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,0.00,07-28-2019,19:00:00,0.01,12.00,36.8,21.8,26.07,55,120,7.4,984.35,31.8,1004.54
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,0.00,07-28-2019,19:00:00,0.00,9.00,36.9,24.3,30.36,64,170,14.8,985.41,32.0,1005.86
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,0.01,07-28-2019,19:00:00,0.01,10.00,32.4,26.3,34.22,78,230,7.4,1005.04,30.5,1005.47
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,0.00,07-28-2019,19:00:00,17.80,8.00,33.4,25.8,33.26,76,000,0.0,1003.47,30.6,1004.87
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,0.00,07-28-2019,19:00:00,0.10,8.00,34.0,26.9,35.45,78,000,0.0,1000.31,31.2,1005.16
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,0.00,07-28-2019,19:00:00,0.00,12.00,37.0,21.1,24.96,51,220,7.4,1002.92,32.5,1006.15
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,0.00,07-28-2019,19:00:00,0.00,10.00,36.8,22.3,26.92,60,270,3.7,1005.41,31.1,1006.50
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,0.00,07-28-2019,19:00:00,0.00,10.00,34.5,24.4,30.61,68,190,9.3,1005.46,31.0,1005.75
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,0.00,07-28-2019,19:00:00,0.00,10.00,33.5,22.3,26.89,61,230,9.3,1005.10,30.8,1005.78
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,0.00,07-28-2019,19:00:00,0.00,10.00,35.6,23.8,29.42,59,000,0.0,1005.19,32.8,1005.67
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,0.00,07-28-2019,19:00:00,0.00,10.00,35.1,23.2,28.48,57,240,16.7,1003.60,32.9,1004.98
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,0.00,07-28-2019,19:00:00,0.01,10.00,31.7,26.1,33.76,76,190,13.0,1003.74,30.7,1005.40
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,0.00,07-28-2019,19:00:00,0.01,10.00,35.5,25.4,32.52,86,220,3.7,999.08,28.0,1007.06
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,0.00,07-28-2019,19:00:00,2.00,10.00,35.0,24.3,30.36,64,000,0.0,1004.92,32.0,1005.20
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,0.00,07-28-2019,19:00:00,0.00,10.00,32.5,24.2,30.22,71,260,5.6,1002.44,30.1,1005.53
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,0.00,07-28-2019,19:00:00,0.00,10.00,33.2,24.8,31.23,71,180,7.4,998.84,30.6,1005.69
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,0.00,07-28-2019,19:00:00,0.00,7.00,35.3,24.6,30.90,66,290,3.7,1000.06,31.7,1005.56
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,0.00,07-28-2019,19:00:00,0.00,12.00,36.1,23.7,29.27,69,230,13.0,997.13,29.9,1006.35
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,1.90,07-28-2019,19:00:00,1.90,12.00,35.4,22.8,27.82,66,240,11.1,1005.63,30.0,1006.88
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,0.00,07-28-2019,19:00:00,0.00,11.00,34.2,26.8,35.17,79,220,5.6,1005.76,30.8,1006.19
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,0.00,07-28-2019,19:00:00,0.00,9.00,36.8,21.0,24.89,59,000,0.0,994.38,30.0,1006.51
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,0.00,07-28-2019,19:00:00,0.00,10.00,34.7,26.8,35.29,82,150,3.7,1005.74,30.3,1006.45
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,0.00,07-28-2019,19:00:00,0.00,10.00,35.2,24.3,30.31,71,170,7.4,1004.30,30.0,1006.71
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,0.00,07-28-2019,19:00:00,0.00,10.00,32.1,25.1,31.89,76,210,7.4,1005.59,29.8,1006.10
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,0.00,07-28-2019,19:00:00,0.00,10.00,35.7,23.7,29.22,68,190,3.7,1001.05,30.3,1006.14
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,0.00,07-28-2019,19:00:00,1.10,7.00,33.4,25.0,31.68,76,000,0.0,1006.58,29.7,1006.99
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,0.00,07-28-2019,19:00:00,2.70,8.00,32.7,26.2,33.99,85,000,0.0,1004.49,29.0,1007.24
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,0.00,07-28-2019,19:00:00,0.00,10.00,36.0,20.5,24.07,54,310,7.4,1006.32,31.0,1007.10
48501,TRAD,ตราด,ตราด,11.76667,102.88333,0.00,07-28-2019,19:00:00,5.30,8.00,32.1,25.4,32.52,86,000,0.0,1006.52,28.0,1006.97
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,0.00,07-28-2019,19:00:00,0.01,10.00,32.8,22.2,26.70,65,220,5.6,1007.24,29.4,1007.92
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,0.00,07-28-2019,19:00:00,0.60,10.00,32.0,22.2,26.77,67,000,0.0,1006.28,29.0,1007.80
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,0.00,07-28-2019,19:00:00,29.20,10.00,30.4,23.7,29.28,78,000,0.0,1008.09,27.9,1009.01
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,0.00,07-28-2019,19:00:00,0.00,10.00,34.0,24.7,31.15,71,000,0.0,1007.54,30.7,1008.22
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,0.00,07-28-2019,19:00:00,0.10,10.00,35.2,24.8,31.31,72,210,3.7,1007.07,30.5,1007.85
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,0.00,07-28-2019,19:00:00,0.50,10.00,33.8,24.6,30.87,73,000,0.0,1007.06,30.0,1007.69
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,0.00,07-28-2019,19:00:00,0.00,10.00,35.4,25.2,32.05,77,000,0.0,1007.58,29.6,1007.98
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,0.00,07-28-2019,19:00:00,0.00,7.00,33.7,22.9,27.93,65,000,0.0,1005.30,30.2,1009.47
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,0.00,07-28-2019,19:00:00,4.20,10.00,35.3,24.6,30.97,84,000,0.0,1006.91,27.5,1008.52
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,0.00,07-28-2019,19:00:00,12.00,10.00,33.7,25.8,33.12,86,000,0.0,1005.43,28.3,1008.90
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,0.00,07-28-2019,19:00:00,0.00,10.00,33.7,24.0,29.78,69,000,0.0,1007.92,30.3,1009.27
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,0.00,07-28-2019,19:00:00,1.60,10.00,31.5,25.2,32.10,83,000,0.0,1007.95,28.5,1008.83
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,0.00,07-28-2019,19:00:00,3.40,10.00,32.5,24.0,29.85,83,000,0.0,1005.36,27.2,1008.92
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,0.00,07-28-2019,19:00:00,0.00,10.00,34.2,24.3,30.31,71,000,0.0,1008.41,30.0,1008.84
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,0.00,07-28-2019,19:00:00,0.01,10.00,32.4,25.2,32.05,77,230,5.6,1007.30,29.6,1008.29
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,0.00,07-28-2019,19:00:00,0.00,10.00,32.7,23.4,28.75,71,230,13.0,1008.17,29.2,1008.98
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,0.00,07-28-2019,19:00:00,0.00,10.00,33.9,23.3,28.62,73,000,0.0,1007.14,28.7,1008.95
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,0.00,07-28-2019,19:00:00,0.00,11.00,34.6,21.5,25.57,57,220,14.8,1007.60,31.1,1008.34
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,0.00,07-28-2019,19:00:00,0.00,10.00,34.3,20.4,23.93,58,240,9.3,1004.51,29.6,1008.48
48570,SATUN,สตูล,สตูล,6.65000,100.08333,0.00,07-28-2019,19:00:00,0.00,10.00,33.0,23.4,28.78,74,000,0.0,1009.41,28.5,1010.09
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,0.00,07-28-2019,19:00:00,0.00,10.00,34.1,21.0,24.89,59,250,9.3,1007.12,30.0,1008.23
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,0.00,07-28-2019,19:00:00,0.00,10.00,34.6,24.0,29.83,71,190,5.6,1005.72,29.9,1008.62
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,0.00,07-28-2019,19:00:00,0.00,10.00,35.0,26.7,35.05,85,000,0.0,1007.70,29.5,1008.39
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,0.00,07-28-2019,19:00:00,0.00,10.00,34.8,23.2,28.50,69,280,5.6,1004.39,29.5,1008.49
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,0.00,07-28-2019,19:00:00,0.00,10.00,32.5,24.3,30.44,74,090,7.4,1008.20,29.5,1008.79
