WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,StationPressure,Date,Time,AirTemperature,WindSpeed,MaximumTemperature,WindDirection,DewPoint,RelativeHumidity,Rainfall,LandVisibility,VaporPressure,MeanSeaLevelPressure,Rainfall24Hr
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,1004.77,07-14-2019,19:00:00,31.0,9.3,32.2,210,25.0,71,0.00,10.00,31.76,1005.21,0.00
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,995.82,07-14-2019,19:00:00,26.0,0.0,31.3,000,23.8,88,1.60,6.00,29.50,1007.16,9.90
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,1003.87,07-14-2019,19:00:00,31.4,0.0,35.8,000,23.0,61,0.00,12.00,28.04,1004.86,0.00
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,1002.53,07-14-2019,19:00:00,31.4,5.6,34.1,170,23.6,63,0.00,9.00,29.15,1004.32,0.00
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,1004.68,07-14-2019,19:00:00,30.1,0.0,34.0,000,22.3,63,0.00,8.00,26.93,1005.44,0.00
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,1004.69,07-14-2019,19:00:00,30.0,11.1,35.5,210,23.6,69,0.00,10.00,29.19,1005.38,0.40
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,1003.62,07-14-2019,19:00:00,32.4,3.7,35.5,300,24.3,62,0.00,7.00,30.32,1004.31,0.10
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,983.14,07-14-2019,19:00:00,32.1,7.4,36.2,300,22.8,58,0.00,10.00,27.74,1003.87,0.00
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,986.88,07-14-2019,19:00:00,32.6,0.0,36.0,000,22.0,54,0.00,7.00,26.50,1003.23,12.20
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,987.78,07-14-2019,19:00:00,32.1,0.0,36.3,000,22.8,58,0.00,7.00,27.74,1003.88,5.20
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,982.27,07-14-2019,19:00:00,32.0,3.7,35.4,280,21.7,54,0.00,10.00,25.91,1003.70,0.00
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,961.61,07-14-2019,19:00:00,28.4,0.0,32.2,000,22.8,72,0.00,12.00,27.79,1004.54,0.00
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,983.46,07-14-2019,19:00:00,32.0,13.0,36.0,210,23.3,60,0.00,12.00,28.66,1003.62,0.00
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,984.62,07-14-2019,19:00:00,31.4,7.4,36.7,250,22.0,57,0.00,9.00,26.40,1005.10,0.00
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,1005.15,07-14-2019,19:00:00,30.7,9.3,34.3,210,25.2,72,0.00,10.00,32.01,1005.58,0.00
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,1003.08,07-14-2019,19:00:00,30.9,0.0,33.5,000,25.4,73,0.00,8.00,32.42,1004.47,8.40
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,1000.37,07-14-2019,19:00:00,30.5,0.0,34.1,000,25.6,75,0.00,10.00,32.75,1005.23,0.00
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,1002.69,07-14-2019,19:00:00,30.6,3.7,34.0,300,22.1,60,0.00,12.00,26.52,1005.94,0.00
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,1004.67,07-14-2019,19:00:00,30.2,7.4,34.7,290,22.6,64,0.00,10.00,27.39,1005.76,0.00
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,1004.98,07-14-2019,19:00:00,30.8,9.3,35.3,220,23.9,67,0.00,10.00,29.65,1005.28,0.01
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,1004.78,07-14-2019,19:00:00,30.2,5.6,35.7,210,23.5,68,0.00,10.00,29.03,1005.46,0.00
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,1004.82,07-14-2019,19:00:00,31.3,0.0,35.7,000,24.5,67,0.00,10.00,30.65,1005.30,0.00
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,1003.58,07-14-2019,19:00:00,32.1,24.1,33.9,270,22.1,56,0.00,10.00,26.64,1004.96,0.00
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,1003.69,07-14-2019,19:00:00,30.4,24.1,31.4,190,23.5,66,0.00,10.00,28.86,1005.35,0.40
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,998.45,07-14-2019,19:00:00,31.0,0.0,33.8,000,24.1,67,0.00,10.00,30.05,1006.35,0.00
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,1004.55,07-14-2019,19:00:00,31.7,0.0,34.5,000,24.4,65,0.00,10.00,30.61,1004.83,1.30
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,1002.11,07-14-2019,19:00:00,30.0,5.6,32.4,270,24.6,73,0.00,10.00,30.87,1005.21,0.00
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,998.75,07-14-2019,19:00:00,30.0,0.0,32.8,000,23.5,68,0.00,12.00,28.91,1005.61,0.00
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,999.36,07-14-2019,19:00:00,31.6,0.0,34.6,000,25.2,69,0.00,7.00,32.14,1004.86,0.00
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,999.79,07-14-2019,19:00:00,31.0,14.8,34.0,210,23.5,64,0.00,10.00,28.92,1008.99,0.00
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,1005.06,07-14-2019,19:00:00,30.5,18.5,35.1,270,21.9,60,0.00,12.00,26.33,1006.30,0.00
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,1005.02,07-14-2019,19:00:00,31.5,3.7,36.1,330,23.7,64,0.00,11.00,29.35,1005.44,0.00
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,994.07,07-14-2019,19:00:00,30.0,0.0,34.6,000,22.4,64,0.00,8.00,27.01,1006.19,0.00
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,1004.82,07-14-2019,19:00:00,32.0,11.1,36.1,260,21.7,54,0.00,10.00,25.91,1005.52,0.00
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,1003.82,07-14-2019,19:00:00,30.5,5.6,34.4,200,23.2,65,0.00,10.00,28.50,1006.23,0.00
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,1005.16,07-14-2019,19:00:00,30.0,13.0,32.0,190,24.3,71,0.00,10.00,30.31,1005.67,0.00
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,1000.52,07-14-2019,19:00:00,30.0,0.0,35.4,000,23.0,66,0.00,11.00,28.09,1005.62,0.00
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,1005.55,07-14-2019,19:00:00,30.0,3.7,33.5,180,23.5,68,0.00,8.00,28.91,1005.96,0.00
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,1003.33,07-14-2019,19:00:00,28.0,0.0,33.2,000,25.1,85,0.00,10.00,31.95,1006.09,0.00
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,1004.98,07-14-2019,19:00:00,30.5,13.0,35.8,300,20.2,54,0.00,10.00,23.71,1005.75,0.00
48501,TRAD,ตราด,ตราด,11.76667,102.88333,1005.71,07-14-2019,19:00:00,29.0,3.7,33.8,290,24.3,76,0.00,7.00,30.29,1006.17,1.60
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,1006.33,07-14-2019,19:00:00,30.5,0.0,34.8,000,23.2,65,0.00,8.00,28.50,1007.00,0.00
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,1005.65,07-14-2019,19:00:00,29.6,0.0,33.6,000,21.2,61,0.00,8.00,25.22,1007.16,0.00
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,1007.28,07-14-2019,19:00:00,30.1,5.6,32.9,300,23.1,66,0.00,10.00,28.28,1008.19,0.80
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,1006.63,07-14-2019,19:00:00,31.5,5.6,35.0,270,23.6,63,0.00,10.00,29.07,1007.31,0.00
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,1006.58,07-14-2019,19:00:00,31.0,3.7,35.9,270,22.4,60,0.00,10.00,27.00,1007.37,0.00
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,1006.78,07-14-2019,19:00:00,28.5,0.0,36.3,000,25.5,84,0.10,10.00,32.67,1007.41,0.10
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,1007.06,07-14-2019,19:00:00,29.0,0.0,36.0,000,25.3,81,0.01,10.00,32.26,1007.46,0.01
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,1005.03,07-14-2019,19:00:00,30.3,0.0,34.3,000,24.4,71,0.00,6.00,30.62,1009.20,0.00
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,1006.15,07-14-2019,19:00:00,26.0,0.0,35.0,000,24.0,89,0.00,10.00,29.76,1007.76,0.00
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,1004.70,07-14-2019,19:00:00,28.0,0.0,35.4,000,25.0,84,0.00,10.00,31.67,1008.17,1.70
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,1005.63,07-14-2019,19:00:00,30.0,7.4,34.7,270,23.3,68,0.00,8.00,28.64,1006.97,0.00
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,1007.08,07-14-2019,19:00:00,29.3,0.0,32.1,000,24.6,76,0.00,10.00,30.88,1007.96,1.20
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,1004.58,07-14-2019,19:00:00,28.8,0.0,33.6,000,22.9,71,0.00,10.00,28.00,1008.12,0.00
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,1007.38,07-14-2019,19:00:00,28.5,5.6,33.7,280,25.1,82,1.20,10.00,31.82,1007.81,5.00
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,1006.83,07-14-2019,19:00:00,29.3,9.3,32.8,320,23.7,72,0.00,10.00,29.22,1007.81,8.70
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,1007.59,07-14-2019,19:00:00,29.0,20.4,31.2,280,24.1,75,0.00,10.00,30.01,1008.40,0.00
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,1005.87,07-14-2019,19:00:00,29.0,0.0,34.5,000,24.7,78,0.00,10.00,31.13,1007.67,0.00
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,1006.84,07-14-2019,19:00:00,27.2,5.6,34.6,240,23.2,79,0.01,10.00,28.51,1007.59,22.40
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,1003.99,07-14-2019,19:00:00,24.7,5.6,34.3,090,23.8,95,0.20,10.00,29.51,1008.02,2.00
48570,SATUN,สตูล,สตูล,6.65000,100.08333,1010.24,07-14-2019,19:00:00,25.5,0.0,33.5,000,24.3,93,0.40,10.00,30.44,1010.93,0.40
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,1006.59,07-14-2019,19:00:00,26.0,5.6,35.0,070,23.4,85,0.00,10.00,28.70,1007.71,1.40
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,1005.47,07-14-2019,19:00:00,25.2,0.0,34.1,000,24.2,94,0.00,10.00,30.15,1008.41,2.00
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,1006.05,07-14-2019,19:00:00,25.0,0.0,34.3,000,23.7,92,0.90,8.00,29.26,1006.75,20.50
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,1007.13,07-14-2019,19:00:00,28.8,7.4,34.0,250,26.0,85,0.00,8.00,33.57,1011.24,0.00
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,1007.67,07-14-2019,19:00:00,27.5,14.8,34.5,240,22.3,73,0.00,10.00,26.95,1008.26,0.50
