WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,VaporPressure,Date,Time,AirTemperature,StationPressure,WindDirection,Rainfall,RelativeHumidity,MeanSeaLevelPressure,Rainfall24Hr,DewPoint,WindSpeed,LandVisibility
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,31.25,09-19-2019,04:00:00,25.5,1008.38,320,0.00,96,1009.65,2.00,24.8,3.7,5.00
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,32.21,09-19-2019,04:00:00,27.0,1007.65,310,0.00,90,1008.08,0.00,25.3,11.1,11.00
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,27.25,09-19-2019,04:00:00,24.0,996.49,000,0.00,91,1008.89,0.00,22.5,0.0,8.00
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,29.23,09-19-2019,04:00:00,26.0,1007.63,290,0.00,87,1008.35,0.00,23.7,5.6,10.00
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,31.11,09-19-2019,04:00:00,26.0,1006.35,010,0.00,93,1008.79,32.70,24.7,5.6,7.00
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,32.77,09-19-2019,04:00:00,27.0,1009.22,200,0.20,92,1009.74,2.20,25.6,7.4,10.00
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,32.51,09-19-2019,04:00:00,26.3,1003.41,000,0.01,95,1008.58,36.60,25.4,0.0,8.00
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,30.15,09-19-2019,04:00:00,25.2,1008.73,210,1.00,94,1009.14,1.00,24.2,3.7,6.00
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,30.85,09-19-2019,04:00:00,25.0,1006.41,000,0.70,97,1009.20,4.70,24.6,0.0,8.00
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,26.87,09-19-2019,04:00:00,25.7,1007.64,000,0.00,81,1008.44,0.00,22.3,0.0,10.00
48501,TRAD,ตราด,ตราด,11.76667,102.88333,29.93,09-19-2019,04:00:00,24.5,1008.98,060,15.10,97,1009.44,39.30,24.1,3.7,4.00
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,28.48,09-19-2019,04:00:00,25.0,1008.32,270,0.00,90,1009.01,1.50,23.2,3.7,8.00
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,28.97,09-19-2019,04:00:00,24.4,1007.96,000,0.00,95,1009.51,0.60,23.5,0.0,7.00
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,28.35,09-19-2019,04:00:00,23.9,1009.26,000,0.00,96,1010.18,39.70,23.2,0.0,10.00
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,29.26,09-19-2019,04:00:00,25.0,1009.07,000,0.00,92,1009.76,3.70,23.7,0.0,10.00
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,28.18,09-19-2019,04:00:00,23.8,1009.40,000,0.00,96,1010.21,0.00,23.1,0.0,8.00
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,30.32,09-19-2019,04:00:00,25.0,1008.54,000,0.00,96,1009.18,9.80,24.3,0.0,10.00
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,29.74,09-19-2019,04:00:00,25.7,1009.42,000,0.00,90,1009.83,0.01,23.9,0.0,10.00
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,28.42,09-19-2019,04:00:00,23.5,1007.15,000,0.00,98,1011.43,48.20,23.2,0.0,6.00
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,28.77,09-19-2019,04:00:00,23.7,1008.54,000,0.00,98,1010.17,0.40,23.4,0.0,10.00
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,29.00,09-19-2019,04:00:00,25.0,1008.29,000,0.00,92,1009.65,0.00,23.5,0.0,7.00
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,29.56,09-19-2019,04:00:00,24.0,1009.12,000,0.30,99,1010.02,20.20,23.8,0.0,10.00
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,28.27,09-19-2019,04:00:00,24.0,1005.94,000,0.00,95,1009.54,29.00,23.1,0.0,10.00
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,29.38,09-19-2019,04:00:00,25.5,1009.04,000,0.00,90,1009.47,9.40,23.7,0.0,{'@attributes': {'Unit': 'km'}}
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,29.49,09-19-2019,04:00:00,24.4,1008.47,000,0.00,97,1009.47,31.50,23.8,0.0,10.00
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,29.52,09-19-2019,04:00:00,25.0,1009.26,000,0.00,93,1010.08,21.00,23.8,0.0,10.00
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,29.70,09-19-2019,04:00:00,25.1,1008.41,000,0.00,93,1010.24,0.20,23.9,0.0,7.00
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,28.49,09-19-2019,04:00:00,25.3,1009.53,170,0.00,88,1010.29,3.50,23.2,1.9,5.00
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,29.48,09-19-2019,04:00:00,24.1,1006.14,080,0.00,98,1010.18,0.80,23.8,5.6,5.00
48570,SATUN,สตูล,สตูล,6.65000,100.08333,28.44,09-19-2019,04:00:00,24.1,1009.64,000,0.00,95,1010.33,11.90,23.2,0.0,7.00
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,29.79,09-19-2019,04:00:00,25.0,1008.94,000,0.00,94,1010.06,0.20,24.0,0.0,10.00
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,30.03,09-19-2019,04:00:00,24.7,1007.57,000,0.00,97,1010.52,0.50,24.1,0.0,10.00
