WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall24Hr,Date,Time,MeanSeaLevelPressure,DewPoint,VaporPressure,Rainfall,AirTemperature,StationPressure,LandVisibility,RelativeHumidity,WindSpeed,WindDirection
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,0.00,08-15-2019,13:00:00,1005.46,26.2,33.98,0.00,30.8,970.54,7.00,77,0.0,000
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,12.40,08-15-2019,13:00:00,1003.28,26.6,34.73,0.00,34.3,974.43,16.00,64,11.1,050
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,8.50,08-15-2019,13:00:00,1005.97,26.2,33.98,0.00,30.8,998.76,9.00,77,0.0,000
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,8.40,08-15-2019,13:00:00,1003.80,26.0,33.66,0.00,33.0,984.36,18.00,67,11.1,220
48353,LOEI,เลย,เลย,17.45000,101.73333,9.00,08-15-2019,13:00:00,1003.70,23.4,28.72,0.00,34.0,975.82,17.00,54,7.4,300
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,0.01,08-15-2019,13:00:00,1004.20,24.0,29.87,0.00,33.3,984.51,15.00,58,13.0,290
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,0.00,08-15-2019,13:00:00,1005.55,25.9,33.48,0.00,31.4,984.18,15.00,73,0.0,000
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,2.20,08-15-2019,13:00:00,1004.45,25.1,31.93,0.00,30.8,985.26,15.00,72,3.7,100
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,45.00,08-15-2019,13:00:00,1005.36,25.1,31.85,0.20,29.5,988.78,8.00,77,0.0,000
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,65.70,08-15-2019,13:00:00,1005.23,26.0,33.65,0.01,31.2,988.10,12.00,74,0.0,000
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,2.90,08-15-2019,13:00:00,1003.26,25.3,32.16,0.00,33.0,978.09,13.00,64,5.6,290
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,11.10,08-15-2019,13:00:00,1006.25,26.9,35.52,0.00,32.6,1000.57,10.00,72,0.0,000
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,19.30,08-15-2019,13:00:00,1005.94,25.8,33.25,0.00,32.4,999.87,8.00,68,14.8,300
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,0.90,08-15-2019,13:00:00,1006.36,25.4,32.34,0.00,31.0,990.15,10.00,72,0.0,000
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,0.60,08-15-2019,13:00:00,1006.51,23.8,29.48,0.00,31.0,984.50,10.00,66,9.3,240
48376,TAK,ตาก,ตาก,16.87833,99.14333,0.00,08-15-2019,13:00:00,1007.40,22.7,27.63,0.00,30.9,993.19,6.00,62,16.7,270
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,1.40,08-15-2019,13:00:00,1006.06,24.7,31.11,0.00,32.5,989.98,12.00,64,0.0,000
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,21.50,08-15-2019,13:00:00,1006.70,25.4,32.44,0.00,32.3,1001.56,10.00,67,9.3,240
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,1.80,08-15-2019,13:00:00,1005.12,25.7,33.04,0.00,32.3,992.18,12.00,68,0.0,000
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,0.01,08-15-2019,13:00:00,1006.22,25.4,32.36,0.00,32.4,997.07,12.00,67,1.9,260
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,25.30,08-15-2019,13:00:00,1004.46,22.9,27.84,0.00,33.0,983.25,10.00,55,5.6,270
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,40.60,08-15-2019,13:00:00,1004.27,23.8,29.46,0.00,34.5,987.24,12.00,54,13.0,220
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,17.00,08-15-2019,13:00:00,1004.20,25.3,32.22,0.00,31.5,988.64,12.00,70,3.7,210
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,13.70,08-15-2019,13:00:00,1003.42,23.4,28.76,0.00,34.3,985.05,10.00,53,3.7,300
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,0.00,08-15-2019,13:00:00,1007.03,23.1,28.28,0.00,27.8,956.16,11.00,76,0.0,000
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,18.00,08-15-2019,13:00:00,1006.34,25.8,33.17,0.00,32.5,1002.46,10.00,68,3.7,320
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,0.60,08-15-2019,13:00:00,1008.05,21.5,25.60,0.10,23.0,913.31,5.00,91,11.1,260
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,1.60,08-15-2019,13:00:00,1004.79,26.6,34.74,0.00,32.8,989.14,10.00,70,0.0,000
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,5.90,08-15-2019,13:00:00,1006.60,25.6,32.84,0.00,34.0,1002.66,10.00,62,0.0,000
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,25.50,08-15-2019,13:00:00,1007.29,25.1,31.86,0.00,32.3,996.80,9.00,66,3.7,120
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,18.70,08-15-2019,13:00:00,1007.07,23.9,29.66,0.00,32.5,1005.17,14.00,61,3.7,180
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,0.00,08-15-2019,13:00:00,1005.46,22.5,27.21,0.00,34.1,985.11,12.00,51,14.8,210
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,7.70,08-15-2019,13:00:00,1004.80,24.7,31.02,0.00,32.6,987.50,10.00,63,11.1,310
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,4.40,08-15-2019,13:00:00,1004.62,23.9,29.58,0.00,33.3,988.83,10.00,58,5.6,290
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,0.01,08-15-2019,13:00:00,1005.34,24.5,30.75,0.00,34.0,991.65,10.00,58,9.3,180
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,2.40,08-15-2019,13:00:00,1005.40,25.5,32.58,0.00,32.5,990.86,8.00,67,0.0,000
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,3.90,08-15-2019,13:00:00,1005.54,27.2,36.13,0.00,34.5,991.25,10.00,66,7.4,270
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,13.10,08-15-2019,13:00:00,1006.66,24.9,31.55,0.00,34.1,1003.72,10.00,59,0.0,"{'0': '   ', '@attributes': {'Unit': 'degree'}}"
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,9.60,08-15-2019,13:00:00,1005.76,22.6,27.43,0.00,33.5,997.99,10.00,53,5.6,120
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,15.50,08-15-2019,13:00:00,1007.11,24.7,31.15,0.00,32.1,1006.02,8.00,65,7.4,300
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,12.00,08-15-2019,13:00:00,1005.65,19.4,22.46,0.00,33.6,991.30,8.00,43,0.0,000
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,46.20,08-15-2019,13:00:00,1006.41,19.6,22.86,0.00,24.3,873.49,5.00,75,5.6,290
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,16.40,08-15-2019,13:00:00,1006.39,25.6,32.76,0.00,33.0,1000.63,10.00,65,5.6,170
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,0.50,08-15-2019,13:00:00,1007.32,23.8,29.46,0.00,34.5,1006.54,12.00,54,9.3,240
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,0.00,08-15-2019,13:00:00,1007.64,25.7,33.10,0.00,31.5,1007.20,10.00,72,22.2,210
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,0.00,08-15-2019,13:00:00,1008.03,25.1,31.93,0.00,31.5,996.88,7.00,69,5.6,010
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,0.00,08-15-2019,13:00:00,1007.23,24.6,31.01,0.00,34.4,1006.24,12.00,57,0.0,000
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,7.20,08-15-2019,13:00:00,1007.40,24.5,30.73,0.00,32.6,1005.61,10.00,62,11.1,200
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,0.00,08-15-2019,13:00:00,1007.04,23.6,29.13,0.00,33.5,1006.29,9.00,56,0.0,000
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,0.00,08-15-2019,13:00:00,1007.49,24.6,30.90,0.00,33.1,1006.80,10.00,61,18.5,190
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,32.60,08-15-2019,13:00:00,1007.03,25.0,31.61,0.00,34.4,1006.34,9.00,58,5.6,240
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,0.70,08-15-2019,13:00:00,1005.48,22.9,27.97,0.00,34.9,984.89,12.00,50,11.1,260
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,3.80,08-15-2019,13:00:00,1005.51,23.6,29.04,0.00,33.6,989.17,11.00,56,7.4,180
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,9.50,08-15-2019,13:00:00,1005.96,25.4,32.42,0.00,34.5,989.95,10.00,59,9.3,270
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,0.00,08-15-2019,13:00:00,1005.37,22.5,27.32,0.00,35.0,984.11,10.00,49,22.2,320
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,17.70,08-15-2019,13:00:00,1007.11,22.1,26.62,0.00,29.5,964.22,10.00,65,18.5,240
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,0.00,08-15-2019,13:00:00,1005.12,22.2,26.78,0.00,36.0,985.19,12.00,45,14.8,240
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,0.40,08-15-2019,13:00:00,1007.07,24.8,31.36,0.00,34.7,986.77,10.00,57,16.7,240
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,2.60,08-15-2019,13:00:00,1007.59,24.5,30.77,0.00,31.5,1007.16,10.00,67,13.0,140
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,14.10,08-15-2019,13:00:00,1006.78,25.3,32.33,0.00,32.8,1005.39,11.00,65,5.6,260
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,0.00,08-15-2019,13:00:00,1007.86,26.1,33.72,0.00,33.3,1003.03,9.00,66,3.7,320
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,0.00,08-15-2019,13:00:00,1007.34,23.3,28.55,0.00,34.2,1004.12,12.00,53,0.0,000
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,0.00,08-15-2019,13:00:00,1007.40,23.9,29.70,0.00,33.5,1006.32,10.00,57,7.4,300
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,0.01,08-15-2019,13:00:00,1007.64,24.3,30.32,0.00,33.1,1007.34,10.00,60,7.4,220
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,0.00,08-15-2019,13:00:00,1007.08,24.2,30.12,0.00,33.7,1006.40,10.00,58,9.3,260
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,0.00,08-15-2019,13:00:00,1007.05,23.9,29.67,0.00,34.6,1006.58,10.00,54,5.6,270
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,0.00,08-15-2019,13:00:00,1007.42,23.8,29.46,0.00,34.5,1006.04,10.00,54,18.5,280
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,0.01,08-15-2019,13:00:00,1007.99,25.5,32.59,0.00,30.7,1006.33,10.00,74,20.4,190
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,0.00,08-15-2019,13:00:00,1008.55,23.6,29.17,0.00,33.1,1000.70,12.00,58,5.6,240
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,7.70,08-15-2019,13:00:00,1007.78,24.2,30.28,0.00,33.5,1007.50,12.00,59,5.6,240
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,8.90,08-15-2019,13:00:00,1007.68,25.0,31.60,0.00,31.2,1004.59,10.00,70,9.3,200
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,1.40,08-15-2019,13:00:00,1008.12,25.4,32.34,0.00,31.0,1001.26,12.00,72,13.0,240
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,0.00,08-15-2019,13:00:00,1006.54,25.4,32.42,0.00,34.5,1001.08,7.00,59,3.7,300
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,8.30,08-15-2019,13:00:00,1008.03,25.3,32.26,0.00,31.1,998.83,12.00,71,11.1,230
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,0.00,08-15-2019,13:00:00,1008.48,24.8,31.37,0.00,33.6,1007.24,15.00,60,3.7,320
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,0.00,08-15-2019,13:00:00,1007.84,26.4,34.38,0.00,32.5,1007.41,11.00,70,13.0,160
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,0.00,08-15-2019,13:00:00,1008.17,24.6,30.99,0.00,33.0,996.14,10.00,62,3.7,260
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,6.00,08-15-2019,13:00:00,1007.80,24.4,30.62,0.00,33.8,1007.10,10.00,58,0.0,000
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,0.20,08-15-2019,13:00:00,1008.50,24.0,29.87,0.00,34.0,1006.12,10.00,56,14.8,200
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,0.00,08-15-2019,13:00:00,1008.51,26.1,33.73,0.00,31.1,1008.00,12.00,75,18.5,260
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,0.00,08-15-2019,13:00:00,1007.54,23.4,28.76,0.00,33.6,1002.49,12.00,55,5.6,240
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,0.00,08-15-2019,13:00:00,1008.37,25.2,32.10,0.00,31.3,1007.96,10.00,70,7.4,210
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,0.00,08-15-2019,13:00:00,1008.54,25.5,32.67,0.00,30.6,1005.80,8.00,74,7.4,200
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,12.70,08-15-2019,13:00:00,1008.78,22.7,27.61,0.00,32.6,1008.01,10.00,56,9.3,310
48501,TRAD,ตราด,ตราด,11.76667,102.88333,5.80,08-15-2019,13:00:00,1008.72,26.6,34.84,0.00,31.2,1008.27,8.00,77,5.6,280
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,1.80,08-15-2019,13:00:00,1008.99,24.0,29.83,0.00,32.3,1008.32,8.00,62,3.7,300
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,0.00,08-15-2019,13:00:00,1009.30,23.2,28.40,0.00,33.0,1007.80,10.00,56,7.4,270
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,6.80,08-15-2019,13:00:00,1010.18,24.7,31.06,0.00,31.5,1009.27,10.00,67,13.0,260
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,0.00,08-15-2019,13:00:00,1009.52,24.0,29.79,0.00,34.1,1008.85,12.00,56,0.0,000
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,0.01,08-15-2019,13:00:00,1009.84,25.9,33.40,0.01,31.5,1009.05,10.00,72,7.4,260
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,1.40,08-15-2019,13:00:00,1009.12,22.6,27.43,0.00,33.5,1008.50,10.00,53,0.0,000
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,0.00,08-15-2019,13:00:00,1008.69,25.6,32.79,0.00,29.4,1008.29,10.00,80,18.5,330
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,0.01,08-15-2019,13:00:00,1011.34,23.7,29.22,0.00,32.0,1007.18,7.00,61,7.4,220
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,15.60,08-15-2019,13:00:00,1010.04,24.9,31.51,0.00,30.6,1008.45,12.00,72,5.6,220
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,14.60,08-15-2019,13:00:00,1009.92,23.5,28.99,0.00,31.6,1006.49,10.00,62,7.4,350
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,0.00,08-15-2019,13:00:00,1005.66,25.4,32.34,0.00,31.0,1004.32,10.00,72,9.3,210
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,18.40,08-15-2019,13:00:00,1011.08,24.8,31.38,5.00,27.0,1010.19,12.00,88,0.0,000
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,5.00,08-15-2019,13:00:00,1010.32,25.6,32.77,3.00,27.0,1006.75,10.00,92,14.8,260
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,8.80,08-15-2019,13:00:00,1010.71,24.3,30.43,4.40,26.5,1010.27,10.00,88,0.0,000
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,17.30,08-15-2019,13:00:00,1010.54,25.4,32.38,6.10,29.2,1009.56,9.00,80,5.6,290
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,1.20,08-15-2019,13:00:00,1010.90,25.1,31.95,1.20,28.0,1010.09,10.00,85,13.0,230
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,10.30,08-15-2019,13:00:00,1011.01,25.3,32.28,1.00,27.6,1009.19,8.00,87,5.6,360
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,4.60,08-15-2019,13:00:00,1010.55,24.1,29.98,4.60,27.7,1009.80,10.00,81,9.3,240
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,0.01,08-15-2019,13:00:00,1011.61,24.1,30.09,0.01,27.9,1007.60,10.00,80,16.7,240
48570,SATUN,สตูล,สตูล,6.65000,100.08333,16.30,08-15-2019,13:00:00,1012.09,24.8,31.38,0.70,27.0,1011.41,10.00,88,0.0,000
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,2.80,08-15-2019,13:00:00,1010.96,23.5,28.86,0.00,30.4,1009.85,10.00,66,13.0,270
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,15.00,08-15-2019,13:00:00,1011.88,25.2,32.02,7.50,26.9,1008.95,10.00,90,5.6,240
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,7.00,08-15-2019,13:00:00,1010.32,25.1,31.93,0.00,31.5,1009.64,13.00,69,9.3,180
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,3.10,08-15-2019,13:00:00,1011.75,22.8,27.68,0.00,30.5,1007.66,10.00,63,7.4,220
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,10.60,08-15-2019,13:00:00,1011.67,22.9,27.95,3.00,30.5,1011.08,10.00,64,0.0,000
