WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,AirTemperature,LandVisibility,Rainfall,StationPressure,RelativeHumidity,DewPoint,WindDirection,WindSpeed,Rainfall24Hr,VaporPressure,MeanSeaLevelPressure
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,09-18-2019,04:00:00,25.9,6.00,0.00,1005.84,94,24.9,000,0.0,0.30,31.46,1007.26
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,09-18-2019,04:00:00,25.2,7.00,0.00,1002.87,98,24.9,000,0.0,24.10,31.49,1007.84
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,09-18-2019,04:00:00,26.7,10.00,0.00,1004.53,86,24.2,000,0.0,0.00,30.26,1007.82
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,09-18-2019,04:00:00,26.0,10.00,0.01,1006.39,93,24.8,000,0.0,0.30,31.38,1007.50
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,09-18-2019,04:00:00,25.4,9.00,0.10,1007.22,92,24.1,000,0.0,2.70,29.99,1007.52
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,09-18-2019,04:00:00,24.9,10.00,0.10,1007.09,97,24.3,000,0.0,6.40,30.40,1007.58
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,09-18-2019,04:00:00,25.6,10.00,0.00,1006.44,97,25.0,000,0.0,0.60,31.71,1007.86
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,09-18-2019,04:00:00,25.0,10.00,0.00,1001.67,98,24.7,000,0.0,1.00,31.12,1009.75
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,09-18-2019,04:00:00,27.0,10.00,0.00,1006.74,92,25.6,000,0.0,1.00,32.77,1007.02
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,09-18-2019,04:00:00,28.5,10.00,0.00,1003.11,80,24.6,000,0.0,0.00,30.98,1006.23
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,09-18-2019,04:00:00,26.3,10.00,0.00,1000.25,94,25.3,000,0.0,33.70,32.23,1007.20
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,09-18-2019,04:00:00,25.5,10.00,0.00,1002.46,96,24.8,000,0.0,44.20,31.25,1008.09
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,09-18-2019,04:00:00,26.8,10.00,0.20,1007.46,89,24.8,270,3.7,0.90,31.27,1008.72
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,09-18-2019,04:00:00,26.7,11.00,0.00,1006.79,86,24.2,310,3.7,0.00,30.26,1007.22
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,09-18-2019,04:00:00,23.6,10.00,0.00,995.67,95,22.7,000,0.0,0.00,27.58,1008.08
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,09-18-2019,04:00:00,26.5,10.00,0.00,1006.70,84,23.6,000,0.0,0.00,29.08,1007.42
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,09-18-2019,04:00:00,25.8,10.00,0.00,1004.98,93,24.6,000,0.0,9.50,31.00,1007.43
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,09-18-2019,04:00:00,27.5,7.00,0.70,1007.30,88,25.4,270,7.4,1.00,32.36,1007.82
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,09-18-2019,04:00:00,25.8,8.00,0.00,1002.04,94,24.8,000,0.0,27.10,31.27,1007.21
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,09-18-2019,04:00:00,25.4,7.00,0.00,1007.52,96,24.7,000,0.0,4.90,31.06,1007.93
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,09-18-2019,04:00:00,25.2,8.00,0.00,1005.41,96,24.5,000,0.0,10.30,30.69,1008.20
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,09-18-2019,04:00:00,26.0,10.00,0.00,1007.37,80,22.3,000,0.0,0.01,26.88,1008.16
48501,TRAD,ตราด,ตราด,11.76667,102.88333,09-18-2019,04:00:00,24.8,6.00,25.10,1007.97,96,24.1,000,0.0,33.50,29.95,1008.43
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,09-18-2019,04:00:00,25.0,8.00,0.00,1008.03,93,23.8,000,0.0,12.30,29.52,1008.71
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,09-18-2019,04:00:00,24.4,7.00,0.00,1006.54,93,23.2,000,0.0,7.60,28.45,1008.08
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,09-18-2019,04:00:00,24.4,5.00,19.20,1008.65,97,23.8,180,7.4,75.80,29.49,1009.58
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,09-18-2019,04:00:00,26.5,10.00,0.00,1008.02,88,24.3,300,7.4,4.40,30.43,1008.71
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,09-18-2019,04:00:00,23.6,7.00,0.00,1008.29,98,23.3,000,0.0,5.70,28.60,1009.10
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,09-18-2019,04:00:00,24.3,10.00,0.00,1008.09,94,23.3,000,0.0,0.00,28.54,1008.73
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,09-18-2019,04:00:00,24.5,8.00,0.20,1008.49,96,23.8,000,0.0,17.40,29.41,1008.90
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,09-18-2019,04:00:00,24.0,6.00,0.00,1006.43,97,23.4,000,0.0,3.40,28.78,1010.69
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,09-18-2019,04:00:00,23.4,10.00,0.00,1007.77,98,23.1,140,3.7,8.60,28.25,1009.40
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,09-18-2019,04:00:00,24.0,10.00,0.00,1006.18,97,23.4,000,0.0,2.20,28.78,1009.70
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,09-18-2019,04:00:00,25.6,7.00,0.00,1007.45,87,23.2,000,0.0,0.00,28.51,1008.82
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,09-18-2019,04:00:00,24.4,8.00,0.10,1007.89,97,23.8,330,20.4,0.40,29.49,1008.79
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,09-18-2019,04:00:00,23.9,10.00,0.00,1005.52,96,23.2,000,0.0,0.60,28.35,1009.12
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,09-18-2019,04:00:00,26.2,10.00,0.20,1008.49,92,24.8,000,0.0,0.60,31.22,1008.93
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,09-18-2019,04:00:00,25.5,9.00,0.00,1007.65,93,24.2,000,0.0,27.70,30.17,1008.65
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,09-18-2019,04:00:00,24.8,10.00,0.00,1007.65,93,23.6,000,0.0,15.00,29.16,1008.48
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,09-18-2019,04:00:00,25.2,9.00,0.00,1007.47,95,24.3,000,0.0,0.00,30.42,1009.30
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,09-18-2019,04:00:00,26.0,10.00,0.00,1008.66,86,23.5,230,5.6,0.70,28.97,1009.41
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,09-18-2019,04:00:00,25.1,10.00,0.00,1005.25,93,23.9,280,7.4,0.01,29.70,1009.28
48570,SATUN,สตูล,สตูล,6.65000,100.08333,09-18-2019,04:00:00,24.7,10.00,0.00,1008.50,89,22.8,000,0.0,21.30,27.69,1009.19
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,09-18-2019,04:00:00,24.3,10.00,0.00,1008.34,96,23.6,000,0.0,6.80,29.05,1009.47
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,09-18-2019,04:00:00,24.1,10.00,0.00,1006.65,96,23.4,000,0.0,0.00,28.70,1009.60
