WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,VaporPressure,Date,Time,RelativeHumidity,AirTemperature,StationPressure,DewPoint,LandVisibility,MeanSeaLevelPressure,Rainfall24Hr,WindSpeed,WindDirection,Rainfall
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,33.06,08-15-2019,16:00:00,66,33.0,983.57,25.7,15.00,1001.58,0.00,0.0,000,0.00
48331,NAN,น่าน,น่าน,18.77972,100.77778,33.33,08-15-2019,16:00:00,86,28.4,979.96,25.9,10.00,1002.53,10.70,0.0,000,9.50
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,31.38,08-15-2019,16:00:00,88,27.0,972.97,24.8,10.00,1002.66,11.40,0.0,000,8.30
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,32.53,08-15-2019,16:00:00,68,32.2,967.37,25.4,7.00,1002.01,0.00,0.0,000,0.00
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,33.97,08-15-2019,16:00:00,64,34.1,971.31,26.2,15.00,1000.08,0.60,3.7,320,0.00
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,33.66,08-15-2019,16:00:00,67,33.0,995.18,26.0,10.00,1002.31,0.00,0.0,000,0.00
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,35.34,08-15-2019,16:00:00,64,34.7,981.12,26.8,18.00,1000.38,8.40,5.6,270,0.00
48353,LOEI,เลย,เลย,17.45000,101.73333,28.19,08-15-2019,16:00:00,54,33.6,972.85,23.1,17.00,1000.69,3.30,7.4,310,0.00
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,31.75,08-15-2019,16:00:00,61,33.5,981.96,25.0,13.00,1001.59,0.01,13.0,240,0.00
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,35.31,08-15-2019,16:00:00,79,31.0,981.18,26.8,15.00,1002.51,2.60,0.0,000,2.60
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,33.81,08-15-2019,16:00:00,75,31.0,982.60,26.1,15.00,1001.72,4.00,1.9,330,1.80
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,32.63,08-15-2019,16:00:00,82,28.9,986.20,25.5,12.00,1002.76,47.00,0.0,000,2.00
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,32.75,08-15-2019,16:00:00,81,29.1,985.40,25.6,12.00,1002.60,65.70,0.0,000,0.01
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,33.24,08-15-2019,16:00:00,82,29.2,975.10,25.8,13.00,1000.50,3.10,0.0,000,0.20
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,34.69,08-15-2019,16:00:00,67,33.6,996.85,26.5,10.00,1002.49,5.10,0.0,000,0.00
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,34.16,08-15-2019,16:00:00,66,33.5,996.45,26.3,10.00,1002.48,6.00,11.1,270,0.00
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,31.11,08-15-2019,16:00:00,64,32.5,987.89,24.7,10.00,1003.98,0.00,0.0,000,0.00
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,30.31,08-15-2019,16:00:00,71,30.0,981.55,24.3,10.00,1003.57,0.60,11.1,240,0.00
48376,TAK,ตาก,ตาก,16.87833,99.14333,28.69,08-15-2019,16:00:00,59,32.3,989.78,23.4,6.00,1003.87,0.00,20.4,260,0.00
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,29.71,08-15-2019,16:00:00,55,34.2,986.59,23.9,12.00,1002.52,1.00,7.4,270,0.00
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,31.77,08-15-2019,16:00:00,59,34.2,997.76,25.1,10.00,1002.84,13.70,11.1,230,0.00
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,33.00,08-15-2019,16:00:00,63,33.8,988.46,25.7,12.00,1001.29,1.50,0.0,000,0.00
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,31.64,08-15-2019,16:00:00,59,34.0,994.17,25.0,12.00,1003.25,0.01,3.7,010,0.00
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,30.28,08-15-2019,16:00:00,61,32.8,980.64,24.2,10.00,1001.81,25.30,7.4,100,0.00
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,28.84,08-15-2019,16:00:00,56,33.5,984.48,23.4,12.00,1001.51,40.60,13.0,200,0.00
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,30.86,08-15-2019,16:00:00,62,32.8,986.05,24.6,12.00,1001.49,17.00,3.7,240,0.00
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,30.82,08-15-2019,16:00:00,63,32.5,982.25,24.5,10.00,1000.67,13.70,3.7,150,0.00
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,27.88,08-15-2019,16:00:00,78,27.0,954.04,22.9,10.00,1004.93,1.90,0.0,000,1.90
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,31.99,08-15-2019,16:00:00,59,34.3,999.12,25.2,10.00,1002.96,18.00,11.1,230,0.00
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,25.92,08-15-2019,16:00:00,86,24.1,910.79,21.7,8.00,1004.90,0.60,7.4,240,0.01
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,33.66,08-15-2019,16:00:00,67,33.0,986.36,26.0,10.00,1001.95,1.60,0.0,000,0.00
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,32.62,08-15-2019,16:00:00,58,35.0,998.97,25.5,10.00,1002.88,3.70,0.0,000,0.00
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,30.21,08-15-2019,16:00:00,56,34.3,993.43,24.2,10.00,1003.82,25.50,0.0,000,0.00
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,30.08,08-15-2019,16:00:00,56,34.1,1001.89,24.1,14.00,1003.77,9.20,3.7,180,0.00
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,26.31,08-15-2019,16:00:00,46,35.2,982.09,21.9,12.00,1002.30,0.00,7.4,260,0.00
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,31.16,08-15-2019,16:00:00,60,33.5,984.55,24.7,10.00,1001.75,7.70,0.0,000,0.00
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,30.93,08-15-2019,16:00:00,57,34.5,985.79,24.6,10.00,1001.47,4.40,7.4,190,0.00
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,30.99,08-15-2019,16:00:00,62,33.0,989.03,24.6,10.00,1002.73,0.01,9.3,140,0.00
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,30.86,08-15-2019,16:00:00,67,31.4,988.88,24.6,9.00,1003.44,0.00,0.0,000,0.00
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,33.25,08-15-2019,16:00:00,64,33.5,989.09,25.8,10.00,1003.40,3.90,7.4,250,0.00
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,31.63,08-15-2019,16:00:00,56,35.1,1000.39,25.0,10.00,1003.32,7.70,0.0,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",0.00
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,29.01,08-15-2019,16:00:00,57,33.3,995.10,23.5,10.00,1002.86,9.60,9.3,170,0.00
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,31.17,08-15-2019,16:00:00,58,34.2,1002.94,24.7,8.00,1004.02,15.50,11.1,210,0.00
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,24.64,08-15-2019,16:00:00,46,34.2,988.52,20.9,8.00,1002.80,12.00,0.0,000,0.00
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,22.66,08-15-2019,16:00:00,80,23.1,871.58,19.5,8.00,1004.77,46.20,0.0,000,0.00
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,33.72,08-15-2019,16:00:00,62,34.4,997.64,26.1,10.00,1003.36,16.40,0.0,000,0.00
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,30.15,08-15-2019,16:00:00,51,35.8,1003.49,24.2,12.00,1004.27,0.50,14.8,240,0.00
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,32.35,08-15-2019,16:00:00,69,31.7,1004.52,25.4,10.00,1004.96,0.00,29.6,210,0.00
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,30.49,08-15-2019,16:00:00,66,31.5,994.74,24.4,7.00,1005.86,0.00,5.6,270,0.00
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,31.19,08-15-2019,16:00:00,52,36.0,1002.75,24.7,12.00,1003.73,0.00,9.3,180,0.00
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,27.21,08-15-2019,16:00:00,51,34.1,1002.20,22.5,12.00,1003.98,7.20,11.1,170,0.00
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,26.47,08-15-2019,16:00:00,47,35.0,1004.09,22.0,9.00,1004.84,0.00,7.4,230,0.00
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,30.73,08-15-2019,16:00:00,65,31.9,1004.29,24.5,10.00,1004.98,0.00,14.8,210,0.00
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,33.62,08-15-2019,16:00:00,60,34.9,1003.70,26.0,9.00,1004.38,32.60,7.4,270,0.00
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,27.81,08-15-2019,16:00:00,51,34.4,982.20,22.8,12.00,1002.76,0.70,9.3,280,0.00
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,28.34,08-15-2019,16:00:00,51,34.8,986.68,23.2,11.00,1002.91,3.80,3.7,180,0.00
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,32.12,08-15-2019,16:00:00,55,35.6,987.31,25.2,10.00,1003.22,9.50,13.0,180,0.00
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,26.88,08-15-2019,16:00:00,49,34.5,981.61,22.3,10.00,1002.85,0.00,18.5,250,0.00
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,29.40,08-15-2019,16:00:00,65,31.1,961.69,23.8,10.00,1004.24,17.70,18.5,220,0.00
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,28.81,08-15-2019,16:00:00,65,30.8,983.00,23.4,12.00,1003.23,0.00,14.8,120,0.00
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,32.67,08-15-2019,16:00:00,61,34.2,983.75,25.5,10.00,1004.02,0.40,14.8,190,0.00
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,33.33,08-15-2019,16:00:00,83,29.1,1004.84,25.9,10.00,1005.27,6.10,9.3,230,3.50
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,33.91,08-15-2019,16:00:00,64,33.8,1002.46,26.1,11.00,1003.84,14.10,7.4,270,0.00
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,33.00,08-15-2019,16:00:00,63,33.8,999.94,25.7,9.00,1004.76,0.00,3.7,320,0.00
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,29.09,08-15-2019,16:00:00,51,35.3,1001.12,23.6,12.00,1004.32,0.00,3.7,140,0.00
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,29.55,08-15-2019,16:00:00,52,35.1,1003.22,23.8,10.00,1004.29,0.00,3.7,280,0.00
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,31.70,08-15-2019,16:00:00,62,33.2,1004.67,25.0,10.00,1004.96,0.01,9.3,210,0.00
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,30.35,08-15-2019,16:00:00,53,35.2,1003.41,24.3,10.00,1004.08,0.00,9.3,260,0.00
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,30.94,08-15-2019,16:00:00,65,32.0,1004.25,24.6,10.00,1004.73,0.00,7.4,240,0.00
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,28.18,08-15-2019,16:00:00,50,35.0,1002.87,23.1,10.00,1004.23,0.00,16.7,260,0.00
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,33.63,08-15-2019,16:00:00,77,30.5,1003.52,26.0,10.00,1005.18,0.00,27.8,190,0.00
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,28.47,08-15-2019,16:00:00,55,33.6,998.47,23.2,12.00,1006.30,0.00,5.6,270,0.00
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,29.87,08-15-2019,16:00:00,56,34.0,1004.40,24.0,12.00,1004.68,7.70,9.3,300,0.00
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,31.93,08-15-2019,16:00:00,72,30.8,1002.41,25.1,10.00,1005.50,8.90,9.3,270,0.00
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,32.18,08-15-2019,16:00:00,71,31.2,998.81,25.3,12.00,1005.65,1.40,9.3,240,0.00
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,33.17,08-15-2019,16:00:00,60,34.7,998.73,25.8,7.00,1004.17,0.00,11.1,180,0.00
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,31.93,08-15-2019,16:00:00,69,31.5,996.28,25.1,12.00,1005.44,8.30,14.8,230,0.00
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,36.36,08-15-2019,16:00:00,91,29.0,1005.03,27.3,8.00,1006.28,5.60,11.1,140,5.60
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,37.43,08-15-2019,16:00:00,72,33.7,1004.64,27.8,11.00,1005.07,0.00,13.0,160,0.00
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,30.08,08-15-2019,16:00:00,63,32.0,993.80,24.1,10.00,1005.84,0.00,3.7,280,0.00
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,29.46,08-15-2019,16:00:00,54,34.5,1004.55,23.8,10.00,1005.24,6.00,5.6,260,0.00
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,29.00,08-15-2019,16:00:00,55,34.0,1003.56,23.5,10.00,1005.93,0.00,14.8,270,0.00
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,34.00,08-15-2019,16:00:00,74,31.5,1005.48,26.2,12.00,1005.99,0.00,18.5,210,0.00
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,29.91,08-15-2019,16:00:00,62,32.2,1000.26,24.0,12.00,1005.32,0.00,1.9,200,0.00
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,32.46,08-15-2019,16:00:00,74,30.5,1005.70,25.4,9.00,1006.11,0.00,7.4,230,0.00
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,32.30,08-15-2019,16:00:00,79,29.3,1003.53,25.3,8.00,1006.28,0.00,5.6,200,0.00
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,29.29,08-15-2019,16:00:00,55,34.0,1006.52,23.7,10.00,1007.28,12.70,7.4,240,0.00
48501,TRAD,ตราด,ตราด,11.76667,102.88333,33.92,08-15-2019,16:00:00,81,29.8,1006.21,26.2,8.00,1006.66,5.80,5.6,310,0.00
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,30.32,08-15-2019,16:00:00,96,25.0,1006.86,24.3,7.00,1007.55,4.40,3.7,300,4.40
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,29.55,08-15-2019,16:00:00,64,31.6,1005.58,23.8,10.00,1007.08,0.00,3.7,250,0.00
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,32.63,08-15-2019,16:00:00,82,28.9,1007.28,25.5,10.00,1008.19,4.60,9.3,190,1.90
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,30.07,08-15-2019,16:00:00,58,33.4,1006.66,24.1,10.00,1007.33,0.00,11.1,270,0.00
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,32.96,08-15-2019,16:00:00,88,27.8,1007.46,25.7,10.00,1008.26,3.80,9.3,240,3.80
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,30.28,08-15-2019,16:00:00,66,31.4,1006.64,24.3,9.00,1007.27,0.00,18.5,150,0.00
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,31.19,08-15-2019,16:00:00,72,30.3,1006.98,24.7,10.00,1007.38,0.00,29.6,230,0.00
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,30.43,08-15-2019,16:00:00,88,26.5,1005.72,24.3,5.00,1009.95,2.60,5.6,260,2.60
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,31.46,08-15-2019,16:00:00,80,28.6,1006.99,24.9,12.00,1008.59,17.60,0.0,000,3.00
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,31.24,08-15-2019,16:00:00,90,26.5,1005.68,24.8,8.00,1009.17,9.20,3.7,090,2.10
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,28.82,08-15-2019,16:00:00,61,31.8,1006.73,23.4,10.00,1008.07,0.00,27.8,270,0.00
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,30.56,08-15-2019,16:00:00,81,28.0,1007.36,24.4,10.00,1008.24,13.30,18.5,240,0.00
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,31.62,08-15-2019,16:00:00,82,28.4,1005.31,25.0,10.00,1008.86,3.50,0.0,000,0.50
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,31.95,08-15-2019,16:00:00,85,28.0,1008.28,25.1,6.00,1008.72,9.60,0.0,000,0.80
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,31.00,08-15-2019,16:00:00,93,25.8,1007.43,24.6,7.00,1008.43,30.20,13.0,250,12.90
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,30.54,08-15-2019,16:00:00,93,25.7,1008.70,24.4,9.00,1009.52,12.00,11.1,020,10.80
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,29.44,08-15-2019,16:00:00,92,25.1,1007.62,23.8,5.00,1009.45,37.30,7.4,280,30.40
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,29.51,08-15-2019,16:00:00,62,32.0,1007.30,23.8,12.00,1008.04,4.60,16.7,230,0.00
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,30.60,08-15-2019,16:00:00,75,29.3,1004.75,24.4,10.00,1008.73,0.01,16.7,240,0.00
48570,SATUN,สตูล,สตูล,6.65000,100.08333,31.90,08-15-2019,16:00:00,82,28.4,1009.01,25.1,10.00,1009.69,16.30,0.0,000,0.00
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,30.57,08-15-2019,16:00:00,67,31.4,1007.10,24.4,10.00,1008.20,0.00,5.6,180,0.00
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,32.21,08-15-2019,16:00:00,76,30.1,1005.93,25.3,12.00,1008.83,15.00,9.3,220,0.00
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,32.40,08-15-2019,16:00:00,68,32.0,1007.37,25.4,12.00,1008.05,4.80,14.8,220,0.00
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,26.89,08-15-2019,16:00:00,61,30.8,1005.05,22.3,10.00,1009.13,0.01,18.5,210,0.00
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,26.97,08-15-2019,16:00:00,61,30.7,1007.54,22.3,12.00,1008.12,10.60,13.0,240,0.00
