WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,StationPressure,Date,Time,AirTemperature,WindDirection,Rainfall,MeanSeaLevelPressure,LandVisibility,VaporPressure,DewPoint,RelativeHumidity,WindSpeed,Rainfall24Hr
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,988.99,08-03-2019,10:00:00,29.0,120,0.00,1005.23,7.00,26.24,21.9,66,9.3,0.00
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,1000.73,08-03-2019,10:00:00,29.4,340,0.00,1005.91,10.00,25.13,21.2,61,5.6,0.60
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,990.84,08-03-2019,10:00:00,30.6,220,0.00,1003.84,12.00,23.11,19.8,53,5.6,0.00
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,996.05,08-03-2019,10:00:00,29.7,000,0.00,1005.27,13.00,25.66,21.5,62,0.0,0.40
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,982.00,08-03-2019,10:00:00,28.3,210,0.00,1003.52,10.00,26.29,21.9,68,3.7,0.00
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,987.29,08-03-2019,10:00:00,29.0,230,0.00,1004.63,10.00,27.03,22.4,68,13.0,0.00
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,986.51,08-03-2019,10:00:00,29.0,340,0.00,1002.17,12.00,27.03,22.4,68,3.7,0.00
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,983.77,08-03-2019,10:00:00,28.0,230,0.00,1002.50,10.00,27.85,22.9,74,11.1,0.00
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,956.54,08-03-2019,10:00:00,24.2,000,0.80,1008.06,10.00,25.84,21.6,86,0.0,18.00
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,1001.99,08-03-2019,10:00:00,28.0,260,0.01,1005.93,8.00,26.02,21.7,69,3.7,0.60
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,911.50,08-03-2019,10:00:00,20.6,220,0.00,1006.85,5.00,22.64,19.5,93,27.8,12.10
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,987.62,08-03-2019,10:00:00,27.8,240,0.00,1003.51,8.00,29.09,23.6,78,16.7,0.80
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,1002.06,08-03-2019,10:00:00,30.2,230,0.00,1006.04,12.00,28.75,23.4,67,5.6,0.30
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,996.41,08-03-2019,10:00:00,31.0,250,0.00,1006.95,9.00,24.07,20.5,54,7.4,0.20
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,1005.03,08-03-2019,10:00:00,30.0,210,0.00,1006.94,10.00,27.28,22.5,64,13.0,0.00
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,984.39,08-03-2019,10:00:00,29.2,260,0.00,1005.06,12.00,23.75,20.3,59,13.0,2.20
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,986.32,08-03-2019,10:00:00,27.5,230,0.00,1003.90,10.00,25.65,21.5,70,18.5,0.40
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,987.34,08-03-2019,10:00:00,27.6,220,0.00,1003.41,10.00,26.09,21.8,71,13.0,0.40
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,990.54,08-03-2019,10:00:00,27.1,190,2.30,1004.53,10.00,28.59,23.3,80,9.3,8.80
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,990.52,08-03-2019,10:00:00,26.4,260,0.00,1005.35,8.00,29.97,24.1,87,3.7,4.30
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,990.60,08-03-2019,10:00:00,27.6,220,0.00,1005.21,8.00,29.52,23.8,80,18.5,3.00
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,1002.72,08-03-2019,10:00:00,31.3,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",0.00,1005.69,10.00,24.35,20.7,53,0.0,0.01
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,997.85,08-03-2019,10:00:00,29.2,230,0.00,1005.73,10.00,26.87,22.3,66,5.6,0.50
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,1006.22,08-03-2019,10:00:00,29.5,250,0.00,1007.32,8.00,26.62,22.1,65,16.7,0.00
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,990.88,08-03-2019,10:00:00,29.4,200,0.00,1005.43,8.00,29.68,23.9,72,3.7,0.10
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,872.90,08-03-2019,10:00:00,19.4,290,0.00,1008.07,.10,22.06,19.1,98,13.0,0.60
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,1000.10,08-03-2019,10:00:00,32.0,270,0.00,1005.88,10.00,27.82,22.8,59,9.3,0.00
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,1007.17,08-03-2019,10:00:00,30.8,230,0.00,1007.96,8.00,26.89,22.3,61,16.7,0.00
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,1007.89,08-03-2019,10:00:00,30.3,230,0.00,1008.34,10.00,28.67,23.3,66,14.8,0.01
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,998.03,08-03-2019,10:00:00,26.0,010,0.00,1009.40,6.00,29.50,23.8,88,7.4,8.70
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,1006.71,08-03-2019,10:00:00,29.4,270,0.01,1007.72,10.00,28.04,23.0,68,3.7,0.50
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,1005.57,08-03-2019,10:00:00,31.4,250,0.00,1007.37,9.00,26.40,22.0,57,11.1,0.00
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,1007.10,08-03-2019,10:00:00,27.4,000,0.01,1007.86,8.00,29.69,23.9,81,0.0,0.01
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,1007.47,08-03-2019,10:00:00,29.7,270,0.00,1008.17,10.00,27.26,22.5,65,29.6,0.00
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,1006.81,08-03-2019,10:00:00,30.9,250,0.00,1007.51,9.00,28.17,23.1,63,9.3,0.00
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,984.67,08-03-2019,10:00:00,29.5,280,0.00,1005.62,10.00,27.42,22.6,67,7.4,0.30
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,988.87,08-03-2019,10:00:00,27.3,240,0.10,1005.54,8.00,27.90,22.9,77,9.3,0.10
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,989.70,08-03-2019,10:00:00,27.2,000,0.00,1006.10,8.00,28.51,23.2,79,0.0,0.01
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,984.17,08-03-2019,10:00:00,29.7,280,0.00,1005.80,10.00,23.85,20.3,57,18.5,0.01
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,963.11,08-03-2019,10:00:00,29.0,120,0.00,1006.03,15.00,24.42,20.7,61,44.4,0.00
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,985.26,08-03-2019,10:00:00,28.0,230,0.20,1005.72,10.00,27.06,22.4,72,9.3,0.20
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,986.17,08-03-2019,10:00:00,26.7,220,0.40,1007.00,7.00,30.81,24.5,88,16.7,2.70
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,1008.37,08-03-2019,10:00:00,28.3,290,0.10,1008.80,10.00,29.49,23.8,77,3.7,0.50
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,1005.34,08-03-2019,10:00:00,28.6,270,0.00,1006.75,11.00,29.24,23.7,75,9.3,0.00
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,1002.31,08-03-2019,10:00:00,29.3,250,0.00,1007.20,8.00,28.67,23.3,70,9.3,0.00
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,1005.04,08-03-2019,10:00:00,29.2,240,0.10,1008.31,12.00,27.13,22.4,67,11.1,0.40
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,1007.49,08-03-2019,10:00:00,28.6,290,0.01,1008.60,5.00,28.43,23.2,73,14.8,0.01
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,1007.85,08-03-2019,10:00:00,30.5,270,0.00,1008.15,10.00,27.95,22.9,64,9.3,0.00
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,1007.65,08-03-2019,10:00:00,30.7,000,0.00,1008.33,10.00,27.52,22.7,62,0.0,0.00
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,1008.05,08-03-2019,10:00:00,30.2,280,0.00,1008.54,10.00,27.39,22.6,64,3.7,0.00
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,1006.92,08-03-2019,10:00:00,29.8,300,0.00,1008.32,10.00,27.71,22.8,66,25.9,0.01
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,1006.85,08-03-2019,10:00:00,30.6,240,0.00,1008.51,10.00,29.25,23.7,67,18.5,0.00
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,1001.71,08-03-2019,10:00:00,29.1,270,0.00,1009.68,10.00,25.89,21.7,64,9.3,0.00
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,1007.94,08-03-2019,10:00:00,31.0,240,0.00,1008.22,12.00,32.93,25.7,73,11.1,0.00
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,1005.46,08-03-2019,10:00:00,29.0,260,0.00,1008.58,10.00,29.74,23.9,74,11.1,0.01
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,1001.88,08-03-2019,10:00:00,29.5,270,0.00,1008.77,12.00,30.16,24.2,73,11.1,0.00
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,1001.63,08-03-2019,10:00:00,30.2,280,0.00,1007.17,7.00,27.66,22.7,64,35.2,0.00
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,1000.52,08-03-2019,10:00:00,30.4,290,0.00,1009.75,15.00,30.54,24.4,70,18.5,0.01
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,1008.18,08-03-2019,10:00:00,28.0,000,0.10,1009.44,8.00,29.74,23.9,79,0.0,0.60
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,1008.54,08-03-2019,10:00:00,27.3,270,0.30,1008.97,11.00,28.69,23.4,79,18.5,3.80
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,997.10,08-03-2019,10:00:00,25.5,270,2.30,1009.45,10.00,27.81,22.8,85,3.7,15.80
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,1008.22,08-03-2019,10:00:00,26.4,000,1.80,1008.93,10.00,32.43,25.4,94,0.0,9.50
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,1006.43,08-03-2019,10:00:00,29.8,240,0.00,1008.85,10.00,27.71,22.8,66,18.5,0.01
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,1008.16,08-03-2019,10:00:00,29.0,260,0.00,1008.68,10.00,29.74,23.9,74,25.9,0.60
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,1003.48,08-03-2019,10:00:00,30.0,260,0.00,1008.59,10.00,27.28,22.5,64,7.4,0.00
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,1007.86,08-03-2019,10:00:00,29.2,000,0.00,1008.27,8.00,30.96,24.6,76,0.0,7.70
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,1005.61,08-03-2019,10:00:00,26.4,000,2.40,1008.39,8.00,32.71,25.5,95,0.0,34.10
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,1008.87,08-03-2019,10:00:00,25.0,240,1.50,1009.66,8.00,27.70,22.8,88,5.6,6.30
48501,TRAD,ตราด,ตราด,11.76667,102.88333,1008.18,08-03-2019,10:00:00,28.0,310,0.50,1008.64,7.00,31.39,24.8,83,11.1,14.80
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,1009.45,08-03-2019,10:00:00,25.4,280,4.00,1010.14,7.00,25.35,21.3,78,3.7,37.00
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,1009.15,08-03-2019,10:00:00,26.4,270,2.60,1010.69,9.00,28.90,23.5,84,3.7,49.40
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,1010.65,08-03-2019,10:00:00,25.0,000,6.70,1011.57,10.00,29.00,23.5,92,0.0,111.30
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,1010.76,08-03-2019,10:00:00,25.7,290,3.70,1011.45,8.00,27.90,22.9,85,9.3,5.10
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,1010.64,08-03-2019,10:00:00,26.8,000,0.70,1011.44,7.00,32.38,25.4,92,0.0,4.30
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,1009.94,08-03-2019,10:00:00,31.0,210,0.00,1010.57,10.00,29.76,24.0,66,1.9,7.70
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,1010.70,08-03-2019,10:00:00,32.5,000,0.00,1011.10,12.00,32.58,25.5,67,0.0,0.00
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,1008.73,08-03-2019,10:00:00,27.8,350,0.00,1012.95,6.00,31.28,24.8,84,5.6,23.00
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,1010.07,08-03-2019,10:00:00,29.5,000,0.00,1011.68,10.00,29.60,23.9,72,0.0,3.40
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,1007.47,08-03-2019,10:00:00,30.0,200,0.00,1010.92,10.00,31.72,25.0,75,7.4,2.00
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,1009.50,08-03-2019,10:00:00,30.6,300,0.00,1010.84,10.00,30.38,24.3,69,7.4,0.00
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,1010.40,08-03-2019,10:00:00,30.3,240,0.00,1011.28,10.00,31.19,24.7,72,14.8,0.00
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,1007.43,08-03-2019,10:00:00,30.0,280,0.00,1010.97,10.00,33.17,25.8,78,11.1,1.20
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,1010.55,08-03-2019,10:00:00,31.5,000,0.00,1010.98,10.00,29.07,23.6,63,0.0,0.00
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,1009.42,08-03-2019,10:00:00,31.7,270,0.00,1010.40,10.00,29.47,23.8,63,5.6,0.50
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,1010.33,08-03-2019,10:00:00,30.5,270,0.00,1011.14,10.00,31.60,25.0,72,18.5,0.00
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,1009.36,08-03-2019,10:00:00,30.6,220,0.00,1011.16,9.00,32.38,25.4,74,5.6,0.00
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,1010.46,08-03-2019,10:00:00,32.2,260,0.00,1011.20,12.00,28.50,23.2,59,13.0,0.00
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,1007.66,08-03-2019,10:00:00,31.3,240,0.00,1011.61,10.00,30.37,24.3,66,7.4,0.20
48570,SATUN,สตูล,สตูล,6.65000,100.08333,1010.88,08-03-2019,10:00:00,28.5,000,0.00,1011.57,10.00,27.18,22.5,70,0.0,0.00
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,1010.08,08-03-2019,10:00:00,31.7,250,0.00,1011.18,10.00,30.32,24.3,65,9.3,0.80
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,1008.66,08-03-2019,10:00:00,31.4,000,0.00,1011.55,12.00,29.15,23.6,63,0.0,0.00
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,1010.16,08-03-2019,10:00:00,31.8,000,0.00,1010.84,10.00,28.82,23.4,61,0.0,0.00
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,1007.28,08-03-2019,10:00:00,30.9,000,0.00,1011.36,7.00,28.73,23.4,64,0.0,0.00
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,1010.58,08-03-2019,10:00:00,30.5,240,0.00,1011.16,10.00,29.33,23.7,67,11.1,0.00
