WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,AirTemperature,Date,Time,Rainfall24Hr,WindDirection,VaporPressure,DewPoint,Rainfall,StationPressure,RelativeHumidity,LandVisibility,MeanSeaLevelPressure,WindSpeed
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,35.0,07-29-2019,16:00:00,0.00,000,25.08,21.1,0.00,976.24,45,10.00,1002.89,0.0
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,35.0,07-29-2019,16:00:00,0.00,000,26.75,22.2,0.00,970.21,48,15.00,1002.68,0.0
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,35.4,07-29-2019,16:00:00,0.00,220,27.85,22.9,0.00,984.51,48,15.00,1002.40,3.7
48331,NAN,น่าน,น่าน,18.77972,100.77778,33.4,07-29-2019,16:00:00,0.00,000,30.66,24.5,0.00,980.05,60,10.00,1002.25,0.0
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,32.0,07-29-2019,16:00:00,0.00,000,28.10,23.0,0.00,973.15,59,12.00,1002.35,0.0
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,34.0,07-29-2019,16:00:00,1.20,000,27.01,22.4,0.00,968.02,51,8.00,1002.47,0.0
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,32.7,07-29-2019,16:00:00,0.00,310,30.94,24.6,0.00,972.72,63,17.00,1001.67,5.6
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,36.0,07-29-2019,16:00:00,0.01,000,26.78,22.2,0.01,995.90,45,10.00,1002.96,0.0
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,36.0,07-29-2019,16:00:00,0.00,230,33.33,25.9,0.00,982.18,56,16.00,1001.38,14.8
48353,LOEI,เลย,เลย,17.45000,101.73333,30.5,07-29-2019,16:00:00,1.70,340,28.50,23.2,0.00,974.29,65,15.00,1002.45,7.4
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,34.9,07-29-2019,16:00:00,0.00,170,29.71,23.9,0.00,982.39,53,15.00,1001.93,7.4
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,27.7,07-29-2019,16:00:00,1.50,210,29.98,24.1,1.10,981.89,81,15.00,1003.47,7.4
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,28.5,07-29-2019,16:00:00,0.90,360,30.70,24.5,0.90,983.82,79,15.00,1003.12,3.7
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,32.3,07-29-2019,16:00:00,0.00,200,31.27,24.8,0.00,987.18,65,12.00,1003.57,7.4
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,33.0,07-29-2019,16:00:00,0.00,000,32.76,25.6,0.00,986.49,65,10.00,1003.49,0.0
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,25.5,07-29-2019,16:00:00,14.80,200,31.25,24.8,14.20,977.78,96,.50,1003.57,18.5
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,36.0,07-29-2019,16:00:00,0.00,210,29.40,23.8,0.00,997.71,49,10.00,1003.31,5.6
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,35.2,07-29-2019,16:00:00,0.00,000,31.85,25.1,0.00,997.25,56,12.00,1003.25,0.0
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,35.0,07-29-2019,16:00:00,0.00,000,25.08,21.1,0.00,987.60,45,10.00,1003.55,0.0
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,26.0,07-29-2019,16:00:00,0.30,250,28.18,23.1,0.00,984.29,84,10.00,1006.67,14.8
48376,TAK,ตาก,ตาก,16.87833,99.14333,32.9,07-29-2019,16:00:00,0.00,260,26.53,22.1,0.00,990.83,53,10.00,1004.90,22.2
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,33.5,07-29-2019,16:00:00,0.00,120,28.84,23.4,0.00,987.87,56,7.00,1003.85,11.1
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,35.0,07-29-2019,16:00:00,0.00,210,29.05,23.6,0.00,998.67,52,10.00,1003.75,7.4
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,34.9,07-29-2019,16:00:00,0.00,220,29.42,23.8,0.00,989.24,53,12.00,1002.03,7.4
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,33.5,07-29-2019,16:00:00,0.00,150,27.71,22.8,0.00,995.07,54,14.00,1004.17,9.3
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,32.4,07-29-2019,16:00:00,0.00,330,29.75,24.0,0.00,981.77,61,10.00,1002.99,24.1
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,29.0,07-29-2019,16:00:00,6.50,000,28.37,23.2,5.00,987.03,71,10.00,1004.36,0.0
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,28.0,07-29-2019,16:00:00,0.00,000,27.85,22.9,0.00,987.64,74,10.00,1003.36,0.0
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,28.0,07-29-2019,16:00:00,10.00,000,32.52,25.4,10.00,983.84,86,4.00,1002.58,0.0
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,25.4,07-29-2019,16:00:00,12.00,000,26.11,21.8,9.70,955.39,81,10.00,1006.64,0.0
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,34.5,07-29-2019,16:00:00,0.00,000,28.88,23.5,0.00,1000.27,53,15.00,1004.12,0.0
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,22.9,07-29-2019,16:00:00,0.01,220,24.48,20.7,0.00,912.26,88,6.00,1006.92,18.5
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,25.0,07-29-2019,16:00:00,53.30,150,30.32,24.3,53.30,988.73,96,6.00,1004.78,5.6
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,32.7,07-29-2019,16:00:00,1.70,230,33.31,25.8,0.00,1001.42,67,12.00,1005.38,5.6
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,31.5,07-29-2019,16:00:00,0.00,270,27.41,22.6,0.00,995.56,59,10.00,1006.07,11.1
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,29.0,07-29-2019,16:00:00,0.20,270,28.37,23.2,0.00,1003.39,71,12.00,1005.30,5.6
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,35.9,07-29-2019,16:00:00,0.00,230,25.45,21.4,0.00,982.44,43,12.00,1002.61,14.8
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,28.5,07-29-2019,16:00:00,0.60,010,32.96,25.7,0.60,985.91,85,10.00,1003.42,18.5
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,29.0,07-29-2019,16:00:00,0.10,150,31.13,24.7,0.10,986.94,78,8.00,1002.93,11.1
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,30.7,07-29-2019,16:00:00,1.20,130,32.59,25.5,0.00,989.77,74,10.00,1003.58,9.3
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,27.7,07-29-2019,16:00:00,2.40,000,33.33,25.9,1.40,990.57,90,10.00,1005.34,0.0
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,30.2,07-29-2019,16:00:00,5.00,100,35.67,27.0,5.00,989.93,83,7.00,1004.41,5.6
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,31.4,07-29-2019,16:00:00,8.90,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",28.87,23.5,0.00,1002.14,63,10.00,1005.11,0.0
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,35.2,07-29-2019,16:00:00,0.10,000,29.76,24.0,0.00,996.00,52,10.00,1003.72,0.0
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,33.2,07-29-2019,16:00:00,0.00,270,26.28,21.9,0.00,1004.23,52,10.00,1005.32,14.8
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,32.1,07-29-2019,16:00:00,0.00,070,33.80,26.1,0.00,990.76,71,9.00,1005.17,3.7
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,20.2,07-29-2019,16:00:00,47.60,290,23.20,19.9,13.60,872.59,98,2.00,1007.32,9.3
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,36.2,07-29-2019,16:00:00,0.00,000,27.48,22.6,0.00,998.21,46,10.00,1003.89,0.0
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,34.0,07-29-2019,16:00:00,0.00,270,24.26,20.6,0.00,1005.55,46,10.00,1006.33,24.1
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,31.8,07-29-2019,16:00:00,0.00,230,29.39,23.8,0.00,1005.37,63,10.00,1005.80,14.8
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,27.3,07-29-2019,16:00:00,4.20,000,34.81,26.6,1.80,997.58,96,5.00,1008.89,0.0
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,32.5,07-29-2019,16:00:00,0.00,270,27.13,22.4,0.00,1004.56,55,12.00,1005.55,13.0
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,34.3,07-29-2019,16:00:00,0.01,200,29.04,23.6,0.00,1003.03,54,10.00,1004.80,3.7
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,32.0,07-29-2019,16:00:00,0.00,290,24.83,21.0,0.00,1005.06,52,10.00,1005.81,18.5
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,28.8,07-29-2019,16:00:00,5.60,210,33.00,25.7,5.60,1005.48,83,9.00,1006.18,13.0
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,29.8,07-29-2019,16:00:00,17.00,270,34.21,26.3,0.00,1004.26,82,12.00,1004.96,5.6
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,35.7,07-29-2019,16:00:00,0.00,240,27.60,22.7,0.00,983.68,47,12.00,1004.18,13.0
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,35.5,07-29-2019,16:00:00,11.40,250,28.06,23.0,0.00,986.53,49,12.00,1002.72,5.6
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,35.2,07-29-2019,16:00:00,23.30,240,30.05,24.1,0.00,987.56,53,14.00,1003.50,5.6
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,34.5,07-29-2019,16:00:00,0.00,250,24.67,20.9,0.00,981.88,45,10.00,1003.12,9.3
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,31.3,07-29-2019,16:00:00,0.00,240,25.41,21.4,0.00,962.12,56,14.00,1004.66,18.5
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,33.4,07-29-2019,16:00:00,0.00,210,26.12,21.8,0.00,983.17,51,12.00,1003.23,9.3
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,33.8,07-29-2019,16:00:00,23.20,240,30.91,24.6,0.00,983.76,59,10.00,1004.05,11.1
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,33.3,07-29-2019,16:00:00,0.01,310,23.50,20.1,0.00,1005.95,46,10.00,1006.38,11.1
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,33.0,07-29-2019,16:00:00,12.00,000,34.88,26.6,0.00,1003.72,69,11.00,1005.11,0.0
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,32.1,07-29-2019,16:00:00,0.00,000,32.61,25.5,0.00,1000.60,68,8.00,1005.44,0.0
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,32.5,07-29-2019,16:00:00,0.00,250,26.04,21.8,0.00,1003.39,53,12.00,1006.63,5.6
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,33.5,07-29-2019,16:00:00,0.00,280,26.04,21.8,0.00,1006.24,50,10.00,1007.32,5.6
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,33.5,07-29-2019,16:00:00,0.00,230,26.31,21.9,0.00,1005.63,51,10.00,1005.93,14.8
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,33.0,07-29-2019,16:00:00,0.00,230,27.84,22.9,0.00,1005.85,55,10.00,1006.52,7.4
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,33.7,07-29-2019,16:00:00,0.00,240,27.82,22.8,0.00,1005.44,53,10.00,1005.92,5.6
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,33.4,07-29-2019,16:00:00,0.01,270,25.84,21.6,0.01,1004.62,50,10.00,1006.00,25.9
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,31.6,07-29-2019,16:00:00,0.00,230,32.73,25.5,0.00,1004.49,70,12.00,1006.14,9.3
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,33.5,07-29-2019,16:00:00,0.00,220,26.59,22.1,0.00,999.44,51,10.00,1007.28,7.4
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,33.5,07-29-2019,16:00:00,0.00,270,30.28,24.2,0.00,1005.80,59,12.00,1006.08,3.7
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,32.0,07-29-2019,16:00:00,0.00,270,27.55,22.7,0.00,1002.91,58,12.00,1005.99,5.6
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,30.7,07-29-2019,16:00:00,0.00,000,29.73,23.9,0.00,999.60,67,12.00,1006.45,0.0
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,30.8,07-29-2019,16:00:00,0.00,140,30.49,24.4,0.00,1000.08,69,7.00,1005.60,5.6
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,32.0,07-29-2019,16:00:00,0.00,210,29.79,24.0,0.00,998.03,63,12.00,1007.19,7.4
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,32.0,07-29-2019,16:00:00,1.90,270,25.10,21.2,0.00,1006.83,53,15.00,1008.07,29.6
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,33.5,07-29-2019,16:00:00,0.00,300,23.87,20.3,0.00,1005.80,46,11.00,1006.22,25.9
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,32.4,07-29-2019,16:00:00,0.00,260,22.92,19.7,0.00,995.34,47,12.00,1007.39,11.1
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,34.3,07-29-2019,16:00:00,0.00,250,26.49,22.0,0.00,1006.27,49,10.00,1006.96,13.0
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,32.3,07-29-2019,16:00:00,0.00,220,28.98,23.5,0.00,1004.75,60,10.00,1007.14,14.8
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,29.8,07-29-2019,16:00:00,7.50,260,31.32,24.8,0.00,1005.97,75,10.00,1006.49,14.8
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,31.5,07-29-2019,16:00:00,0.00,280,28.51,23.2,0.00,1001.03,62,11.00,1006.10,3.7
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,30.4,07-29-2019,16:00:00,9.90,240,31.39,24.9,0.00,1006.34,72,8.00,1006.75,7.4
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,30.0,07-29-2019,16:00:00,11.60,200,33.17,25.8,0.00,1004.13,78,8.00,1006.87,11.1
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,31.2,07-29-2019,16:00:00,0.00,330,28.48,23.2,0.00,1006.29,63,10.00,1007.07,22.2
48501,TRAD,ตราด,ตราด,11.76667,102.88333,30.0,07-29-2019,16:00:00,34.00,340,33.75,26.1,0.00,1006.71,80,7.00,1007.16,3.7
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,33.1,07-29-2019,16:00:00,0.00,260,26.37,22.0,0.00,1007.11,52,10.00,1007.78,11.1
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,31.8,07-29-2019,16:00:00,0.00,270,32.27,25.3,0.00,1006.63,69,10.00,1008.14,7.4
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,30.0,07-29-2019,16:00:00,15.60,210,28.91,23.5,0.00,1008.65,68,10.00,1009.55,7.4
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,33.4,07-29-2019,16:00:00,1.20,290,30.37,24.3,0.00,1007.15,59,10.00,1007.82,7.4
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,34.5,07-29-2019,16:00:00,0.00,270,28.02,23.0,0.00,1007.56,51,10.00,1008.34,5.6
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,33.1,07-29-2019,16:00:00,0.00,200,28.88,23.5,0.00,1006.28,57,10.00,1006.90,5.6
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,34.7,07-29-2019,16:00:00,0.00,240,31.06,24.7,0.00,1006.88,56,12.00,1007.27,7.4
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,33.6,07-29-2019,16:00:00,0.00,240,26.51,22.0,0.00,1005.51,51,6.00,1009.64,11.1
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,33.3,07-29-2019,16:00:00,0.00,260,25.65,21.5,0.00,1006.55,50,10.00,1008.13,11.1
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,33.0,07-29-2019,16:00:00,0.00,270,29.25,23.7,0.00,1005.01,58,10.00,1008.42,3.7
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,33.1,07-29-2019,16:00:00,0.00,260,21.57,18.7,0.00,1006.82,43,10.00,1008.15,16.7
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,31.4,07-29-2019,16:00:00,0.00,270,31.14,24.7,0.00,1008.48,68,10.00,1009.36,11.1
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,32.1,07-29-2019,16:00:00,3.70,320,26.64,22.1,0.00,1005.29,56,10.00,1008.80,9.3
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,33.2,07-29-2019,16:00:00,0.00,290,28.24,23.1,0.00,1008.72,56,10.00,1009.15,13.0
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,32.2,07-29-2019,16:00:00,0.00,310,29.91,24.0,0.00,1008.22,62,10.00,1009.20,9.3
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,30.7,07-29-2019,16:00:00,0.00,280,32.59,25.5,0.00,1008.01,74,10.00,1008.82,27.8
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,32.5,07-29-2019,16:00:00,0.00,280,24.16,20.5,0.00,1007.04,49,12.00,1008.83,11.1
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,33.6,07-29-2019,16:00:00,0.00,260,24.86,21.0,0.00,1007.30,48,10.00,1008.03,14.8
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,32.3,07-29-2019,16:00:00,0.00,240,26.20,21.9,0.00,1004.58,54,10.00,1008.51,20.4
48570,SATUN,สตูล,สตูล,6.65000,100.08333,32.2,07-29-2019,16:00:00,0.00,270,27.66,22.7,0.00,1007.90,58,10.00,1008.58,9.3
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,31.0,07-29-2019,16:00:00,0.00,000,29.48,23.8,0.00,1006.88,66,10.00,1007.98,0.0
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,32.8,07-29-2019,16:00:00,0.00,310,23.91,20.4,0.00,1005.79,48,11.00,1008.66,11.1
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,33.7,07-29-2019,16:00:00,0.00,250,28.39,23.2,0.00,1006.55,54,10.00,1007.22,9.3
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,33.4,07-29-2019,16:00:00,0.00,000,28.64,23.3,0.00,1004.42,56,10.00,1008.46,0.0
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,32.5,07-29-2019,16:00:00,0.00,260,26.86,22.3,0.00,1007.54,55,10.00,1008.12,5.6
