WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,StationPressure,Date,Time,WindSpeed,LandVisibility,VaporPressure,Rainfall,AirTemperature,RelativeHumidity,MeanSeaLevelPressure,MaximumTemperature,DewPoint,Rainfall24Hr,WindDirection
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,982.78,09-03-2019,19:00:00,9.3,12.00,31.69,0.00,27.3,87,1002.83,28.7,25.0,2.20,260
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,980.54,09-03-2019,19:00:00,0.0,7.00,29.00,3.60,25.0,92,1002.29,25.6,23.5,41.90,000
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,982.48,09-03-2019,19:00:00,7.4,8.00,30.30,4.10,24.7,97,1002.00,25.3,24.3,45.70,010
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,985.13,09-03-2019,19:00:00,9.3,10.00,30.96,4.10,25.2,97,1001.88,25.7,24.6,79.50,310
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,984.74,09-03-2019,19:00:00,3.7,5.00,29.41,1.50,24.5,96,1002.20,25.2,23.8,92.40,310
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,977.37,09-03-2019,19:00:00,0.0,9.00,34.11,0.00,27.1,95,1003.02,28.3,26.2,2.40,000
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,998.52,09-03-2019,19:00:00,0.0,10.00,34.16,0.00,29.5,83,1004.25,33.0,26.3,4.60,000
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,998.07,09-03-2019,19:00:00,0.0,10.00,33.58,0.00,29.5,81,1004.20,32.2,26.0,6.40,000
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,988.49,09-03-2019,19:00:00,0.0,10.00,31.38,0.00,27.0,88,1004.89,30.5,24.8,4.90,000
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,983.59,09-03-2019,19:00:00,3.7,10.00,28.11,3.20,24.5,91,1006.07,30.2,23.0,21.00,120
48376,TAK,ตาก,ตาก,16.87833,99.14333,991.04,09-03-2019,19:00:00,16.7,7.00,27.63,0.00,28.6,71,1005.32,31.7,22.7,3.20,270
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,988.27,09-03-2019,19:00:00,0.0,10.00,26.78,0.00,29.3,66,1004.49,32.7,22.2,5.40,000
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,999.26,09-03-2019,19:00:00,0.0,8.00,33.74,0.20,29.3,83,1004.44,32.3,26.1,4.80,000
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,990.24,09-03-2019,19:00:00,0.0,12.00,32.77,0.00,27.0,92,1003.39,30.5,25.6,6.10,000
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,995.81,09-03-2019,19:00:00,0.0,10.00,33.58,0.00,29.5,81,1005.04,31.0,26.0,0.20,000
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,981.70,09-03-2019,19:00:00,7.4,7.00,31.49,1.10,25.2,98,1003.43,26.0,24.9,14.90,240
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,987.82,09-03-2019,19:00:00,5.6,7.00,30.32,4.00,25.0,96,1005.41,30.7,24.3,23.70,220
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,985.19,09-03-2019,19:00:00,14.8,7.00,28.53,17.40,24.0,96,1001.09,26.3,23.3,57.10,280
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,983.62,09-03-2019,19:00:00,0.0,8.00,31.33,1.70,25.4,97,1002.52,26.0,24.8,13.40,000
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,956.52,09-03-2019,19:00:00,0.0,6.00,25.92,2.40,23.2,91,1008.22,27.8,21.7,20.70,000
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,1000.47,09-03-2019,19:00:00,5.6,8.00,33.41,0.00,29.0,83,1004.39,31.7,25.9,8.50,180
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,912.04,09-03-2019,19:00:00,11.1,1.50,23.54,0.50,20.9,95,1007.34,25.5,20.1,4.50,250
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,986.93,09-03-2019,19:00:00,0.0,5.00,31.12,8.20,25.0,98,1002.95,25.7,24.7,52.10,000
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,1001.57,09-03-2019,19:00:00,9.3,6.00,29.60,0.01,28.5,76,1005.58,31.5,23.9,6.00,240
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,995.24,09-03-2019,19:00:00,0.0,5.00,32.92,0.00,28.2,86,1005.86,30.4,25.6,12.30,000
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,1004.14,09-03-2019,19:00:00,5.6,9.00,29.19,0.00,28.0,77,1006.06,31.0,23.6,7.10,210
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,984.34,09-03-2019,19:00:00,5.6,4.00,31.14,1.90,25.3,97,1005.28,27.4,24.7,8.40,220
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,985.10,09-03-2019,19:00:00,9.3,8.00,29.77,8.30,24.7,96,1002.82,25.2,24.0,51.90,280
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,986.61,09-03-2019,19:00:00,0.0,8.00,30.12,10.00,24.6,97,1002.83,25.1,24.2,53.00,000
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,987.58,09-03-2019,19:00:00,11.1,6.00,28.70,14.50,24.1,96,1001.67,24.7,23.4,94.30,300
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,986.92,09-03-2019,19:00:00,0.0,4.00,29.48,28.00,24.1,98,1001.81,24.6,23.8,92.60,000
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,988.30,09-03-2019,19:00:00,11.1,.70,29.56,18.30,24.0,99,1003.06,25.2,23.8,75.20,280
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,1002.28,09-03-2019,19:00:00,0.0,9.00,29.52,0.01,28.6,75,1005.27,31.9,23.8,3.40,"{'@attributes': {'Unit': 'degree'}, '0': '   '}"
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,997.01,09-03-2019,19:00:00,0.0,7.00,31.22,0.01,27.2,87,1004.93,30.6,24.8,23.50,000
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,1005.14,09-03-2019,19:00:00,3.7,7.00,30.67,0.80,26.2,90,1006.25,31.6,24.5,12.80,200
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,988.98,09-03-2019,19:00:00,0.0,7.00,31.08,1.00,25.7,94,1003.68,26.0,24.7,20.70,000
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,872.05,09-03-2019,19:00:00,13.0,.10,21.87,9.20,19.1,99,1007.24,19.9,18.9,59.20,270
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,999.60,09-03-2019,19:00:00,0.0,8.00,32.20,1.60,26.0,96,1005.49,30.0,25.3,46.60,000
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,1005.59,09-03-2019,19:00:00,3.7,7.00,29.60,0.40,27.5,81,1006.39,31.5,23.9,8.60,270
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,1005.89,09-03-2019,19:00:00,3.7,10.00,30.84,0.00,26.0,92,1006.33,30.2,24.6,36.60,230
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,997.61,09-03-2019,19:00:00,0.0,3.00,29.52,5.50,25.0,93,1009.01,28.5,23.8,23.80,000
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,1005.97,09-03-2019,19:00:00,5.6,10.00,30.70,0.50,27.5,84,1006.98,33.0,24.5,4.20,310
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,1004.17,09-03-2019,19:00:00,0.0,7.00,30.46,7.40,25.8,92,1006.00,31.7,24.3,17.80,000
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,1006.37,09-03-2019,19:00:00,3.7,7.00,29.91,1.00,25.5,92,1007.14,31.0,24.0,2.50,270
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,1005.48,09-03-2019,19:00:00,13.0,9.00,27.73,0.01,27.5,76,1006.18,30.7,22.8,11.30,290
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,1005.56,09-03-2019,19:00:00,3.7,6.00,31.49,15.80,26.2,93,1006.27,30.7,24.9,30.40,330
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,984.44,09-03-2019,19:00:00,5.6,7.00,29.77,1.10,24.7,96,1005.72,28.0,24.0,40.40,270
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,987.31,09-03-2019,19:00:00,7.4,5.00,30.48,6.20,24.8,97,1004.10,25.2,24.4,42.50,250
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,988.09,09-03-2019,19:00:00,5.6,5.00,29.51,4.90,24.7,95,1004.60,25.3,23.8,36.40,270
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,983.47,09-03-2019,19:00:00,0.0,10.00,29.52,0.80,25.0,93,1005.44,28.3,23.8,28.70,000
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,963.25,09-03-2019,19:00:00,14.8,5.00,26.83,5.80,23.3,94,1007.01,27.2,22.2,36.90,230
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,984.37,09-03-2019,19:00:00,9.3,3.00,29.41,3.00,24.5,96,1005.05,27.5,23.8,24.60,250
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,984.65,09-03-2019,19:00:00,14.8,3.00,29.82,3.20,24.0,100,1005.65,24.3,24.0,31.00,250
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,1005.96,09-03-2019,19:00:00,3.7,10.00,31.87,0.00,28.1,84,1006.40,29.6,25.1,1.80,340
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,1004.64,09-03-2019,19:00:00,0.0,6.00,31.25,12.30,25.5,96,1006.06,28.4,24.8,33.10,000
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,1001.09,09-03-2019,19:00:00,0.0,6.00,30.46,22.00,24.5,99,1006.06,27.5,24.3,49.10,000
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,1003.20,09-03-2019,19:00:00,0.0,5.00,30.28,0.50,28.0,80,1006.48,31.0,24.3,1.20,000
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,1005.64,09-03-2019,19:00:00,3.7,5.00,30.64,0.01,27.9,82,1006.74,30.8,24.4,5.00,270
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,1006.20,09-03-2019,19:00:00,7.4,10.00,30.84,0.01,28.0,82,1006.50,31.6,24.6,22.30,280
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,1004.76,09-03-2019,19:00:00,0.0,10.00,30.02,0.00,27.0,84,1005.44,30.8,24.1,14.70,000
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,1005.43,09-03-2019,19:00:00,0.0,10.00,30.97,0.10,27.5,84,1005.92,34.5,24.6,4.80,000
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,1004.95,09-03-2019,19:00:00,9.3,10.00,29.19,0.01,28.0,77,1006.35,30.7,23.6,6.30,270
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,1004.99,09-03-2019,19:00:00,0.0,10.00,31.80,0.00,27.5,87,1006.66,30.8,25.1,3.20,000
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,999.93,09-03-2019,19:00:00,0.0,10.00,30.32,0.30,25.0,96,1007.99,29.5,24.3,16.70,000
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,1006.22,09-03-2019,19:00:00,9.3,10.00,32.77,0.10,27.0,92,1006.51,31.0,25.6,14.50,270
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,1003.24,09-03-2019,19:00:00,0.0,8.00,31.38,1.20,27.0,88,1006.37,31.0,24.8,18.90,000
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,999.85,09-03-2019,19:00:00,0.0,10.00,31.25,1.00,25.5,96,1006.82,29.0,24.8,9.60,000
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,1001.47,09-03-2019,19:00:00,18.5,8.00,29.33,0.10,24.6,95,1007.12,28.7,23.7,14.80,270
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,998.22,09-03-2019,19:00:00,5.6,10.00,31.27,0.70,25.8,94,1007.58,30.9,24.8,19.50,280
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,1005.74,09-03-2019,19:00:00,7.4,10.00,28.39,0.00,28.0,75,1007.00,30.2,23.2,0.90,270
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,1006.05,09-03-2019,19:00:00,16.7,11.00,29.09,0.60,27.8,78,1006.48,31.2,23.6,6.60,330
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,994.65,09-03-2019,19:00:00,0.0,8.00,30.03,0.30,26.0,89,1006.95,30.0,24.1,0.90,000
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,1005.91,09-03-2019,19:00:00,3.7,10.00,31.39,0.10,28.0,83,1006.62,30.3,24.8,2.30,260
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,1004.25,09-03-2019,19:00:00,0.0,9.00,31.11,1.00,26.0,93,1006.70,30.7,24.7,21.30,000
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,1006.28,09-03-2019,19:00:00,0.0,10.00,29.41,5.90,24.5,96,1006.80,29.0,23.8,15.70,000
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,1001.51,09-03-2019,19:00:00,0.0,9.00,30.44,0.70,25.5,93,1006.68,30.5,24.3,12.90,000
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,1006.51,09-03-2019,19:00:00,0.0,6.00,28.62,5.00,24.2,95,1006.93,27.8,23.3,13.60,000
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,1004.45,09-03-2019,19:00:00,0.0,8.00,28.77,12.00,23.7,98,1007.26,27.5,23.4,39.10,000
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,1006.49,09-03-2019,19:00:00,0.0,6.00,28.92,0.30,26.7,83,1007.27,30.5,23.5,2.20,000
48501,TRAD,ตราด,ตราด,11.76667,102.88333,1005.85,09-03-2019,19:00:00,9.3,4.00,32.26,9.40,25.6,98,1006.32,26.5,25.3,88.30,280
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,1006.94,09-03-2019,19:00:00,7.4,8.00,29.90,0.00,27.8,80,1007.62,32.0,24.0,0.10,270
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,1005.86,09-03-2019,19:00:00,0.0,8.00,30.02,0.20,27.0,84,1007.38,31.8,24.1,0.20,000
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,1007.64,09-03-2019,19:00:00,3.7,10.00,31.28,0.00,27.8,84,1008.55,30.2,24.8,0.00,210
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,1007.06,09-03-2019,19:00:00,0.0,10.00,29.88,0.00,29.5,72,1007.74,31.1,24.0,0.00,000
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,1007.25,09-03-2019,19:00:00,3.7,10.00,28.95,0.00,28.3,75,1008.04,32.6,23.5,0.00,270
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,1007.22,09-03-2019,19:00:00,0.0,10.00,30.72,0.00,29.5,75,1007.85,33.0,24.5,0.00,000
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,1008.36,09-03-2019,19:00:00,7.4,10.00,31.01,0.00,28.8,78,1008.76,32.8,24.6,0.00,240
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,1005.29,09-03-2019,19:00:00,5.6,5.00,35.46,0.00,29.0,89,1009.48,31.2,26.9,0.00,240
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,1007.31,09-03-2019,19:00:00,0.0,10.00,29.52,0.00,27.6,80,1008.92,34.0,23.8,0.20,000
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,1005.18,09-03-2019,19:00:00,0.0,7.00,34.23,0.00,28.0,91,1008.65,31.5,26.3,0.00,000
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,1007.13,09-03-2019,19:00:00,0.0,9.00,30.88,0.00,29.3,76,1008.48,32.7,24.6,0.00,000
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,1007.74,09-03-2019,19:00:00,0.0,10.00,32.96,0.00,28.5,85,1008.63,32.0,25.7,0.00,000
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,1005.09,09-03-2019,19:00:00,0.0,10.00,32.61,0.00,27.2,90,1008.65,31.6,25.5,0.00,000
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,1007.84,09-03-2019,19:00:00,3.7,10.00,30.80,0.00,29.4,75,1008.28,32.6,24.5,0.00,280
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,1006.86,09-03-2019,19:00:00,5.6,10.00,32.38,0.00,29.2,80,1007.85,31.6,25.4,2.00,210
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,1008.01,09-03-2019,19:00:00,9.3,10.00,31.06,0.00,28.4,80,1008.82,29.7,24.7,0.00,270
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,1007.21,09-03-2019,19:00:00,0.0,10.00,32.39,0.00,28.5,83,1009.01,32.3,25.4,0.00,000
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,1007.73,09-03-2019,19:00:00,7.4,10.00,30.26,0.00,30.4,70,1008.48,33.9,24.2,0.00,190
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,1004.78,09-03-2019,19:00:00,5.6,10.00,30.01,0.00,28.0,79,1008.76,33.2,24.1,0.00,240
48570,SATUN,สตูล,สตูล,6.65000,100.08333,1008.19,09-03-2019,19:00:00,0.0,10.00,31.29,0.00,28.8,79,1008.87,32.2,24.8,0.20,000
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,1007.30,09-03-2019,19:00:00,0.0,10.00,29.19,0.00,29.0,73,1008.41,33.4,23.6,0.00,000
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,1005.59,09-03-2019,19:00:00,0.0,10.00,31.39,0.00,28.0,83,1008.51,32.7,24.8,0.00,000
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,1007.84,09-03-2019,19:00:00,0.0,7.00,33.24,0.00,28.5,85,1008.53,34.3,25.8,0.00,000
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,1004.68,09-03-2019,19:00:00,5.6,6.00,27.78,0.01,24.6,90,1008.85,34.3,22.8,2.00,270
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,1007.48,09-03-2019,19:00:00,9.3,8.00,30.17,5.20,25.5,93,1008.07,33.0,24.2,5.20,290
