WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,LandVisibility,Date,Time,StationPressure,MeanSeaLevelPressure,AirTemperature,RelativeHumidity,Rainfall24Hr,DewPoint,WindDirection,WindSpeed,Rainfall,VaporPressure
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,5.00,09-02-2019,01:00:00,991.46,1006.20,25.3,97,3.10,24.9,270,7.4,3.00,31.41
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,8.00,09-02-2019,01:00:00,1003.86,1006.88,26.8,97,6.40,26.2,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",0.0,0.01,34.07
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,7.00,09-02-2019,01:00:00,999.15,1007.15,25.0,94,5.60,24.0,000,0.0,0.10,29.79
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,8.00,09-02-2019,01:00:00,1006.21,1007.32,26.4,89,0.00,24.5,000,0.0,0.00,30.78
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,2.00,09-02-2019,01:00:00,989.92,1004.64,25.5,96,6.00,24.8,000,0.0,2.20,31.25
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,.05,09-02-2019,01:00:00,872.96,1008.33,19.0,100,28.40,19.0,280,11.1,0.00,21.95
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,10.00,09-02-2019,01:00:00,1001.47,1007.39,24.9,95,0.80,24.0,000,0.0,0.00,29.87
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,8.00,09-02-2019,01:00:00,1006.59,1007.39,27.8,79,0.10,23.7,240,3.7,0.00,29.36
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,10.00,09-02-2019,01:00:00,1006.56,1007.00,28.0,74,1.00,23.0,230,11.1,0.00,28.12
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,4.00,09-02-2019,01:00:00,997.96,1009.38,24.7,96,25.70,24.0,000,0.0,3.70,29.77
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,10.00,09-02-2019,01:00:00,1006.53,1007.54,26.7,86,4.00,24.2,210,3.7,0.00,30.26
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,7.00,09-02-2019,01:00:00,1005.43,1007.25,26.4,93,2.20,25.1,000,0.0,0.00,31.88
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,4.00,09-02-2019,01:00:00,1006.99,1007.76,26.5,84,0.01,23.6,000,0.0,0.00,29.08
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,10.00,09-02-2019,01:00:00,1006.35,1007.05,26.6,83,11.00,23.5,240,9.3,0.01,29.00
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,7.00,09-02-2019,01:00:00,1006.30,1007.00,26.4,92,1.30,25.0,000,0.0,0.00,31.60
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,10.00,09-02-2019,01:00:00,985.62,1006.87,25.5,91,0.20,23.9,280,3.7,0.00,29.64
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,6.00,09-02-2019,01:00:00,989.42,1006.18,25.8,93,8.60,24.6,260,5.6,5.60,31.00
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,6.00,09-02-2019,01:00:00,990.26,1006.76,25.7,93,8.60,24.4,000,0.0,0.50,30.54
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,10.00,09-02-2019,01:00:00,984.59,1006.51,25.9,85,0.20,23.1,000,0.0,0.00,28.26
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,8.00,09-02-2019,01:00:00,963.71,1007.39,24.0,94,10.30,23.0,220,18.5,0.00,28.01
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,10.00,09-02-2019,01:00:00,985.72,1006.37,25.5,86,2.40,23.0,000,0.0,0.40,28.07
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,7.00,09-02-2019,01:00:00,986.90,1007.94,24.0,100,8.00,24.0,250,7.4,7.20,29.82
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,10.00,09-02-2019,01:00:00,1007.22,1007.66,27.5,81,0.20,23.9,020,1.9,0.01,29.60
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,6.00,09-02-2019,01:00:00,1005.54,1006.97,25.4,95,2.00,24.5,000,0.0,0.00,30.79
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,7.00,09-02-2019,01:00:00,1002.64,1007.61,25.1,98,5.40,24.8,000,0.0,0.00,31.31
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,10.00,09-02-2019,01:00:00,1004.33,1007.63,26.9,81,0.10,23.4,000,0.0,0.00,28.76
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,10.00,09-02-2019,01:00:00,1006.55,1007.66,26.0,93,2.30,24.7,000,0.0,0.00,31.11
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,10.00,09-02-2019,01:00:00,1007.20,1007.50,27.7,77,2.20,23.3,000,0.0,0.00,28.63
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,10.00,09-02-2019,01:00:00,1006.78,1007.27,27.0,84,11.50,24.1,270,3.7,0.00,30.02
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,10.00,09-02-2019,01:00:00,1006.67,1008.08,27.4,79,7.40,23.5,240,9.3,0.00,28.88
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,10.00,09-02-2019,01:00:00,1000.91,1008.97,25.5,97,4.80,25.1,000,0.0,0.20,31.79
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,10.00,09-02-2019,01:00:00,1007.10,1007.39,28.5,69,5.10,22.3,000,0.0,0.00,26.91
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,10.00,09-02-2019,01:00:00,1004.44,1007.56,28.3,75,0.00,23.5,280,5.6,0.00,28.95
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,10.00,09-02-2019,01:00:00,1000.87,1007.79,28.3,72,2.00,22.9,250,7.4,0.00,27.87
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,10.00,09-02-2019,01:00:00,1002.59,1008.20,26.5,93,1.60,25.2,000,0.0,0.10,32.07
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,8.00,09-02-2019,01:00:00,1007.03,1008.30,26.2,89,1.90,24.2,000,0.0,0.01,30.13
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,11.00,09-02-2019,01:00:00,1007.19,1007.63,27.3,75,4.60,22.4,000,0.0,0.00,27.11
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,10.00,09-02-2019,01:00:00,995.87,1008.26,24.2,93,2.20,23.0,000,0.0,0.10,28.10
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,10.00,09-02-2019,01:00:00,1007.10,1007.82,26.3,82,6.20,23.1,000,0.0,0.00,28.19
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,10.00,09-02-2019,01:00:00,1005.19,1007.62,28.0,74,9.20,23.0,000,0.0,0.01,28.12
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,10.00,09-02-2019,01:00:00,1008.05,1008.57,28.5,78,0.01,24.2,260,9.3,0.00,30.15
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,9.00,09-02-2019,01:00:00,1002.86,1008.02,26.7,89,8.40,24.7,000,0.0,0.00,31.08
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,7.00,09-02-2019,01:00:00,1007.40,1007.81,26.9,91,12.00,25.3,000,0.0,0.00,32.30
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,8.00,09-02-2019,01:00:00,1005.13,1007.91,25.8,96,17.40,25.1,040,7.4,0.00,31.82
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,10.00,09-02-2019,01:00:00,1007.42,1008.21,26.2,89,2.30,24.2,000,0.0,0.00,30.13
48501,TRAD,ตราด,ตราด,11.76667,102.88333,2.00,09-02-2019,01:00:00,1007.64,1008.10,26.0,79,37.70,22.1,000,0.0,0.00,26.63
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,7.00,09-02-2019,01:00:00,1008.70,1009.39,24.2,94,7.70,23.2,000,0.0,0.00,28.36
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,8.00,09-02-2019,01:00:00,1006.81,1008.35,24.5,93,12.20,23.3,000,0.0,0.00,28.63
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,10.00,09-02-2019,01:00:00,1008.43,1009.36,23.5,94,94.10,22.4,000,0.0,0.00,27.16
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,10.00,09-02-2019,01:00:00,1008.90,1009.59,26.7,79,0.30,22.7,000,0.0,0.00,27.60
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,10.00,09-02-2019,01:00:00,1009.54,1010.34,24.5,96,4.30,23.8,000,0.0,0.00,29.41
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,10.00,09-02-2019,01:00:00,1008.23,1008.87,25.0,91,9.90,23.4,000,0.0,0.00,28.74
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,10.00,09-02-2019,01:00:00,1008.89,1009.29,25.0,93,9.30,23.8,000,0.0,0.00,29.52
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,5.00,09-02-2019,01:00:00,1007.67,1011.93,24.5,90,0.20,22.7,000,0.0,0.00,27.60
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,7.00,09-02-2019,01:00:00,1008.21,1009.84,24.6,98,12.60,24.3,000,0.0,0.00,30.38
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,7.00,09-02-2019,01:00:00,1005.99,1009.49,24.8,97,15.70,24.2,000,0.0,0.00,30.22
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,8.00,09-02-2019,01:00:00,1008.11,1009.48,24.9,96,0.00,24.2,000,0.0,0.00,30.13
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,10.00,09-02-2019,01:00:00,1009.12,1010.02,24.5,95,62.90,23.6,000,0.0,0.00,29.15
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,10.00,09-02-2019,01:00:00,1005.99,1009.59,23.7,96,25.00,23.1,000,0.0,0.00,28.26
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,10.00,09-02-2019,01:00:00,1009.43,1009.87,24.3,94,30.20,23.3,000,0.0,0.00,28.54
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,10.00,09-02-2019,01:00:00,1008.38,1009.38,24.1,97,59.20,23.7,000,0.0,0.00,29.22
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,10.00,09-02-2019,01:00:00,1008.20,1009.03,23.8,93,23.80,22.6,000,0.0,0.00,27.42
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,10.00,09-02-2019,01:00:00,1008.01,1009.85,23.8,97,25.20,23.4,000,0.0,0.00,28.69
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,11.00,09-02-2019,01:00:00,1008.76,1009.51,25.0,91,2.00,23.4,000,0.0,0.00,28.74
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,10.00,09-02-2019,01:00:00,1005.84,1009.88,24.3,98,4.20,24.0,000,0.0,0.01,29.84
48570,SATUN,สตูล,สตูล,6.65000,100.08333,10.00,09-02-2019,01:00:00,1009.95,1010.64,24.5,94,74.00,23.5,000,0.0,0.00,28.89
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,10.00,09-02-2019,01:00:00,1008.40,1009.53,24.3,95,14.40,23.4,000,0.0,0.00,28.79
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,10.00,09-02-2019,01:00:00,1006.95,1009.90,24.8,95,7.50,23.9,000,0.0,0.00,29.69
