WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MeanSeaLevelPressure,Date,Time,RelativeHumidity,WindDirection,Rainfall,LandVisibility,Rainfall24Hr,VaporPressure,AirTemperature,WindSpeed,StationPressure,DewPoint
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,1006.38,08-31-2019,13:00:00,65,300,0.00,8.00,8.70,30.53,31.8,3.7,1005.05,24.4
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,1009.18,08-31-2019,13:00:00,92,270,3.70,8.00,18.90,28.47,24.7,14.8,1008.29,23.2
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,1007.51,08-31-2019,13:00:00,65,140,0.00,10.00,3.40,32.20,32.6,7.4,1007.08,25.3
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,1008.18,08-31-2019,13:00:00,88,100,0.00,8.00,16.20,29.68,26.1,16.7,1007.19,23.9
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,1007.66,08-31-2019,13:00:00,78,220,0.00,10.00,2.20,35.23,31.1,13.0,1006.86,26.8
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,1007.27,08-31-2019,13:00:00,69,210,0.00,10.00,9.60,31.93,31.5,11.1,1005.49,25.1
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,1006.55,08-31-2019,13:00:00,53,250,0.00,12.00,12.90,29.38,34.6,7.4,1005.82,23.7
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,1007.09,08-31-2019,13:00:00,55,230,0.00,10.00,10.40,27.16,32.8,18.5,1003.18,22.5
48570,SATUN,สตูล,สตูล,6.65000,100.08333,1007.66,08-31-2019,13:00:00,60,000,0.00,10.00,18.80,30.87,33.5,0.0,1007.00,24.6
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,1006.88,08-31-2019,13:00:00,55,170,0.00,12.00,3.60,28.96,33.7,7.4,1005.79,23.5
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,1007.11,08-31-2019,13:00:00,58,100,0.00,12.00,25.90,29.66,33.2,16.7,1004.25,23.9
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,1005.65,08-31-2019,13:00:00,69,040,0.00,10.00,0.80,36.16,33.7,5.6,1004.98,27.2
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,1006.25,08-31-2019,13:00:00,52,330,0.00,10.00,0.00,28.39,34.4,3.7,1002.23,23.2
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,1006.76,08-31-2019,13:00:00,62,070,0.00,12.00,0.00,30.53,32.5,16.7,1006.18,24.4
