WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,StationPressure,Date,Time,AirTemperature,RelativeHumidity,DewPoint,Rainfall,WindDirection,LandVisibility,Rainfall24Hr,MeanSeaLevelPressure,VaporPressure,WindSpeed
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,989.41,07-30-2019,04:00:00,25.2,98,24.9,0.40,000,10.00,20.30,1005.64,31.49,0.0
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,992.84,07-30-2019,04:00:00,23.9,96,23.2,0.00,000,10.00,46.60,1007.02,28.35,0.0
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,993.37,07-30-2019,04:00:00,23.5,96,22.8,13.20,000,8.00,28.80,1008.39,27.66,0.0
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,992.92,07-30-2019,04:00:00,23.9,97,23.3,1.00,200,4.00,75.70,1007.75,28.61,5.6
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,1003.13,07-30-2019,04:00:00,28.4,59,19.5,0.00,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",10.00,0.10,1006.13,22.65,0.0
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,998.18,07-30-2019,04:00:00,25.8,88,23.6,0.00,000,7.00,1.60,1006.16,29.13,0.0
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,1006.01,07-30-2019,04:00:00,26.4,84,23.5,0.00,180,6.00,0.00,1007.12,28.90,5.6
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,991.28,07-30-2019,04:00:00,26.0,91,24.4,0.00,000,8.00,24.80,1006.00,30.57,0.0
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,873.39,07-30-2019,04:00:00,18.1,98,17.8,0.00,000,1.50,16.60,1009.27,20.33,0.0
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,1000.77,07-30-2019,04:00:00,26.4,72,21.0,0.00,000,10.00,0.00,1006.66,24.78,0.0
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,1007.32,07-30-2019,04:00:00,28.0,68,21.6,0.00,240,8.00,0.00,1008.12,25.76,9.3
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,1006.77,07-30-2019,04:00:00,27.6,76,22.9,0.00,230,10.00,0.00,1007.22,27.92,9.3
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,997.75,07-30-2019,04:00:00,25.0,88,22.8,0.00,000,4.00,4.00,1009.15,27.70,0.0
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,1005.96,07-30-2019,04:00:00,25.8,78,21.8,0.00,180,10.00,0.00,1006.98,26.03,5.6
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,1005.13,07-30-2019,04:00:00,26.0,77,21.6,0.00,140,7.00,0.00,1006.96,25.87,3.7
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,1006.39,07-30-2019,04:00:00,25.6,75,20.9,0.00,000,8.00,0.00,1007.16,24.69,0.0
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,1007.16,07-30-2019,04:00:00,26.6,71,20.8,0.00,260,10.00,5.80,1007.86,24.62,13.0
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,1006.58,07-30-2019,04:00:00,27.2,80,23.4,0.00,000,7.00,0.00,1007.28,28.78,0.0
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,985.25,07-30-2019,04:00:00,27.2,72,21.7,0.00,000,10.00,0.10,1006.37,25.90,0.0
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,990.16,07-30-2019,04:00:00,24.5,94,23.5,2.80,000,6.00,47.70,1007.01,28.89,0.0
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,990.97,07-30-2019,04:00:00,24.7,94,23.7,1.20,230,5.00,44.30,1007.53,29.25,5.6
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,984.84,07-30-2019,04:00:00,26.0,76,21.5,0.00,000,10.00,0.00,1006.76,25.61,0.0
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,963.58,07-30-2019,04:00:00,23.9,81,20.5,0.00,000,12.00,0.00,1007.26,24.14,0.0
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,986.07,07-30-2019,04:00:00,25.2,92,23.7,0.20,000,8.00,1.00,1006.75,29.36,0.0
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,986.57,07-30-2019,04:00:00,24.7,100,24.7,0.00,190,6.00,25.60,1007.55,31.10,16.7
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,1007.47,07-30-2019,04:00:00,26.0,73,20.7,0.00,000,10.00,0.00,1007.91,24.37,0.0
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,1005.71,07-30-2019,04:00:00,25.2,94,24.2,0.00,000,6.00,10.40,1007.13,30.15,0.0
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,1002.38,07-30-2019,04:00:00,26.1,93,24.8,0.00,000,7.00,0.00,1007.33,31.30,0.0
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,1004.43,07-30-2019,04:00:00,27.0,70,21.0,0.00,100,10.00,0.00,1007.72,24.79,5.6
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,1006.44,07-30-2019,04:00:00,26.0,76,21.5,0.00,270,10.00,0.00,1007.55,25.61,3.7
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,1007.27,07-30-2019,04:00:00,27.1,72,21.7,0.00,230,10.00,0.00,1007.57,25.98,3.7
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,1008.90,07-30-2019,04:00:00,28.5,67,21.8,0.00,000,10.00,0.00,1009.39,26.13,0.0
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,1006.66,07-30-2019,04:00:00,27.3,69,21.1,0.00,250,10.00,0.01,1008.07,25.05,24.1
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,1001.30,07-30-2019,04:00:00,26.0,80,22.3,0.00,180,10.00,0.00,1009.35,26.88,7.4
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,1007.46,07-30-2019,04:00:00,28.5,78,24.2,0.00,000,10.00,0.00,1007.74,30.15,0.0
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,1004.36,07-30-2019,04:00:00,29.0,74,23.9,0.00,000,10.00,0.00,1007.48,29.74,0.0
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,1001.14,07-30-2019,04:00:00,28.5,69,22.1,0.00,210,10.00,0.00,1008.05,26.65,13.0
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,1001.58,07-30-2019,04:00:00,26.0,92,24.6,0.00,290,7.00,0.01,1007.20,30.84,5.6
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,1007.86,07-30-2019,04:00:00,25.8,76,21.3,0.00,320,10.00,0.00,1009.13,25.28,11.1
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,1007.36,07-30-2019,04:00:00,27.0,71,21.3,0.00,000,11.00,0.00,1007.79,25.30,0.0
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,997.51,07-30-2019,04:00:00,24.5,86,21.9,0.00,000,10.00,0.00,1009.91,26.34,0.0
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,1007.75,07-30-2019,04:00:00,26.0,85,23.4,0.00,000,10.00,0.00,1008.47,28.70,0.0
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,1005.70,07-30-2019,04:00:00,28.5,71,22.8,0.00,250,10.00,0.00,1008.13,27.71,5.6
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,1007.66,07-30-2019,04:00:00,29.0,78,24.7,0.00,280,10.00,0.40,1008.17,31.13,7.4
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,1002.67,07-30-2019,04:00:00,26.7,81,23.2,0.00,260,9.00,0.00,1007.84,28.39,1.9
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,1007.15,07-30-2019,04:00:00,27.5,87,25.1,0.00,000,7.00,5.10,1007.56,31.80,0.0
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,1004.96,07-30-2019,04:00:00,26.2,94,25.2,0.00,000,8.00,11.60,1007.73,32.04,0.0
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,1008.82,07-30-2019,04:00:00,25.4,81,21.8,0.00,000,10.00,0.00,1009.61,26.11,0.0
48501,TRAD,ตราด,ตราด,11.76667,102.88333,1007.83,07-30-2019,04:00:00,26.2,94,25.2,0.00,070,6.00,2.40,1008.29,32.04,1.9
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,1007.53,07-30-2019,04:00:00,25.0,88,22.8,0.00,000,8.00,0.20,1008.21,27.70,0.0
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,1007.69,07-30-2019,04:00:00,24.5,94,23.5,0.00,000,7.00,0.60,1009.23,28.89,0.0
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,1009.29,07-30-2019,04:00:00,24.6,94,23.6,0.00,000,10.00,14.10,1010.22,29.07,0.0
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,1008.96,07-30-2019,04:00:00,27.3,84,24.4,0.00,000,10.00,0.00,1009.64,30.59,0.0
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,1009.42,07-30-2019,04:00:00,25.2,92,23.9,0.00,000,8.00,0.00,1010.22,29.62,0.0
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,1008.03,07-30-2019,04:00:00,25.8,89,23.8,0.00,000,10.00,0.00,1008.67,29.39,0.0
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,1008.25,07-30-2019,04:00:00,25.6,93,24.3,0.00,000,10.00,0.00,1008.65,30.36,0.0
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,1007.15,07-30-2019,04:00:00,26.7,94,25.7,0.00,000,5.00,0.00,1011.38,33.02,0.0
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,1005.86,07-30-2019,04:00:00,24.5,96,23.8,0.00,000,6.00,0.00,1007.48,29.41,0.0
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,1007.93,07-30-2019,04:00:00,24.8,93,23.6,0.00,000,7.00,0.00,1011.45,29.16,0.0
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,1007.53,07-30-2019,04:00:00,26.6,84,23.7,0.00,000,8.00,0.00,1008.89,29.27,0.0
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,1009.24,07-30-2019,04:00:00,28.2,80,24.3,0.00,240,10.00,1.20,1010.13,30.40,9.3
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,1006.32,07-30-2019,04:00:00,24.5,93,23.3,0.00,000,10.00,0.00,1009.92,28.63,0.0
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,1008.97,07-30-2019,04:00:00,26.8,91,25.2,0.00,000,10.00,3.20,1009.40,32.10,0.0
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,1008.31,07-30-2019,04:00:00,29.0,78,24.7,0.00,300,10.00,1.60,1009.30,31.13,7.4
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,1008.86,07-30-2019,04:00:00,28.8,82,25.4,0.00,280,10.00,0.00,1009.68,32.42,11.1
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,1007.72,07-30-2019,04:00:00,25.8,93,24.5,0.00,000,10.00,0.00,1009.55,30.73,0.0
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,1009.00,07-30-2019,04:00:00,26.0,89,24.0,0.00,280,10.00,0.00,1009.75,29.76,3.7
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,1005.69,07-30-2019,04:00:00,24.6,94,23.6,0.00,000,10.00,0.00,1009.73,29.07,0.0
48570,SATUN,สตูล,สตูล,6.65000,100.08333,1008.49,07-30-2019,04:00:00,24.7,92,23.2,0.00,000,10.00,0.00,1009.18,28.47,0.0
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,1008.04,07-30-2019,04:00:00,25.8,93,24.6,0.00,000,10.00,0.00,1009.17,31.00,0.0
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,1006.93,07-30-2019,04:00:00,24.7,94,23.7,0.00,000,10.00,0.00,1009.88,29.25,0.0
