WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,AirTemperature,VaporPressure,Rainfall,WindSpeed,MeanSeaLevelPressure,RelativeHumidity,LandVisibility,StationPressure,Rainfall24Hr,WindDirection,DewPoint
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,09-26-2019,04:00:00,27.1,32.97,0.00,0.0,1012.44,92,10.00,1011.75,0.00,000,25.7
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,09-26-2019,04:00:00,24.2,29.66,0.00,0.0,1012.64,98,5.00,1011.84,23.60,000,23.9
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,09-26-2019,04:00:00,24.5,29.41,1.90,7.4,1011.62,96,7.00,1010.98,17.40,320,23.8
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,09-26-2019,04:00:00,25.2,30.69,0.00,0.0,1010.63,96,8.00,1010.22,17.50,000,24.5
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,09-26-2019,04:00:00,24.0,28.53,0.00,0.0,1014.46,96,5.00,1010.18,7.50,000,23.3
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,09-26-2019,04:00:00,24.2,29.66,0.00,0.0,1012.13,98,5.00,1010.50,1.60,000,23.9
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,09-26-2019,04:00:00,24.2,29.13,0.00,0.0,1012.06,97,10.00,1008.53,2.60,000,23.6
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,09-26-2019,04:00:00,25.6,31.98,0.00,0.0,1011.92,97,7.00,1010.55,34.10,000,25.2
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,09-26-2019,04:00:00,24.2,29.13,0.00,0.0,1012.08,97,10.00,1011.18,0.00,000,23.6
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,09-26-2019,04:00:00,24.5,29.15,0.00,5.6,1012.06,95,10.00,1008.45,2.80,080,23.6
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,09-26-2019,04:00:00,27.2,31.49,0.00,3.7,1011.82,87,10.00,1011.38,0.80,040,24.9
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,09-26-2019,04:00:00,26.2,30.13,0.00,0.0,1010.02,89,9.00,1009.02,0.01,000,24.2
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,09-26-2019,04:00:00,26.5,29.35,0.00,0.0,1012.27,85,8.00,1011.45,0.00,000,23.7
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,09-26-2019,04:00:00,25.2,30.15,0.00,0.0,1011.44,94,8.00,1009.61,4.50,000,24.2
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,09-26-2019,04:00:00,27.8,30.72,0.00,5.6,1011.58,82,10.00,1010.83,1.40,160,24.5
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,09-26-2019,04:00:00,25.3,30.60,0.01,0.0,1011.88,95,10.00,1007.85,0.01,000,24.4
48570,SATUN,สตูล,สตูล,6.65000,100.08333,09-26-2019,04:00:00,26.0,30.30,0.00,0.0,1011.53,90,10.00,1010.84,0.00,000,24.3
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,09-26-2019,04:00:00,25.9,30.11,0.00,0.0,1012.20,90,10.00,1011.07,0.00,000,24.2
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,09-26-2019,04:00:00,25.6,31.17,0.00,0.0,1012.06,95,10.00,1009.11,0.00,000,24.7
