WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindSpeed,Date,Time,LandVisibility,RelativeHumidity,StationPressure,VaporPressure,WindDirection,DewPoint,MeanSeaLevelPressure,AirTemperature,Rainfall24Hr,Rainfall
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,0.0,10-07-2019,04:00:00,5.00,94,1007.14,29.25,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",23.7,1010.19,24.7,0.80,0.00
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,0.0,10-07-2019,04:00:00,8.00,88,1002.06,27.96,000,22.9,1010.09,25.0,0.00,0.00
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,5.6,10-07-2019,04:00:00,8.00,95,1008.92,29.15,310,23.6,1010.04,24.5,0.60,0.00
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,0.0,10-07-2019,04:00:00,8.00,95,996.20,29.33,000,23.7,1011.07,24.6,14.50,0.00
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,7.4,10-07-2019,04:00:00,8.00,95,875.35,19.95,150,17.5,1011.44,18.3,3.20,0.00
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,0.0,10-07-2019,04:00:00,10.00,88,1004.51,25.92,000,21.7,1010.47,23.8,0.00,0.00
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,0.0,10-07-2019,04:00:00,6.00,90,1010.11,29.74,000,23.9,1010.91,25.7,0.00,0.00
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,0.0,10-07-2019,04:00:00,5.00,94,999.03,28.89,000,23.5,1010.47,24.5,0.60,0.00
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,0.0,10-07-2019,04:00:00,6.00,94,1009.24,30.15,000,24.2,1010.26,25.2,0.80,0.00
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,0.0,10-07-2019,04:00:00,8.00,96,1008.33,28.53,000,23.3,1010.18,24.0,5.20,0.00
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,0.0,10-07-2019,04:00:00,6.00,98,1009.30,31.31,000,24.8,1010.07,25.1,3.80,3.80
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,1.9,10-07-2019,04:00:00,10.00,93,1008.96,28.98,070,23.5,1009.67,24.7,13.40,0.00
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,3.7,10-07-2019,04:00:00,7.00,88,1008.96,28.49,080,23.2,1009.67,25.3,4.30,0.00
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,0.0,10-07-2019,04:00:00,7.00,93,988.89,27.08,000,22.4,1010.35,23.6,0.00,0.00
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,0.0,10-07-2019,04:00:00,6.00,94,994.03,28.36,000,23.2,1010.97,24.2,5.60,0.00
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,5.6,10-07-2019,04:00:00,6.00,96,994.81,29.41,040,23.8,1011.45,24.5,11.80,0.00
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,0.0,10-07-2019,04:00:00,10.00,91,988.50,26.92,000,22.3,1010.67,23.8,21.50,0.00
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,7.4,10-07-2019,04:00:00,8.00,93,966.69,24.97,070,21.1,1010.76,22.3,0.01,0.00
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,0.0,10-07-2019,04:00:00,10.00,91,989.17,27.25,000,22.5,1009.99,24.0,11.40,0.00
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,3.7,10-07-2019,04:00:00,7.00,100,991.06,28.24,030,23.1,1012.25,23.1,44.70,0.00
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,0.0,10-07-2019,04:00:00,10.00,92,1009.06,30.28,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",24.2,1009.50,25.7,0.30,0.00
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,0.0,10-07-2019,04:00:00,6.00,95,1008.31,28.79,000,23.4,1009.75,24.3,0.00,0.00
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,0.0,10-07-2019,04:00:00,7.00,97,1004.78,29.75,000,24.0,1009.77,24.4,7.30,0.00
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,0.0,10-07-2019,04:00:00,10.00,92,1006.67,30.09,000,24.1,1009.99,25.6,0.00,0.00
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,0.0,10-07-2019,04:00:00,10.00,98,1008.90,31.49,000,24.9,1010.02,25.2,0.01,0.01
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,3.7,10-07-2019,04:00:00,10.00,92,1009.57,29.72,050,23.9,1009.88,25.4,11.70,0.00
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,0.0,10-07-2019,04:00:00,10.00,95,1009.47,30.79,000,24.5,1009.97,25.4,16.40,0.00
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,0.0,10-07-2019,04:00:00,10.00,97,1008.43,30.40,000,24.3,1009.85,24.9,15.00,0.00
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,0.0,10-07-2019,04:00:00,8.00,99,1003.27,28.85,000,23.4,1011.40,23.6,41.00,0.00
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,3.7,10-07-2019,04:00:00,4.00,97,1008.94,30.85,060,24.6,1009.22,25.0,5.50,0.00
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,0.0,10-07-2019,04:00:00,10.00,93,1006.10,31.00,000,24.6,1009.25,25.8,0.20,0.00
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,0.0,10-07-2019,04:00:00,10.00,94,1002.50,29.25,000,23.7,1009.51,24.7,0.00,0.00
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,0.0,10-07-2019,04:00:00,8.00,94,1004.40,29.25,000,23.7,1010.06,24.7,4.60,0.00
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,0.0,10-07-2019,04:00:00,3.00,96,1010.01,30.69,000,24.5,1011.28,25.2,0.30,0.00
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,14.8,10-07-2019,04:00:00,11.00,89,1009.17,30.32,140,24.3,1009.61,26.3,1.30,0.00
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,0.0,10-07-2019,04:00:00,8.00,97,997.60,28.34,000,23.2,1010.03,23.6,15.80,0.00
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,0.0,10-07-2019,04:00:00,8.00,90,1008.85,29.38,000,23.7,1009.57,25.5,0.10,0.00
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,5.6,10-07-2019,04:00:00,7.00,94,1007.79,28.71,360,23.4,1010.25,24.4,7.90,0.00
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,0.0,10-07-2019,04:00:00,10.00,94,1008.89,30.52,000,24.4,1009.41,25.4,4.00,0.30
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,0.0,10-07-2019,04:00:00,6.00,95,1004.03,29.87,000,24.0,1009.24,24.9,8.00,0.00
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,0.0,10-07-2019,04:00:00,7.00,95,1009.12,29.15,000,23.6,1009.54,24.5,0.20,0.00
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,0.0,10-07-2019,04:00:00,8.00,97,1006.70,29.57,000,23.9,1009.51,24.3,0.70,0.00
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,0.0,10-07-2019,04:00:00,10.00,90,1008.71,28.83,000,23.4,1009.50,25.2,0.00,0.00
48501,TRAD,ตราด,ตราด,11.76667,102.88333,7.4,10-07-2019,04:00:00,6.00,92,1008.71,27.85,090,22.9,1009.18,24.2,0.40,0.40
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,0.0,10-07-2019,04:00:00,7.00,94,1008.84,29.61,000,23.9,1009.53,24.9,2.00,0.00
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,0.0,10-07-2019,04:00:00,6.00,95,1008.02,28.27,000,23.1,1009.56,24.0,1.00,0.00
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,0.0,10-07-2019,04:00:00,10.00,95,1008.89,28.27,000,23.1,1009.81,24.0,12.60,0.00
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,0.0,10-07-2019,04:00:00,10.00,96,1009.08,30.13,000,24.2,1009.78,24.9,0.00,0.00
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,0.0,10-07-2019,04:00:00,7.00,97,1009.45,28.78,000,23.4,1010.26,24.0,0.00,0.00
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,5.6,10-07-2019,04:00:00,10.00,98,1008.60,30.20,270,24.2,1009.24,24.5,0.00,0.00
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,0.0,10-07-2019,04:00:00,8.00,97,1009.03,29.13,000,23.6,1009.43,24.2,0.80,0.00
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,0.0,10-07-2019,04:00:00,5.00,98,1007.69,28.42,000,23.2,1011.96,23.5,0.10,0.00
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,0.0,10-07-2019,04:00:00,6.00,96,1008.14,30.32,000,24.3,1009.77,25.0,0.00,0.00
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,0.0,10-07-2019,04:00:00,5.00,97,1006.48,29.04,000,23.6,1010.00,24.0,0.01,0.00
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,0.0,10-07-2019,04:00:00,7.00,98,1007.59,28.77,000,23.4,1008.96,23.7,0.00,0.00
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,0.0,10-07-2019,04:00:00,10.00,95,1008.28,30.05,000,24.1,1009.18,25.0,0.10,0.00
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,0.0,10-07-2019,04:00:00,10.00,97,1006.06,29.04,000,23.6,1009.66,24.0,3.00,0.00
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,0.0,10-07-2019,04:00:00,8.00,93,1009.12,30.07,000,24.1,1009.56,25.3,10.00,1.40
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,0.0,10-07-2019,04:00:00,10.00,97,1008.28,30.40,000,24.3,1009.28,24.9,1.90,1.60
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,0.0,10-07-2019,04:00:00,10.00,93,1008.67,30.07,000,24.1,1009.49,25.3,0.00,0.00
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,0.0,10-07-2019,04:00:00,8.00,97,1007.68,28.52,000,23.3,1009.52,23.7,36.00,0.00
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,5.6,10-07-2019,04:00:00,9.00,90,1008.45,28.48,240,23.2,1009.21,25.0,0.00,0.00
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,3.7,10-07-2019,04:00:00,2.00,100,1005.29,28.76,290,23.4,1009.34,23.4,24.60,0.00
48570,SATUN,สตูล,สตูล,6.65000,100.08333,0.0,10-07-2019,04:00:00,10.00,97,1009.34,29.57,000,23.9,1010.03,24.3,0.00,0.00
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,0.0,10-07-2019,04:00:00,10.00,97,1008.12,29.93,000,24.1,1009.24,24.5,14.00,0.00
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,0.0,10-07-2019,04:00:00,10.00,97,1006.43,29.57,000,23.9,1009.38,24.3,3.60,0.00
