WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,LandVisibility,RelativeHumidity,MeanSeaLevelPressure,DewPoint,WindSpeed,AirTemperature,WindDirection,StationPressure,Rainfall24Hr,VaporPressure
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,0.00,08-28-2019,13:00:00,10.00,78,1010.09,25.6,0.0,30.0,000,1006.55,10.90,32.88
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,0.00,08-28-2019,13:00:00,10.00,63,1008.91,24.0,11.1,32.0,260,1008.48,7.40,29.79
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,0.00,08-28-2019,13:00:00,10.00,65,1008.63,23.3,13.0,30.7,260,1007.65,0.60,28.62
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,0.60,08-28-2019,13:00:00,10.00,85,1009.42,26.0,29.6,28.8,260,1008.61,3.20,33.57
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,0.00,08-28-2019,13:00:00,10.00,69,1009.31,24.7,11.1,31.0,260,1007.51,1.40,31.19
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,0.00,08-28-2019,13:00:00,12.00,56,1008.28,23.5,14.8,33.4,260,1007.54,0.00,28.92
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,0.00,08-28-2019,13:00:00,10.00,60,1008.87,23.3,24.1,32.0,250,1004.93,0.80,28.66
48570,SATUN,สตูล,สตูล,6.65000,100.08333,0.00,08-28-2019,13:00:00,10.00,74,1009.55,25.5,9.3,30.6,280,1008.88,22.00,32.67
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,0.00,08-28-2019,13:00:00,10.00,60,1008.42,23.9,14.8,32.6,290,1007.33,0.00,29.58
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,0.00,08-28-2019,13:00:00,12.00,62,1009.11,24.5,7.4,32.7,240,1006.24,0.01,30.65
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,0.00,08-28-2019,13:00:00,10.00,72,1007.89,25.0,0.0,30.5,000,1007.21,0.00,31.60
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,0.00,08-28-2019,13:00:00,10.00,59,1009.17,22.7,7.4,31.7,220,1005.11,0.10,27.52
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,0.00,08-28-2019,13:00:00,10.00,55,1008.60,22.4,11.1,32.6,240,1008.02,0.00,27.05
