WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,AirTemperature,Date,Time,Rainfall,WindSpeed,StationPressure,DewPoint,Rainfall24Hr,WindDirection,RelativeHumidity,MeanSeaLevelPressure,VaporPressure,LandVisibility
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,25.5,07-31-2019,22:00:00,9.50,0.0,990.67,24.0,11.70,000,92,1003.89,29.91,10.00
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,28.4,07-31-2019,22:00:00,0.00,9.3,995.87,22.2,0.00,230,69,1005.13,26.73,10.00
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,28.5,07-31-2019,22:00:00,0.00,0.0,982.94,23.6,13.40,000,75,1004.46,29.05,8.00
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,28.0,07-31-2019,22:00:00,0.00,0.0,987.31,25.6,23.00,000,87,1004.71,32.80,10.00
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,24.1,07-31-2019,22:00:00,4.20,0.0,988.07,23.9,16.30,000,99,1004.01,29.74,8.00
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,28.4,07-31-2019,22:00:00,0.00,3.7,984.64,25.0,4.60,180,82,1003.37,31.62,8.00
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,22.2,07-31-2019,22:00:00,3.60,0.0,956.75,21.1,6.00,000,94,1008.63,25.05,6.00
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,27.1,07-31-2019,22:00:00,0.00,9.3,1000.73,24.4,0.70,090,85,1004.67,30.48,7.00
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,20.8,07-31-2019,22:00:00,4.30,7.4,911.86,20.3,7.10,200,97,1007.17,23.85,.60
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,25.0,07-31-2019,22:00:00,0.00,0.0,988.58,24.6,17.30,000,97,1004.63,30.85,6.00
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,29.0,07-31-2019,22:00:00,0.20,5.6,1001.16,22.5,0.20,240,68,1005.16,27.30,10.00
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,26.6,07-31-2019,22:00:00,0.00,0.0,996.18,22.8,4.40,000,80,1006.86,27.69,8.00
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,28.0,07-31-2019,22:00:00,0.00,5.6,1004.19,21.3,1.20,210,67,1006.11,25.24,9.00
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,25.2,07-31-2019,22:00:00,0.90,3.7,985.16,23.3,6.80,270,89,1006.12,28.57,7.00
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,25.5,07-31-2019,22:00:00,0.00,0.0,986.58,24.8,8.60,000,96,1004.28,31.25,10.00
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,25.5,07-31-2019,22:00:00,0.00,0.0,987.93,24.8,18.50,000,96,1004.12,31.25,10.00
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,26.5,07-31-2019,22:00:00,0.00,0.0,990.68,25.1,30.50,000,92,1004.70,31.79,10.00
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,26.1,07-31-2019,22:00:00,0.00,0.0,990.25,25.1,23.90,000,94,1005.09,31.85,10.00
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,27.5,07-31-2019,22:00:00,0.00,7.4,990.93,25.7,2.90,220,90,1005.56,32.93,6.00
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,29.3,07-31-2019,22:00:00,0.01,0.0,1001.97,22.7,0.01,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",68,1004.96,27.59,9.00
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,26.0,07-31-2019,22:00:00,1.20,0.0,997.34,24.6,9.20,000,92,1005.30,30.84,7.00
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,28.1,07-31-2019,22:00:00,0.00,11.1,1005.31,23.6,0.00,220,77,1006.42,29.11,6.00
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,26.8,07-31-2019,22:00:00,0.00,7.4,992.05,21.2,13.30,240,72,1006.74,25.21,8.00
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,18.5,07-31-2019,22:00:00,3.10,13.0,872.83,18.3,18.50,280,99,1008.43,21.06,8.00
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,26.0,07-31-2019,22:00:00,0.20,0.0,1000.33,24.6,4.20,000,92,1006.23,30.84,10.00
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,28.0,07-31-2019,22:00:00,0.00,11.1,1006.73,21.3,0.00,240,67,1007.53,25.24,8.00
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,27.9,07-31-2019,22:00:00,0.00,14.8,1006.49,23.7,0.00,230,78,1006.93,29.28,10.00
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,24.0,07-31-2019,22:00:00,0.00,0.0,997.06,22.5,13.80,000,91,1008.49,27.25,4.00
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,27.1,07-31-2019,22:00:00,0.00,5.6,1005.94,20.9,0.00,230,69,1006.95,24.71,10.00
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,27.8,07-31-2019,22:00:00,0.00,11.1,1004.62,21.7,0.00,200,69,1006.44,25.92,7.00
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,27.1,07-31-2019,22:00:00,0.00,0.0,1005.95,20.6,0.01,000,68,1006.71,24.21,6.00
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,26.5,07-31-2019,22:00:00,0.40,9.3,1006.54,24.3,2.20,230,88,1007.25,30.43,10.00
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,26.6,07-31-2019,22:00:00,4.20,0.0,1006.28,24.1,4.20,000,86,1006.98,30.07,7.00
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,26.4,07-31-2019,22:00:00,2.00,0.0,984.61,24.1,2.00,000,87,1005.78,29.97,10.00
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,25.0,07-31-2019,22:00:00,9.20,0.0,989.74,23.7,11.20,000,92,1006.56,29.26,5.00
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,25.0,07-31-2019,22:00:00,12.50,9.3,990.68,23.5,14.50,360,92,1007.23,29.00,2.00
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,26.8,07-31-2019,22:00:00,2.90,0.0,983.92,24.2,2.90,000,86,1005.77,30.18,10.00
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,25.0,07-31-2019,22:00:00,1.10,11.1,962.68,20.7,1.10,240,77,1006.16,24.45,10.00
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,27.0,07-31-2019,22:00:00,0.20,3.7,985.44,23.3,0.20,210,80,1005.98,28.67,10.00
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,23.9,07-31-2019,22:00:00,7.80,14.8,986.83,23.9,9.60,230,100,1007.88,29.64,8.00
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,26.8,07-31-2019,22:00:00,0.00,9.3,1006.84,22.7,0.01,220,78,1007.27,27.52,10.00
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,25.6,07-31-2019,22:00:00,0.80,0.0,1005.41,23.7,0.80,000,89,1006.84,29.29,6.00
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,25.7,07-31-2019,22:00:00,0.10,3.7,1002.62,23.2,0.10,290,86,1007.58,28.42,7.00
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,27.5,07-31-2019,22:00:00,0.00,9.3,1004.11,20.2,0.30,270,64,1007.40,23.63,10.00
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,26.0,07-31-2019,22:00:00,0.00,0.0,1007.24,21.8,0.70,000,78,1008.35,26.12,10.00
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,27.3,07-31-2019,22:00:00,0.30,3.7,1006.99,24.4,0.30,230,84,1007.29,30.59,10.00
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,27.0,07-31-2019,22:00:00,0.00,0.0,1007.44,23.3,0.40,000,80,1007.93,28.67,10.00
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,27.2,07-31-2019,22:00:00,0.00,14.8,1006.03,22.0,0.40,250,73,1007.44,26.41,10.00
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,24.6,07-31-2019,22:00:00,2.50,0.0,1001.08,23.7,2.50,000,95,1009.16,29.33,10.00
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,26.2,07-31-2019,22:00:00,1.80,0.0,1005.74,24.5,2.30,000,90,1006.03,30.67,11.80
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,27.5,07-31-2019,22:00:00,0.00,9.3,1003.68,23.1,0.00,270,77,1006.81,28.26,10.00
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,25.9,07-31-2019,22:00:00,0.80,5.6,1000.83,23.6,0.80,210,87,1007.80,29.05,10.00
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,28.0,07-31-2019,22:00:00,0.00,7.4,1001.58,22.1,1.70,250,70,1007.16,26.54,7.00
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,25.5,07-31-2019,22:00:00,0.00,0.0,1006.47,23.9,0.01,000,91,1007.74,29.64,10.00
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,26.7,07-31-2019,22:00:00,0.90,7.4,1006.83,22.2,0.90,220,77,1007.26,26.82,11.00
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,24.0,07-31-2019,22:00:00,0.01,0.0,996.58,22.5,2.00,000,91,1008.99,27.25,8.00
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,25.8,07-31-2019,22:00:00,0.10,9.3,1006.70,22.7,0.50,220,83,1007.42,27.56,10.00
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,26.0,07-31-2019,22:00:00,10.30,0.0,1005.46,23.1,10.30,000,84,1007.90,28.18,10.00
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,25.0,07-31-2019,22:00:00,12.50,0.0,1007.66,23.5,12.60,000,92,1008.18,29.00,8.00
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,24.3,07-31-2019,22:00:00,16.50,1.9,1002.69,22.8,16.50,260,91,1007.90,27.77,10.00
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,24.4,07-31-2019,22:00:00,20.40,0.0,1009.04,23.1,20.40,000,92,1009.46,28.20,6.00
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,24.0,07-31-2019,22:00:00,27.00,0.0,1006.73,23.0,27.00,000,94,1009.53,28.01,8.00
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,25.5,07-31-2019,22:00:00,1.80,0.0,1008.20,22.5,5.50,000,84,1008.99,27.29,6.00
48501,TRAD,ตราด,ตราด,11.76667,102.88333,26.3,07-31-2019,22:00:00,14.90,13.0,1008.65,25.0,15.40,290,93,1009.11,31.68,3.00
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,28.9,07-31-2019,22:00:00,0.00,3.7,1009.48,24.0,0.20,280,75,1010.16,29.82,8.00
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,28.2,07-31-2019,22:00:00,0.00,1.9,1008.29,23.5,0.00,300,76,1009.82,29.03,7.00
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,29.0,07-31-2019,22:00:00,0.00,9.3,1010.04,23.9,0.00,210,74,1010.95,29.74,10.00
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,30.2,07-31-2019,22:00:00,0.00,0.0,1009.32,23.9,0.00,000,69,1010.01,29.58,10.00
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,27.0,07-31-2019,22:00:00,0.00,0.0,1010.16,23.3,0.00,000,80,1010.96,28.67,9.00
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,28.0,07-31-2019,22:00:00,0.00,0.0,1009.82,23.8,0.00,000,78,1010.46,29.46,10.00
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,27.5,07-31-2019,22:00:00,0.00,0.0,1009.85,23.9,0.00,000,81,1010.26,29.60,10.00
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,27.8,07-31-2019,22:00:00,0.00,0.0,1007.92,23.4,0.00,000,77,1012.14,28.82,6.00
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,26.4,07-31-2019,22:00:00,0.00,0.0,1009.47,24.1,0.00,000,87,1011.09,29.97,2.00
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,28.5,07-31-2019,22:00:00,0.00,0.0,1009.03,24.2,0.00,000,78,1010.38,30.15,8.00
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,28.5,07-31-2019,22:00:00,0.00,9.3,1009.93,24.3,4.60,270,78,1010.81,30.42,10.00
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,25.7,07-31-2019,22:00:00,0.00,0.0,1007.38,23.5,0.00,000,88,1010.97,28.95,10.00
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,29.1,07-31-2019,22:00:00,0.00,7.4,1010.50,23.7,0.00,270,73,1010.94,29.38,10.00
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,30.0,07-31-2019,22:00:00,0.00,7.4,1009.37,24.6,0.00,260,73,1010.36,30.87,9.00
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,29.4,07-31-2019,22:00:00,0.00,27.8,1010.36,25.0,0.00,270,77,1011.17,31.65,10.00
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,27.0,07-31-2019,22:00:00,0.00,0.0,1009.39,24.8,0.00,000,88,1011.21,31.38,10.00
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,28.9,07-31-2019,22:00:00,0.00,5.6,1010.06,23.2,0.00,240,71,1010.81,28.45,10.00
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,28.7,07-31-2019,22:00:00,0.00,5.6,1007.02,22.7,0.00,230,70,1011.01,27.54,10.00
48570,SATUN,สตูล,สตูล,6.65000,100.08333,27.5,07-31-2019,22:00:00,0.00,0.0,1010.39,24.5,0.00,000,84,1011.07,30.70,10.00
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,28.0,07-31-2019,22:00:00,0.00,0.0,1009.64,23.6,0.00,000,77,1010.75,29.19,10.00
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,27.1,07-31-2019,22:00:00,0.00,0.0,1008.26,24.7,0.00,000,87,1011.19,31.02,10.00
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,28.7,07-31-2019,22:00:00,0.00,0.0,1009.79,25.9,0.00,000,85,1010.48,33.37,10.00
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,27.5,07-31-2019,22:00:00,0.00,0.0,1007.01,23.1,0.00,000,77,1011.14,28.26,7.00
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,29.0,07-31-2019,22:00:00,0.00,0.0,1009.81,23.2,0.00,000,71,1010.39,28.37,10.00
