WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,VaporPressure,Date,Time,DewPoint,RelativeHumidity,StationPressure,LandVisibility,Rainfall,AirTemperature,WindDirection,WindSpeed,MeanSeaLevelPressure,Rainfall24Hr
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,23.88,10-06-2019,13:00:00,20.3,75,916.68,{'@attributes': {'Unit': 'km'}},0.00,25.1,030,22.2,1011.07,0.00
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,30.05,10-06-2019,13:00:00,24.1,67,994.85,10.00,0.00,31.0,090,3.7,1010.68,19.40
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,32.20,10-06-2019,13:00:00,25.3,65,1006.50,8.00,0.00,32.6,120,5.6,1010.48,1.20
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,30.90,10-06-2019,13:00:00,24.6,69,1000.45,10.00,0.00,31.0,020,9.3,1011.03,8.90
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,28.51,10-06-2019,13:00:00,23.2,62,1008.61,12.00,0.00,31.5,030,3.7,1010.52,1.60
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,25.90,10-06-2019,13:00:00,21.7,59,989.91,10.00,0.00,30.7,030,9.3,1010.59,0.00
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,28.75,10-06-2019,13:00:00,23.4,67,992.40,10.00,0.00,30.2,080,13.0,1009.93,8.00
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,30.37,10-06-2019,13:00:00,24.3,66,993.81,10.00,0.00,31.3,150,5.6,1009.79,6.30
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,26.28,10-06-2019,13:00:00,21.9,52,995.48,10.00,0.00,33.2,000,0.0,1009.26,0.00
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,29.07,10-06-2019,13:00:00,23.6,63,995.00,12.00,0.00,31.5,000,0.0,1009.65,0.00
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,30.56,10-06-2019,13:00:00,24.4,81,996.52,9.00,0.00,28.0,060,3.7,1011.20,0.00
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,29.46,10-06-2019,13:00:00,23.8,61,1006.79,10.00,0.00,32.4,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",0.0,1009.76,1.00
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,27.67,10-06-2019,13:00:00,22.8,54,1001.78,10.00,0.00,33.2,050,7.4,1009.59,11.00
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,31.56,10-06-2019,13:00:00,24.9,65,1009.41,8.00,0.00,32.3,020,5.6,1010.51,3.30
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,30.42,10-06-2019,13:00:00,24.3,71,996.45,8.00,0.00,30.2,000,0.0,1011.04,0.00
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,22.80,10-06-2019,13:00:00,19.6,79,875.20,8.00,0.00,23.5,000,0.0,1008.75,5.40
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,27.27,10-06-2019,13:00:00,22.5,57,1004.26,10.00,0.00,32.0,030,7.4,1010.06,1.00
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,31.52,10-06-2019,13:00:00,24.9,66,1007.54,7.00,0.00,32.0,060,5.6,1008.33,10.00
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,29.98,10-06-2019,13:00:00,24.1,69,1009.24,10.00,0.00,30.4,120,5.6,1009.68,38.90
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,29.09,10-06-2019,13:00:00,23.6,59,998.56,10.00,0.00,32.5,000,0.0,1009.69,4.30
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,29.58,10-06-2019,13:00:00,23.9,60,1009.14,8.00,0.00,32.6,060,3.7,1010.14,7.10
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,26.78,10-06-2019,13:00:00,22.2,58,1008.90,8.00,0.00,31.6,000,0.0,1010.71,2.80
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,28.94,10-06-2019,13:00:00,23.5,61,1009.20,9.00,0.00,32.0,000,0.0,1009.95,0.00
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,29.43,10-06-2019,13:00:00,23.8,64,1008.87,10.00,0.00,31.4,050,5.6,1009.57,11.80
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,29.66,10-06-2019,13:00:00,23.9,58,1008.47,10.00,0.00,33.2,150,3.7,1009.16,4.50
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,27.76,10-06-2019,13:00:00,22.8,64,989.03,8.00,0.00,30.4,150,9.3,1010.01,3.10
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,27.34,10-06-2019,13:00:00,22.6,66,993.85,10.00,0.20,29.6,130,5.6,1010.48,0.20
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,27.50,10-06-2019,13:00:00,22.7,67,994.60,12.00,0.00,29.4,140,7.4,1010.97,0.00
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,29.41,10-06-2019,13:00:00,23.8,96,988.66,4.00,15.00,24.5,000,0.0,1010.78,15.00
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,26.03,10-06-2019,13:00:00,21.7,62,966.59,12.00,0.01,29.9,050,11.1,1009.53,2.00
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,29.38,10-06-2019,13:00:00,23.7,90,989.62,10.00,11.40,25.5,140,5.6,1010.34,11.40
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,30.73,10-06-2019,13:00:00,24.5,68,991.30,10.00,0.00,31.2,070,7.4,1011.93,0.00
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,29.39,10-06-2019,13:00:00,23.8,63,1009.80,9.00,0.00,31.8,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",0.0,1010.23,0.00
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,31.11,10-06-2019,13:00:00,24.7,64,1008.17,11.00,0.00,32.5,000,0.0,1009.56,0.10
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,31.94,10-06-2019,13:00:00,25.1,90,1005.04,8.00,7.30,27.0,000,0.0,1009.98,18.70
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,29.58,10-06-2019,13:00:00,23.9,60,1006.54,12.00,0.00,32.6,150,9.3,1009.78,0.00
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,30.04,10-06-2019,13:00:00,24.1,64,1008.76,10.00,0.00,31.7,000,0.0,1009.85,0.00
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,29.75,10-06-2019,13:00:00,24.0,61,1009.47,10.00,0.00,32.4,000,0.0,1009.76,0.60
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,30.24,10-06-2019,13:00:00,24.2,64,1010.72,10.00,0.00,31.8,120,3.7,1011.40,5.20
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,29.07,10-06-2019,13:00:00,23.6,63,1008.86,10.00,0.00,31.5,120,3.7,1009.35,0.40
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,29.39,10-06-2019,13:00:00,23.8,63,1008.25,10.00,0.00,31.8,020,9.3,1009.64,3.00
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,29.90,10-06-2019,13:00:00,24.0,76,1008.85,9.00,0.00,28.8,000,0.0,1010.53,26.50
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,30.90,10-06-2019,13:00:00,24.6,69,1003.26,10.00,0.00,31.0,230,3.7,1011.19,25.00
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,32.75,10-06-2019,13:00:00,25.6,75,1008.86,10.00,0.00,30.5,290,9.3,1009.14,14.60
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,31.13,10-06-2019,13:00:00,24.7,78,1006.38,10.00,0.20,29.0,330,5.6,1009.50,11.00
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,30.63,10-06-2019,13:00:00,24.4,74,1003.00,10.00,0.00,29.6,280,11.1,1009.90,29.60
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,30.40,10-06-2019,13:00:00,24.3,80,1005.24,8.00,0.00,28.2,000,0.0,1010.84,4.60
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,31.39,10-06-2019,13:00:00,24.9,72,1000.88,10.00,0.00,30.4,240,7.4,1010.11,8.20
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,28.37,10-06-2019,13:00:00,23.2,63,1009.60,12.00,0.00,31.0,360,11.1,1010.85,0.01
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,31.77,10-06-2019,13:00:00,25.0,77,1009.82,11.00,0.01,29.6,000,0.0,1010.25,7.90
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,28.69,10-06-2019,13:00:00,23.4,69,998.34,8.00,0.00,29.6,030,9.3,1010.53,1.50
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,30.85,10-06-2019,13:00:00,24.6,77,1009.90,8.00,0.00,29.0,030,5.6,1010.61,11.80
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,30.46,10-06-2019,13:00:00,24.3,70,1008.45,10.00,0.00,30.5,180,14.8,1010.87,145.90
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,29.89,10-06-2019,13:00:00,24.0,68,1009.23,10.00,0.00,30.5,000,0.0,1009.74,5.70
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,29.77,10-06-2019,13:00:00,24.0,73,1004.54,11.00,0.01,29.3,210,1.9,1009.67,69.10
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,30.82,10-06-2019,13:00:00,24.5,63,1009.03,8.00,0.00,32.5,000,0.0,1009.43,4.10
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,32.13,10-06-2019,13:00:00,25.2,78,1007.89,8.00,0.00,29.5,000,0.0,1010.65,0.00
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,29.63,10-06-2019,13:00:00,23.9,64,1009.21,10.00,0.00,31.5,150,3.7,1009.98,0.00
48501,TRAD,ตราด,ตราด,11.76667,102.88333,31.60,10-06-2019,13:00:00,25.0,67,1008.90,10.00,0.00,31.9,230,7.4,1009.35,0.20
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,30.24,10-06-2019,13:00:00,24.2,64,1008.88,8.00,0.00,31.8,070,11.1,1009.55,0.00
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,30.20,10-06-2019,13:00:00,24.2,65,1008.00,8.00,0.00,31.5,090,3.7,1009.51,0.00
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,28.53,10-06-2019,13:00:00,23.3,68,1009.21,10.00,3.30,29.8,360,3.7,1010.12,4.20
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,32.46,10-06-2019,13:00:00,25.4,77,1009.49,10.00,0.00,29.8,090,9.3,1010.17,0.00
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,31.77,10-06-2019,13:00:00,25.0,68,1009.08,9.00,0.00,31.7,000,0.0,1009.87,1.80
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,29.07,10-06-2019,13:00:00,23.6,63,1008.59,10.00,0.00,31.5,050,11.1,1009.22,10.70
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,32.55,10-06-2019,13:00:00,25.5,72,1009.20,10.00,0.00,31.1,060,11.1,1009.60,0.70
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,33.33,10-06-2019,13:00:00,25.9,79,1007.67,6.00,0.00,29.8,300,9.3,1011.86,56.60
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,27.05,10-06-2019,13:00:00,22.4,55,1008.48,10.00,0.00,32.6,210,5.6,1010.06,13.00
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,29.66,10-06-2019,13:00:00,23.9,58,1006.01,8.00,0.00,33.2,270,5.6,1009.42,0.90
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,31.23,10-06-2019,13:00:00,24.8,66,1008.14,8.00,0.00,32.0,120,9.3,1009.47,0.90
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,29.24,10-06-2019,13:00:00,23.7,64,1009.44,10.00,0.00,31.3,270,11.1,1010.31,1.70
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,31.68,10-06-2019,13:00:00,25.0,70,1006.09,10.00,0.00,31.1,240,11.1,1009.61,1.70
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,26.76,10-06-2019,13:00:00,22.2,62,1009.58,10.00,0.00,30.3,000,0.0,1010.01,0.00
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,30.66,10-06-2019,13:00:00,24.5,70,1008.63,9.00,0.00,30.6,170,5.6,1009.62,1.10
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,35.89,10-06-2019,13:00:00,27.1,83,1010.08,10.00,0.00,30.3,240,7.4,1010.89,0.40
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,29.79,10-06-2019,13:00:00,24.0,63,1007.60,10.00,0.00,32.0,030,5.6,1009.39,8.60
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,29.40,10-06-2019,13:00:00,23.8,65,1008.58,12.00,0.00,31.1,020,9.3,1009.33,0.00
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,25.75,10-06-2019,13:00:00,21.6,62,1005.35,10.00,0.00,29.6,040,14.8,1009.32,0.01
48570,SATUN,สตูล,สตูล,6.65000,100.08333,31.15,10-06-2019,13:00:00,24.7,73,1009.33,10.00,0.00,30.0,000,0.0,1010.01,1.00
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,30.69,10-06-2019,13:00:00,24.5,63,1007.65,10.00,0.00,32.3,260,11.1,1008.74,0.00
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,30.50,10-06-2019,13:00:00,24.4,84,1006.63,9.00,3.10,27.4,330,7.4,1009.55,3.10
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,31.48,10-06-2019,13:00:00,24.9,73,1008.26,8.00,1.70,30.3,350,5.6,1008.94,4.40
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,27.00,10-06-2019,13:00:00,22.4,54,1005.13,10.00,0.00,33.0,000,0.0,1009.18,0.00
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,28.51,10-06-2019,13:00:00,23.2,62,1008.45,12.00,0.00,31.5,050,16.7,1009.03,0.00
