WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,VaporPressure,RelativeHumidity,StationPressure,WindDirection,Rainfall24Hr,LandVisibility,WindSpeed,DewPoint,AirTemperature,MeanSeaLevelPressure
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,0.50,09-19-2019,16:00:00,27.79,88,964.01,100,24.30,10.00,3.7,22.8,24.9,1007.56
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,0.00,09-19-2019,16:00:00,30.31,71,986.32,030,21.00,10.00,3.7,24.3,30.0,1006.67
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,55.00,09-19-2019,16:00:00,33.41,91,987.99,160,69.40,9.00,11.1,25.9,27.6,1008.80
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,0.00,09-19-2019,16:00:00,31.80,72,1006.21,160,1.50,10.00,14.8,25.1,30.6,1006.64
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,0.00,09-19-2019,16:00:00,32.55,81,1005.57,000,11.20,10.00,0.0,25.5,29.0,1006.98
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,0.00,09-19-2019,16:00:00,33.83,83,1001.94,000,99.30,8.00,0.0,26.1,29.2,1006.84
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,0.00,09-19-2019,16:00:00,32.01,70,1002.80,000,33.20,9.00,0.0,25.2,31.4,1006.04
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,0.00,09-19-2019,16:00:00,32.86,70,1005.58,000,26.50,10.00,0.0,25.6,31.8,1006.67
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,0.00,09-19-2019,16:00:00,30.41,65,1006.39,040,22.30,8.00,7.4,24.3,31.6,1006.68
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,0.00,09-19-2019,16:00:00,30.57,67,1006.12,040,30.20,10.00,7.4,24.4,31.4,1006.80
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,0.00,09-19-2019,16:00:00,29.63,64,1005.94,090,33.90,10.00,3.7,23.9,31.5,1006.42
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,0.00,09-19-2019,16:00:00,31.47,70,1005.55,070,24.20,10.00,14.8,24.9,31.0,1006.94
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,0.00,09-19-2019,16:00:00,38.18,95,1005.34,160,2.20,3.00,9.3,28.2,29.0,1007.01
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,0.00,09-19-2019,16:00:00,30.72,75,1000.86,000,28.20,10.00,0.0,24.5,29.5,1008.81
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,0.00,09-19-2019,16:00:00,33.17,78,1006.48,300,6.70,8.00,5.6,25.8,30.0,1006.76
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,0.00,09-19-2019,16:00:00,28.50,65,1003.60,000,1.00,10.00,0.0,23.2,30.5,1006.70
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,0.00,09-19-2019,16:00:00,32.39,83,1000.36,000,0.00,10.00,0.0,25.4,28.5,1007.27
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,0.00,09-19-2019,16:00:00,32.75,75,1001.98,000,24.70,10.00,0.0,25.6,30.5,1007.51
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,0.00,09-19-2019,16:00:00,30.79,72,999.41,310,0.00,9.00,5.6,24.5,30.1,1008.65
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,3.20,09-19-2019,16:00:00,36.47,88,1006.43,040,5.20,10.00,3.7,27.4,29.6,1007.69
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,0.00,09-19-2019,16:00:00,34.21,74,1006.54,120,0.30,11.00,5.6,26.3,31.6,1006.97
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,25.40,09-19-2019,16:00:00,31.63,96,995.87,230,25.40,8.00,11.1,25.0,25.7,1008.19
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,0.00,09-19-2019,16:00:00,33.20,80,1006.82,130,0.00,10.00,5.6,25.8,29.6,1007.52
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,20.40,09-19-2019,16:00:00,30.40,89,1005.20,000,37.80,7.00,0.0,24.3,26.2,1007.64
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,2.70,09-19-2019,16:00:00,32.32,86,1007.01,000,41.30,10.00,0.0,25.3,27.9,1007.53
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,3.70,09-19-2019,16:00:00,31.03,92,1002.14,120,60.80,7.00,1.9,24.7,26.1,1007.31
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,0.20,09-19-2019,16:00:00,32.42,82,1007.18,210,3.00,8.00,5.6,25.4,28.8,1007.59
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,0.20,09-19-2019,16:00:00,33.37,88,1004.91,140,7.50,8.00,7.4,25.9,28.0,1007.67
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,0.00,09-19-2019,16:00:00,31.60,70,1005.84,000,0.00,10.00,0.0,25.0,31.2,1006.61
48501,TRAD,ตราด,ตราด,11.76667,102.88333,1.50,09-19-2019,16:00:00,31.33,91,1008.13,030,46.90,8.00,5.6,24.8,26.4,1008.59
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,0.50,09-19-2019,16:00:00,30.56,81,1007.73,200,0.50,7.00,3.7,24.4,28.0,1008.41
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,0.00,09-19-2019,16:00:00,29.03,68,1006.75,250,0.00,9.00,3.7,23.5,30.2,1008.26
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,0.00,09-19-2019,16:00:00,28.78,74,1008.70,240,6.30,10.00,11.1,23.4,28.5,1009.62
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,0.00,09-19-2019,16:00:00,30.98,67,1007.73,300,3.70,12.00,7.4,24.6,31.6,1008.41
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,0.00,09-19-2019,16:00:00,29.60,76,1008.44,300,0.00,10.00,7.4,23.9,28.5,1009.23
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,0.00,09-19-2019,16:00:00,29.37,58,1006.91,330,0.00,10.00,7.4,23.7,33.2,1007.53
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,0.00,09-19-2019,16:00:00,32.08,63,1007.18,000,0.00,10.00,0.0,25.2,33.1,1007.57
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,0.00,09-19-2019,16:00:00,28.91,68,1006.42,290,48.20,5.00,11.1,23.5,30.0,1010.61
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,0.40,09-19-2019,16:00:00,28.02,75,1006.32,000,0.80,10.00,0.0,23.0,27.8,1007.92
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,0.60,09-19-2019,16:00:00,32.55,85,1005.45,000,2.30,8.00,0.0,25.5,28.3,1008.92
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,11.20,09-19-2019,16:00:00,30.71,94,1007.30,130,11.20,7.00,7.4,24.5,25.5,1008.66
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,0.00,09-19-2019,16:00:00,30.97,84,1008.59,000,4.50,10.00,0.0,24.6,27.5,1009.48
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,0.00,09-19-2019,16:00:00,29.83,71,1005.31,290,0.00,10.00,5.6,24.0,29.9,1008.84
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,0.00,09-19-2019,16:00:00,27.25,62,1008.48,280,0.20,10.00,7.4,22.5,30.7,1008.91
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,0.00,09-19-2019,16:00:00,28.91,72,1008.83,300,5.70,10.00,9.3,23.5,29.0,1009.82
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,0.00,09-19-2019,16:00:00,30.63,74,1008.26,180,0.80,10.00,11.1,24.4,29.6,1009.06
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,0.00,09-19-2019,16:00:00,28.61,69,1007.21,190,0.00,6.00,14.8,23.3,29.7,1009.01
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,0.01,09-19-2019,16:00:00,30.46,70,1007.61,020,3.50,4.00,5.6,24.3,30.5,1008.35
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,0.00,09-19-2019,16:00:00,27.93,65,1004.33,240,0.80,7.00,9.3,22.9,30.2,1008.29
48570,SATUN,สตูล,สตูล,6.65000,100.08333,0.00,09-19-2019,16:00:00,31.15,73,1008.17,260,4.80,6.00,5.6,24.7,30.0,1008.85
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,0.00,09-19-2019,16:00:00,28.42,65,1007.30,170,0.20,10.00,7.4,23.2,30.6,1008.40
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,0.00,09-19-2019,16:00:00,31.40,75,1005.49,210,0.50,8.00,5.6,24.9,29.7,1008.39
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,28.20,09-19-2019,16:00:00,31.55,95,1007.88,190,36.50,4.00,7.4,24.9,25.8,1008.58
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,0.01,09-19-2019,16:00:00,30.15,82,1004.92,290,0.01,2.00,5.6,24.2,27.5,1009.05
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,0.00,09-19-2019,16:00:00,32.13,78,1007.63,000,3.30,6.00,0.0,25.2,29.5,1008.22
