WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,StationPressure,Date,Time,Rainfall,AirTemperature,Rainfall24Hr,WindDirection,WindSpeed,VaporPressure,RelativeHumidity,DewPoint,LandVisibility,MeanSeaLevelPressure
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,1008.35,08-20-2019,22:00:00,0.00,26.2,0.00,000,0.0,29.33,86,23.7,9.00,1009.15
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,1007.48,08-20-2019,22:00:00,0.00,27.5,0.00,000,0.0,29.60,81,23.9,10.00,1008.11
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,1008.40,08-20-2019,22:00:00,0.00,27.7,0.00,000,0.0,30.81,83,24.5,10.00,1008.81
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,1006.60,08-20-2019,22:00:00,0.00,26.8,0.00,000,0.0,28.04,80,23.0,5.00,1010.83
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,1007.31,08-20-2019,22:00:00,0.00,25.3,0.00,000,0.0,30.87,96,24.6,10.00,1008.93
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,1005.58,08-20-2019,22:00:00,0.00,26.7,0.00,000,0.0,31.63,90,25.0,8.00,1009.07
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,1007.12,08-20-2019,22:00:00,0.00,28.6,0.40,000,0.0,27.63,71,22.7,10.00,1008.47
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,1007.93,08-20-2019,22:00:00,0.00,27.0,0.00,000,0.0,30.83,87,24.5,10.00,1008.81
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,1005.97,08-20-2019,22:00:00,0.00,25.4,0.00,000,0.0,28.67,88,23.3,10.00,1009.56
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,1008.48,08-20-2019,22:00:00,0.00,28.8,0.00,000,0.0,29.90,76,24.0,10.00,1008.92
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,1007.55,08-20-2019,22:00:00,0.00,29.5,0.00,000,0.0,29.60,72,23.9,10.00,1008.54
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,1008.67,08-20-2019,22:00:00,0.00,29.3,0.00,270,20.4,31.45,77,24.9,10.00,1009.48
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,1007.41,08-20-2019,22:00:00,0.00,26.5,0.01,000,0.0,30.16,87,24.2,10.00,1009.23
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,1008.49,08-20-2019,22:00:00,0.00,29.1,0.00,130,1.9,29.11,72,23.6,11.00,1009.24
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,1005.36,08-20-2019,22:00:00,0.00,27.4,0.00,170,5.6,30.50,84,24.4,10.00,1009.35
48570,SATUN,สตูล,สตูล,6.65000,100.08333,1009.08,08-20-2019,22:00:00,0.00,26.9,1.60,000,0.0,30.10,85,24.1,10.00,1009.77
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,1008.02,08-20-2019,22:00:00,0.00,28.0,0.00,140,7.4,29.74,79,23.9,10.00,1009.14
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,1006.55,08-20-2019,22:00:00,0.00,27.8,0.00,000,0.0,31.84,85,25.1,10.00,1009.46
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,1008.31,08-20-2019,22:00:00,0.00,28.0,0.00,000,0.0,31.95,85,25.1,8.00,1008.99
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,1005.76,08-20-2019,22:00:00,0.00,24.8,10.50,020,3.7,29.69,95,23.9,6.00,1009.92
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,1008.50,08-20-2019,22:00:00,67.80,24.0,67.80,240,9.3,27.25,91,22.5,5.00,1009.10
