WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall24Hr,Date,Time,WindSpeed,AirTemperature,RelativeHumidity,VaporPressure,Rainfall,MeanSeaLevelPressure,LandVisibility,WindDirection,StationPressure,DewPoint
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,0.00,10-02-2019,10:00:00,11.1,30.9,73,32.42,0.00,1011.69,10.00,210,1011.24,25.4
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,0.00,10-02-2019,10:00:00,0.0,31.4,66,30.28,0.00,1012.54,8.00,000,1001.34,24.3
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,0.00,10-02-2019,10:00:00,0.0,31.7,68,31.77,0.00,1011.98,8.00,000,1010.98,25.0
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,0.00,10-02-2019,10:00:00,11.1,30.9,73,32.42,0.00,1012.02,10.00,170,1010.21,25.4
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,0.00,10-02-2019,10:00:00,0.0,31.1,66,29.68,0.00,1011.58,9.00,000,1010.82,23.9
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,0.00,10-02-2019,10:00:00,7.4,31.7,63,29.47,0.00,1011.64,10.00,140,1010.94,23.8
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,0.00,10-02-2019,10:00:00,5.6,31.8,67,31.68,0.00,1011.12,7.00,100,1010.42,25.0
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,0.00,10-02-2019,10:00:00,0.0,31.9,64,30.44,0.00,1011.63,8.00,000,990.72,24.3
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,0.00,10-02-2019,10:00:00,3.7,31.1,70,31.68,0.00,1011.88,8.00,160,995.31,25.0
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,0.00,10-02-2019,10:00:00,3.7,31.2,71,32.18,0.00,1012.22,9.00,130,995.93,25.3
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,50.50,10-02-2019,10:00:00,0.0,29.8,75,31.60,0.00,1011.85,6.00,000,990.10,25.0
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,0.00,10-02-2019,10:00:00,3.7,30.0,65,27.55,0.00,1011.71,4.00,340,968.69,22.7
